,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,463,21787,,,20,2,,,,,,,,,,,,,,,,,,,,,,,25,12,,,,,,,,,9,6,,,,,19,21,,,,,,,257,8,,,,,75,13,1783,14,,,,,,,,,12090,6,6,20,,,10,13,6,12,,,102,20,,,,,,,,,,,,,,,,,,,,,,,59,25,,,,,23,13,,,,,68,24,,,,,42,12,,,,,,,,,774,9,2048,6,,,,,,,,,,,,,30,17,,,,,6,8,,,,,,,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,14,7,11,59,13,,,,,,,,,,,,,,,,,400,16,,,,,852,3,,,,,1809,9,,,,,,,,,,,,,,,,,,,12,12,,,,,14,9,,,,,135,13,,,,,,,,,,,32,8,,,,,85,16,,,,,36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,10
11,12,181,18053,12,4,,,,,,,,,177,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,16,,,,,,,,,,,,,143,8,1862,13,,,,,,,,,9583,10,,,1474,8,,,7,10,,,96,22,,,1297,11,,,,,,,,,,,,,,,,,,,171,10,,,,,169,4,,,,,162,13,,,,,,,,,,,,,,,180,44,134,41,,,,,,,,,,,,,,,,,,,7,6,,,,,,,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,15,,,85,10,,,,,,,,,,,,,,,,,236,25,,,,,138,26,,,,,1119,13,,,,,,,,,,,,,90,3,,,,,,,,,,,,,,,,,253,6,,,,,,,,,,,18,11,,,,,123,13,,,,,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,25
12,13,320,17390,,,,,,,,,,,132,7,,,,,,,,,,,,,,,89,8,,,,,,,,,17,3,,,,,50,4,,,,,,,120,13,,,13,2,35,24,1376,17,,,,,134,6,,,6778,15,18,3,1374,9,34,6,,,34,12,157,12,,,1577,8,,,,,,,10,2,,,12,2,,,12,2,,,59,24,54,4,,,,,,,,,309,3,,,,,449,4,,,,,,,15,2,194,42,348,25,,,,,17,3,,,,,15,2,46,13,,,,,15,3,,,,,,,28,9,,,,,,,,,7,6,,,,,43,4,,,,,,,,,,,,,666,9,13,4,55,16,,,,,,,,,,,,,,,,,463,13,,,,,204,20,,,72,7,1555,11,,,,,,,,,12,2,,,,,,,44,10,57,3,,,,,,,,,,,38,33,,,,,15,5,11,4,,,27,9,,,,,154,12,,,12,1,85,8,,,,,,,,,47,9,,,,,,,,,,,,,,,,,,,,,289,17
13,14,25821,16672,,,,,,,,,,,70,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5079,3,,,,,,,,,883,90,10,11,1266,12,,,,,,,,,,,5419,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2523,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1392,1,,,,,,,,,,,,,,,,,,,,,,,,,,,30,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,1294,16634,,,,,,,,,,,56,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,14,,,,,,,,,,,,,77,11,1070,24,,,,,,,,,8598,13,17,4,860,19,,,,,,,188,8,,,2884,4,,,,,,,,,,,,,,,,,,,161,11,,,,,,,,,,,107,19,,,,,29,15,,,,,5,2,,,900,7,,,,,,,,,,,,,,,30,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,481,12,,,41,21,,,,,6,4,,,,,,,,,,,42,53,,,,,,,,,,,614,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,12,,,,,,,,,,,,,,,,,50,23,,,,,22,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,20
15,16,2243,15863,,,,,,,,,,,,,,,,,,,,,,,,,,,21,14,,,,,,,,,,,,,,,8,47,,,,,,,,,,,,,,,3870,5,,,,,,,,,6349,17,,,,,,,,,,,,,,,1995,6,,,,,,,,,,,,,,,,,,,,,,,,,61,11,,,,,202,9,,,,,,,,,,,,,,,488,19,192,32,,,,,,,,,,,,,15,36,,,,,,,,,,,,,63,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,8,,,,,,,,,,,,,,,,,,,,,67,40,,,,,527,9,,,18,10,791,19,,,,,,,10,5,,,,,,,,,,,57,4,,,,,416,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,64
16,17,13,15339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,17,,,,,,,122,12,,,10,4,44,20,1220,21,,,,,,,,,7559,14,9,12,1281,11,,,11,5,,,,,4,2,782,23,,,,,,,,,,,1,4,,,,,,,561,3,,,,,,,,,,,161,14,,,,,,,,,,,,,,,378,26,1014,13,,,,,,,,,,,,,69,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,125,8,10,43,19,,,,,,,,,,,,,,,,,259,23,,,,,321,13,,,43,9,813,18,,,,,,,,,,,,,,,,,12,14,34,7,,,,,40,5,,,,,158,10,,,,,,,,,,,,,,,,,27,27,,,,,,,,,,,,,,,11,15,,,,,,,,,,,,,,,,,,,,,316,15
17,18,2425,14675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,13,29,,,,,,,,,,,,,108,9,1006,26,,,,,,,,,4855,19,4,30,1115,16,,,4,13,75,10,245,6,,,1238,12,,,,,,,,,,,,,,,,,,,78,19,,,,,,,,,,,43,27,,,,,,,,,,,,,,,764,10,623,16,,,,,,,,,,,,,13,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,20,,,,,,,,,,,,,,,,,,,,,339,19,,,,,580,8,,,129,4,2786,5,,,,,,,,,,,,,,,,,54,7,,,,,,,,,,,,,104,16,,,,,5,7,,,,,,,,,,,,,,,,,62,11,,,,,,,,,12,14,,,,,,,,,,,,,,,,,,,,,170,22
18,19,2719,11943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,58,,,,,29,27,617,40,,,,,,,,,9390,12,4,31,337,31,,,,,,,44,37,,,684,27,,,,,,,,,,,,,,,,,,,90,17,,,,,,,,,,,24,32,,,,,,,,,,,,,,,196,40,,,,,,,,,,,,,,,17,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,43,,,,,,,,,,,,,,,,,,,,,71,36,,,,,,,,,,,174,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,38,,,,,,,,,,,,,,,,,,,,,,,13,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,31
19,20,27443,10726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,32,,,,,,,61,18,,,5,7,51,16,808,36,,,,,,,,,696,108,13,6,478,26,33,7,,,,,76,25,,,348,47,,,,,,,,,,,,,,,,,,,,,,,,,37,12,,,,,,,,,,,,,,,,,,,,,361,28,1906,7,,,,,,,,,,,,,1578,1,,,,,,,,,,,,,,,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,209,23,,,,,,,,,,,,,,,,,,,,,364,18,,,,,242,17,,,,,732,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2674,1
