,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,112556,137,1,23,1,45,1,34,1,47,1,3434,1,30,1,34,1,28,1,51,1,57,1,3,1,17,1,499,1,45,1,27,1,28,1,,,37,1,425,1,60,1,75,1,535,1,37,1,75,1,213,1,21,1,193,1,22,1,16,1,28,1,749,2,23,1,48,1,301,2,6611,1,21,1,27,1,41,1,506,1,23,1,28602,1,55,1,12589,1,398,1,52,1,2918,3,1427,2,19,1,28,1,4863,2,,,23,1,32,1,32,1,27,1,18,1,25,1,46,1,103,1,39,1,,,1476,1,1338,1,79,1,362,2,20,1,22,1,992,1,171,1,,,29,1,1310,2,26,1,40,1,29,1,92,1,3722,2,3498,2,22,1,35,1,22,1,295,1,217,1,126,1,331,4,21,1,22,1,50,1,67,1,35,1,24,1,20,1,33,1,18,1,295,1,168,1,21,1,21,1,21,2,96,1,167,1,79,1,669,1,908,2,20,1,88,1,26,1,36,1,44,1,21,1,938,2,43,1,297,2,26,1,,,34,1,26,2,21,1,16,1,19,1,35,1,,,23,1,2615,2,27,1,27,1,3150,2,22,1,21,1,548,1,6255,3,24,1,50,1,24,1,32,1,24,1,25,1,18,1,22,1,111,2,170,1,560,1,172,3,,,216,1,322,2,,,36,1,730,3,45,1,,,235,1,,,403,1,20,1,812,2,25,1,72,1,196,1,1665,2,29,1,,,307,2,95,1,425,1,41,1,33,1,2180,1,,,33,1,,,34,1,,,37,1,18,1,24,1,23,1,30,1,,,5949,2
1,2,2223,65493,,,,,,,,,,,2310,2,,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,10,,,,,,,1406,1,,,,,137,5,1678,12,,,,,,,,,,,17979,2,,,3827,2,,,,,2946,2,3116,1,,,,,2478,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,4,,,,,548,4,,,,,,,,,5840,1,2063,5,,,,,17,5,,,,,,,125,10,,,,,,,,,,,,,,,,,,,83,3,,,,,,,,,,,15,5,,,,,160,3,,,,,,,,,,,,,539,8,,,514,1,,,,,,,,,,,,,,,,,,,,,4313,1,,,,,3763,1,,,,,95,8,2413,8,,,,,,,,,,,,,,,,,,,13,4,,,216,1,,,31,2,66,8,,,,,276,9,,,,,,,,,,,,,332,5,,,,,,,2867,1,,,,,306,3,,,,,,,,,1808,2,,,,,,,,,,,1,12,,,,,,,,,,,3111,6
2,3,10816,49816,,,,,,,,,,,601,6,,,,,,,,,30,2,,,,,,,,,,,27,2,,,32,2,161,5,,,,,,,,,,,29,2,,,64,3,,,,,,,398,4,,,,,130,6,3364,3,,,,,,,69,7,,,13207,4,,,3337,3,68,3,,,593,6,650,5,,,,,2349,6,,,,,,,,,,,,,,,,,,,,,,,361,6,67,5,,,205,5,,,,,495,4,,,,,,,577,3,,,,,,,,,1765,4,2658,3,,,,,,,,,,,33,2,184,5,,,,,,,,,,,,,,,,,,,,,65,3,,,,,,,,,,,,,,,,,,,,,,,,,21,2,,,711,5,18,4,232,4,,,22,1,,,,,,,,,,,,,,,,,1485,3,,,,,1252,3,,,,,262,2,8097,2,,,,,,,,,,,,,,,,,35,5,,,96,6,,,,,,,150,4,,,,,456,6,,,,,,,,,,,,,,,,,,,25,2,264,7,,,,,205,6,,,,,,,,,667,5,,,,,,,33,2,,,33,2,,,,,,,,,,,4233,5
3,4,1406,42772,35,2,,,,,,,,,864,5,,,,,,,,,26,3,,,,,104,3,,,,,,,,,,,159,6,,,,,,,,,,,,,,,45,6,,,,,,,137,14,,,23,2,266,3,2172,7,,,,,,,291,4,,,16371,3,15,2,2680,6,28,6,23,2,607,5,1374,3,,,,,2595,3,15,1,,,,,6,3,,,,,,,14,4,,,,,,,508,4,,,,,353,3,,,,,174,8,63,3,,,10,3,2106,1,,,,,,,25,2,1311,5,1670,8,,,28,2,11,6,,,,,,,136,7,,,,,25,2,11,3,,,,,,,,,,,55,5,12,11,,,,,,,,,,,,,,,132,4,,,,,,,,,,,,,865,3,9,7,243,3,,,,,,,27,1,,,,,,,,,,,,,316,16,,,,,479,10,,,,,87,9,1955,9,,,,,,,,,,,10,2,12,2,,,373,1,,,30,16,26,11,,,,,134,6,,,,,475,5,,,,,,,,,,,,,39,12,,,,,,,153,12,,,,,125,7,17,3,,,,,,,512,7,,,,,,,6,4,,,9,4,,,,,,,18,3,,,2372,7
4,5,811,36943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,7,,,,,,,14,46,,,,,,,1319,16,,,,,,,,,,,7253,11,11,6,798,20,,,,,,,211,15,,,,,1459,9,,,,,,,,,,,,,,,5,8,,,,,,,402,5,,,,,,,,,,,101,13,,,,,,,,,,,,,,,,,78,71,279,28,,,,,,,,,,,,,446,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,4,,,32,25,,,,,,,,,,,,,,,,,,,,,412,12,,,,,363,12,,,,,205,3,340,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,22,,,,,31,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22330,1
5,6,2397,36673,13,4,10,2,,,6,2,,,1503,3,,,,,,,,,19,4,,,,,136,2,,,10,2,,,,,14,3,334,2,,,,,15,4,,,23,2,23,3,,,49,5,,,4,2,10,3,282,6,,,10,4,363,1,2858,5,,,,,,,457,3,,,12370,7,12,4,2925,4,22,8,6,16,3392,1,211,16,,,,,1473,8,,,,,15,3,,,,,,,,,17,3,,,,,,,871,2,,,9,2,176,7,,,,,335,5,71,2,,,13,2,26,13,,,,,3,6,24,3,944,6,1444,10,,,,,,,61,2,13,2,,,25,31,5,2,,,,,13,2,,,,,10,6,8,4,,,31,8,45,4,,,,,,,85,2,4,7,,,,,9,9,,,,,,,,,,,,,459,10,6,9,198,5,,,,,,,23,3,,,,,,,8,2,,,,,616,9,6,2,,,482,9,,,,,,,1643,10,,,,,,,,,,,7,4,,,,,69,4,,,52,10,44,8,,,,,132,7,,,,,507,4,7,3,,,32,4,,,,,,,88,7,,,,,12,5,570,6,,,,,98,10,7,4,,,,,7,2,133,12,19,1,,,,,8,3,,,7,7,,,,,,,21,2,,,605,19
6,7,27443,34320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,18,,,,,,,106,17,,,13,3,37,18,706,24,,,,,,,53,8,,,1107,82,10,9,615,25,31,5,,,,,246,9,,,,,417,34,,,,,,,,,,,,,,,,,,,,,,,34,36,,,,,50,13,,,,,,,,,,,,,,,,,,,,,,,365,21,2061,6,,,,,,,,,,,,,764,2,,,,,,,,,,,,,,,,,,,,,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,25,,,,,,,,,,,,,,,,,,,,,,,,,480,11,,,,,199,19,,,,,,,4902,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17017,1,,,,,,,,,,,,,69,11,,,,,,,,,461,8,,,,,,,,,,,,,,,,,,,,,,,4350,4
7,8,2093,31443,,,,,,,,,,,96,17,,,,,,,,,,,,,,,12,6,,,,,,,,,,,42,10,,,,,10,6,9,2,,,,,,,51,4,4,2,,,,,102,18,,,,,39,17,1256,18,,,,,,,,,,,12615,6,5,23,1211,13,,,,,48,15,138,24,,,,,705,17,,,,,,,,,15,2,,,,,,,,,9,2,,,81,18,21,7,,,187,6,,,,,64,18,20,6,,,,,124,9,,,,,,,,,513,14,4629,1,,,10,3,21,4,,,5,3,,,133,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,7,,,,,,,,,,,,,275,19,,,54,17,,,,,,,,,,,,,,,,,,,,,279,18,,,,,514,8,,,,,,,1466,11,,,,,5,2,,,,,,,,,,,,,,,43,11,17,12,,,,,,,16,2,,,163,12,,,5,1,,,,,,,,,423,3,,,,,,,132,14,,,,,123,8,,,,,,,,,751,4,,,,,,,,,,,6,9,,,,,,,,,6,2,4933,3
8,9,2162,24830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,11,36,,,,,,,169,12,,,,,18,29,1530,13,,,,,,,,,,,13039,5,,,805,19,,,,,,,112,26,,,,,842,16,,,,,6,5,,,,,,,,,,,,,,,,,25,45,,,,,,,,,,,147,11,,,,,,,19,15,,,,,,,15,5,426,18,263,31,,,,,,,2,4,,,,,52,15,,,,,,,,,,,,,,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,37,5,13,,,,,,,,,,,,,,,,,,,,,,,606,10,,,,,239,16,,,,,24,12,3979,5,,,,,,,,,,,,,,,,,2,15,,,,,10,16,,,,,17,16,,,,,95,22,,,,,,,,,,,,,,,,,,,,,59,18,,,,,118,9,,,,,,,,,165,11,,,,,,,,,,,,,,,,,,,,,,,1897,8
9,10,2181,22184,,,,,,,,,,,159,11,,,,,,,,,,,,,,,,,,,5,3,,,,,,,163,4,,,,,,,,,,,,,,,25,16,,,,,,,83,22,,,,,129,7,1290,17,,,,,,,163,5,,,6112,13,10,7,952,14,51,4,11,4,,,215,14,,,,,1188,12,,,,,,,,,,,,,,,,,,,,,,,230,7,,,,,81,11,,,,,205,7,,,,,,,193,7,,,,,,,19,4,710,8,857,13,,,,,,,32,3,,,,,17,37,,,,,,,,,,,,,,,10,3,,,24,9,33,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,12,20,3,103,8,,,,,,,,,,,,,,,,,,,,,1069,4,,,,,211,18,,,,,147,6,2775,6,,,,,,,,,,,5,5,,,,,28,6,,,153,4,69,5,,,,,36,12,38,1,,,1753,1,,,,,,,,,,,,,195,6,,,,,,,256,8,,,,,212,5,18,2,,,,,,,,,,,,,,,,,,,8,5,,,,,,,,,,,1713,9
