bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,117519,1,147,1,31,1,19,1,26,1,20,1,3069,1,23,1,16,1,37,1,509,1,49,1,25,1,19,2,,,41,1,709,1,145,1,182,1,482,1,17,1,20,1,385,1,47,1,263,2,14,1,11,2,43,1,1145,1,10,1,132,1,425,2,5833,1,19,1,15,1,596,3,13,1,31781,1,45,2,13164,1,681,1,52,1,2655,2,1350,2,7,1,19,1,4072,3,,,20,1,15,1,47,1,21,1,10,1,33,1,35,1,106,1,11,1,,,1740,1,2025,1,120,1,511,2,9,1,10,1,1263,1,558,1,,,18,1,1442,2,14,1,13,1,36,1,76,1,4611,2,2755,5,15,1,42,1,20,2,420,1,808,1,156,1,397,2,18,1,,,120,1,65,1,48,1,42,1,37,1,17,1,376,1,221,1,13,1,35,1,14,2,94,2,176,1,89,1,1465,1,331,2,12,1,44,1,50,1,24,1,24,2,35,1,1289,4,26,1,711,2,9,1,,,14,1,20,2,11,1,21,1,14,1,36,1,,,16,1,3710,2,22,1,14,1,2349,3,10,1,22,1,545,2,7521,2,16,1,41,1,15,1,6,1,10,1,31,1,29,1,14,1,169,3,94,1,345,1,306,1,,,400,1,413,4,,,42,2,1002,2,55,1,,,202,2,,,384,1,2,1,665,2,50,1,168,1,1136,2,40,1,,,530,3,87,1,661,1,27,1,10,2,2474,1,,,21,1,,,13,2,,,43,1,11,1,58,1,22,1,23,1,,,2474,7
2223,89073,2,,,,,,,,,,,1637,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,5,,,,,,,1139,2,,,,,204,4,2697,12,,,,,,,,,19870,3,,,8106,2,,,,,2565,3,1961,1,,,,,4352,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,4,,,,,342,6,,,,,,,,,6622,1,3313,2,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,290,2,,,,,,,,,,,18,3,,,,,81,4,,,,,,,,,,,,,865,10,,,841,1,,,,,,,,,,,,,,,,,,,,,6626,1,,,,,12911,1,,,,,,,5159,5,,,,,,,,,,,,,,,,,,,12,3,,,248,2,,,,,106,7,,,,,288,10,,,,,,,,,,,,,569,3,,,,,2529,1,,,,,635,2,,,,,,,,,1925,2,,,,,,,,,,,12,5,,,,,,,,,,,2980,3
1406,61555,3,35,2,,,,,,,,,8,22,,,,,18,4,84,3,,,,,,,,,,,449,3,,,,,,,,,,,,,,,57,11,,,,,,,238,10,,,25,2,271,3,3987,6,,,,,844,1,,,23092,2,46,1,4128,4,79,5,20,2,452,6,1092,3,,,,,3472,4,96,1,,,,,15,2,,,,,,,,,,,,,,,1358,2,,,,,588,1,,,,,221,12,86,3,,,16,2,2271,1,,,,,,,21,3,1968,6,2958,4,,,29,2,14,3,,,,,,,,,,,,,,,11,3,,,,,,,,,123,4,45,8,,,,,,,,,,,,,,,53,5,,,,,,,,,,,,,1742,1,18,3,417,4,,,,,,,29,1,,,,,,,,,,,,,921,9,,,,,812,6,,,,,181,7,5159,4,,,,,,,,,,,15,3,18,2,,,838,1,,,50,12,49,6,,,,,426,3,,,,,786,3,,,,,,,,,,,,,,,,,,,329,6,,,,,270,5,18,4,,,,,,,155,9,,,,,,,11,3,,,12,4,,,,,,,13,2,,,1016,11
10816,48469,4,,,,,,,,,,,376,5,,,,,33,2,,,,,,,25,1,,,32,2,130,9,,,,,,,,,,,31,2,,,63,8,,,,,,,396,6,,,,,166,7,4935,2,,,,,129,8,,,13498,6,,,4532,3,90,4,,,501,5,393,7,,,,,2362,6,,,,,,,,,,,,,,,,,,,,,,,558,6,76,6,,,186,8,,,,,479,4,,,,,,,451,4,,,,,,,,,2414,5,2038,7,,,,,,,,,,,33,2,188,6,,,,,,,,,,,,,,,,,,,103,2,,,,,,,,,,,,,,,,,,,,,,,,,30,1,,,808,11,24,2,293,5,,,30,1,,,,,,,,,,,,,,,,,1881,3,,,,,2473,2,,,,,188,6,3835,7,,,,,,,,,,,,,,,,,35,5,,,139,4,,,,,,,114,6,,,,,636,4,,,,,,,,,68,3,,,,,,,28,2,240,8,,,,,160,8,,,,,,,,,555,6,,,,,,,23,1,,,27,2,,,,,,,,,,,2664,6
2397,40904,5,27,3,17,3,,,15,2,,,1096,3,,,,,25,3,179,2,,,13,2,,,,,30,3,505,2,,,,,39,5,,,18,2,21,3,,,62,9,,,15,1,16,2,348,7,,,21,4,531,1,3813,7,,,,,345,5,,,13912,5,15,4,2445,7,50,6,14,4,3273,1,343,8,,,,,2274,7,,,,,7,4,,,,,,,,,18,2,,,,,,,743,5,,,12,2,205,7,,,,,405,6,93,2,,,8,3,34,12,,,,,11,2,28,2,1044,11,1823,9,,,,,,,115,2,99,2,,,52,17,16,2,,,,,15,2,,,,,15,2,9,3,70,7,57,6,,,,,,,149,1,9,7,,,,,22,8,,,,,,,,,,,,,479,16,9,5,292,6,,,,,,,11,3,,,,,,,26,2,,,,,738,11,8,2,,,585,10,,,,,,,1811,10,,,,,,,,,,,11,4,,,,,46,4,,,79,8,38,8,,,,,186,5,,,,,542,5,26,3,,,33,4,,,,,,,88,8,,,20,4,509,5,,,,,179,7,23,2,,,,,12,1,55,12,31,1,,,,,10,4,,,9,7,,,,,,,11,3,,,516,16
2093,35113,6,,,,,,,,,,,47,14,,,,,,,19,4,,,,,,,,,,,54,10,,,,,16,6,9,2,,,,,,,29,19,10,2,,,,,123,19,,,,,59,16,1653,21,,,,,,,,,14245,4,13,5,1531,13,,,,,83,15,143,26,,,,,1029,18,,,,,,,,,12,2,,,,,,,,,9,2,,,100,20,9,7,,,38,13,,,,,111,19,14,6,,,,,170,10,,,,,,,,,747,17,5598,1,,,21,3,6,5,,,,,,,144,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,7,,,,,,,,,,,,,562,14,,,65,19,,,,,,,,,,,,,,,,,,,,,405,21,,,,,514,11,,,,,,,1621,11,,,,,6,2,,,,,,,,,,,,,,,52,11,17,12,,,,,,,19,1,,,210,13,,,9,2,,,,,,,,,457,5,,,,,46,17,,,,,71,15,,,,,,,,,602,4,,,,,,,,,,,16,3,,,,,,,,,14,1,4347,1
2181,28282,7,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,296,5,,,,,,,,,,,,,,,20,24,,,,,,,147,15,,,,,191,5,2071,14,,,,,544,4,,,8126,14,7,12,1523,14,140,2,7,8,,,424,6,,,,,2172,9,,,,,,,,,,,,,,,,,,,,,,,273,7,,,,,106,10,,,,,541,3,,,,,,,385,5,,,,,,,11,5,896,15,1085,13,,,,,,,34,3,,,,,22,30,,,,,,,,,,,,,,,9,2,45,9,66,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,7,5,9,194,7,,,,,,,,,,,,,,,,,,,,,1607,6,,,,,348,16,,,,,204,5,2353,8,,,,,,,,,,,9,5,,,,,25,6,,,68,10,26,10,,,,,26,10,14,2,,,1053,1,,,,,,,,,,,,,263,6,,,,,299,7,,,,,195,6,21,3,,,,,,,,,,,,,,,,,,,11,6,,,,,,,,,,,1479,8
463,28054,8,,,11,4,,,,,,,,,,,,,,,16,6,,,,,,,,,,,24,18,,,,,,,,,8,3,,,,,37,17,,,,,,,300,8,,,,,98,11,2628,13,,,,,,,,,13445,7,3,34,1123,21,18,16,6,9,8,24,160,23,,,,,1565,12,,,,,,,,,,,,,,,,,,,,,,,84,22,,,,,26,15,,,,,129,17,,,,,,,57,11,,,,,,,,,970,13,2412,6,,,,,,,,,,,,,56,14,,,,,,,6,7,,,,,,,,,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,19,3,14,48,22,,,,,,,,,,,,,,,,,,,,,443,19,,,,,1170,4,,,,,,,1601,12,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,23,11,,,,,160,18,,,,,,,,,,,,,61,10,,,,,53,15,,,,,98,11,,,,,,,,,35,17,,,,,,,,,,,,,,,,,,,,,,,769,12
2162,24969,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,,,14,32,,,,,,,131,17,,,,,43,22,2030,16,,,,,,,,,12062,9,,,749,25,,,,,,,156,25,,,,,835,24,,,,,7,3,,,,,,,,,,,,,,,,,27,38,,,,,,,,,,,202,13,,,,,,,11,18,,,,,,,5,9,674,20,214,41,,,,,,,4,4,,,,,59,13,,,,,,,,,,,,,,,,,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,43,4,12,,,,,,,,,,,,,,,,,,,,,,,468,17,,,,,207,22,,,,,13,11,5497,3,,,,,,,,,,,,,,,,,15,7,,,,,5,18,,,,,19,13,,,,,98,24,,,,,,,,,,,,,,,,,,,38,18,,,,,125,10,,,,,,,,,18,20,,,,,,,,,,,,,,,,,,,,,,,1100,9
13,23381,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,6,,,,,,,130,18,,,11,5,39,23,2041,15,,,,,101,9,,,10582,10,4,29,2491,6,,,5,10,,,72,32,,,6,2,916,20,,,,,,,,,,,,,2,4,,,,,,,,,819,3,,,,,,,,,,,283,9,,,3,1,,,,,,,,,,,,,490,27,1566,10,,,,,,,,,,,,,53,15,,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,12,6,7,80,14,,,,,,,,,,,,,,,,,,,,,287,26,,,,,435,14,,,,,66,9,1078,15,,,,,,,,,,,,,,,,,,,,,23,13,40,7,,,,,90,8,,,,,244,11,,,,,,,,,,,,,,,,,,,37,19,,,,,,,,,,,,,,,32,18,,,,,,,,,,,,,,,,,,,,,,,479,17
