,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,2223,105195,,,,,,,,,,,1245,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,10,,,,,,,1962,1,,,,,261,3,2576,10,,,,,,,,,14030,3,,,5242,2,,,,,3526,2,1387,2,,,10408,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,3,,,,,186,8,,,,,,,,,28564,1,4750,2,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,608,1,,,,,,,,,,,19,3,,,,,78,3,,,,,,,,,,,,,1500,5,,,889,1,,,,,,,,,,,,,,,,,,,,,7901,1,,,,,8811,1,,,,,,,2958,5,,,,,,,,,,,,,,,,,,,8,4,,,547,1,,,,,126,6,,,,,325,8,,,,,,,,,,,,,407,4,,,,,3854,1,,,,,461,2,,,,,,,,,629,2,,,,,,,,,,,3,11,,,,,,,,,,,1819,7
1,2,171,103186,265,1,52,1,49,1,32,1,38,1,2612,1,35,1,46,1,35,1,284,1,100,1,40,1,30,1,,,71,1,449,2,126,1,145,1,376,1,36,1,48,2,398,1,28,1,181,1,43,1,42,1,25,1,874,2,33,1,109,1,361,2,5867,2,31,1,33,1,439,4,36,1,28043,1,68,2,9648,1,404,1,101,1,1961,3,1529,1,37,1,4925,4,,,39,1,31,1,27,1,34,1,27,1,48,1,151,1,25,1,,,1862,1,2860,1,115,1,410,4,34,1,24,1,1056,1,154,1,,,24,1,1669,2,26,1,31,1,40,1,87,1,5073,3,2957,5,35,1,41,1,32,2,378,1,155,1,156,1,310,4,30,1,,,35,1,72,1,67,1,29,1,34,1,25,1,312,3,228,1,36,1,28,1,1,2,110,1,133,1,65,1,800,1,119,2,34,1,38,1,26,1,26,1,24,1,29,1,1000,11,63,1,850,2,27,1,,,30,1,31,1,29,1,22,1,32,1,26,1,,,37,1,2241,2,28,1,29,1,3969,2,32,1,26,1,359,1,4247,4,33,1,44,1,25,1,56,1,28,1,34,1,29,1,25,1,102,3,104,1,364,1,230,2,,,240,1,291,3,,,37,2,925,2,45,2,,,240,2,,,212,1,4,1,533,2,48,1,190,1,406,2,42,1,,,274,3,65,1,232,1,54,1,26,1,1685,1,,,25,1,,,20,2,,,52,1,29,1,44,1,20,1,30,1,,,2968,4
2,3,1406,54682,43,3,,,,,,,,,18,19,,,,,20,3,38,3,,,,,,,,,,,233,4,,,,,,,,,,,,,,,61,8,,,,,,,174,12,,,13,6,225,5,3493,7,,,,,742,3,,,22830,2,17,9,4254,3,96,4,29,2,352,6,882,3,,,3684,7,48,1,,,,,13,2,,,,,,,,,,,,,764,4,,,,,423,2,,,,,235,10,36,4,,,13,2,1582,3,,,,,,,18,3,2295,5,2750,6,,,20,3,16,3,,,,,,,,,,,,,,,9,4,,,,,,,,,89,4,22,10,,,,,,,,,,,,,,,68,5,,,,,,,,,,,,,1949,3,12,8,412,3,,,,,,,,,,,,,,,,,,,,,647,13,,,,,631,7,,,,,117,7,2085,7,,,,,,,,,,,8,3,13,2,,,377,1,,,33,13,88,6,,,,,265,4,,,,,693,3,,,,,,,,,,,,,,,,,,,67,7,,,,,118,8,14,3,,,,,,,190,8,,,,,,,16,3,,,9,4,,,,,,,12,2,,,1321,8
3,4,10816,52714,,,,,,,,,,,494,6,,,,,24,2,,,,,,,13,2,,,19,2,185,6,,,,,,,,,,,15,3,,,108,5,,,,,,,457,5,,,,,172,6,4666,4,,,,,90,8,,,12743,6,,,4023,4,87,5,,,796,5,379,6,,,4358,5,,,,,,,,,,,,,,,,,,,,,502,6,43,6,,,183,9,,,,,733,2,,,,,,,294,6,,,,,,,,,4497,4,3147,3,,,,,,,,,,,16,2,325,3,,,,,,,,,,,,,,,,,,,72,2,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,1167,7,15,5,314,4,,,16,1,,,,,,,,,,,,,,,,,2206,3,,,,,1420,3,,,,,216,4,4429,3,,,,,,,,,,,,,,,,,31,6,,,162,3,,,,,,,85,8,,,,,660,4,,,,,,,,,16,3,,,,,,,19,2,107,6,,,,,163,5,,,,,,,,,407,5,,,,,,,21,1,,,19,2,,,,,,,,,,,2785,5
4,5,2397,42550,13,5,13,3,,,12,2,,,1144,3,,,,,13,4,182,2,,,20,2,,,,,13,3,517,1,,,,,17,5,,,23,3,27,2,,,69,6,,,21,2,11,2,285,7,,,16,4,484,1,4852,3,,,,,778,2,,,13536,4,78,1,2422,8,42,8,26,3,3832,1,226,10,,,2455,10,,,,,10,2,,,,,,,11,3,,,,,,,1051,2,,,11,2,196,6,,,,,357,5,65,2,,,12,3,42,13,,,,,8,2,17,4,1666,6,1645,12,,,,,,,85,2,15,2,,,34,20,17,2,,,,,11,3,,,,,13,2,16,2,53,6,37,6,,,,,,,91,2,14,5,,,,,17,8,,,,,,,,,,,,,735,14,14,7,270,5,,,,,,,9,4,,,,,,,12,2,,,,,681,11,10,2,,,552,9,,,,,,,1645,9,,,,,,,,,,,8,4,,,,,85,4,,,76,7,47,10,,,,,167,5,,,,,504,6,10,3,,,17,5,,,,,,,78,8,,,9,4,244,4,,,,,121,7,11,4,,,,,12,2,93,11,18,1,,,,,9,4,,,9,6,,,,,,,9,3,,,474,17
5,6,2093,30972,,,,,,,,,,,81,10,,,,,,,20,4,,,,,,,,,,,39,12,,,,,15,6,12,2,,,,,,,63,7,11,2,,,,,97,20,,,,,55,20,1097,25,,,,,,,,,12939,5,16,11,1645,14,,,,,81,13,115,25,,,1168,19,,,,,,,,,21,2,,,,,,,13,2,,,89,21,14,7,,,51,14,,,,,82,21,16,5,,,,,136,10,,,,,,,,,648,19,4923,1,,,23,2,13,4,,,2,4,,,119,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,7,,,,,,,,,,,,,457,20,,,82,12,,,,,,,,,,,,,,,,,,,,,384,18,,,,,497,11,,,,,,,1216,12,,,,,9,2,,,,,,,,,,,,,,,53,10,28,12,,,,,,,12,1,,,205,12,,,12,1,,,,,,,,,375,5,,,,,29,16,,,,,57,13,,,,,,,,,541,4,,,,,,,,,,,16,3,,,,,,,,,15,1,3334,3
6,7,2181,28013,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,300,3,,,,,,,,,,,,,,,25,18,,,,,,,151,13,,,,,132,8,1827,16,,,,,269,5,,,9146,10,22,6,1289,15,114,3,8,8,,,323,7,,,1495,14,,,,,,,,,,,,,,,,,,,,,295,8,,,,,193,8,,,,,347,6,,,,,,,305,5,,,,,,,21,2,1495,7,1219,14,,,,,,,60,3,,,,,44,16,,,,,,,,,,,,,,,12,3,41,9,49,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113,8,12,9,151,7,,,,,,,,,,,,,,,,,,,,,1546,5,,,,,306,17,,,,,228,3,2043,8,,,,,,,,,,,12,2,,,,,34,5,,,102,6,89,5,,,,,37,12,12,2,,,1260,1,,,,,,,,,,,,,276,6,,,,,157,5,,,,,213,4,19,2,,,,,,,,,,,,,,,,,,,9,5,,,,,,,,,,,1201,9
7,8,463,26289,,,20,2,,,,,,,,,,,,,,,18,5,,,,,,,,,,,45,11,,,,,,,,,54,1,,,,,40,12,,,,,,,280,8,,,,,84,11,2498,12,,,,,,,,,11901,7,21,7,1138,17,46,7,15,5,29,19,131,23,,,1368,15,,,,,,,,,,,,,,,,,,,,,98,20,,,,,65,13,,,,,96,19,,,,,,,55,12,,,,,,,,,1000,14,2205,9,,,,,,,,,,,,,61,10,,,,,,,19,2,,,,,,,,,41,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,19,18,3,57,19,,,,,,,,,,,,,,,,,,,,,679,12,,,,,966,4,,,,,,,1465,10,,,,,,,,,,,,,,,,,,,,,,,28,11,,,,,47,11,,,,,174,13,,,,,,,,,,,,,76,9,,,,,40,12,,,,,62,12,,,,,,,,,77,12,,,,,,,,,,,,,,,,,,,,,,,813,11
8,9,2243,25368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,14,,,,,,,,,,,,,,,9,45,,,,,,,,,,,,,,,6489,1,,,,,,,,,5900,17,,,,,,,,,,,,,,,3932,6,,,,,,,,,,,,,,,,,,,,,,,,,,,194,7,,,,,343,7,,,,,,,,,,,,,,,,,1168,10,250,35,,,,,,,,,,,,,14,38,,,,,,,,,,,,,,,,,68,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2321,2,,,,,,,,,,,,,,,,,,,,,,,,,1654,4,,,,,470,12,,,,,29,10,971,14,,,,,,,,,,,3,7,,,,,,,,,,,190,4,,,,,1257,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,45
9,10,29351,24210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,244,9,,,,,,,4341,6,,,,,,,,,3689,25,,,228,46,149,2,,,,,93,27,,,868,25,,,,,,,,,,,,,,,,,,,,,327,7,,,,,,,,,,,46,26,16,6,,,,,,,,,,,,,,,,,180,46,,,,,,,,,,,,,13,41,,,,,,,,,,,,,,,,,446,2,68,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,27,,,,,,,,,,,,,,,,,,,,,,,,,1271,6,,,,,,,,,,,,,10601,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,38,,,,,,,,,,,,,,,,,,,,,,,,,859,1,,,,,,,,,376,6,,,,,,,,,,,,,,,,,,,,,,,90,42
