bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
25821,22515,11,,,,,,,,,,,338,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4805,5,,,,,,,,,1149,80,18,3,2078,8,,,,,,,,,,,7007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2915,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2594,4
463,21663,12,,,6,3,,,,,,,,,,,,,,,10,4,,,,,,,,,37,13,,,,,,,,,9,5,,,,,19,16,,,,,,,256,6,,,,,77,13,1955,14,,,,,,,,,11472,7,5,18,,,15,12,3,10,,,180,12,,,,,,,,,,,,,,,,,,,,,,,80,19,,,,,29,14,,,,,71,22,,,,,52,13,,,,,,,,,895,9,2058,7,,,,,,,,,,,,,64,10,,,,,9,4,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,16,9,5,49,20,,,,,,,,,,,,,,,,,,,385,14,,,,,803,3,,,,,1714,10,,,,,,,,,,,,,,,,,,,30,12,,,,,19,8,,,,,150,15,,,,,,,,,,,,,44,9,,,,,21,24,,,,,70,9,,,,,,,,,34,11,,,,,,,,,,,,,,,,,,,,,,,688,11
2162,21472,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,,,3,64,,,,,,,153,10,,,,,24,32,1405,23,,,,,,,,,9338,9,,,1,136,,,,,,,115,26,,,708,25,,,,,4,4,,,,,,,,,,,,,44,26,,,,,,,,,,,219,6,,,,,,,,,,,,,5,7,540,16,9,105,,,,,,,3,4,,,,,58,12,,,,,,,,,,,,,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,48,7,7,,,,,,,,,,,,,,,,,,,,,675,7,,,,,202,21,,,12,11,6877,3,,,,,,,,,,,,,2,10,,,,,4,17,,,,,,,,,,,85,27,,,,,,,,,,,,,,,,,,,20,25,,,,,83,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791,10
50381,17971,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,21,,,,,,,,,,,15650,4,,,,,,,,,20,16,164,16,,,240,52,,,,,,,,,,,,,,,,,,,775,3,,,,,,,,,,,,,,,,,,,,,,,,,,,632,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,16448,15,,,,,,,,,,,182,9,,,,,,,,,,,,,10,1,,,97,9,,,,,,,,,12,3,,,,,51,4,,,,,,,65,16,,,12,4,44,20,1370,24,,,,,121,6,,,7176,16,18,2,1165,14,28,8,,,101,10,269,9,,,1024,17,,,,,,,7,3,,,7,2,,,8,3,,,90,17,51,6,,,,,,,,,210,8,,,,,282,6,,,,,,,18,3,204,36,347,27,,,,,11,3,,,,,13,3,29,22,,,,,11,3,,,,,,,29,9,,,,,,,,,11,5,,,,,87,4,,,,,,,,,,,,,861,9,21,2,68,13,,,,,1,5,,,,,,,,,,,,,408,12,,,,,183,22,,,55,7,976,13,,,,,,,,,13,2,,,,,,,43,10,81,5,,,,,,,,,,,77,29,,,,,15,4,,,10,4,,,37,10,,,,,39,11,,,11,1,59,11,,,,,,,,,82,7,,,,,,,,,,,,,,,,,,,,,,,248,21
13,16241,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,19,,,,,,,88,14,,,1,9,80,12,1431,22,,,,,6,12,,,8064,11,4,25,1651,11,,,1,12,,,,,5,2,494,34,,,,,,,,,,,,,,,,,,,599,4,,,,,,,,,,,131,13,,,,,,,,,,,,,,,331,27,1196,14,,,,,,,,,,,,,93,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,114,4,11,48,21,,,,,,,,,,,,,,,,,,,221,23,,,,,248,18,,,41,9,810,17,,,,,,,,,,,,,,,,,12,16,60,9,,,,,36,7,,,,,130,18,,,,,,,,,,,,,,,,,,,27,18,,,,,,,,,,,,,,,12,15,,,,,,,,,,,,,,,,,,,,,,,395,15
181,15995,17,7,4,,,,,,,,,304,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,26,,,,,,,,,,,,,159,7,1571,18,,,,,,,,,7971,12,,,1816,10,,,5,9,,,73,30,,,961,19,,,,,,,,,,,,,,,,,,,148,11,,,,,203,5,,,,,118,14,,,,,,,,,,,,,,,192,39,352,25,,,,,,,,,,,,,,,,,,,,,,,,,,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,15,,,54,19,,,,,,,,,,,,,,,,,,,237,21,,,,,162,25,,,,,571,23,,,,,,,,,,,,,136,2,,,,,,,,,3,2,,,,,,,275,10,,,,,,,,,,,,,13,13,,,,,24,22,,,,,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,29
1294,15227,18,,,,,,,,,,,88,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,11,,,,,,,,,,,,,50,17,871,33,,,,,,,,,7465,13,4,27,923,21,,,,,,,128,22,,,2503,5,,,,,,,,,,,,,3,6,,,,,136,13,,,,,,,,,,,141,12,,,,,63,11,,,,,2,7,,,1099,6,,,,,,,,,,,,,,,26,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,462,14,,,39,26,,,,,,,,,,,,,,,,,,,64,38,,,,,,,,,,,629,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,13,,,,,,,,,,,,,,,,,,,28,17,,,,,9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,19
811,13719,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,7,,,,,,,22,29,,,,,,,1536,20,,,,,,,,,4589,26,,,2500,6,,,,,,,166,15,,,1166,14,,,,,,,,,,,,,3,5,,,,,431,7,,,,,,,,,,,86,19,,,,,,,,,,,,,,,74,74,225,35,,,,,,,,,,,,,334,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139,4,,,29,28,,,,,,,,,,,,,,,,,,,414,11,,,,,543,9,,,53,8,371,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,13268,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,7,33,,,,,,,43,23,,,,,76,14,1050,27,,,,,,,,,3992,29,4,28,926,20,,,1,13,120,9,216,11,,,1490,10,,,,,,,,,,,,,,,,,,,137,12,,,,,,,,,,,95,17,,,,,,,,,,,,,,,1014,7,611,20,,,,,,,,,,,,,13,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,23,,,,,,,,,,,,,,,,,,,,,,,236,22,,,,,450,10,,,80,5,2120,8,,,,,,,,,,,,,,,,,62,7,,,,,,,,,,,,,115,19,,,,,2,8,,,,,,,,,,,,,,,,,,,36,12,,,,,,,,,22,13,,,,,,,,,,,,,,,,,,,,,,,122,33
