,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
0,1,171,116558,108,1,45,1,17,1,,,59,1,2766,1,22,1,25,1,29,1,270,1,26,1,23,1,38,1,403,2,14,1,46,1,143,1,12,1,44,1,192,1,19,1,330,1,30,1,13,1,19,1,792,1,18,1,37,1,548,1,5906,2,20,1,13,1,469,3,,,32330,1,67,1,17514,1,528,1,81,1,1678,1,868,1,30,1,3834,1,19,1,26,1,20,1,16,1,18,1,49,1,68,1,1063,1,570,1,28,1,448,1,30,1,1,1,899,1,170,1,21,1,1730,1,19,1,20,1,29,1,89,1,3986,1,4025,3,25,1,29,2,294,1,300,1,56,1,546,3,17,1,,,27,1,65,1,25,1,21,1,16,1,365,1,245,1,11,1,,,67,1,50,1,86,1,231,1,117,2,20,1,22,1,20,1,18,1,75,1,14,1,1210,2,46,1,628,1,,,18,1,17,1,23,1,14,1,,,2709,1,27,1,16,1,4538,1,21,1,536,1,9058,2,24,1,15,1,19,1,20,1,18,1,18,1,163,2,34,1,350,1,180,1,,,179,1,922,1,,,30,2,1320,1,29,1,,,110,1,72,1,1,1,683,1,31,1,166,1,2958,1,29,1,,,319,2,43,1,111,1,43,1,33,1,1990,1,,,21,1,,,18,1,,,31,1,16,1,24,1,25,1,2120,2
1,2,1406,57973,19,2,,,,,,,,,17,11,,,,,,,,,,,,,,,195,3,,,,,,,,,,,,,,,58,4,,,,,,,192,8,,,5,4,370,2,13077,1,,,,,506,2,,,20641,3,22,2,3812,2,44,4,5,7,204,3,8,89,,,3140,3,,,,,,,,,,,,,,,366,4,,,,,196,4,,,,,199,7,18,2,8,2,1012,2,,,,,,,8,6,1557,4,2232,6,6,3,17,4,,,,,,,,,,,,,,,7,4,,,,,,,84,5,,,,,,,,,,,,,,,117,3,,,,,,,,,,,,,1628,1,12,6,225,4,,,5,4,,,,,,,,,1147,5,,,,,507,8,,,65,7,3174,6,,,,,,,8,2,3,3,,,340,1,,,36,11,,,,,,,660,2,,,,,405,4,,,,,,,,,,,,,,,,,184,8,,,,,84,9,,,,,,,,,153,5,,,,,,,2,4,,,,,,,,,8,3,1185,6
2,3,10816,37060,,,,,,,,,,,319,4,,,,,,,,,,,,,9,3,120,6,,,,,,,,,,,6,3,,,32,10,,,,,,,184,9,,,,,180,3,3987,6,,,,,41,8,,,15862,4,,,2551,3,40,5,,,138,5,8,90,,,1795,4,,,,,,,,,,,,,,,279,6,5,7,,,92,7,,,,,245,3,,,,,183,9,,,,,,,,,1114,5,2119,7,,,,,,,,,3,3,314,6,,,,,,,,,,,,,,,,,34,5,,,,,,,,,,,,,,,,,,,,,,,2,2,,,855,7,9,8,204,5,11,1,,,,,,,,,,,952,6,,,,,701,7,,,76,6,3478,4,,,,,,,,,,,,,61,3,,,57,8,,,,,,,,,,,,,386,5,,,,,,,,,,,,,,,9,3,366,7,,,,,112,5,,,,,,,,,108,6,,,,,,,4,3,,,,,,,,,,,9,120
3,4,2397,32905,13,4,5,3,,,13,1,,,405,3,,,,,10,2,76,2,,,,,14,2,449,1,,,,,,,,,25,2,19,2,,,33,9,,,9,2,6,2,212,7,,,9,3,141,5,4183,5,,,,,253,4,,,12430,6,12,5,1563,8,14,11,10,2,1504,2,180,8,,,1560,6,,,7,3,,,,,,,16,2,,,645,3,,,7,2,100,6,,,,,213,5,11,4,7,3,43,11,,,,,5,3,37,2,649,11,1504,8,,,,,35,2,17,2,,,42,20,11,2,,,,,12,3,,,,,6,2,68,6,45,4,,,,,25,2,4,6,,,,,7,8,,,,,,,,,,,,,396,18,7,9,241,3,,,6,2,,,,,3,2,,,605,12,5,2,,,727,5,,,,,1668,12,,,,,,,5,5,,,,,31,4,,,41,10,42,7,,,,,51,5,,,,,799,2,18,3,,,8,5,,,,,52,7,,,7,4,1173,3,,,,,,,7,3,,,,,4,2,50,8,5,1,,,,,8,2,,,,,,,,,9,2,273,16
4,5,2223,30922,,,,,,,,,,,502,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,50,,,,,,,389,3,,,,,,,1425,17,,,,,,,,,10789,9,,,154,49,,,,,,,722,2,,,1458,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,,,210,8,,,,,,,,,2393,2,2457,5,,,1,5,,,,,,,,,,,,,,,,,,,,,,,348,2,,,,,,,,,,,,,,,79,4,,,,,,,,,,,,,548,15,,,267,2,,,,,,,,,,,,,1595,2,,,,,1767,2,,,,,3215,5,,,,,,,,,,,,,,,8,3,,,56,4,,,,,34,6,,,,,183,10,,,,,,,,,,,167,4,,,,,469,6,,,,,172,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496,5
5,6,320,26107,,,,,,,,,,,116,7,,,,,,,,,,,,,,,89,9,,,,,,,,,16,4,,,,,149,2,,,,,,,123,11,,,14,2,48,18,1433,16,,,,,132,6,,,15131,5,21,3,1237,11,26,6,,,,,165,11,,,1474,8,,,,,11,2,,,11,2,,,15,2,68,19,24,4,,,,,,,,,197,8,,,,,426,4,,,,,,,12,5,291,34,515,22,,,24,3,,,,,13,2,70,13,,,,,,,12,2,,,,,,,51,7,,,,,,,,,10,4,,,,,64,5,,,,,,,,,,,,,614,13,20,2,48,19,,,1,8,,,,,,,,,668,9,,,,,224,17,,,84,5,1677,11,,,,,,,,,12,2,,,,,,,71,4,61,2,,,,,,,,,,,96,22,,,,,12,4,10,3,,,30,9,,,,,117,13,,,18,1,41,13,,,,,,,,,36,10,,,,,,,,,,,,,,,,,,,279,15
6,7,2093,24448,,,,,,,,,,,25,10,,,,,,,9,3,,,,,,,32,11,,,,,5,4,9,2,,,,,,,21,15,4,2,,,,,92,15,,,,,41,20,1028,23,,,,,,,,,10059,10,3,29,1017,15,,,,,22,11,50,27,,,655,25,,,,,,,10,2,,,,,,,27,31,6,6,,,28,14,,,,,60,24,,,,,122,10,,,,,,,,,465,21,5336,1,12,2,,,,,1,3,,,431,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,6,,,,,,,,,,,,,236,25,,,18,31,,,,,,,,,,,,,212,27,,,,,262,16,,,,,1449,14,,,,,2,2,,,,,,,,,,,15,15,8,11,,,,,,,8,1,,,146,16,,,,,,,,,,,205,2,,,,,48,20,,,,,22,16,,,,,,,,,263,3,,,,,,,,,,,25,2,,,,,,,1901,3
7,8,29351,24210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1751,13,,,,,,,,,5723,18,,,119,56,120,3,,,,,105,20,,,79,105,,,,,,,,,,,,,,,132,8,,,,,,,,,,,35,27,10,5,,,,,,,,,,,,,,,105,47,,,,,,,,,,,,,,,,,,,,,,,,,,,250,3,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,62,59,,,,,,,,,,,,,,,,,370,20,,,,,,,,,,,13771,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,39,,,,,,,,,,,,,,,,,,,,,,,1243,1,,,,,,,,,194,4,,,,,,,,,,,,,,,,,,,,
8,9,50381,24068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23225,2,,,,,,,,,5,15,172,10,,,,,,,,,,,,,,,,,,,54,24,,,,,,,,,,,,,,,,,,,,,,,,,,,612,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,2162,23149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,6,43,,,,,,,114,13,,,,,4,72,1300,19,,,,,,,,,9124,12,,,1,125,,,,,,,124,18,,,897,21,,,3,4,,,,,,,,,,,19,38,,,,,,,,,,,202,6,,,,,,,,,,,,,4,9,558,17,2,96,,,,,3,4,,,,,100,11,,,,,,,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,61,4,16,,,,,,,,,,,,,,,614,11,,,,,171,22,,,6,12,9024,3,,,,,,,,,,,,,7,5,,,,,6,12,,,,,,,,,,,85,24,,,,,,,,,,,,,,,,,72,19,,,,,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,8
