,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,127461,150,1,31,1,32,1,32,1,22,1,3710,1,18,1,16,1,26,1,29,1,34,1,3,1,16,1,999,1,48,1,23,1,23,1,,,43,1,471,1,59,1,96,1,588,1,19,3,30,1,211,1,20,1,331,1,16,1,15,1,52,1,790,1,11,1,53,1,322,2,6511,1,15,1,21,1,11,1,603,2,11,1,31598,1,59,1,15292,1,380,1,54,1,3053,3,945,2,15,1,21,1,4906,2,,,17,1,34,1,61,1,22,1,13,1,10,2,36,1,90,1,14,2,,,1636,1,1312,1,100,1,526,1,19,1,11,1,1502,1,360,1,,,20,1,1651,2,18,1,20,1,33,1,94,1,4460,2,3959,2,27,1,26,1,13,4,501,1,263,1,148,1,403,3,25,1,16,1,35,2,78,1,37,1,17,1,20,1,21,1,25,1,370,1,236,1,14,1,22,1,16,2,126,1,216,1,62,1,1724,1,642,2,9,1,90,1,11,1,28,1,28,1,11,1,998,2,42,1,285,2,19,1,,,19,1,26,2,18,1,18,1,14,1,14,1,,,12,1,3782,1,27,1,25,1,4523,1,22,1,17,1,595,1,6900,3,14,1,11,1,9,2,15,1,15,1,22,1,21,1,13,1,123,3,238,1,359,1,181,3,,,244,1,413,1,,,19,2,857,2,41,1,,,321,1,,,537,1,27,1,794,2,13,1,41,1,146,1,1777,2,57,1,,,463,2,84,1,437,1,33,1,13,1,2432,1,,,15,1,,,20,1,,,43,1,20,1,13,1,18,1,28,1,,,7066,2
1,2,2223,60781,,,,,,,,,,,2266,2,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,9,,,,,,,586,2,,,,,89,7,1586,12,,,,,,,,,,,17931,2,,,3764,2,,,,,3111,2,1726,1,,,,,2089,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,4,,,,,511,5,,,,,,,,,4915,1,2161,5,,,,,8,5,,,,,,,157,6,,,,,,,,,,,,,,,,,,,89,4,,,,,,,,,,,21,5,,,,,201,4,,,,,,,,,,,,,413,9,,,426,1,,,,,,,,,,,,,,,,,,,,,2702,2,,,,,4018,2,,,,,54,10,2724,7,,,,,,,,,,,,,,,,,,,8,4,,,104,4,,,28,2,70,8,,,,,191,9,,,,,,,,,,,,,308,4,,,,,,,2437,1,,,,,297,4,,,,,,,,,1904,2,,,,,,,,,,,6,8,,,,,,,,,,,3752,6
2,3,10816,49713,,,,,,,,,,,433,6,,,,,,,,,22,2,,,,,,,,,,,22,2,,,11,2,126,7,,,,,,,,,,,13,3,,,39,12,,,,,,,292,4,,,,,118,5,3039,3,,,,,,,72,8,,,12941,6,,,3126,3,48,4,,,682,5,392,6,,,,,2357,3,,,,,,,,,,,,,,,,,,,,,,,346,6,48,6,,,187,5,,,,,400,4,,,,,,,549,4,,,,,,,,,2049,4,2715,4,,,,,,,,,,,20,3,221,5,,,,,,,,,,,,,,,,,,,,,47,4,,,,,,,,,,,,,,,,,,,,,,,,,23,2,,,528,6,11,8,257,4,,,13,1,,,,,,,,,,,,,,,,,1469,3,,,,,1172,4,,,,,270,2,9615,1,,,,,,,,,,,,,,,,,23,5,,,53,7,,,,,,,95,7,,,,,448,4,,,,,,,,,,,,,,,,,,,16,3,353,6,,,,,197,6,,,,,,,,,564,7,,,,,,,12,2,,,17,3,,,,,,,,,,,4262,5
3,4,1406,41541,46,2,,,,,,,,,725,5,,,,,,,,,21,3,,,,,45,3,,,,,,,,,,,168,5,,,,,,,,,,,,,,,73,5,,,,,,,97,18,,,13,4,131,4,2175,7,,,,,,,247,4,,,16260,3,13,6,2605,5,36,5,16,2,614,6,768,3,,,,,2346,4,23,1,,,,,5,2,,,,,,,17,3,,,,,,,508,3,,,,,190,4,,,,,130,11,81,2,,,8,2,1867,1,,,,,,,21,2,1333,5,1739,9,,,14,3,19,2,,,,,,,252,4,,,,,55,1,15,2,,,,,,,,,,,97,3,20,10,,,,,,,,,,,,,,,163,5,,,,,,,,,,,,,799,3,16,5,258,3,,,,,,,27,1,,,,,,,,,,,,,363,14,,,,,475,10,,,,,144,6,2312,9,,,,,,,,,,,13,2,11,2,,,292,1,,,17,16,24,10,,,,,109,6,,,,,375,6,,,,,,,,,,,,,40,11,,,,,,,173,12,,,,,120,9,7,4,,,,,,,573,6,,,,,,,8,3,,,8,6,,,,,,,17,2,,,2404,7
4,5,27443,39093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,30,,,,,,,93,20,,,19,2,34,18,812,24,,,,,,,63,9,,,681,118,16,4,396,32,24,6,,,,,109,24,,,,,386,31,,,,,,,,,,,,,,,,,,,,,,,37,32,,,,,46,13,,,,,,,,,,,,,,,,,,,,,,,353,21,2074,7,,,,,,,,,,,,,774,2,,,,,,,,,,,,,,,,,,,,,22,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,24,,,,,,,,,,,,,,,,,,,,,,,,,340,17,,,,,184,20,,,,,,,6535,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21140,1,,,,,,,,,,,,,85,11,,,,,,,,,397,8,,,,,,,,,,,,,,,,,,,,,,,4312,4
5,6,2397,36777,11,4,22,2,,,10,2,,,1614,3,,,,,,,,,13,5,,,,,142,2,,,14,2,,,,,6,5,331,2,,,,,16,4,,,26,2,16,2,,,78,4,,,7,2,10,3,219,7,,,4,8,361,1,3028,4,,,,,,,483,3,,,12091,8,28,2,2426,6,18,10,4,17,3773,1,139,17,,,,,1324,8,,,,,16,2,,,,,,,,,22,2,,,,,,,934,2,,,11,2,121,8,,,,,258,5,81,3,,,6,3,28,13,,,,,9,3,17,5,1005,6,1731,10,,,,,,,72,2,23,2,,,38,22,9,2,,,,,15,3,,,,,8,5,9,3,,,48,7,53,3,,,,,,,80,2,4,7,,,,,11,9,,,,,,,,,,,,,351,12,6,10,196,5,,,,,,,5,5,,,,,,,12,2,,,,,627,9,7,2,,,592,8,,,,,,,1708,11,,,,,,,,,,,7,3,,,,,74,4,,,32,12,41,8,,,,,135,5,,,,,416,5,23,3,,,30,4,,,,,,,78,8,,,,,15,4,583,5,,,,,105,10,26,3,,,,,9,2,133,12,15,1,,,,,7,4,,,9,4,,,,,,,8,3,,,704,17
6,7,2093,34128,,,,,,,,,,,100,15,,,,,,,,,,,,,,,22,4,,,,,,,,,,,35,12,,,,,9,6,78,1,,,,,,,34,13,7,2,,,,,112,16,,,,,59,10,1184,18,,,,,,,,,,,14066,4,6,18,1346,12,,,,,59,15,196,8,,,,,644,17,,,,,,,,,11,2,,,,,,,,,19,1,,,87,16,12,7,,,107,10,,,,,62,20,18,6,,,,,123,9,,,,,,,,,540,13,4854,1,,,20,2,14,3,,,7,3,,,156,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,7,,,,,,,,,,,,,294,15,,,55,13,,,,,,,,,,,,,,,,,,,,,351,16,,,,,436,11,,,,,,,1778,10,,,,,12,1,,,,,,,,,,,,,,,50,9,347,1,,,,,,,13,2,,,194,8,,,7,2,,,,,,,,,358,3,,,,,,,132,13,,,,,160,8,,,,,,,,,609,5,,,,,,,,,,,19,2,,,,,,,,,10,1,5263,3
7,8,2162,28933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,20,31,,,,,,,162,11,,,,,27,23,1931,9,,,,,,,,,,,13789,5,,,1009,17,,,,,,,174,10,,,,,932,14,,,,,7,5,,,,,,,,,,,,,,,,,22,42,,,,,,,,,,,199,7,,,,,,,28,12,,,,,,,11,7,506,17,309,28,,,,,,,16,4,,,,,55,16,,,,,,,,,,,,,,,,,,,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,39,4,13,,,,,,,,,,,,,,,,,,,,,,,657,8,,,,,297,14,,,,,34,11,5730,5,,,,,,,,,,,,,,,,,9,10,,,,,7,16,,,,,33,12,,,,,114,15,,,,,,,,,,,,,,,,,,,,,75,18,,,,,167,7,,,,,,,,,196,11,,,,,,,,,,,,,,,,,,,,,,,2312,8
8,9,2181,22345,,,,,,,,,,,178,11,,,,,,,,,,,,,,,,,,,9,3,,,,,,,155,6,,,,,,,,,,,,,,,33,14,,,,,,,261,5,,,,,67,8,1200,17,,,,,,,174,5,,,7139,10,13,7,965,18,66,3,5,14,,,165,12,,,,,1114,10,,,,,,,,,,,,,,,,,,,,,,,233,8,,,,,63,11,,,,,203,6,,,,,,,214,7,,,,,,,21,3,644,11,1105,12,,,,,,,24,3,,,,,25,33,,,,,,,,,,,,,,,8,4,,,39,8,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,11,20,3,144,6,,,,,,,,,,,,,,,,,,,,,1432,4,,,,,261,16,,,,,117,7,2451,8,,,,,,,,,,,4,5,,,,,14,7,,,48,10,44,7,,,,,32,13,33,1,,,1025,1,,,,,,,,,,,,,124,6,,,,,,,288,8,,,,,208,5,27,2,,,,,,,,,,,,,,,,,,,8,7,,,,,,,,,,,1550,9
9,10,463,21426,8,5,10,3,,,,,,,35,23,,,,,,,,,,,,,,,8,6,,,,,,,,,,,11,17,,,,,,,,,2,8,,,,,32,15,,,,,,,242,6,,,,,61,9,1437,14,,,,,,,,,,,10378,9,4,26,847,20,14,12,7,11,15,21,124,21,,,,,1082,13,,,,,,,,,,,,,,,,,,,,,,,72,21,,,,,28,14,,,,,62,19,,,,,,,30,11,,,,,,,,,767,8,2914,3,,,,,,,,,,,,,43,20,2,3,,,,,8,7,,,,,,,,,,,9,13,,,,,,,,,,,,,,,,,3,11,,,,,,,,,,,,,243,18,3,14,29,23,,,,,,,,,,,,,,,,,,,,,351,15,,,,,622,7,,,,,,,869,16,,,,,,,,,,,,,,,,,,,,,,,18,12,,,,,20,16,,,,,117,13,,,,,,,,,,,,,69,9,,,,,,,64,19,,,,,61,13,,,,,,,,,37,17,,,,,,,,,,,,,,,,,,,,,,,668,19
