,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,463,23734,,,5,3,,,,,,,,,,,,,,,,,,,,,,,35,12,,,,,,,,,6,5,,,,,45,5,,,,,,,254,8,,,,,79,13,1987,11,,,,,,,,,12703,7,7,10,,,13,14,6,9,,,144,13,,,,,,,,,,,,,,,,,,,,,,,84,19,,,,,26,14,,,,,68,23,,,,,45,13,,,,,,,,,887,10,2459,7,,,,,,,,,,,,,56,14,,,,,9,4,,,,,,,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,17,12,5,50,16,,,,,,,,,,,,,,,,,542,13,,,,,985,3,,,,,1791,10,,,,,,,,,,,,,,,,,,,24,11,,,,,22,9,,,,,166,10,,,,,,,,,,,,,33,11,,,,,57,22,,,,,61,12,,,,,,,,,54,10,,,,,,,,,,,,,,,,,,,,,618,12
11,12,50381,20154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,37,,,,,,,,,,,18987,3,,,,,,,,,10,18,165,8,,,,,,,,,,,,,,,,,,,,,,,103,15,,,,,,,,,,,,,,,,,,,,,,,,,,,548,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,32,,,,,,,,,,,,,,,,,,,,,,,,,,,179,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,27443,19351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,28,,,,,,,50,21,,,3,8,25,33,970,25,,,,,,,,,610,129,4,27,651,24,24,10,,,,,90,25,,,572,28,,,,,,,,,,,,,,,,,,,,,,,,,49,13,,,,,,,,,,,,,,,,,,,,,434,25,6561,1,,,,,,,,,,,,,2976,1,,,,,,,,,,,,,,,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,216,24,,,,,,,,,,,,,,,,,,,,,395,16,,,,,311,12,,,,,690,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4652,2
13,14,320,18489,,,,,,,,,,,198,7,,,,,,,,,,,,,,,134,9,,,,,,,,,14,3,,,,,57,4,,,,,,,103,16,,,11,3,62,18,1317,18,,,,,185,6,,,6998,16,29,2,2002,9,35,7,,,25,15,150,11,,,1422,10,,,,,,,7,3,,,10,2,,,7,3,,,84,18,57,5,,,,,,,,,243,8,,,,,346,5,,,,,,,23,4,250,36,528,21,,,,,12,4,,,,,21,2,54,15,,,,,19,2,,,,,,,24,11,,,,,,,,,12,4,,,,,37,5,,,,,,,,,,,,,735,7,18,3,57,14,,,,,,,,,,,,,,,,,560,12,,,,,196,21,,,96,7,1385,14,,,,,,,,,10,2,,,,,,,47,10,96,4,,,,,,,,,,,84,22,,,,,22,5,,,16,3,,,35,10,,,,,196,12,,,7,1,61,11,,,,,,,,,55,8,,,,,,,,,,,,,,,,,,,,,337,20
14,15,181,18467,17,3,,,,,,,,,328,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,8,,,,,,,,,,,,,133,8,1842,12,,,,,,,,,9597,10,,,1746,11,,,6,8,,,90,24,,,993,15,,,,,,,,,,,,,,,,,,,127,11,,,,,308,4,,,,,207,11,,,,,,,,,,,,,,,220,43,168,39,,,,,,,,,,,,,,,,,,,6,6,,,,,,,46,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,13,,,68,11,,,,,,,,,,,,,,,,,263,25,,,,,138,25,,,,,791,22,,,,,,,,,,,,,266,2,,,,,,,,,2,2,,,,,,,207,7,,,,,,,,,,,,,17,15,,,,,131,15,,,,,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,24
15,16,2243,17106,,,,,,,,,,,,,,,,,,,,,,,,,,,47,11,,,,,,,,,,,,,,,8,52,,,,,,,,,,,,,,,4019,3,,,,,,,,,6459,17,,,,,,,,,,,,,,,1928,6,,,,,,,,,,,,,,,,,,,,,,,,,103,10,,,,,183,13,,,,,,,,,,,,,,,450,24,187,37,,,,,,,,,,,,,9,52,,,,,,,,,,,,,58,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876,6,,,,,,,,,,,,,,,,,,,,,64,45,,,,,646,4,,,30,10,1040,19,,,,,,,7,5,,,,,,,,,,,75,5,,,,,852,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,44
16,17,13,17050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,13,,,,,,,112,14,,,4,7,68,15,1122,20,,,,,,,,,8395,14,3,28,1829,10,,,6,7,,,,,1,2,671,27,,,,,,,,,,,1,4,,,,,,,390,3,,,,,,,,,,,207,10,,,,,,,,,,,,,,,407,28,1251,13,,,,,,,,,,,,,71,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,130,21,2,38,23,,,,,,,,,,,,,,,,,356,19,,,,,242,16,,,41,9,1057,18,,,,,,,,,,,,,,,,,15,17,50,8,,,,,48,6,,,,,127,17,,,,,,,,,,,,,,,,,,,45,25,,,,,,,,,,,,,,,19,14,,,,,,,,,,,,,,,,,,,,,416,18
17,18,2425,15796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,13,36,,,,,,,42,23,,,,,92,12,1035,23,,,,,,,,,5114,21,4,25,1402,14,,,4,13,88,9,173,7,,,1252,12,,,,,,,,,,,,,,,,,,,141,9,,,,,,,,,,,152,16,,,,,,,,,,,,,,,759,12,635,17,,,,,,,,,,,,,16,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,20,,,,,,,,,,,,,,,,,,,,,285,24,,,,,398,8,,,193,3,3236,6,,,,,,,,,,,,,,,,,60,9,,,,,,,,,,,,,153,15,,,,,11,7,,,,,,,,,,,,,,,,,,,85,10,,,,,,,,,14,16,,,,,,,,,,,,,,,,,,,,,156,29
18,19,25821,13881,,,,,,,,,,,110,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3223,6,,,,,,,,,947,88,9,8,1273,18,,,,,,,,,,,3492,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3705,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104,3,,,,,,,,,,,,,,,,,,,,,,,,,,,18,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,2719,11657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,82,,,,,,,8,47,,,,,25,32,585,43,,,,,,,,,8998,12,5,18,362,30,,,,,,,27,40,,,719,24,,,,,,,,,,,,,,,,,,,65,22,,,,,,,,,,,28,35,,,,,,,,,,,,,,,203,47,,,,,,,,,,,,,,,18,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,46,,,,,,,,,,,,,,,,,,,,,43,57,,,,,,,,,,,222,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,31,,,,,,,,,,,,,,,,,,,,,,,,,11,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,27
