,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,123706,148,1,32,1,13,1,16,1,17,1,4051,1,14,1,19,1,26,1,533,1,51,1,21,1,23,1,,,33,2,487,1,31,1,49,1,338,1,16,2,39,1,313,1,11,1,265,1,15,1,17,1,23,1,813,1,14,1,30,1,523,2,6578,1,13,1,12,1,738,1,,,34480,1,46,1,15153,1,534,1,40,1,1922,2,1132,2,30,1,4414,1,,,15,1,19,1,23,1,14,2,17,1,39,1,197,1,8,2,1425,1,2227,1,23,1,553,1,11,1,9,1,1235,1,340,1,18,1,1665,2,16,1,13,1,21,1,92,1,4091,2,3428,3,14,1,28,2,23,2,351,1,455,1,103,1,449,3,18,1,,,51,1,43,1,19,1,27,1,8,1,319,3,241,1,16,1,21,2,,,123,1,94,1,131,1,1787,1,240,2,12,1,16,1,19,1,25,1,23,1,15,1,1373,2,30,1,544,2,1,1,,,16,1,30,1,14,1,11,1,12,1,21,1,,,26,1,2560,2,13,1,14,1,4953,1,13,1,465,1,9027,2,21,1,13,1,17,1,34,1,23,1,13,1,136,3,76,1,358,1,260,1,,,273,1,300,3,,,21,2,2240,1,33,2,,,242,1,,,113,1,3,1,720,1,44,1,159,1,425,1,29,1,,,429,2,62,1,269,1,31,1,15,1,1744,1,,,12,1,,,22,1,,,20,1,12,1,18,1,15,1,13,2,,,3125,3
1,2,2223,47940,,,,,,,,,,,490,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,19,,,,,,,686,2,,,,,,,1866,14,,,,,,,,,12131,7,,,3348,3,,,,,1663,3,1298,1,,,2697,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4,,,177,8,,,,,,,,,6522,1,2037,8,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,488,1,,,,,,,,,,,5,7,,,,,35,4,,,,,,,,,,,,,472,13,,,580,1,,,,,,,,,,,,,,,,,,,,,3231,1,,,,,4123,2,,,,,2193,7,,,,,,,,,,,,,,,4,4,,,154,2,,,,,83,5,,,,,188,12,,,,,,,,,,,,,208,4,,,,,191,2,,,,,388,3,,,,,,,,,381,5,,,,,,,,,,,,,,,,,,,,,,,2255,4
2,3,1406,45049,19,2,,,,,,,,,27,15,,,,,13,2,18,3,,,,,,,,,,,208,5,,,,,,,,,,,,,,,77,3,,,,,,,163,10,,,8,3,246,4,4184,4,,,,,538,2,,,17242,2,10,9,3862,2,24,9,18,2,382,5,696,4,,,2492,6,31,1,,,,,6,3,,,,,,,,,,,480,5,,,,,339,3,,,,,265,8,29,3,10,2,1848,1,,,,,,,7,5,1306,5,2746,6,,,13,3,14,3,,,,,,,,,,,,,,,12,2,,,,,,,82,4,,,,,,,,,,,,,,,,,31,5,,,,,,,,,,,,,1459,1,8,8,257,3,,,,,,,,,,,,,,,,,,,,,473,13,,,,,416,12,,,88,8,2558,6,,,,,,,10,2,9,2,,,264,1,,,37,11,59,6,,,,,310,2,,,,,497,3,,,,,,,,,,,,,,,,,,,63,9,,,,,103,7,,,,,,,,,145,7,,,,,,,6,3,,,8,3,,,,,,,5,3,,,828,10
3,4,10816,38336,,,,,,,,,,,505,3,,,,,11,3,,,,,,,8,2,,,10,4,145,7,,,,,,,,,,,13,3,,,48,8,,,,,,,245,7,,,,,191,5,3370,7,,,,,65,8,,,13797,5,,,2730,5,52,4,,,354,6,299,6,,,2944,4,,,,,,,,,,,,,,,,,,,323,6,34,6,,,162,9,,,,,535,3,,,,,149,9,,,,,,,,,1419,4,3185,4,,,,,,,,,,,7,3,203,4,,,,,,,,,,,,,,,,,73,4,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,768,8,17,2,154,6,,,8,1,,,,,,,,,,,,,,,,,969,6,,,,,772,5,,,117,5,3463,4,,,,,,,,,,,,,54,5,,,65,7,,,,,,,,,,,,,496,4,,,,,,,,,8,3,,,,,,,12,4,82,6,,,,,124,5,,,,,,,,,309,6,,,,,,,12,2,,,,,,,,,,,,,,,20,100
4,5,2397,32994,12,3,12,2,,,8,2,,,845,2,,,,,8,4,111,2,,,8,2,,,,,12,3,374,2,,,,,17,4,,,13,3,45,2,,,52,6,,,9,2,9,2,327,6,,,5,7,573,1,3422,6,,,,,299,5,,,12213,6,21,2,1546,9,37,6,15,3,2208,1,231,7,,,1498,8,,,,,12,3,,,,,,,10,2,,,,,611,4,,,5,2,171,6,,,,,374,6,35,2,7,3,241,6,,,,,7,3,15,2,817,12,1410,10,,,,,,,73,2,27,2,,,25,24,17,2,,,,,10,3,,,,,7,2,79,5,48,5,,,,,,,72,2,8,6,,,,,21,7,,,,,,,,,,,,,420,14,12,4,217,4,,,,,,,7,2,,,,,,,5,2,,,,,665,8,8,2,,,608,7,,,,,1441,12,,,,,,,9,4,,,,,68,4,,,60,9,41,7,,,,,116,4,,,,,362,5,15,3,,,8,6,,,,,,,60,9,,,13,3,169,4,,,,,68,11,15,2,,,,,7,2,58,10,10,1,,,,,4,4,,,,,,,,,,,17,1,,,479,16
5,6,2093,31580,,,,,,,,,,,64,11,,,,,,,17,4,,,,,,,,,,,49,10,,,,,8,5,19,1,,,,,,,31,14,6,2,,,,,117,16,,,,,54,15,1322,19,,,,,,,,,14489,3,14,6,1191,14,,,,,62,12,137,15,,,870,17,,,,,,,,,17,1,,,,,,,12,1,69,20,28,7,,,52,12,,,,,65,24,11,5,,,123,10,,,,,,,,,677,15,4199,2,,,32,1,13,4,,,1,4,,,164,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,6,,,,,,,,,,,,,375,16,,,73,13,,,,,,,,,,,,,,,,,,,,,338,20,,,,,458,11,,,,,1791,11,,,,,8,2,,,,,,,,,,,32,12,16,12,,,,,,,14,1,,,219,9,,,8,2,,,,,,,,,271,2,,,,,42,10,,,,,58,12,,,,,,,,,612,2,,,,,,,,,,,15,2,,,,,,,,,9,1,3299,2
6,7,29351,30913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1,,,,,,,,,,,,,,,,,,,,,,,,,103,19,,,,,,,2671,10,,,,,,,,,4159,26,,,149,52,128,3,,,,,73,29,,,111,85,,,,,,,,,,,,,,,,,,,178,8,,,,,,,,,,,51,26,8,6,,,,,,,,,,,,,,,244,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2,127,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,33,,,,,,,,,,,,,,,,,,,,,,,,,601,11,,,,,,,,,,,19639,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,29,,,,,,,,,,,,,,,,,,,,,,,,,1612,1,,,,,,,,,445,4,,,,,,,,,,,,,,,,,,,,,,,55,57
7,8,2162,25111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,,,,,9,46,,,,,,,121,15,,,,,28,24,1506,18,,,,,,,,,12023,8,,,737,24,,,,,,,104,20,,,795,21,,,,,6,4,,,,,,,,,,,,,19,38,,,,,,,,,,,181,16,,,,,,,,,,,,,1,11,558,19,4,108,,,,,,,5,4,,,,,65,12,,,,,,,,,,,,,,,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,41,3,14,,,,,,,,,,,,,,,,,,,,,,,657,9,,,,,266,19,,,19,11,6336,3,,,,,,,,,,,,,3,9,,,,,2,19,,,,,,,,,,,122,15,,,,,,,,,,,,,,,,,,,22,20,,,,,75,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323,6
8,9,463,23369,,,11,3,,,,,,,,,,,,,,,7,6,,,,,,,,,,,20,14,,,,,,,,,7,6,,,,,29,15,,,,,,,222,8,,,,,50,19,1946,13,,,,,,,,,11023,9,9,11,,,17,11,10,5,26,16,108,19,,,1050,13,,,,,,,,,,,,,,,,,,,63,22,,,,,22,14,,,,,70,23,,,,,42,14,,,,,,,,,886,8,2925,5,,,,,,,,,,,,,48,16,,,,,,,9,4,,,,,,,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,19,6,9,40,21,,,,,,,,,,,,,,,,,,,,,373,19,,,,,900,4,,,,,1952,10,,,,,,,,,,,,,,,,,,,22,10,,,,,18,8,,,,,109,17,,,,,,,,,,,,,69,8,,,,,24,18,,,,,35,14,,,,,,,,,65,9,,,,,,,,,,,,,,,,,,,,,,,856,9
9,10,2181,23052,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,233,4,,,,,,,,,,,,,,,36,12,,,,,,,161,11,,,,,366,3,1647,16,,,,,251,6,,,8026,11,15,4,1084,16,151,2,9,6,,,163,12,,,1128,10,,,,,,,,,,,,,,,,,,,266,7,,,,,172,5,,,,,256,9,,,,,206,7,,,,,,,12,4,61,89,1047,16,,,,,,,40,3,,,,,36,19,,,,,,,,,,,,,5,3,36,8,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698,11,10,7,167,5,,,,,,,,,,,,,,,,,,,,,1588,3,,,,,331,14,,,125,4,1984,9,,,,,,,9,3,,,,,29,6,,,95,4,27,9,,,,,,,5,2,,,1196,2,,,,,,,,,,,,,129,6,,,,,79,7,,,,,101,8,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,7
