,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,116281,257,1,28,1,14,1,19,1,21,1,3598,1,9,1,18,1,15,2,492,1,43,1,16,1,15,1,,,33,2,405,1,37,1,67,1,328,1,17,1,28,2,282,1,16,1,254,1,17,1,17,1,42,1,628,1,13,1,45,1,475,2,5256,2,11,1,13,1,534,4,,,31573,1,49,1,16680,1,560,1,69,1,1965,3,924,1,24,1,4240,1,,,10,1,17,1,27,1,7,2,11,1,63,1,155,1,20,1,1674,1,1701,1,26,1,427,1,9,1,11,1,887,1,375,1,16,1,1410,2,20,1,16,1,27,1,75,1,3476,2,6037,2,27,1,20,2,25,2,357,1,1278,1,67,1,436,3,11,1,,,30,1,43,1,31,1,33,1,8,1,256,2,194,1,12,1,12,2,,,95,1,97,1,110,1,956,1,198,2,12,1,14,1,9,1,31,1,19,1,13,1,1037,3,38,1,435,2,,,11,1,16,1,14,1,9,1,12,1,11,1,,,21,1,1995,1,7,1,15,1,5161,1,12,1,298,1,7443,2,7,1,9,1,16,1,13,1,15,1,12,1,122,2,50,1,282,1,237,1,,,202,1,264,2,,,15,2,1031,2,23,1,,,222,1,,,89,1,4,1,657,1,40,1,174,1,572,1,18,1,,,381,2,72,1,242,1,54,1,13,1,1824,1,,,7,1,,,12,1,,,19,2,14,1,13,1,13,1,11,2,,,2959,2
1,2,2181,71060,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,277,3,,,,,,,,,,,,,,,12,34,,,,,,,116,11,,,,,213,3,10105,1,,,,,859,1,,,29918,2,9,10,6374,2,105,3,6,6,,,142,12,,,1507,8,,,,,,,,,,,,,,,,,,,775,4,,,,,83,11,,,,,221,4,,,,,247,6,,,,,,,11,3,51,97,10416,1,,,,,,,26,3,,,,,42,15,,,,,,,,,,,,,4,3,39,8,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,9,11,3,147,6,,,,,,,,,,,,,,,,,,,1130,3,,,,,407,13,,,133,3,2449,6,,,,,,,11,2,,,,,38,5,,,35,10,30,9,,,,,,,9,2,,,1819,1,,,,,,,,,,,,,125,5,,,,,135,5,,,,,108,4,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2118,4
2,3,2223,44856,,,,,,,,,,,583,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,27,,,,,,,330,3,,,,,,,1459,16,,,,,,,,,12814,8,,,3618,4,,,,,2793,2,913,2,,,2610,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2,,,150,10,,,,,,,,,5202,1,1607,9,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,334,1,,,,,,,,,,,30,2,,,,,36,6,,,,,,,,,,,,,432,15,,,450,1,,,,,,,,,,,,,,,,,,,1850,2,,,,,4176,2,,,,,1719,10,,,,,,,,,,,,,,,5,3,,,114,2,,,,,70,5,,,,,188,9,,,,,,,,,,,,,343,2,,,,,156,4,,,,,353,3,,,,,,,,,527,3,,,,,,,,,,,11,3,,,,,,,,,,,1927,5
3,4,1406,43001,30,2,,,,,,,,,30,15,,,,,7,5,20,3,,,,,,,,,,,156,5,,,,,,,,,,,,,,,45,4,,,,,,,105,13,,,6,7,201,4,2921,6,,,,,717,2,,,19014,3,7,13,3763,3,23,8,17,2,397,6,585,4,,,2313,6,35,1,,,,,2,3,,,,,,,,,,,456,6,,,,,173,3,,,,,113,12,27,4,6,2,1826,1,,,,,,,9,4,1227,5,2007,7,,,6,3,11,3,,,,,,,,,,,,,,,2,8,,,,,,,45,6,,,,,,,,,,,,,,,,,38,5,,,,,,,,,,,,,1251,2,7,9,219,3,,,,,,,,,,,,,,,,,,,470,12,,,,,434,12,,,97,6,2106,7,,,,,,,5,5,4,3,,,150,1,,,32,11,36,7,,,,,234,3,,,,,490,3,,,,,,,,,,,,,,,,,,,99,6,,,,,70,9,,,,,,,,,110,7,,,,,,,3,4,,,3,5,,,,,,,3,3,,,838,10
4,5,10816,35047,,,,,,,,,,,657,3,,,,,18,1,,,,,,,8,2,,,8,4,125,6,,,,,,,,,,,16,3,,,28,13,,,,,,,159,8,,,,,171,5,2427,9,,,,,47,9,,,13681,5,,,2753,6,47,4,,,527,5,268,6,,,2478,5,,,,,,,,,,,,,,,,,,,362,7,33,6,,,128,6,,,,,721,2,,,,,180,8,,,,,,,,,1431,4,2229,6,,,,,,,,,,,7,3,212,4,,,,,,,,,,,,,,,,,25,7,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,726,10,8,8,157,5,19,1,,,,,,,,,,,,,,,,,780,5,,,,,728,6,,,98,5,2847,4,,,,,,,,,,,,,29,6,,,45,6,,,,,,,,,,,,,457,4,,,,,,,,,6,3,,,,,,,7,4,70,10,,,,,107,5,,,,,,,,,196,6,,,,,,,6,2,,,,,,,,,,,,,,,11,127
5,6,2397,33982,8,4,2,3,,,7,2,,,938,2,,,,,7,6,87,2,,,3,3,,,,,8,3,339,2,,,,,11,5,,,30,1,27,2,,,48,3,,,4,2,6,2,205,6,,,9,5,497,1,3030,5,,,,,363,5,,,13212,6,15,5,1731,12,28,6,5,8,3059,1,193,7,,,1465,9,,,,,10,2,,,,,,,12,2,,,,,758,5,,,4,2,134,5,,,,,201,5,29,3,6,3,239,7,,,,,2,6,12,2,772,9,1362,10,,,,,,,49,2,16,2,,,34,20,9,2,,,,,10,2,,,,,2,4,56,4,33,4,,,,,,,46,2,4,7,,,,,6,8,,,,,,,,,,,,,792,7,9,4,182,4,,,,,1,6,,,,,,,3,2,,,,,620,8,7,2,,,568,9,,,,,1223,12,,,,,,,6,4,,,,,47,4,,,41,8,34,8,,,,,133,4,,,,,357,5,3,3,,,8,5,,,,,,,44,9,,,9,3,210,3,,,,,54,13,7,3,,,,,4,2,49,9,9,1,,,,,5,3,,,,,,,,,,,12,1,,,402,16
6,7,2093,31169,,,,,,,,,,,63,11,,,,,,,20,4,,,,,,,,,,,52,10,,,,,11,4,8,2,,,,,,,26,14,7,2,,,,,72,18,,,,,53,14,1123,19,,,,,,,,,13896,4,6,16,1092,17,,,,,33,15,118,16,,,1089,12,,,,,,,,,14,1,,,,,,,7,2,62,26,17,7,,,36,13,,,,,75,20,8,6,,,143,11,,,,,,,,,662,13,4955,4,,,21,1,9,5,,,1,4,,,125,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,4,,,,,,,,,,,,,342,16,,,73,11,,,,,,,,,,,,,,,,,,,308,18,,,,,452,11,,,,,2053,8,,,,,7,2,,,,,,,,,,,31,12,21,10,,,,,,,9,1,,,235,8,,,10,2,,,,,,,,,294,3,,,,,41,16,,,,,58,11,,,,,,,,,517,4,,,,,,,,,,,27,1,,,,,,,,,13,1,2835,3
7,8,29351,26430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,,,,,,,,,,,,,,,,,,,,,,,,,72,19,,,,,,,2428,8,,,,,,,,,4138,24,,,175,49,153,2,,,,,72,27,,,129,75,,,,,,,,,,,,,,,,,,,276,8,,,,,,,,,,,18,34,12,5,,,,,,,,,,,,,,,192,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,3,85,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,28,,,,,,,,,,,,,,,,,,,,,,,369,16,,,,,,,,,,,16185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,28,,,,,,,,,,,,,,,,,,,,,,,,,1177,1,,,,,,,,,422,5,,,,,,,,,,,,,,,,,,,,,,,45,65
8,9,463,25002,,,4,2,,,,,,,,,,,,,,,4,6,,,,,,,,,,,26,12,,,,,,,,,5,4,,,,,24,16,,,,,,,208,5,,,,,63,10,2096,13,,,,,,,,,12862,7,5,20,,,16,11,5,7,13,20,102,20,,,1074,13,,,,,,,,,,,,,,,,,,,71,23,,,,,26,14,,,,,90,16,,,,,46,14,,,,,,,,,931,7,1918,8,,,,,,,,,,,,,64,12,,,,,,,4,3,,,,,,,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,18,3,15,38,22,,,,,,,,,,,,,,,,,,,382,13,,,,,889,4,,,,,1992,9,,,,,,,,,,,,,,,,,,,16,12,,,,,22,9,,,,,140,14,,,,,,,,,,,,,34,10,,,,,37,18,,,,,67,10,,,,,,,,,33,10,,,,,,,,,,,,,,,,,,,,,,,1366,7
9,10,2162,21144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,,9,44,,,,,,,83,14,,,,,15,36,1134,18,,,,,,,,,9629,10,,,543,29,,,,,,,77,24,,,871,20,,,,,4,3,,,,,,,,,,,,,17,38,,,,,,,,,,,122,10,,,,,,,,,,,,,7,5,525,16,6,106,,,,,,,2,4,,,,,48,14,,,,,,,,,,,,,,,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,57,5,11,,,,,,,,,,,,,,,,,,,,,490,10,,,,,156,24,,,13,11,6104,3,,,,,,,,,,,,,3,9,,,,,6,16,,,,,,,,,,,77,22,,,,,,,,,,,,,,,,,,,78,9,,,,,94,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948,8
