,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2181,25941,,,,,,,,,,,,,,,,,,,,,,,13,2,,,,,,,291,4,,,,,,,,,,,,,,,16,22,,,,,,,187,12,,,,,158,11,1825,20,,,,,260,5,,,9712,11,7,20,906,19,117,3,6,5,,,216,11,,,1344,13,,,,,,,,,,,,,,,,,,,,,257,7,,,,,109,11,,,,,276,7,,,,,515,4,,,,,,,15,4,109,57,1104,13,,,,,,,36,3,,,,,51,16,,,,,,,,,,,,,,,5,4,53,7,39,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,13,11,7,197,7,,,,,,,,,,,,,,,,,,,,,1324,4,,,,,263,17,,,142,4,2185,7,,,,,,,9,3,,,,,62,5,,,76,7,91,5,,,,,,,19,1,,,1038,2,,,,,,,,,,,,,305,3,,,,,145,5,,,,,192,4,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589,7
11,12,25821,23161,,,,,,,,,,,517,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3359,9,,,,,,,,,1577,68,5,29,2236,10,,,,,,,,,,,6609,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4603,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1857,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,6,,,,,,,,,,,,,,,,,,,,,,,1945,6
12,13,13,21129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,2,,,,,,,124,16,,,6,6,69,22,1906,18,,,,,32,9,,,10045,10,7,18,2710,7,,,4,8,,,,,4,2,797,26,,,,,,,,,,,,,,,,,,,,,688,3,,,,,,,,,,,127,18,,,,,,,,,,,,,,,261,30,1230,11,,,,,,,,,,,,,101,9,,,,,,,,,,,,,,,,,,,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,12,3,16,57,21,,,,,,,,,,,,,,,,,,,,,291,21,,,,,405,11,,,63,9,761,16,,,,,,,,,,,,,,,,,23,14,42,9,,,,,80,7,,,,,143,20,,,,,,,,,,,,,,,,,,,29,18,,,,,,,,,,,,,,,29,13,,,,,,,,,,,,,,,,,,,,,,,327,20
13,14,2162,20811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,11,31,,,,,,,129,14,,,,,25,35,1186,26,,,,,,,,,10228,9,,,691,26,,,,,,,92,26,,,656,29,,,,,4,4,,,,,,,,,,,,,,,36,32,,,,,,,,,,,206,10,,,,,,,,,,,,,9,6,505,18,3,108,,,,,,,7,4,,,,,35,21,,,,,,,,,,,,,,,,,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,53,7,11,,,,,,,,,,,,,,,,,,,,,,,515,12,,,,,176,23,,,14,11,5231,3,,,,,,,,,,,,,10,8,,,,,8,16,,,,,22,9,,,,,57,34,,,,,,,,,,,,,,,,,,,32,17,,,,,105,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,12
14,15,811,17232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,4,,,,,,,23,35,,,,,,,1525,21,,,,,,,,,4787,21,7,19,2612,8,,,,,,,105,22,,,1952,10,,,,,,,,,,,,,3,4,,,,,,,504,5,,,,,,,,,,,164,12,,,,,,,,,,,,,,,85,72,274,27,,,,,,,,,,,,,263,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1709,3,,,48,24,,,,,,,,,,,,,,,,,,,,,428,14,,,,,783,7,,,88,8,357,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461,8
15,16,320,15880,,,,,,,,,,,140,9,,,,,7,5,,,,,,,,,10,1,,,91,10,,,,,,,,,11,3,,,,,23,17,,,,,,,92,20,,,8,4,34,31,1453,22,,,,,106,6,,,6196,19,13,7,1524,15,29,8,,,63,14,219,10,,,1142,17,,,,,,,8,2,,,7,2,,,13,3,,,,,80,18,45,6,,,,,,,,,254,8,,,,,272,5,,,,,,,16,3,246,32,256,29,,,,,12,4,,,,,12,3,46,18,,,,,,,10,3,,,,,,,,,39,9,12,9,,,,,,,,,9,6,,,,,117,3,,,,,,,,,,,,,956,9,22,2,59,17,,,,,,,3,6,,,,,,,,,,,,,543,11,,,,,235,18,,,94,7,742,17,,,,,,,,,5,3,,,,,,,44,11,84,6,,,,,,,,,,,58,33,,,,,16,5,,,8,4,,,27,11,,,,,36,13,,,6,1,35,15,,,,,,,,,26,15,,,,,,,,,,,,,,,,,,,,,,,266,23
16,17,1294,14723,,,,,,,,,,,55,12,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,26,,,,,,,,,,,,,74,21,1269,24,,,,,,,,,6949,15,6,24,814,21,,,,,,,223,9,,,2520,7,,,,,,,,,,,,,5,3,,,,,,,129,13,,,,,,,,,,,132,16,,,,,28,13,,,,,7,3,,,891,9,,,,,,,,,,,,,,,34,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,490,14,,,36,27,,,,,,,4,5,,,,,,,,,,,,,64,40,,,,,,,,,,,529,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,16,,,,,,,,,,,,,18,14,,,,,14,26,,,,,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,26
17,18,181,14329,9,4,,,,,,,,,173,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,12,,,,,,,,,,,,,171,10,1404,23,,,,,,,,,6710,17,,,1752,13,,,8,3,,,74,29,,,930,21,,,,,,,,,,,,,,,,,,,,,147,10,,,,,246,6,,,,,80,24,,,,,,,,,,,,,,,283,28,155,43,,,,,,,,,,,,,,,,,,,,,6,5,,,,,,,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,20,,,80,15,,,,,,,,,,,,,,,,,,,,,250,23,,,,,137,27,,,,,689,18,,,,,,,,,,,,,207,2,,,,,,,,,2,3,,,,,,,236,10,,,,,,,,,,,,,8,18,,,,,46,11,,,,,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,33
18,19,50381,14306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,27,54,258,,,,,,,,,11399,8,,,753,22,,,,,65,13,186,13,,,380,45,,,,,,,,,,,,,,,,,,,,,146,12,,,,,,,,,,,,,,,,,,,,,,,,,,,591,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,27443,13210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,34,,,,,,,113,17,,,12,3,36,30,609,46,,,,,,,,,665,124,11,12,532,29,32,6,,,,,671,4,,,452,40,,,,,,,,,,,,,,,,,,,,,29,36,,,,,58,12,,,,,,,,,,,,,,,,,,,,,442,19,3636,5,,,,,,,,,,,,,373,2,,,,,,,,,,,,,,,,,,,35,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,36,,,,,,,,,,,,,,,,,,,,,,,,,407,15,,,,,158,25,,,,,623,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,8,,,,,,,,,,,38,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4060,2
