,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
10,11,50381,24717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23652,2,,,,,,,,,14,12,151,10,,,,,,,,,,,,,,,,,,,,,71,20,,,,,,,,,,,,,,,,,,,,,,,,,,,829,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,181,22545,19,3,,,,,,,,,314,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,10,,,,,,,,,,,,,183,4,3112,10,,,,,,,,,11368,9,,,1891,8,,,8,8,,,87,19,,,1253,12,,,,,,,,,,,,,,,,,124,9,,,,,441,2,,,,,211,9,,,,,,,,,,,,,,,261,35,153,39,,,,,,,,,,,,,,,,,,,8,5,,,,,,,49,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,15,,,101,9,,,,,,,,,,,,,344,23,,,,,192,17,,,,,1296,17,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,327,7,,,,,,,,,,,20,12,,,,,136,13,,,,,39,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,24
12,13,13,21013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,9,,,,,,,175,9,,,4,7,53,14,1335,21,,,,,,,,,11689,8,3,34,1421,11,,,7,9,,,,,4,2,790,23,,,,,,,,,,,,,,,,,280,4,,,,,,,,,,,221,8,,,,,,,,,,,,,,,437,25,1296,9,,,,,,,,,,,377,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,134,15,5,68,13,,,,,,,,,,,,,425,19,,,,,299,12,,,77,8,1211,18,,,,,,,,,,,,,,,,,23,13,39,7,,,,,92,4,,,,,203,11,,,,,,,,,,,,,,,,,20,29,,,,,,,,,,,,,,,6,13,,,,,,,,,,,,,,,,,,,412,15
13,14,2243,19700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,10,,,,,,,,,,,,,,,8,43,,,,,,,,,,,,,,,3873,5,,,,,,,,,7814,14,,,,,,,,,,,,,,,1872,6,,,,,,,,,,,,,,,,,,,,,,,59,11,,,,,106,20,,,,,,,,,,,,,,,589,19,154,38,,,,,,,,,,,6,54,,,,,,,,,,,,,,,52,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926,6,,,,,,,,,,,,,,,,,1324,4,,,,,840,5,,,40,10,1198,19,,,,,,,9,2,,,,,,,,,,,96,3,,,,,636,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,42
14,15,320,17858,,,,,,,,,,,179,6,,,,,,,,,,,,,,,,,143,9,,,,,,,,,12,4,,,,,35,7,,,,,,,110,14,,,13,2,43,18,1413,18,,,,,165,6,,,6646,16,20,3,1553,10,24,8,,,,,154,9,,,1720,7,,,,,17,2,,,8,2,,,11,4,,,74,17,18,5,,,,,,,,,225,7,,,,,382,4,,,,,,,12,5,206,45,382,22,,,22,3,,,,,10,3,74,18,,,,,,,13,3,,,,,,,19,10,,,,,,,,,7,6,,,,,32,6,,,,,,,,,,,,,635,10,17,4,41,23,,,,,,,,,,,,,672,10,,,,,199,16,,,108,6,1752,13,,,,,,,,,9,3,,,,,,,53,9,52,4,,,,,,,,,,,68,29,,,,,4,8,6,4,,,37,9,,,,,126,14,,,8,1,82,10,,,,,,,,,26,10,,,,,,,,,,,,,,,,,,,221,22
15,16,1294,17758,,,,,,,,,,,48,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,12,,,,,,,,,,,,,45,17,859,34,,,,,,,,,7406,15,9,15,4205,2,,,,,,,124,15,,,1508,10,,,,,,,,,,,,,,,,,123,10,,,,,,,,,,,147,15,,,,,42,13,,,,,5,4,,,895,7,,,,,,,,,,,,,131,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,477,13,,,27,28,,,6,6,,,,,,,,,73,46,,,,,,,,,,,1146,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,19,,,,,,,,,,,,,,,,,76,20,,,,,10,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,20
16,17,2425,14048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,,,17,19,,,,,,,,,,,,,75,13,994,26,,,,,,,,,4563,24,9,17,1116,16,,,6,11,83,8,179,8,,,1220,13,,,,,,,,,,,,,,,,,83,14,,,,,,,,,,,77,24,,,,,,,,,,,,,,,760,12,758,14,,,,,,,,,,,16,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,22,,,,,,,,,,,,,,,,,404,21,,,,,253,14,,,173,3,2572,9,,,,,,,,,,,,,,,,,96,5,,,,,,,,,,,,,127,16,,,,,6,6,,,,,,,,,,,,,,,,,99,9,,,,,,,,,7,12,,,,,,,,,,,,,,,,,,,121,26
17,18,822,11982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,15,,,,,,,,,,,,,,,22,14,,,,,,,,,,,3,9,7,63,1396,20,,,,,,,,,4456,27,9,14,521,24,,,,,,,277,3,,,465,34,,,,,,,,,,,,,,,,,32,28,,,,,,,,,,,178,13,,,,,,,,,,,,,,,592,18,566,18,,,,,,,,,,,79,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,17,4,16,79,11,,,,,,,,,,,,,821,8,,,,,104,26,,,,,980,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,9,,,,,,,,,,,,,,,,,,,,,,,6,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,10
18,19,5072,11394,,,,,,,,,,,7,19,,,,,,,,,,,,,,,,,12,20,,,,,42,2,,,,,,,,,11,35,,,,,,,,,,,,,157,7,547,45,,,,,,,,,8857,13,13,8,78,63,,,,,,,,,,,340,44,,,,,,,,,,,,,21,2,,,,,217,2,,,,,,,,,,,,,,,189,9,,,,,,,,,87,75,288,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,15,5,,,108,2,,,,,,,,,,,,,,,43,63,15,6,96,10,,,,,,,,,,,,,,,,,,,,,,,,,144,58,,,,,,,,,,,,,,,13,3,,,,,,,,,,,,,,,25,51,,,,,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,80
19,20,25821,11339,,,,,,,,,,,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3187,9,,,,,,,,,2,961,14,5,,,,,,,,,,,,,3057,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3945,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087,3,,,,,,,,,,,,,,,,,,,,,,,19,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
