bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
25821,19820,11,,,,,,,,,,,514,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2379,8,,,,,,,,,1293,70,10,7,1786,12,,,,,,,,,,,4293,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6636,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,9,,,,,,,,,,,,,,,,,,,,,1471,5
2243,17991,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,13,,,,,,,,,,,,,,,6,49,,,,,,,,,,,,,,,4980,1,,,,,,,,,4898,19,,,,,,,,,,,,,,,1905,7,,,,,,,,,,,,,,,,,,,,,,,,,107,8,,,,,185,8,,,,,,,,,,,,,,,570,19,200,42,,,,,,,,,,,,,9,55,,,,,,,,,,,,,,,,,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192,2,,,,,,,,,,,,,,,,,,,,,,,1544,3,,,,,756,6,,,18,10,813,15,,,,,,,4,5,,,,,,,,,,,67,4,,,,,618,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,55
13,15743,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,10,,,,,,,92,15,,,3,6,32,23,1012,20,,,,,19,12,,,6153,14,1,42,2021,9,,,2,9,,,,,2,2,718,25,,,,,,,,,,,2,3,,,,,,,765,3,,,,,,,,,,,107,15,,,,,,,,,,,,,,,389,27,1646,11,,,,,,,,,,,,,118,9,,,,,,,,,,,,,,,,,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,14,1,17,42,17,,,,,,,,,,,,,,,,,,,356,21,,,,,381,12,,,55,9,653,18,,,,,,,,,,,,,,,,,10,18,32,8,,,,,55,7,,,,,116,15,,,,,,,,,,,,,,,,,26,20,,,,,,,,,,,,,,,14,17,,,,,,,,,,,,,,,,,,,,,386,17
320,15736,14,,,,,,,,,,,136,10,,,,,10,3,,,,,,,,,11,1,,,65,9,,,,,,,,,11,3,,,,,42,8,,,,,,,76,18,,,9,2,43,18,1136,16,,,,,159,6,,,5714,15,25,2,2208,7,29,7,,,45,13,156,10,,,1204,12,,,,,,,12,2,,,6,2,,,10,3,,,72,23,64,5,,,,,,,,,176,9,,,,,268,4,,,,,,,7,7,235,33,342,28,,,,,6,5,,,,,21,2,35,20,,,,,,,6,3,,,,,,,,,20,10,21,8,,,,,,,,,6,7,,,,,81,3,,,,,,,,,,,,,753,7,21,2,41,18,,,,,5,4,,,,,,,,,,,,,938,5,,,,,199,20,,,67,8,676,17,,,,,,,,,13,2,,,,,,,49,9,52,5,,,,,,,,,,,68,25,,,,,13,4,,,26,2,30,11,,,,,39,16,,,10,1,27,18,,,,,,,,,17,15,,,,,,,,,,,,,,,,,,,,,225,23
1294,14329,15,,,,,,,,,,,32,14,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,27,,,,,,,,,,,,,53,15,1216,15,,,,,,,,,6581,11,6,16,841,22,,,,,,,139,13,,,2524,5,,,,,,,,,,,,,5,4,,,,,128,11,,,,,,,,,,,79,19,,,,,57,11,,,,,2,5,,,1130,6,,,,,,,,,,,,,,,30,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,,,,,,,,,,,,,393,15,,,19,27,,,,,4,5,,,,,,,,,,,,,128,29,,,,,,,,,,,528,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,11,,,,,,,,,,,28,12,,,,,23,23,,,,,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,28
2425,13845,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,18,21,,,,,,,80,17,,,,,63,12,845,25,,,,,,,,,4146,21,7,11,1330,16,,,1,15,86,11,192,8,,,879,18,,,,,,,,,,,,,,,,,,,97,16,,,,,,,,,,,99,17,,,,,,,,,,,,,,,711,13,626,19,,,,,,,,,,,,,12,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,26,,,,,,,,,,,,,,,,,,,,,,,518,12,,,,,641,8,,,129,3,2760,6,,,,,,,,,,,,,,,,,42,10,,,,,,,,,,,,,79,20,,,,,6,8,,,,,,,,,,,,,,,,,76,7,,,,,,,,,18,14,,,,,,,,,,,,,,,,,,,,,177,30
181,12626,17,8,4,,,,,,,,,158,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,16,,,,,,,,,,,,,94,7,1135,17,,,,,,,,,6275,13,,,1527,15,,,2,10,,,76,26,,,855,19,,,,,,,,,,,,,,,,,,,111,15,,,,,196,4,,,,,56,23,,,,,,,,,,,,,,,198,37,172,45,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,18,,,49,14,,,,,,,,,,,,,,,,,,,288,22,,,,,121,28,,,,,549,19,,,,,,,,,,,,,118,2,,,,,,,,,2,3,,,,,,,129,14,,,,,,,,,,,9,16,,,,,32,18,,,,,16,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,34
811,12164,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,9,,,,,,,15,38,,,,,,,900,23,,,,,,,,,3104,29,1,45,1917,11,,,,,,,75,27,,,1228,11,,,,,,,,,,,,,5,3,,,,,716,4,,,,,,,,,,,99,16,,,,,,,,,,,,,,,70,85,332,30,,,,,,,,,,,,,246,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,4,,,16,29,,,,,,,,,,,,,,,,,,,366,18,,,,,740,7,,,88,6,279,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905,10
27443,11838,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,34,,,,,,,52,23,,,9,4,31,24,554,37,,,,,,,,,601,122,4,26,491,30,24,10,,,,,98,23,,,380,39,,,,,,,,,,,,,,,,,,,,,,,,,53,12,,,,,,,,,,,,,,,,,,,,,407,26,2275,6,,,,,,,,,,,,,1892,1,,,,,,,,,,,,,,,,,,,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,33,,,,,,,,,,,,,,,,,,,,,,,484,14,,,,,303,18,,,,,771,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,6,,,,,,,,,,,31,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3091,1
50381,11703,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,21,,,,,,,,,,,9157,9,,,622,26,,,,,36,16,146,12,,,327,42,,,,,,,,,,,,,,,,,,,148,9,,,,,,,,,,,,,,,,,,,,,,,,,,,618,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
