,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,127665,164,1,60,2,45,1,55,2,52,1,3555,1,42,1,60,1,113,1,515,1,34,2,46,1,,,82,1,458,2,77,1,215,1,302,1,50,1,117,2,205,1,43,1,287,1,32,1,43,2,55,2,701,1,28,1,85,2,581,1,5197,1,39,1,39,1,438,2,,,27367,2,67,2,15860,1,838,1,90,1,1963,3,1037,1,55,2,4229,4,,,40,1,31,2,51,1,43,1,31,1,80,1,186,1,47,1,1426,1,1226,1,63,2,361,2,37,1,29,1,867,1,275,1,34,2,2229,1,32,1,44,1,42,2,103,2,14336,2,3512,2,36,1,41,1,36,2,390,1,971,1,101,1,416,3,192,1,,,43,1,55,2,44,1,65,1,31,2,295,3,211,1,37,1,,,267,1,66,2,121,1,466,1,187,2,52,1,46,1,32,1,36,1,33,2,36,1,1118,2,43,4,619,1,,,35,1,46,2,48,1,42,1,32,1,51,2,,,2132,1,46,2,58,1,4220,1,49,1,402,1,9666,2,69,1,28,1,47,1,37,2,40,1,32,1,155,2,68,1,411,1,187,1,,,387,1,261,2,,,36,2,916,1,45,2,,,154,1,,,159,1,1,1,746,1,64,1,96,1,5248,1,47,1,,,318,2,97,1,227,1,356,1,32,2,1164,1,,,32,1,,,69,2,,,47,1,50,1,43,1,45,2,,,2592,4
1,2,1406,76373,37,3,,,,,,,,,15,17,,,,,,,,,,,,,,,,,239,4,,,,,,,,,,,,,,,58,8,,,,,,,123,12,,,10,3,218,4,2355,10,,,,,386,3,,,53002,1,14,6,2365,3,29,9,19,4,599,6,514,4,,,2674,5,131,1,,,,,27,2,,,,,,,,,,,390,4,,,,,215,4,,,,,137,9,22,4,7,3,2203,2,,,,,,,9,4,1233,5,1885,7,,,9,3,6,4,,,,,,,,,,,,,,,4,8,,,,,,,44,7,,,,,,,,,,,,,,,47,6,,,,,,,,,,,,,1169,1,7,10,365,3,,,,,5,4,,,,,,,,,,,390,11,,,,,279,15,,,102,6,2152,6,,,,,,,6,5,9,3,,,188,1,,,28,12,33,8,,,,,212,3,,,,,360,7,,,,,,,,,,,,,,,,,,,648,8,,,,,86,8,,,,,,,,,111,7,,,,,,,5,4,,,,,,,,,10,3,,,1182,5
2,3,2397,42144,82,2,74,1,,,100,1,,,666,3,,,,,84,2,203,2,80,1,,,,,74,2,474,1,,,,,82,3,,,163,1,95,2,,,117,3,,,83,1,74,1,286,5,,,101,1,431,2,3130,4,,,,,370,4,,,14244,4,86,1,1968,6,100,4,78,2,4131,1,280,6,,,1395,10,,,,,75,1,,,,,,,76,2,,,,,723,2,,,88,1,220,3,,,,,341,3,88,2,67,1,101,10,,,,,77,1,108,1,802,7,1657,10,,,,,,,105,2,107,2,,,100,9,77,2,,,,,79,1,,,,,72,1,149,4,97,2,,,,,97,2,72,1,,,,,82,4,,,,,,,,,,,,,366,14,83,1,324,5,,,,,73,1,,,,,,,69,1,,,643,8,73,1,,,730,5,,,,,1365,12,,,,,,,77,1,,,,,106,4,,,116,2,103,3,,,,,162,5,,,,,404,6,75,1,,,71,3,,,,,,,127,5,,,83,2,1393,4,,,,,,,73,2,,,,,93,1,123,6,118,1,,,,,108,1,,,,,,,,,75,1,,,600,11
3,4,2223,39305,,,,,,,,,,,695,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,20,,,,,,,317,3,,,,,,,1214,18,,,,,,,,,10896,8,,,2724,2,,,,,2204,2,768,2,,,2013,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3,,,261,7,,,,,,,,,3456,3,1858,8,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,354,1,,,,,,,,,3,6,,,,,39,7,,,,,,,,,,,,,381,13,,,498,2,,,,,,,,,,,,,,,,,1590,3,,,,,2085,2,,,,,2051,7,,,,,,,,,,,,,,,9,4,,,104,2,,,,,54,7,,,,,168,10,,,,,,,,,,,,,396,2,,,,,2255,2,,,,,254,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2603,3
4,5,10816,37255,,,,,,,,,,,535,4,,,,,,,,,,,41,2,,,51,3,149,6,,,,,,,,,,,48,3,,,59,6,,,,,,,212,8,,,,,229,3,2002,12,,,,,62,8,,,16251,3,,,2294,4,85,5,,,614,4,297,5,,,1825,8,,,,,,,,,,,,,,,,,,,273,5,63,4,,,151,6,,,,,231,4,,,,,202,9,,,,,,,,,1167,6,2512,5,,,,,,,,,,,51,2,233,4,,,,,,,,,,,,,,,,,74,5,,,,,,,,,,,,,,,,,,,,,,,51,1,,,669,6,39,5,203,8,59,1,,,,,,,,,,,,,,,845,4,,,,,559,6,,,129,5,3302,4,,,,,,,,,,,,,81,5,,,81,6,,,,,,,,,,,,,452,4,,,,,,,,,48,3,,,,,,,46,3,619,9,,,,,145,4,,,,,,,,,162,5,,,,,,,37,3,,,,,,,,,,,,,17,114
5,6,29351,36036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,7,,,,,,,,,4850,21,,,136,51,194,2,,,,,115,15,,,120,71,,,,,,,,,,,,,,,,,,,229,7,,,,,,,,,,,23,32,20,6,,,,,,,,,,,,,,,99,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,2,87,3,,,,,,,,,,,,,,,,,,,,,,,,,,,82,41,,,,,,,,,,,,,,,,,,,,,397,10,,,,,,,,,,,25095,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,25,,,,,,,,,,,,,,,,,,,,,,,,,1437,1,,,,,,,,,332,4,,,,,,,,,,,,,,,,,,,,,,
6,7,1294,34301,,,,,,,,,,,43,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,23,,,,,,,,,,,,,46,18,748,26,,,,,,,,,8447,11,5,21,687,22,,,,,,,101,18,,,6705,1,,,,,,,,,,,,,,,,,,,101,14,,,,,,,,,,,78,17,,,,,35,14,,,,,5,3,,,15360,1,,,,,,,,,,,,,,,39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,,,404,12,,,63,22,,,,,3,5,,,,,,,,,,,33,56,,,,,,,,,,,785,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,13,,,,,,,,,,,,,,,,,,,42,26,,,,,10,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,17
7,8,2093,27064,,,,,,,,,,,61,10,,,,,,,15,4,,,,,,,,,29,11,,,,,119,2,24,2,,,,,,,24,19,13,2,,,,,214,7,,,,,49,16,838,23,,,,,,,,,11510,6,19,4,1068,17,,,,,49,14,65,26,,,820,17,,,,,,,,,21,2,,,,,,,20,2,52,23,12,7,,,59,11,,,,,53,24,22,5,,,83,11,,,,,,,,,490,20,4300,1,,,29,2,,,,,1,3,,,177,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,5,,,,,,,,,,,,,213,21,,,64,21,,,,,,,,,,,,,,,,,274,17,,,,,377,10,,,,,1633,10,,,,,40,2,,,,,,,,,,,36,10,17,11,,,,,,,23,1,,,438,5,,,17,2,,,,,,,,,265,3,,,,,69,19,,,,,49,12,,,,,,,,,437,3,,,,,,,,,,,30,2,,,,,,,29,1,2742,2
8,9,2162,24759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,6,51,,,,,,,184,10,,,,,20,31,1593,14,,,,,,,,,10761,9,,,1,134,,,,,,,81,23,,,850,15,,,,,3,4,,,,,,,,,,,,,38,26,,,,,,,,,,,197,5,,,,,,,,,,,,,2,8,566,13,7,105,,,,,,,7,4,,,,,59,12,,,,,,,,,,,,,,,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,32,4,13,,,,,,,,,,,,,,,,,,,664,6,,,,,219,19,,,18,11,8040,3,,,,,,,,,,,,,2,9,,,,,11,15,,,,,,,,,,,99,17,,,,,,,,,,,,,,,,,,,77,17,,,,,92,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,7
9,10,2181,22710,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,270,3,,,,,,,,,,,,,,,95,4,,,,,,,151,11,,,,,138,7,2389,9,,,,,177,5,,,6938,14,11,9,1192,14,102,3,13,5,,,125,12,,,1021,12,,,,,,,,,,,,,,,,,,,268,6,,,,,58,12,,,,,163,7,,,,,296,6,,,,,,,9,5,65,83,1093,13,,,,,,,73,3,,,,,40,18,,,,,,,,,,,,,29,3,50,6,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,515,10,14,6,206,7,,,,,,,,,,,,,,,,,1814,2,,,,,297,13,,,151,3,1686,9,,,,,,,12,3,,,,,74,6,,,60,7,32,9,,,,,,,12,2,,,859,2,,,,,,,,,,,,,170,4,,,,,791,7,,,,,125,5,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,6
