,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,5432,18404,,,,,,,,,,,154,9,,,8,2,,,,,,,,,,,,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,58,,,,,,,,,4977,21,,,1084,18,,,,,159,7,18,53,,,131,68,,,,,,,,,,,,,,,104,2,,,129,11,10328,1,,,,,,,,,,,,,,,232,9,,,,,,,,,114,54,134,46,,,,,,,,,,,,,20,36,,,,,,,,,,,,,,,24,8,,,,,,,4,7,,,89,2,,,,,,,,,,,,,,,116,33,6,11,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4,,,5,4,156,5,,,,,,,,,,,15,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,39
11,12,2243,18178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,15,,,,,,,,,,,,,,,4,53,,,,,,,,,,,,,,,6608,1,,,,,,,,,5690,19,,,,,,,,,,,,,,,1486,9,,,,,,,,,,,,,,,,,,,,,,,,,54,11,,,,,121,11,,,,,,,,,,,,,,,474,19,196,36,,,,,,,,,,,,,14,42,,,,,,,,,,,,,41,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,4,,,,,,,,,,,,,,,,,,,,,675,6,,,,,479,9,,,18,11,914,14,,,,,,,7,4,,,,,,,,,,,70,3,,,,,340,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,63
12,13,25821,15369,,,,,,,,,,,200,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3278,6,,,,,,,,,1191,76,4,21,1155,15,,,,,,,,,,,5496,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2805,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209,1,,,,,,,,,,,,,,,,,,,,,,,,,,,31,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,2425,15125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,25,13,,,,,,,66,16,,,,,64,13,1074,20,,,,,,,,,4561,23,6,15,1582,9,,,4,13,98,9,193,7,,,1765,6,,,,,,,,,,,,,,,,,,,121,12,,,,,,,,,,,126,10,,,,,,,,,,,,,,,788,9,753,17,,,,,,,,,,,,,9,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,19,,,,,,,,,,,,,,,,,,,,,258,20,,,,,554,7,,,102,5,2297,7,,,,,,,,,,,,,,,,,56,6,,,,,,,,,,,,,100,17,,,,,3,7,,,,,,,,,,,,,,,,,65,9,,,,,,,,,26,12,,,,,,,,,,,,,,,,,,,,,214,22
14,15,1294,15090,,,,,,,,,,,55,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,22,,,,,,,,,,,,,55,15,895,24,,,,,,,,,7258,15,4,18,642,25,,,,,,,89,22,,,2515,4,,,,,,,,,,,,,6,4,,,,,136,9,,,,,,,,,,,59,22,,,,,70,10,,,,,4,4,,,1780,4,,,,,,,,,,,,,,,42,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,344,13,,,41,20,,,,,5,3,,,,,,,,,,,48,43,,,,,,,,,,,578,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,12,,,,,,,,,,,,,,,,,22,20,,,,,11,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,20
15,16,13,14298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,10,,,,,,,71,14,,,1,8,34,20,956,23,,,,,4,13,,,7479,12,3,23,1225,13,,,3,14,,,,,,,364,35,,,,,,,,,,,3,2,,,,,,,650,3,,,,,,,,,,,90,16,,,,,,,,,,,,,,,251,30,1399,12,,,,,,,,,,,,,86,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,136,20,3,38,22,,,,,,,,,,,,,,,,,138,27,,,,,229,17,,,22,9,678,19,,,,,,,,,,,,,,,,,7,20,42,6,,,,,31,6,,,,,86,20,,,,,,,,,,,,,,,,,15,26,,,,,,,,,,,,,,,17,14,,,,,,,,,,,,,,,,,,,,,326,16
16,17,320,14078,,,,,,,,,,,196,8,,,,,,,,,,,,,4,1,,,58,10,,,,,,,,,7,5,,,,,38,5,,,,,,,56,18,,,4,4,27,22,1109,18,,,,,87,6,,,6208,16,18,2,1252,12,47,7,,,35,14,115,13,,,925,13,,,,,,,3,4,,,3,3,,,11,3,,,63,21,58,5,,,,,,,,,168,5,,,,,240,7,,,,,,,12,5,137,46,331,26,,,,,6,4,,,,,23,2,43,14,,,,,6,4,,,,,,,19,10,,,,,,,,,5,6,,,,,31,7,,,,,,,,,,,,,498,10,21,2,45,14,,,,,,,,,,,,,,,,,368,11,,,,,183,20,,,93,6,896,15,,,,,,,,,7,2,,,,,,,19,11,64,5,,,,,,,,,,,74,24,,,,,4,6,,,6,2,22,11,,,,,35,14,,,7,1,45,10,,,,,,,,,36,10,,,,,,,,,,,,,,,,,,,,,310,18
17,18,181,13959,12,3,,,,,,,,,289,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,14,,,,,,,,,,,,,93,10,1330,15,,,,,,,,,7811,10,,,1270,11,,,7,4,,,56,28,,,629,19,,,,,,,,,,,,,,,,,,,94,18,,,,,129,4,,,,,94,15,,,,,,,,,,,,,,,144,43,180,40,,,,,,,,,,,,,,,,,,,5,5,,,,,,,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,16,,,41,19,,,,,,,,,,,,,,,,,146,26,,,,,135,26,,,,,632,22,,,,,,,,,,,,,134,2,,,,,,,,,1,3,,,,,,,187,11,,,,,,,,,,,29,10,,,,,49,9,,,,,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,33
18,19,50381,13893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,19,,,,,,,,,,,12627,5,,,,,,,,,14,16,127,10,,,165,59,,,,,,,,,,,,,,,,,,,111,14,,,,,,,,,,,,,,,,,,,,,,,,,,,518,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,32,,,,,,,,,,,,,,,,,,,,,,,,,,,176,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,27443,11922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,27,,,,,,,43,22,,,4,7,30,21,808,27,,,,,,,,,725,103,8,10,660,24,69,5,,,,,110,16,,,396,32,,,,,,,,,,,,,,,,,,,,,,,,,42,12,,,,,,,,,,,,,,,,,,,,,317,23,1738,8,,,,,,,,,,,,,2319,1,,,,,,,,,,,,,,,31,6,,,,,,,,,,,,,,,,,,,,,,,,,,,172,22,,,,,,,,,,,,,,,,,,,,,304,17,,,,,274,14,,,,,639,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3178,1
20,21,5072,10300,,,,,,,,,,,6,19,,,,,,,,,,,,,,,,,12,18,,,,,97,3,,,,,,,,,2,72,,,,,,,,,,,,,126,6,374,48,,,,,,,,,7431,13,3,29,74,72,,,,,,,,,,,315,38,,,,,,,,,,,,,,,3,4,,,,,766,3,,,,,,,,,,,,,,,238,8,,,,,,,,,85,65,277,28,,,,,,,,,,,,,22,32,,,,,,,,,,,,,,,,,,,2,1,,,20,2,,,84,3,,,,,,,,,,,,,,,24,77,7,9,117,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,71,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,24,50,,,,,62,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,51
21,22,2719,9832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,29,,,,,18,30,559,41,,,,,,,,,7406,14,2,36,356,29,,,,,,,26,39,,,598,21,,,,,,,,,,,,,,,,,,,105,16,,,,,,,,,,,22,31,,,,,,,,,,,,,,,188,35,,,,,,,,,,,,,,,30,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,38,,,,,,,,,,,,,,,,,,,,,29,62,,,,,,,,,,,204,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,41,,,,,,,,,,,,,,,,,,,,,,,4,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,29
