,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,108347,115,1,37,1,30,1,26,1,25,1,3021,1,20,1,39,1,15,1,36,2,30,1,383,1,21,1,25,1,31,1,,,48,1,441,2,246,1,187,1,666,1,35,1,55,1,260,1,17,1,158,2,29,1,18,1,43,1,789,3,20,1,36,1,471,3,6333,1,20,1,19,1,14,1,510,3,23,1,30844,2,84,1,11410,1,617,1,38,1,2022,3,1258,3,17,1,27,1,3764,4,,,24,1,38,1,66,1,11,1,20,1,12,1,41,1,183,1,26,1,,,1747,2,1512,1,112,1,359,4,15,1,22,1,1027,1,206,1,,,37,1,1592,3,21,1,17,1,25,1,80,1,3165,3,4364,3,25,1,19,2,22,3,315,1,285,1,138,1,334,2,15,2,27,1,32,1,75,1,21,2,17,1,17,2,21,1,292,1,191,1,11,1,16,2,19,2,98,2,362,1,70,1,998,1,295,2,28,1,57,1,14,1,17,1,26,1,13,1,1036,10,33,2,462,3,18,1,,,21,1,24,2,23,1,19,1,11,1,24,1,,,22,1,2442,2,26,1,30,1,4103,2,25,1,22,1,333,1,5688,2,16,1,19,1,23,1,17,1,21,1,19,2,23,1,13,1,147,3,136,1,307,1,219,3,,,169,1,303,3,,,17,3,1288,2,41,2,,,318,1,,,422,1,2,1,456,4,14,1,21,1,73,1,961,3,33,1,,,411,3,72,1,194,1,37,1,20,2,2308,1,,,21,1,,,27,3,,,38,1,23,1,24,1,27,1,27,1,,,2713,4
1,2,2223,100270,,,,,,,,,,,1531,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,9,,,,,,,1585,1,,,,,687,2,2997,11,,,,,,,,,,,26227,3,,,6666,2,,,,,3056,2,2551,1,,,,,5219,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,2,,,,,205,8,,,,,,,,,9104,1,3775,5,,,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,161,3,,,,,,,,,,,25,5,,,,,189,3,,,,,,,,,,,,,1597,5,,,1299,1,,,,,,,,,,,,,,,,,,,,,6800,1,,,,,12425,1,,,,,,,3870,5,,,,,,,,,,,,,,,,,,,20,3,,,591,1,,,,,126,6,,,,,436,9,,,,,,,,,,,,,492,3,,,,,,,3403,1,,,,,533,2,,,,,,,,,2081,2,,,,,,,,,,,7,8,,,,,,,,,,,2434,5
2,3,1406,55965,53,2,,,,,,,,,13,24,,,,,,,31,3,,,315,2,,,,,,,,,,,207,5,,,,,,,,,,,,,,,39,13,,,,,,,219,12,,,16,2,427,4,3760,8,,,,,,,376,4,,,21383,4,19,3,3287,5,80,4,16,2,542,5,1274,2,,,,,2904,5,76,1,,,,,19,2,,,,,,,,,,,,,,,1223,4,,,,,484,2,,,,,237,9,63,4,,,8,3,2624,2,,,,,,,26,3,1532,5,2858,7,,,41,1,89,2,,,,,,,113,11,,,,,,,10,6,,,,,,,,,71,5,26,8,,,,,,,,,,,,,,,76,4,,,,,,,,,,,,,1773,3,286,1,523,2,,,,,,,41,1,,,,,,,,,,,,,605,13,,,,,778,9,,,,,87,7,2875,6,,,,,,,,,,,12,5,15,2,,,735,1,,,40,12,40,10,,,,,246,4,,,,,874,6,,,,,,,,,,,,,,,,,,,,,246,8,,,,,168,7,14,4,,,,,,,302,8,,,,,,,270,1,,,12,5,,,,,,,11,3,,,1475,7
3,4,2397,50472,26,3,16,2,,,15,2,,,1416,3,,,,,,,13,5,,,195,3,,,13,3,,,,,17,3,562,1,,,,,15,5,,,20,2,19,3,,,58,7,,,16,2,18,2,382,7,,,16,3,1151,1,5253,3,,,,,,,688,2,,,17046,7,27,2,3398,4,43,6,14,3,3257,1,291,10,,,,,1989,10,,,,,18,2,,,,,,,,,22,2,,,,,,,1323,3,,,19,2,186,8,,,,,323,6,100,3,,,13,2,31,13,,,,,12,2,50,2,1241,7,3594,6,,,,,,,117,2,29,2,,,42,24,21,1,,,,,24,2,,,,,22,1,14,2,70,6,51,4,,,,,,,117,1,10,6,,,,,20,9,,,,,,,,,,,,,759,13,24,5,416,4,,,,,,,19,3,,,,,,,10,2,,,,,661,10,9,2,,,664,11,,,,,,,1615,9,,,,,,,,,,,17,3,,,,,60,4,,,111,6,65,8,,,,,149,5,,,,,1013,4,11,3,,,29,4,,,,,,,84,8,,,,,19,3,442,5,,,,,110,9,22,2,,,,,21,1,95,12,23,1,,,,,12,4,,,23,3,,,,,,,13,2,,,533,19
4,5,10816,48386,,,,,,,,,,,436,7,,,,,,,39,1,,,,,,,,,31,2,,,38,2,201,6,,,,,,,,,,,36,2,,,81,4,,,,,,,404,5,,,,,248,6,3977,7,,,,,,,69,8,,,12388,8,,,5515,3,61,5,,,510,6,531,7,,,,,2711,6,,,,,,,,,,,,,,,,,,,,,,,430,8,61,5,,,247,5,,,,,600,3,,,,,,,583,4,,,,,,,,,1963,4,2329,10,,,,,,,,,,,21,2,205,4,,,,,,,,,,,,,,,,,,,75,3,,,,,,,,,,,,,,,,,,,,,,,,,25,2,,,1249,6,18,6,366,5,,,33,1,,,,,,,,,,,,,,,,,1784,4,,,,,2382,3,,,,,183,4,4358,4,,,,,,,,,,,,,,,,,34,5,,,127,5,,,,,,,124,7,,,,,653,7,,,,,,,,,,,,,,,,,,,25,2,301,6,,,,,249,5,,,,,,,,,424,6,,,,,,,30,2,,,29,2,,,,,,,,,,,2202,6
5,6,2093,39842,,,,,,,,,,,110,13,,,,,,,,,,,13,4,,,,,,,,,,,34,14,,,,,8,6,14,3,,,,,,,61,6,13,2,,,,,98,20,,,,,75,18,1298,23,,,,,,,,,,,17185,6,16,6,2664,7,,,,,63,15,158,25,,,,,1073,17,,,,,,,,,10,2,,,,,,,,,7,2,,,112,21,18,7,,,43,13,,,,,93,19,13,8,,,,,136,10,,,,,,,,,647,15,6913,2,,,18,3,9,4,,,15,3,,,193,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,7,,,,,,,,,,,,,511,18,,,54,25,,,,,,,,,,,,,,,,,,,,,403,17,,,,,698,10,,,,,,,1357,12,,,,,10,2,,,,,,,,,,,,,,,48,11,21,13,,,,,,,20,1,,,246,14,,,16,2,,,,,,,,,550,2,,,,,,,110,12,,,,,83,10,,,,,,,,,770,3,,,,,,,,,,,11,6,,,,,,,,,14,1,3775,1
6,7,2162,35217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,20,22,,,,,,,187,15,,,,,33,30,2108,17,,,,,,,,,,,20186,5,,,1453,17,,,,,,,196,18,,,,,1305,14,,,,,7,4,,,,,,,,,,,,,,,,,19,48,,,,,,,,,,,255,8,,,,,,,4,19,,,,,,,7,10,616,17,310,38,,,,,,,5,4,,,,,84,14,,,,,,,,,,,,,,,,,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,41,9,12,,,,,,,,,,,,,,,,,,,,,,,860,8,,,,,412,13,,,,,14,12,4959,3,,,,,,,,,,,,,,,,,6,10,,,,,6,18,,,,,17,17,,,,,223,15,,,,,,,,,,,,,,,,,,,,,58,15,,,,,131,8,,,,,,,,,71,14,,,,,,,,,,,,,,,,,,,,,,,1458,8
7,8,2453,32774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,49,,,2,10,,,139,139,,,,,,,,,,,31706,1,3,38,74,87,,,,,16,20,61,36,,,,,86,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,141,478,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,97,,,,,,,,,,,,,,,,,,,,,,,7,17,,,,,,,,,,,23,60,,,,,,,,,,,,,,,,,,,,,,,,,,,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,53
8,9,2243,29108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,12,,,,,,,,,,,,,,,14,29,,,,,,,,,,,,,,,6309,2,,,,,,,,,,,9279,13,,,,,,,,,,,,,,,,,2632,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,7,,,,,178,12,,,,,,,,,,,,,,,,,742,14,2059,12,,,,,,,,,,,,,82,15,,,,,,,,,,,,,,,,,60,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351,1,,,,,,,,,,,8,4,,,,,,,,,,,,,1827,3,,,,,827,7,,,,,48,9,995,13,,,,,,,,,,,13,4,,,,,,,,,,,220,2,,,,,1005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,27
9,10,2181,25727,,,,,,,,,,,127,12,,,,,,,,,,,,,,,13,2,,,,,,,221,4,,,,,,,,,,,,,,,265,1,,,,,,,164,16,,,,,136,9,1541,21,,,,,,,182,5,,,7498,19,15,7,1369,19,107,3,9,5,,,317,9,,,,,1047,18,,,,,,,,,,,,,,,,,,,,,,,301,10,,,,,132,10,,,,,309,7,,,,,,,293,5,,,,,,,14,6,1312,6,929,18,,,,,,,50,3,,,,,25,39,,,,,,,,,,,,,,,13,3,43,9,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654,14,25,4,178,10,,,,,,,,,,,,,,,,,,,,,1229,5,,,,,322,17,,,,,173,5,2491,8,,,,,,,,,,,4,6,,,,,27,6,,,99,8,75,7,,,,,42,12,18,2,,,1606,1,,,,,,,,,,,,,252,6,,,,,,,282,7,,,,,310,4,19,3,,,,,,,,,,,,,,,,,,,13,4,,,,,,,,,,,1446,9
10,11,811,23912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,5,,,,,,,32,35,,,,,,,2674,13,,,,,,,,,,,8324,17,3,37,2165,9,,,,,,,222,14,,,,,2048,9,,,,,,,,,,,,,,,5,5,,,,,,,772,6,,,,,,,,,,,194,11,,,,,,,,,,,,,,,,,115,61,432,27,,,,,,,,,,,,,175,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749,4,,,61,21,,,,,,,,,,,,,,,,,,,,,626,12,,,,,511,12,,,,,322,2,378,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3003,2
