,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,100436,127,1,30,1,23,1,19,1,23,1,2438,1,12,1,24,1,23,2,388,1,33,1,17,1,17,1,,,32,1,422,1,65,1,115,1,256,1,21,1,25,1,262,1,22,1,341,1,16,1,16,1,27,1,577,2,15,1,41,1,533,1,4338,1,20,1,17,1,454,1,15,1,25901,1,53,1,17537,1,399,1,61,1,2543,1,873,2,55,1,3385,3,,,11,1,22,1,20,1,12,1,8,1,40,1,90,1,13,1,,,1206,1,1967,1,36,1,382,1,14,1,11,1,946,1,191,1,,,13,2,1227,2,19,1,12,1,22,1,80,1,3290,2,3126,2,24,1,25,1,19,2,1085,1,305,1,87,1,349,4,11,2,,,39,1,42,1,24,1,14,1,26,1,11,1,269,2,198,1,11,1,16,2,14,1,76,1,82,1,113,1,509,1,134,2,18,1,28,1,9,1,47,1,15,1,9,1,1038,4,24,1,455,2,12,1,,,15,1,29,1,15,1,14,1,19,1,15,1,,,14,1,2393,2,17,1,18,1,4079,2,11,1,12,1,477,1,4644,2,22,1,12,1,18,1,9,1,12,1,19,1,14,1,12,1,134,2,48,1,259,1,231,1,,,360,1,284,2,,,17,1,793,1,26,2,,,170,2,,,109,1,568,1,25,1,80,1,390,2,19,1,,,447,2,63,1,223,1,28,1,15,1,2151,1,,,15,1,,,12,2,,,20,1,16,1,37,1,18,1,16,1,,,2465,4
1,2,2223,58168,,,,,,,,,,,667,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,3,,,,,,,672,1,,,,,210,3,1953,12,,,,,,,,,15105,3,,,4457,2,,,,,2341,3,1361,1,,,3946,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2,,,,,157,8,,,,,,,,,5208,1,3087,3,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,413,1,,,,,,,,,,,13,2,,,,,58,4,,,,,,,,,,,,,616,10,,,558,1,,,,,,,,,,,,,,,,,,,,,2723,1,,,,,5626,1,,,,,,,2113,6,,,,,,,,,,,,,,,,,,,7,3,,,150,2,,,,,55,7,,,,,199,9,,,,,,,,,,,406,3,,,,,2268,1,,,,,325,3,,,,,,,,,960,2,,,,,,,,,,,5,7,,,,,,,,,,,2391,5
2,3,10816,40478,,,,,,,,,,,266,6,,,,,22,3,,,,,,,17,2,,,13,2,129,6,,,,,,,,,,,18,3,,,34,15,,,,,,,202,8,,,,,115,7,2850,6,,,,,62,7,,,15013,4,,,2841,4,61,5,,,505,5,338,6,,,1963,5,,,,,,,,,,,,,,,,,,,,,338,6,54,5,,,130,6,,,,,352,3,,,,,,,207,6,,,,,,,,,2163,3,2050,7,,,,,,,,,,,12,3,376,2,,,,,,,,,,,,,,,,,,,46,5,,,,,,,,,,,,,,,,,,,,,,,,,14,2,,,660,9,20,3,141,6,,,14,1,,,,,,,,,,,,,,,,,1666,3,,,,,1180,3,,,,,154,3,3047,5,,,,,,,,,,,,,,,,,24,6,,,94,3,,,,,,,58,6,,,,,420,4,,,,,,,,,15,3,,,,,15,2,45,9,,,,,154,6,,,,,,,,,273,8,,,,,,,13,1,,,10,3,,,,,,,,,,,2284,6
3,4,1406,38952,39,2,,,,,,,,,22,16,,,,,25,1,30,3,,,,,,,,,,,270,2,,,,,,,,,,,,,,,57,4,,,,,,,113,13,,,9,5,182,4,2514,8,,,,,365,3,,,15966,2,10,7,3207,3,42,6,18,3,355,6,674,4,,,2034,4,30,1,,,,,4,3,,,,,,,,,,,,,609,4,,,,,220,3,,,,,125,13,46,4,,,5,3,2587,1,,,,,,,5,7,1146,5,2070,6,,,10,2,10,4,,,,,,,,,,,,,,,2,9,,,,,,,,,53,6,20,8,,,,,,,,,,,,,,,32,7,,,,,,,,,,,,,1034,5,6,9,268,3,,,,,,,,,,,,,,,,,,,,,359,16,,,,,433,12,,,,,85,8,1645,8,,,,,,,,,,,6,5,3,3,,,168,1,,,16,14,42,6,,,,,185,4,,,,,561,3,,,,,,,,,,,,,,,,,57,8,,,,,104,7,3,4,,,,,,,174,9,,,,,,,6,4,,,3,8,,,,,,,8,3,,,880,12
4,5,2397,29628,10,3,11,2,,,10,2,,,983,2,,,,,7,6,96,2,,,4,3,,,,,12,3,264,3,,,,,8,4,,,11,3,18,2,,,51,7,,,4,2,2,2,216,5,,,13,2,353,2,2898,4,,,,,338,4,,,10596,7,20,3,1656,8,37,8,22,2,2389,2,143,12,,,1269,10,,,,,12,2,,,,,,,22,2,,,,,,,680,3,,,9,2,151,4,,,,,288,5,51,3,,,17,1,32,13,,,,,16,2,26,2,794,9,1506,10,,,,,,,68,2,13,2,,,24,23,15,1,,,,,18,2,,,,,15,2,2,3,59,5,48,3,,,,,,,48,2,3,7,,,,,9,10,,,,,,,,,,,,,512,14,21,2,199,5,,,,,,,6,4,,,,,,,3,2,,,,,416,13,2,2,,,468,10,,,,,,,1131,11,,,,,,,,,,,13,2,,,,,57,4,,,74,6,36,7,,,,,103,5,,,,,281,7,13,3,,,18,5,,,,,46,10,,,4,3,188,3,,,,,91,8,10,3,,,,,6,2,74,11,20,1,,,,,10,3,,,3,9,,,,,,,10,2,,,446,16
5,6,2093,27870,,,,,,,,,,,54,11,,,,,,,8,5,,,,,,,,,,,31,13,,,,,5,5,3,4,,,,,,,48,8,4,2,,,,,54,19,,,,,56,18,997,21,,,,,,,,,12156,5,4,22,1074,18,,,,,54,15,97,23,,,1010,15,,,,,,,,,3,2,,,,,,,3,2,,,82,24,14,7,,,42,13,,,,,76,18,2,10,,,,,121,10,,,,,,,,,458,20,4298,1,,,10,3,13,3,,,2,4,,,156,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,6,,,,,,,,,,,,,1062,3,,,67,12,,,,,,,,,,,,,,,,,,,,,244,22,,,,,468,9,,,,,,,1098,12,,,,,1,2,,,,,,,,,,,,,,,38,11,7,16,,,,,,,11,1,,,158,13,,,4,2,,,,,,,312,4,,,,,28,18,,,,,45,16,,,,,,,,,579,5,,,,,,,,,,,7,4,,,,,,,,,2,2,2766,2
6,7,463,26394,,,2,4,,,,,,,,,,,,,,,8,4,,,,,,,,,,,22,14,,,,,,,,,3,6,,,,,43,9,,,,,,,226,4,,,,,105,10,2064,11,,,,,,,,,11956,6,2,33,1484,11,6,20,2,15,12,23,111,18,,,1368,9,,,,,,,,,,,,,,,,,,,,,104,17,,,,,34,14,,,,,71,19,,,,,,,38,12,,,,,,,,,905,7,2983,4,,,,,,,,,,,,,59,11,,,,,,,5,6,,,,,,,,,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,17,1,18,46,18,,,,,,,,,,,,,,,,,,,,,443,11,,,,,1106,4,,,,,,,1506,9,,,,,,,,,,,,,,,,,,,,,,,22,9,,,,,50,8,,,,,161,11,,,,,,,,,,,60,8,,,,,27,19,,,,,64,12,,,,,,,,,35,12,,,,,,,,,,,,,,,,,,,,,,,902,11
7,8,2181,22810,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,174,5,,,,,,,,,,,,,,,19,22,,,,,,,131,11,,,,,109,9,1578,14,,,,,196,5,,,7105,10,13,5,1192,17,158,2,9,5,,,326,7,,,1526,8,,,,,,,,,,,,,,,,,,,,,252,8,,,,,64,10,,,,,181,8,,,,,,,240,5,,,,,,,7,6,587,14,1668,9,,,,,,,39,3,,,,,44,14,,,,,,,,,,,,,,,7,2,35,7,47,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,12,10,6,137,7,,,,,,,,,,,,,,,,,,,,,1316,4,,,,,280,16,,,,,114,6,1858,7,,,,,,,,,,,8,3,,,,,27,5,,,68,8,23,8,,,,,28,11,11,2,,,777,2,,,,,,,,,,,260,5,,,,,113,5,,,,,194,5,22,2,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,1245,9
8,9,2162,19429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,10,36,,,,,,,138,9,,,,,27,29,1110,18,,,,,,,,,9312,9,,,661,26,,,,,,,76,26,,,749,18,,,,,2,3,,,,,,,,,,,,,,,17,42,,,,,,,,,,,349,4,,,,,,,4,19,,,,,,,3,9,473,19,5,112,,,,,,,3,4,,,,,64,10,,,,,,,,,,,,,,,,,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,49,2,14,,,,,,,,,,,,,,,,,,,,,,,469,10,,,,,199,22,,,,,15,10,4307,3,,,,,,,,,,,,,,,,,5,9,,,,,4,19,,,,,14,12,,,,,69,24,,,,,,,,,,,,,,,,,24,21,,,,,82,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136,10
9,10,2425,16982,,,,,,,,,,,44,13,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,30,16,,,,,,,116,12,,,,,113,8,1322,16,,,,,,,,,4165,21,6,13,1327,14,,,4,12,182,8,181,8,,,998,16,,,,,,,,,,,,,,,,,,,,,164,10,,,,,,,,,,,164,9,,,,,,,,,,,,,,,,,864,8,527,20,,,,,,,,,,,,,15,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,24,,,,,,,,,,,,,,,,,,,,,,,,,884,5,,,,,885,5,,,,,144,4,3983,4,,,,,,,,,,,,,,,,,,,,,61,9,,,,,,,,,,,,,168,10,,,,,3,7,,,,,,,,,,,,,,,,,238,4,,,,,,,,,20,16,,,,,,,,,,,,,,,,,,,,,,,169,29
