,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,121960,141,1,27,1,12,1,23,1,14,1,3648,1,11,1,16,1,26,1,437,1,32,1,13,1,11,1,,,27,2,458,2,39,1,45,1,385,1,16,1,53,1,240,1,16,1,272,1,14,1,10,1,12,1,676,1,12,1,74,1,465,2,5856,2,7,1,9,1,580,2,,,32253,1,61,1,15023,1,528,1,55,1,2101,3,1047,2,34,1,4330,1,,,15,1,14,1,27,1,7,2,13,1,54,1,183,1,15,1,1455,2,1610,1,16,1,450,1,14,1,13,1,1047,1,290,1,22,1,1356,2,21,1,14,1,25,1,63,1,3974,2,10829,1,20,1,15,1,16,2,269,1,665,1,79,1,418,3,16,1,,,44,1,71,1,19,1,32,1,8,2,263,3,250,1,12,1,16,2,,,71,2,120,1,141,1,843,1,217,2,16,1,22,1,10,1,27,1,14,1,4,1,1104,5,34,1,453,2,3,1,,,15,1,15,1,10,1,8,1,11,1,12,1,,,25,1,2580,2,12,1,19,1,4643,1,15,1,322,1,7943,2,12,1,15,1,10,1,33,1,23,1,10,1,134,3,69,1,292,1,236,1,,,253,1,321,3,,,17,2,1146,1,23,2,,,190,1,,,57,1,1,1,764,1,39,1,134,1,655,1,21,1,,,314,3,64,1,216,1,26,1,15,1,1757,1,,,19,1,,,18,1,,,18,1,12,1,21,1,9,1,15,1,,,3443,1
1,2,2223,55974,,,,,,,,,,,590,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,14,,,,,,,506,3,,,,,,,1816,14,,,,,,,,,13684,6,,,4032,2,,,,,5191,1,1287,1,,,2755,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3,,,193,8,,,,,,,,,7620,1,1784,8,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,623,1,,,,,,,,,,,17,3,,,,,29,6,,,,,,,,,,,,,536,13,,,743,1,,,,,,,,,,,,,,,,,,,,,3322,1,,,,,4438,2,,,,,2056,7,,,,,,,,,,,,,,,19,2,,,106,2,,,,,114,5,,,,,232,9,,,,,,,,,,,,,259,3,,,,,174,4,,,,,337,2,,,,,,,,,615,2,,,,,,,,,,,7,3,,,,,,,,,,,2838,4
2,3,1406,46757,38,2,,,,,,,,,25,15,,,,,6,5,23,3,,,,,,,,,,,257,4,,,,,,,,,,,,,,,36,9,,,,,,,137,10,,,6,4,253,3,3703,5,,,,,694,1,,,18514,2,13,7,3926,3,31,5,7,4,449,6,1003,3,,,2640,5,18,1,,,,,5,2,,,,,,,,,,,667,5,,,,,363,2,,,,,183,10,20,4,5,3,1706,1,,,,,,,11,3,1549,5,2175,6,,,2,3,10,3,,,,,,,,,,,,,,,4,6,,,,,,,95,4,,,,,,,,,,,,,,,,,64,4,,,,,,,,,,,,,1474,1,3,15,327,3,,,,,,,,,,,,,,,,,,,,,531,13,,,,,416,12,,,155,3,2309,6,,,,,,,6,2,7,2,,,358,1,,,28,12,41,6,,,,,497,2,,,,,710,3,,,,,,,,,,,,,,,,,,,64,9,,,,,96,9,,,,,,,,,107,8,,,,,,,5,2,,,6,4,,,,,,,5,2,,,974,8
3,4,10816,38237,,,,,,,,,,,582,4,,,,,7,4,,,,,,,10,2,,,7,4,136,7,,,,,,,,,,,19,3,,,26,13,,,,,,,233,7,,,,,164,4,2969,8,,,,,51,8,,,14055,5,,,3246,4,51,4,,,760,5,350,6,,,2564,6,,,,,,,,,,,,,,,,,,,420,6,35,6,,,267,5,,,,,542,3,,,,,126,11,,,,,,,,,1588,4,2503,5,,,,,,,,,,,6,3,203,4,,,,,,,,,,,,,,,,,49,4,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,856,9,7,9,182,5,,,5,1,,,,,,,,,,,,,,,,,963,6,,,,,805,5,,,107,6,3212,4,,,,,,,,,,,,,87,4,,,75,5,,,,,,,,,,,,,479,4,,,,,,,,,6,4,,,,,,,8,4,84,8,,,,,133,6,,,,,,,,,233,6,,,,,,,3,4,,,,,,,,,,,,,,,12,131
4,5,2397,38137,18,3,15,2,,,7,2,,,794,2,,,,,7,3,93,2,,,4,3,,,,,11,3,476,1,,,,,11,4,,,24,2,21,2,,,60,3,,,4,2,11,2,270,5,,,9,3,566,1,4034,4,,,,,383,4,,,14133,4,16,4,1934,10,26,6,16,2,3862,2,260,7,,,1626,8,,,,,8,2,,,,,,,11,2,,,,,1071,3,,,9,2,165,6,,,,,313,4,43,2,8,2,263,6,,,,,6,3,10,5,746,15,1293,10,,,,,,,66,2,18,2,,,44,17,8,2,,,,,15,2,,,,,9,1,70,6,34,7,,,,,,,90,1,6,5,,,,,12,8,,,,,,,,,,,,,422,16,18,3,295,4,,,,,,,12,3,,,,,,,5,2,,,,,680,8,4,2,,,641,8,,,,,1479,10,,,,,,,6,3,,,,,47,5,,,48,10,47,5,,,,,125,4,,,,,391,6,10,3,,,9,6,,,,,,,54,8,,,10,3,189,3,,,,,63,12,13,3,,,,,9,2,55,9,16,1,,,,,5,3,,,,,,,,,,,4,3,,,471,16
5,6,2093,30990,,,,,,,,,,,62,11,,,,,,,15,5,,,,,,,,,,,43,11,,,,,9,5,6,3,,,,,,,29,11,7,2,,,,,99,15,,,,,54,19,1257,22,,,,,,,,,13636,7,15,6,1349,15,,,,,46,15,108,24,,,830,19,,,,,,,,,13,1,,,,,,,7,2,69,22,13,7,,,58,13,,,,,62,24,6,6,,,151,10,,,,,,,,,792,13,4526,3,,,14,2,6,5,,,3,3,,,152,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,5,,,,,,,,,,,,,340,19,,,57,20,,,,,,,,,,,,,,,,,,,,,316,23,,,,,443,11,,,,,1894,8,,,,,4,2,,,,,,,,,,,49,9,14,11,,,,,,,10,1,,,229,10,,,9,2,,,,,,,,,289,2,,,,,29,21,,,,,43,14,,,,,,,,,452,4,,,,,,,,,,,18,2,,,,,,,,,7,1,3292,3
6,7,29351,26428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,,,,,,,,,,,,,,,,,,,,,,,,,59,22,,,,,,,3103,7,,,,,,,,,3898,31,,,160,50,141,2,,,,,89,27,,,114,87,,,,,,,,,,,,,,,,,,,329,7,,,,,,,,,,,31,29,16,5,,,,,,,,,,,,,,,197,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,2,82,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,40,,,,,,,,,,,,,,,,,,,,,,,,,618,12,,,,,,,,,,,15355,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,25,,,,,,,,,,,,,,,,,,,,,,,,,1130,1,,,,,,,,,426,5,,,,,,,,,,,,,,,,,,,,,,,58,58
7,8,2181,24729,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,235,5,,,,,,,,,,,,,,,22,18,,,,,,,133,11,,,,,158,5,2611,12,,,,,271,5,,,8405,12,16,3,2305,6,112,3,6,6,,,198,9,,,1134,13,,,,,,,,,,,,,,,,,,,284,8,,,,,104,10,,,,,255,5,,,,,235,7,,,,,,,13,2,64,93,1030,12,,,,,,,34,3,,,,,27,22,,,,,,,,,,,,,6,3,36,9,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,12,7,6,163,7,,,,,,,,,,,,,,,,,,,,,1305,3,,,,,289,17,,,117,5,1841,9,,,,,,,5,5,,,,,33,6,,,62,8,33,8,,,,,,,5,2,,,968,2,,,,,,,,,,,,,129,6,,,,,125,5,,,,,138,5,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113,6
8,9,463,23586,,,7,3,,,,,,,,,,,,,,,8,6,,,,,,,,,,,22,14,,,,,,,,,7,5,,,,,27,12,,,,,,,216,8,,,,,81,12,2128,13,,,,,,,,,12554,8,6,17,,,17,12,4,8,18,18,121,21,,,1011,14,,,,,,,,,,,,,,,,,,,91,21,,,,,19,15,,,,,74,23,,,,,52,14,,,,,,,,,975,10,1834,7,,,,,,,,,,,,,62,13,,,,,,,6,5,,,,,,,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,21,4,12,55,23,,,,,,,,,,,,,,,,,,,,,417,18,,,,,759,6,,,,,1450,11,,,,,,,,,,,,,,,,,,,12,13,,,,,27,9,,,,,190,13,,,,,,,,,,,,,50,9,,,,,30,20,,,,,163,4,,,,,,,,,29,11,,,,,,,,,,,,,,,,,,,,,,,742,10
9,10,2162,20684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,3,69,,,,,,,80,17,,,,,51,20,1182,23,,,,,,,,,9749,10,,,567,29,,,,,,,97,25,,,750,22,,,,,,,,,,,,,,,,,,,16,42,,,,,,,,,,,133,18,,,,,,,,,,,,,5,8,588,21,3,108,,,,,,,5,4,,,,,58,14,,,,,,,,,,,,,,,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,46,3,16,,,,,,,,,,,,,,,,,,,,,,,521,14,,,,,164,24,,,21,10,5570,3,,,,,,,,,,,,,,,,,,,4,16,,,,,,,,,,,96,21,,,,,,,,,,,,,,,,,,,35,18,,,,,97,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795,9
