,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,94041,265,1,66,1,21,1,26,1,15,1,3369,1,14,1,22,1,27,1,220,1,63,1,28,1,23,1,,,35,1,523,1,58,1,57,1,282,1,14,1,55,1,232,1,20,1,160,1,22,1,12,1,37,1,604,3,13,1,32,1,424,2,4124,2,25,1,15,1,427,3,,,30788,1,62,1,9036,1,746,1,30,1,1789,3,961,2,25,1,3140,2,,,22,1,31,1,32,1,16,1,19,1,40,1,167,1,18,1,1285,1,2683,1,22,1,320,3,13,1,19,1,818,1,165,1,14,1,1050,2,16,1,13,1,30,1,77,1,3040,3,3028,4,23,1,22,1,22,1,395,1,156,1,80,1,335,2,13,1,,,14,1,39,1,27,1,18,1,23,1,15,1,264,3,207,1,15,1,19,2,,,108,1,133,1,54,1,766,1,135,2,27,1,9,1,13,1,17,1,17,1,16,1,743,4,33,1,303,3,5,1,,,8,1,19,1,16,1,13,1,9,1,23,1,,,20,1,1836,2,19,1,27,1,3841,2,17,1,289,1,4881,4,13,1,16,1,13,1,20,1,15,1,15,1,100,3,62,1,232,1,221,2,,,142,1,275,3,,,22,1,769,2,46,1,,,295,1,,,88,1,641,1,24,1,215,1,271,2,19,1,,,371,3,65,1,129,1,38,1,18,1,1568,1,,,16,1,,,18,1,,,20,1,13,1,12,1,11,1,23,1,,,2296,5
1,2,2223,63562,,,,,,,,,,,940,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,7,,,,,,,1413,1,,,,,324,3,1627,13,,,,,,,,,14467,4,,,4117,2,,,,,2208,1,1669,1,,,2723,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3,,,143,7,,,,,,,,,11906,1,1485,8,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,555,1,,,,,,,,,,,10,5,,,,,53,4,,,,,,,,,,,,,561,9,,,866,1,,,,,,,,,,,,,,,,,,,,,3719,1,,,,,7220,1,,,,,2665,5,,,,,,,,,,,,,,,5,4,,,278,1,,,,,118,6,,,,,242,10,,,,,,,,,,,366,2,,,,,295,1,,,,,456,2,,,,,,,,,650,2,,,,,,,,,,,1,7,,,,,,,,,,,2413,4
2,3,10816,41534,,,,,,,,,,,529,4,,,,,10,2,,,,,,,12,2,,,12,3,203,6,,,,,,,,,,,16,3,,,29,12,,,,,,,240,7,,,,,186,4,2613,8,,,,,56,9,,,14850,3,,,2960,4,58,5,,,287,6,395,6,,,1970,6,,,,,,,,,,,,,,,,,,,375,6,32,6,,,128,8,,,,,649,3,,,,,95,9,,,,,,,,,1642,4,2689,5,,,,,,,,,,,8,2,199,5,,,,,,,,,,,,,,,,,,,73,3,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,692,8,8,6,198,5,,,12,1,,,,,,,,,,,,,,,,,966,5,,,,,818,6,,,98,6,5324,3,,,,,,,,,,,,,47,5,,,89,5,,,,,,,,,,,,,459,4,,,,,,,,,13,2,,,,,10,4,92,6,,,,,193,4,,,,,,,,,188,8,,,,,,,6,3,,,5,4,,,,,,,,,,,1990,6
3,4,1406,39513,33,2,,,,,,,,,29,16,,,,,7,3,17,3,,,,,,,,,,,237,4,,,,,,,,,,,,,,,15,26,,,,,,,172,10,,,11,3,150,6,2427,9,,,,,567,1,,,16102,2,15,3,3519,3,63,4,6,6,316,5,664,3,,,1672,8,28,1,,,,,5,3,,,,,,,,,,,535,3,,,,,348,2,,,,,169,10,31,4,5,2,2607,1,,,,,,,11,4,1278,7,1705,7,,,13,2,11,4,,,,,,,,,,,,,,,9,5,,,,,,,,,100,4,,,,,,,,,,,,,,,,,35,5,,,,,,,,,,,,,950,3,5,13,252,4,,,,,,,,,,,,,,,,,,,,,386,15,,,,,360,11,,,104,5,1536,11,,,,,,,8,3,8,2,,,348,1,,,40,11,63,5,,,,,540,2,,,,,363,6,,,,,,,,,,,,,,,,,66,7,,,,,75,8,,,,,,,,,200,7,,,,,,,5,4,,,9,2,,,,,,,6,2,,,1277,9
4,5,2397,33986,7,4,11,2,,,8,2,,,940,3,,,,,7,4,91,2,,,8,2,,,,,4,4,492,2,,,,,15,4,,,29,2,34,2,,,52,3,,,7,2,5,2,276,6,,,4,9,521,1,3187,5,,,,,445,2,,,11859,6,9,14,1567,10,29,10,15,2,1881,2,257,7,,,1772,7,,,,,9,2,,,,,,,26,2,,,,,750,2,,,6,2,167,6,,,,,305,5,68,2,5,3,47,13,,,,,4,5,12,3,1289,6,1341,9,,,,,,,86,2,15,2,,,33,21,6,2,,,,,13,2,,,,,8,2,9,3,48,7,35,6,,,,,,,72,2,5,7,,,,,3,10,,,,,,,,,,,,,380,15,6,10,324,2,,,,,,,6,6,,,,,,,3,2,,,,,605,8,3,2,,,631,8,,,,,2462,6,,,,,,,5,5,,,,,37,6,,,78,6,63,6,,,,,174,5,,,,,443,5,14,3,,,9,5,,,,,48,8,,,11,3,220,4,,,,,68,10,10,3,,,,,4,2,62,10,13,1,,,,,7,2,,,4,5,,,,,,,5,3,,,397,18
5,6,463,26662,,,7,3,,,,,,,,,,,,,,,9,6,,,,,,,,,,,34,15,,,,,,,,,3,7,,,,,19,18,,,,,,,230,9,,,,,59,15,1620,14,,,,,,,,,12233,5,2,41,,,11,16,4,9,11,19,134,18,,,1388,10,,,,,,,,,,,,,,,,,,,71,21,,,,,27,14,,,,,63,23,,,,,26,14,,,,,,,,,861,9,4699,1,,,,,,,,,,,,,87,11,,,,,,,3,8,,,,,,,,,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,16,2,16,53,14,,,,,,,,,,,,,,,,,,,,,400,14,,,,,840,5,,,,,1636,10,,,,,,,,,,,,,,,,,,,9,15,,,,,18,10,,,,,138,12,,,,,,,,,,,31,10,,,,,22,20,,,,,52,12,,,,,,,,,34,13,,,,,,,,,,,,,,,,,,,,,,,1455,7
6,7,2093,23628,,,,,,,,,,,74,11,,,,,,,16,4,,,,,,,,,,,42,13,,,,,9,5,13,2,,,,,,,26,13,8,2,,,,,75,21,,,,,44,18,844,24,,,,,,,,,9426,9,10,10,949,16,,,,,43,15,103,24,,,674,21,,,,,,,,,10,2,,,,,,,13,2,70,22,17,7,,,54,13,,,,,99,20,7,6,,,90,10,,,,,,,,,508,16,4154,2,,,8,3,8,5,,,,,,,149,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,6,,,,,,,,,,,,,209,22,,,51,15,,,,,,,,,,,,,,,,,,,,,253,21,,,,,359,12,,,,,1239,13,,,,,9,2,,,,,,,,,,,45,10,28,11,,,,,,,15,2,,,332,7,,,13,2,,,,,,,215,5,,,,,56,9,,,,,46,13,,,,,,,,,523,4,,,,,,,,,,,8,3,,,,,,,,,10,1,2639,3
7,8,29351,22751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,,,,,,,,,,,,,,,,,,,,,,,,,114,14,,,,,,,2806,6,,,,,,,,,3750,23,,,177,48,135,2,,,,,157,15,,,124,77,,,,,,,,,,,,,,,,,,,250,8,,,,,,,,,,,41,26,11,5,,,,,,,,,,,,,,,120,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,2,111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,37,,,,,,,,,,,,,,,,,,,,,,,,,772,6,,,,,,,,,,,12201,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,30,,,,,,,,,,,,,,,,,,,,,,,949,1,,,,,,,,,436,5,,,,,,,,,,,,,,,,,,,,,,,73,49
8,9,25821,22528,,,,,,,,,,,413,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3962,3,,,,,,,,,1272,72,10,12,1782,8,,,,,,,,,,,6598,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3283,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,6,,,,,,,,,,,,,,,,,,,,,,,3100,2
9,10,2162,21019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,,10,41,,,,,,,110,16,,,,,33,23,1172,16,,,,,,,,,10101,8,,,566,26,,,,,,,109,22,,,637,22,,,,,4,4,,,,,,,,,,,,,26,36,,,,,,,,,,,206,8,,,,,,,,,,,,,7,7,610,12,4,109,,,,,,,4,4,,,,,54,14,,,,,,,,,,,,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,52,5,14,,,,,,,,,,,,,,,,,,,,,,,538,9,,,,,173,22,,,16,11,5425,2,,,,,,,,,,,,,4,11,,,,,6,16,,,,,11,12,,,,,102,17,,,,,,,,,,,,,,,,,18,24,,,,,72,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,12
