bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
463,22571,11,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,24,14,,,,,,,,,14,4,,,,,24,18,,,,,,,269,7,,,,,73,14,1871,15,,,,,,,,,12341,5,11,9,,,11,13,13,4,,,116,17,,,,,,,,,,,,,,,,,,,,,,,69,20,,,,,31,13,,,,,86,23,,,,,35,13,,,,,,,,,855,13,2100,5,,,,,,,,,,,,,39,14,,,,,14,2,,,,,,,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,18,14,7,51,17,,,,,,,,,,,,,,,,,509,15,,,,,879,3,,,,,1793,10,,,,,,,,,,,,,,,,,,,24,10,,,,,18,8,,,,,144,16,,,,,,,,,,,47,9,,,,,86,17,,,,,58,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,9
181,19035,12,17,4,,,,,,,,,254,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,,,,,,,,,,,,,121,8,2288,12,,,,,,,,,9327,12,,,1874,6,,,5,11,,,106,19,,,1390,11,,,,,,,,,,,,,,,,,,,128,12,,,,,240,4,,,,,217,15,,,,,,,,,,,,,,,245,44,168,38,,,,,,,,,,,,,,,,,,,6,6,,,,,,,54,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,15,,,67,12,,,,,,,,,,,,,,,,,314,21,,,,,192,23,,,,,879,19,,,,,,,,,,,,,122,3,,,,,,,,,3,2,,,,,,,292,7,,,,,,,,,,,16,12,,,,,117,13,,,,,15,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,30
13,17116,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,15,,,,,,,142,14,,,8,3,63,17,1695,16,,,,,,,,,7872,13,4,34,1545,10,,,7,8,,,,,5,2,924,16,,,,,,,,,,,,,,,,,,,412,4,,,,,,,,,,,282,10,,,,,,,,,,,,,,,495,28,1126,11,,,,,,,,,,,,,107,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,123,12,8,50,18,,,,,,,,,,,,,,,,,345,18,,,,,346,14,,,47,9,884,18,,,,,,,,,,,,,,,,,14,15,42,9,,,,,72,5,,,,,196,10,,,,,,,,,,,,,,,,,29,26,,,,,,,,,,,,,,,18,13,,,,,,,,,,,,,,,,,,,,,344,15
320,16933,14,,,,,,,,,,,138,7,,,,,,,,,,,,,26,1,,,99,9,,,,,,,,,12,5,,,,,42,7,,,,,,,113,16,,,3,8,32,25,1450,22,,,,,115,6,,,5868,19,13,7,1372,12,28,7,,,25,15,151,13,,,1548,9,,,,,,,3,3,,,5,2,,,28,2,,,78,17,64,4,,,,,,,,,317,5,,,,,467,5,,,,,,,12,5,277,42,305,28,,,,,5,4,,,,,7,3,40,13,,,,,11,5,,,,,,,21,10,,,,,,,,,6,5,,,,,29,6,,,,,,,,,,,,,721,11,15,6,48,19,,,,,,,,,,,,,,,,,780,7,,,,,232,19,,,56,7,1526,12,,,,,,,,,6,3,,,,,,,57,9,81,4,,,,,,,,,,,110,19,,,,,9,6,,,12,4,23,10,,,,,148,12,,,5,1,70,10,,,,,,,,,57,10,,,,,,,,,,,,,,,,,,,,,267,17
2243,16757,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,10,,,,,,,,,,,,,,,5,50,,,,,,,,,,,,,,,3934,6,,,,,,,,,6432,17,,,,,,,,,,,,,,,1975,6,,,,,,,,,,,,,,,,,,,,,,,,,104,9,,,,,285,9,,,,,,,,,,,,,,,617,21,163,40,,,,,,,,,,,,,17,39,,,,,,,,,,,,,55,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978,5,,,,,,,,,,,,,,,,,,,,,69,41,,,,,562,9,,,26,10,979,16,,,,,,,4,5,,,,,,,,,,,77,5,,,,,396,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,51
1294,16057,16,,,,,,,,,,,35,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,28,,,,,,,,,,,,,67,15,1224,25,,,,,,,,,7427,16,8,18,946,19,,,,,,,185,11,,,2356,5,,,,,,,,,,,,,,,,,,,157,10,,,,,,,,,,,196,17,,,,,35,14,,,,,3,3,,,1452,5,,,,,,,,,,,,,,,33,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,600,12,,,45,21,,,,,5,5,,,,,,,,,,,74,39,,,,,,,,,,,769,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,12,,,,,,,,,,,,,,,,,36,24,,,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,21
2425,15262,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,19,24,,,,,,,,,,,,,113,10,1078,29,,,,,,,,,5024,21,7,22,1127,15,,,7,9,69,9,208,7,,,1162,13,,,,,,,,,,,,,,,,,,,95,15,,,,,,,,,,,100,22,,,,,,,,,,,,,,,934,10,664,16,,,,,,,,,,,,,13,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,23,,,,,,,,,,,,,,,,,,,,,343,19,,,,,534,10,,,197,3,2862,7,,,,,,,,,,,,,,,,,72,8,,,,,,,,,,,,,122,17,,,,,6,7,,,,,,,,,,,,,,,,,80,9,,,,,,,,,14,14,,,,,,,,,,,,,,,,,,,,,155,24
25821,14355,18,,,,,,,,,,,70,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4264,4,,,,,,,,,884,89,7,25,1297,13,,,,,,,,,,,4085,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2441,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289,3,,,,,,,,,,,,,,,,,,,,,,,,,,,18,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27443,13118,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,27,,,,,,,180,11,,,4,7,49,18,996,32,,,,,,,,,741,109,7,26,724,22,28,8,,,,,97,21,,,426,40,,,,,,,,,,,,,,,,,,,,,,,,,77,12,,,,,,,,,,,,,,,,,,,,,465,29,2054,7,,,,,,,,,,,,,1637,1,,,,,,,,,,,,,,,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,942,6,,,,,,,,,,,,,,,,,,,,,556,13,,,,,578,8,,,,,862,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2629,1
2719,12952,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,78,,,,,,,9,49,,,,,17,41,689,42,,,,,,,,,10295,9,11,10,382,31,,,,,,,48,34,,,708,26,,,,,,,,,,,,,,,,,,,71,19,,,,,,,,,,,19,37,,,,,,,,,,,,,,,175,54,,,,,,,,,,,,,,,10,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,45,,,,,,,,,,,,,,,,,,,,,54,49,,,,,,,,,,,166,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,38,,,,,,,,,,,,,,,,,,,,,,,9,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,27
