,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,2223,159570,,,,,,,,,,,7205,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,10,,,,,,,1695,1,,,,,222,5,3923,11,,,,,,,,,,,35973,3,,,12657,3,,,,,11862,1,2240,1,,,,,10324,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,4,,,,,215,10,,,,,,,,,16416,1,4674,3,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,374,3,,,,,,,,,,,90,3,,,,,391,2,,,,,,,,,,,,,1385,10,,,860,1,,,,,,,,,,,,,,,,,,,,,7317,1,,,,,26587,1,,,,,,,5108,6,,,,,,,,,,,,,,,,,,,19,4,,,675,1,,,,,272,8,,,,,248,9,,,,,,,,,,,,,405,4,,,,,2790,1,,,,,562,3,,,,,,,,,2143,1,,,,,,,,,,,9,8,,,,,,,,,,,2748,3
1,2,171,155506,171,1,57,1,59,1,41,1,44,1,5489,2,45,1,43,1,33,1,541,1,54,1,33,1,44,1,,,42,1,1071,2,348,1,191,1,488,1,44,1,58,1,710,1,40,1,466,1,37,1,25,1,44,1,1230,2,22,1,82,1,436,2,9650,2,35,1,47,1,37,1,990,4,39,1,37098,1,72,1,20668,1,722,1,125,1,3706,3,1480,3,40,1,40,1,6350,6,,,46,1,34,1,43,1,41,1,45,1,44,1,48,1,544,1,41,1,,,2232,3,2215,1,220,1,961,6,40,1,34,1,1785,1,672,1,,,40,1,1654,3,41,1,42,1,58,1,102,1,9350,2,2888,5,46,1,61,1,26,2,621,1,534,1,182,1,391,3,36,1,,,84,1,59,1,49,1,26,1,39,1,46,1,467,2,285,1,35,1,36,1,37,2,174,2,255,1,114,1,2348,1,234,4,44,1,51,1,35,1,39,1,33,1,31,1,1674,8,24,4,626,3,38,1,,,44,1,23,2,34,1,41,1,32,1,30,1,,,28,1,3975,3,52,1,35,1,4441,2,40,1,44,1,502,4,7757,2,31,1,44,1,36,1,39,1,36,1,54,1,35,1,36,1,257,3,183,1,464,1,421,3,,,562,1,655,6,,,43,2,900,3,57,1,,,339,3,,,665,1,1,1,647,2,75,1,117,1,1792,4,34,1,,,472,4,116,1,275,1,52,1,38,1,2008,2,,,35,1,,,20,1,,,46,1,31,1,39,1,28,1,38,1,,,2620,5
2,3,1406,122016,76,2,,,,,,,,,25,22,,,,,11,4,121,3,,,,,,,,,,,976,3,,,,,,,,,,,,,,,129,6,,,,,,,441,8,,,12,3,361,3,6457,6,,,,,,,3410,1,,,36549,2,13,6,13701,2,107,4,16,3,889,6,1637,2,,,,,8238,3,62,1,,,,,14,2,,,,,,,,,,,,,,,2361,2,,,,,3623,1,,,,,408,10,113,3,,,19,3,6678,1,,,,,,,18,4,3756,5,4141,4,,,27,2,19,3,,,,,,,98,13,,,,,,,7,6,,,,,,,,,261,4,67,6,,,,,,,,,,,,,,,342,3,,,,,,,,,,,,,4852,1,12,7,724,2,,,,,,,34,1,,,,,,,,,,,,,1341,12,,,,,1363,8,,,,,287,6,6688,4,,,,,,,,,,,16,3,8,2,,,5347,1,,,61,11,210,5,,,,,2161,3,,,,,1003,2,,,,,,,,,,,,,,,,,,,463,9,,,,,436,5,13,4,,,,,,,313,8,,,,,,,10,4,,,18,2,,,,,,,14,3,,,1459,8
3,4,2397,76409,18,3,26,2,,,20,2,,,3056,4,,,,,14,3,256,2,,,15,2,,,,,13,3,873,4,,,,,26,5,,,29,2,22,2,,,119,7,,,22,2,18,2,517,6,,,21,2,636,1,8010,3,,,,,,,1326,3,,,25848,4,16,3,5402,10,48,7,12,7,8281,2,334,9,,,,,3805,10,,,,,19,2,,,,,,,,,21,2,,,,,,,1338,5,,,22,2,451,8,,,,,561,8,169,2,,,24,2,36,13,,,,,12,3,29,2,2808,8,2127,8,,,,,,,117,2,38,2,,,28,33,28,2,,,,,16,2,,,,,26,2,25,2,87,7,84,3,,,,,,,240,1,13,6,,,,,14,9,,,,,,,,,,,,,1030,11,15,6,456,4,,,,,,,11,3,,,,,,,16,2,,,,,1135,13,20,2,,,1048,11,,,,,,,2357,9,,,,,,,,,,,17,2,,,,,99,4,,,122,9,144,6,,,,,315,7,,,,,528,5,15,3,,,119,4,,,,,,,89,8,,,11,3,707,7,,,,,231,7,14,3,,,,,21,2,104,11,32,1,,,,,15,2,,,16,4,,,,,,,20,2,,,586,15
4,5,2425,62830,,,,,,,,,,,266,11,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,165,4,,,,,,,512,7,,,,,209,6,5305,8,,,,,,,,,,,11513,18,1,48,8533,6,,,13,6,352,10,630,6,,,,,7988,4,,,,,,,,,,,,,,,,,,,,,,,537,9,,,,,,,,,,,749,4,,,,,,,,,,,,,,,,,6345,3,599,20,,,,,,,,,,,,,9,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755,18,,,,,,,,,,,,,,,,,,,,,,,,,4350,2,,,,,2746,4,,,,,1656,1,7655,3,,,,,,,,,,,,,,,,,,,,,231,3,,,,,,,,,,,,,231,10,,,,,7,8,,,,,,,,,,,,,,,,,,,1014,2,,,,,,,,,48,15,,,,,,,,,,,,,,,,,,,,,,,398,22
5,6,10816,57011,,,,,,,,,,,665,6,,,,,28,2,,,,,,,43,2,,,9,5,158,9,,,,,,,,,,,14,3,,,65,12,,,,,,,418,9,,,,,164,9,3450,15,,,,,,,110,10,,,14070,14,,,11936,4,89,5,,,1546,5,362,8,,,,,2119,16,,,,,,,,,,,,,,,,,,,,,,,655,7,82,6,,,327,9,,,,,572,7,,,,,,,408,7,,,,,,,,,3132,7,1784,10,,,,,,,,,,,24,3,141,8,,,,,,,,,,,,,,,,,,,76,4,,,,,,,,,,,,,,,,,,,,,,,,,18,2,,,931,13,7,13,259,10,,,21,1,,,,,,,,,,,,,,,,,1771,8,,,,,3778,3,,,,,269,7,3793,7,,,,,,,,,,,,,,,,,22,7,,,131,8,,,,,,,138,9,,,,,485,6,,,,,,,,,,,,,,,,,10,4,434,10,,,,,145,8,,,,,,,,,433,6,,,,,,,12,3,,,15,5,,,,,,,,,,,1892,7
6,7,2243,50108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,11,,,,,,,,,,,,,,,14,43,,,,,,,,,,,,,,,10343,1,,,,,,,,,,,13089,16,,,,,,,,,,,,,,,,,7042,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,7,,,,,361,11,,,,,,,,,,,,,,,,,1801,10,324,30,,,,,,,,,,,,,10,73,,,,,,,,,,,,,,,,,149,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2223,4,,,,,,,,,,,,,,,,,,,,,,,,,3539,4,,,,,1557,6,,,,,98,9,1341,15,,,,,,,,,,,11,5,,,,,,,,,,,468,2,,,,,6828,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,46
7,8,811,47873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,3,,,,,,,24,41,,,,,,,4259,9,,,,,,,,,,,14520,12,8,13,7905,8,,,,,,,272,12,,,,,4659,8,,,,,,,,,,,,,,,11,3,,,,,,,2654,1,,,,,,,,,,,459,9,,,,,,,,,,,,,,,,,401,46,468,22,,,,,,,,,,,,,484,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3221,2,,,50,27,,,,,,,,,,,,,,,,,,,,,1405,10,,,,,1117,10,,,,,1106,2,513,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4072,1
8,9,320,40067,,,,,,,,,,,414,10,,,,,10,5,,,,,,,,,25,1,,,387,6,,,,,,,,,13,3,,,,,133,5,,,,,,,210,17,,,11,4,60,16,4099,10,,,,,,,850,5,,,10936,21,17,2,4980,11,42,9,,,127,14,438,7,,,,,5951,7,,,,,10,4,12,3,,,,,20,2,,,34,4,,,,,259,15,102,5,,,,,,,,,958,3,,,,,,,548,4,,,,,,,23,3,1010,23,318,31,,,,,15,4,,,,,33,2,34,29,,,,,,,7,4,,,,,,,,,73,8,29,9,,,,,,,,,4,7,,,,,141,5,,,,,,,,,,,,,1754,7,25,3,143,15,,,,,,,6,4,,,,,,,,,,,,,1830,7,,,,,866,13,,,,,352,5,1459,12,,,,,,,,,,,,,7,3,,,,,,,197,5,332,4,,,,,56,13,,,,,131,22,,,,,23,5,,,,,,,19,14,,,,,66,17,,,27,1,63,16,,,,,,,,,66,14,,,,,,,,,,,12,6,,,,,,,,,,,300,24
9,10,28,38827,,,,,,,,,,,799,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211,39,,,,,,,,,,,13019,17,,,8882,5,,,,,,,94,31,,,,,1018,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,6,,,,,,,,,963,25,9991,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,46,,,,,,,,,,,,,,,,,,,890,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
