bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
181,16209,11,14,4,,,,,,,,,330,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,17,,,,,,,,,,,,,106,8,1198,18,,,,,,,,,9719,9,,,1465,9,,,6,11,,,65,29,,,808,15,,,,,,,,,,,,,,,,,,,118,12,,,,,203,4,,,,,70,19,,,,,,,,,,,,,,,115,50,125,43,,,,,,,,,,,,,,,,,,,,,5,8,,,,,,,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,15,,,46,16,,,,,,,,,,,,,210,23,,,,,129,23,,,,,582,21,,,,,,,,,,,,,10,6,,,,,,,,,4,2,,,,,,,233,9,,,,,,,,,,,9,12,,,,,96,13,,,,,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,24
2243,15447,12,,,,,,,,,,,,,,,,,,,,,,,,,,,23,14,,,,,,,,,,,,,,,12,31,,,,,,,,,,,,,,,3321,5,,,,,,,,,7112,14,,,,,,,,,,,,,,,1419,7,,,,,,,,,,,,,,,,,,,,,,,,,42,11,,,,,77,16,,,,,,,,,,,,,,,418,23,142,39,,,,,,,,,,,,,4,60,,,,,,,,,,,,,,,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,4,,,,,,,,,,,,,,,,,253,18,,,,,444,8,,,9,12,893,16,,,,,,,7,5,,,,,,,,,,,47,5,,,,,373,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,67
50381,15114,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14041,4,,,,,,,,,11,17,258,6,,,,,,,,,,,,,,,,,,,,,,,107,15,,,,,,,,,,,,,,,,,,,,,,,,,,,635,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,14844,14,,,,,,,,,,,143,7,,,,,,,,,,,,,,,71,9,,,,,,,,,19,3,,,,,40,8,,,,,,,57,16,,,22,3,22,23,1046,19,,,,,100,6,,,6214,17,32,2,1168,12,25,6,,,,,130,13,,,1462,6,,,,,,,5,3,,,8,2,,,15,2,,,80,18,62,4,,,,,,,,,182,8,,,,,264,5,,,,,,,10,5,148,43,358,28,,,,,12,3,,,,,30,2,46,15,,,,,,,23,3,,,,,,,24,11,,,,,,,,,11,6,,,,,59,5,,,,,,,,,,,,,539,10,72,1,33,23,,,,,,,,,,,,,344,13,,,,,166,19,,,58,7,1006,15,,,,,,,,,15,2,,,,,,,22,11,44,6,,,,,,,,,,,86,22,,,,,13,7,10,4,,,19,9,,,,,137,10,,,15,1,30,15,,,,,,,,,44,9,,,,,,,,,,,,,,,,,,,,,303,17
25821,14639,15,,,,,,,,,,,42,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3725,4,,,,,,,,,3,967,12,10,,,,,,,,,,,,,4926,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4493,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426,1,,,,,,,,,,,,,,,,,,,,,,,12,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13639,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,11,,,,,,,112,10,,,8,7,26,20,898,23,,,,,,,,,7372,13,2,44,1102,14,,,11,5,,,,,14,2,507,27,,,,,,,,,,,,,,,,,,,293,6,,,,,,,,,,,73,18,,,,,,,,,,,,,,,275,28,1012,11,,,,,,,,,,,,,96,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,130,5,14,16,30,,,,,,,,,,,,,174,24,,,,,313,10,,,31,9,713,19,,,,,,,,,,,,,,,,,17,14,17,10,,,,,35,6,,,,,124,14,,,,,,,,,,,,,,,,,36,25,,,,,,,,,,,,,,,12,14,,,,,,,,,,,,,,,,,,,,,313,16
2425,12750,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,22,19,,,,,,,,,,,,,70,13,968,22,,,,,,,,,4095,23,7,25,1348,10,,,9,8,96,8,192,7,,,880,14,,,,,,,,,,,,,,,,,,,94,16,,,,,,,,,,,36,25,,,,,,,,,,,,,,,479,20,799,17,,,,,,,,,,,,,13,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,25,,,,,,,,,,,,,,,,,226,21,,,,,391,9,,,93,4,2396,7,,,,,,,,,,,,,,,,,49,7,,,,,,,,,,,,,78,24,,,,,14,5,,,,,,,,,,,,,,,,,65,10,,,,,,,,,18,11,,,,,,,,,,,,,,,,,,,,,125,28
1294,12729,18,,,,,,,,,,,53,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,24,,,,,,,,,,,,,36,17,725,30,,,,,,,,,7373,12,7,24,623,21,,,,,,,139,10,,,1252,10,,,,,,,,,,,,,,,,,,,155,9,,,,,,,,,,,103,12,,,,,60,11,,,,,4,4,,,704,9,,,,,,,,,,,,,,,78,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,359,13,,,23,25,,,8,5,,,,,,,,,40,53,,,,,,,,,,,565,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,15,,,,,,,,,,,,,,,,,48,21,,,,,7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,20
5072,12678,19,,,,,,,,,,,9,17,,,,,,,,,,,,,,,6,22,,,,,40,2,,,,,,,,,15,27,,,,,,,,,,,,,85,9,535,40,,,,,,,,,8323,11,7,27,91,57,,,,,,,,,,,317,42,,,,,,,,,,,,,,,5,4,,,,,272,2,,,,,,,,,,,,,,,229,6,,,,,,,,,85,65,2249,5,,,,,,,,,,,,,13,46,,,,,,,,,,,,,,,,,,,,,23,1,,,19,2,,,35,2,,,,,,,,,,,,,,,36,62,2,17,51,13,,,,,,,,,,,,,,,,,,,,,,,,,87,58,,,,,,,,,,,,,,,18,2,,,,,,,,,,,,,,,34,36,,,,,59,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,65
5432,9668,20,,,,,,,,,,,143,8,,,29,2,,,,,,,,,,,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,61,,,,,,,,,6633,16,,,1071,15,,,,,189,6,33,38,,,129,71,,,,,,,,,,,,,,,6,3,,,112,14,112,3,,,,,,,,,,,,,,,266,4,,,,,,,,,108,53,92,49,,,,,,,,,,,,,16,43,,,,,,,,,,,,,,,,,16,7,,,,,,,8,7,,,8,3,,,,,,,,,,,,,,,103,34,10,7,21,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,20,2,,,172,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,39
