,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,108366,80,1,20,1,23,1,19,1,22,1,2590,1,20,1,98,1,33,1,21,2,2,1,16,1,370,1,29,1,26,1,20,2,,,30,1,391,1,219,1,100,1,612,1,18,1,22,1,193,1,15,1,255,1,19,1,14,1,37,1,923,2,19,1,29,1,343,2,5367,1,10,1,14,1,20,1,499,1,22,1,27369,1,52,1,13140,1,695,1,54,1,3279,1,1134,3,8,1,22,1,3960,2,,,14,1,21,1,26,1,19,1,16,1,20,1,29,1,100,1,18,1,,,1434,1,2709,1,120,1,423,3,14,1,18,1,1536,1,366,1,,,19,1,1729,2,12,1,14,1,16,1,72,1,3100,2,2660,4,11,1,14,2,17,2,552,1,915,1,88,1,330,2,17,1,16,1,244,1,57,1,18,1,11,1,21,2,20,1,291,2,161,1,17,1,11,1,19,2,63,1,228,1,106,1,798,1,833,2,18,1,64,1,11,1,16,1,24,1,13,1,888,7,27,1,428,1,11,1,,,15,1,14,2,20,1,17,1,14,1,27,1,,,16,1,3202,2,21,1,20,1,3285,2,20,1,22,1,520,1,6267,3,16,1,23,1,17,1,15,1,14,1,14,1,18,1,10,1,148,3,84,1,419,1,200,1,,,215,1,344,3,,,13,3,907,2,36,2,,,232,1,,,245,1,31,1,620,1,21,1,69,1,226,1,1287,2,28,1,,,482,2,66,1,202,1,28,1,15,2,3017,1,,,18,1,,,54,1,,,25,1,16,1,8,1,20,1,21,1,,,2526,5
1,2,2223,77237,,,,,,,,,,,1477,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,9,,,,,,,996,1,,,,,278,5,3169,9,,,,,,,,,,,23326,2,,,5386,2,,,,,3119,2,2086,1,,,,,3303,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,3,,,,,420,5,,,,,,,,,3500,1,2602,5,,,,,3,5,,,,,,,86,10,,,,,,,,,,,,,,,,,530,1,,,,,,,,,,,9,5,,,,,144,3,,,,,,,,,,,,,872,8,,,417,2,,,,,,,,,,,,,,,,,,,,,4596,1,,,,,9812,1,,,,,,,2726,8,,,,,,,,,,,,,,,,,,,10,3,,,145,2,,,10,2,101,7,,,,,234,9,,,,,,,,,,,,,476,3,,,,,,,2542,1,,,,,340,4,,,,,,,,,1667,2,,,,,,,,,,,4,10,,,,,,,,,,,2729,4
2,3,1406,51533,32,2,,,,,,,,,623,4,,,,,,,11,4,,,,,65,3,,,,,,,,,,,225,4,,,,,,,,,,,,,,,58,6,,,,,,,267,10,,,9,3,285,3,3844,6,,,,,,,387,3,,,19773,3,25,2,2748,4,45,5,23,2,447,5,986,4,,,,,3488,3,20,1,,,,,8,2,,,,,,,,,,,,,,,1080,4,,,,,744,1,,,,,189,11,66,4,,,6,3,2279,1,,,,,,,13,5,1577,4,1953,7,,,12,3,9,3,,,,,,,84,11,,,,,19,2,9,5,,,,,,,,,74,5,30,9,,,,,,,,,,,,,,,87,5,,,,,,,,,,,,,1893,1,10,6,288,3,,,,,,,25,1,,,,,,,,,,,,,647,13,,,,,642,10,,,,,117,8,3038,7,,,,,,,,,,,8,2,11,2,,,626,1,,,48,12,39,7,,,,,147,5,,,,,594,4,,,,,,,,,,,,,,,,,,,,,185,9,,,,,104,9,9,4,,,,,,,236,8,,,,,,,10,4,,,8,5,,,,,,,7,3,,,1241,9
3,4,10816,43059,,,,,,,,,,,342,7,,,,,,,26,1,,,,,,,,,,,24,1,,,27,2,129,7,,,,,,,,,,,21,2,,,54,10,,,,,,,308,8,,,,,197,7,3061,12,,,,,,,109,7,,,11645,8,,,3331,3,69,4,,,423,6,369,6,,,,,1746,9,,,,,,,,,,,,,,,,,,,,,,,485,7,53,6,,,235,4,,,,,419,3,,,,,,,560,4,,,,,,,,,1273,6,1632,9,,,,,,,,,,,17,2,146,7,,,,,,,,,,,,,,,,,,,64,3,,,,,,,,,,,,,,,,,,,,,,,,,22,2,,,732,12,18,3,193,4,,,23,1,,,,,,,,,,,,,,,,,1859,3,,,,,2078,3,,,,,138,6,7815,1,,,,,,,,,,,,,,,,,28,6,,,113,5,,,,,,,100,8,,,,,263,6,,,,,,,,,,,,,,,,,,,19,2,236,6,,,,,152,6,,,,,,,,,323,6,,,,,,,17,3,,,21,2,,,,,,,,,,,2144,7
4,5,2397,39265,17,3,10,2,,,10,2,,,1243,3,,,,,,,10,5,,,,,143,2,,,8,2,,,,,5,3,323,2,,,,,13,5,,,22,2,15,3,,,66,3,,,9,2,9,2,367,6,,,9,4,588,1,4138,5,,,,,,,377,4,,,14381,5,18,4,2254,6,27,9,7,7,3074,3,178,19,,,,,1435,10,,,,,10,2,,,,,,,,,12,3,,,,,,,1113,3,,,8,2,159,8,,,,,272,7,76,2,,,15,2,27,14,,,,,3,7,26,2,898,9,1501,10,,,,,,,63,2,17,2,,,36,25,6,2,,,,,21,3,,,,,8,5,5,4,61,6,38,7,,,,,,,60,2,7,7,,,,,14,9,,,,,,,,,,,,,535,16,9,9,163,5,,,,,,,5,5,,,,,,,8,3,,,,,665,11,5,2,,,625,12,,,,,,,1582,10,,,,,,,,,,,5,4,,,,,38,4,,,73,9,44,6,,,,,125,6,,,,,781,3,17,3,,,20,5,,,,,,,64,9,,,,,6,5,477,5,,,,,114,8,15,3,,,,,16,1,68,12,12,1,,,,,41,2,,,8,7,,,,,,,9,2,,,523,16
5,6,2093,32202,,,,,,,,,,,62,17,,,,,,,,,,,,,11,5,,,,,,,,,,,35,11,,,,,7,6,7,3,,,,,,,48,12,5,2,,,,,118,22,,,,,68,18,1196,25,,,,,,,,,,,13354,6,6,10,1341,19,,,,,44,15,151,22,,,,,1004,17,,,,,,,,,11,2,,,,,,,,,14,2,,,125,19,15,7,,,31,13,,,,,126,16,9,6,,,,,166,9,,,,,,,,,704,15,5207,1,,,17,1,2,6,,,8,4,,,169,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,7,,,,,,,,,,,,,571,15,,,58,17,,,,,,,,,,,,,,,,,,,,,501,17,,,,,724,8,,,,,,,1299,13,,,,,5,2,,,,,,,,,,,,,,,61,11,28,10,,,,,,,7,1,,,214,10,,,8,2,,,,,,,,,331,5,,,,,,,78,13,,,,,61,13,,,,,,,,,622,3,,,,,,,,,,,13,3,,,,,,,,,7,1,3481,1
6,7,2162,31472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,15,34,,,,,,,263,11,,,,,38,26,2008,16,,,,,,,,,,,16638,4,,,1361,17,,,,,,,146,24,,,,,1093,15,,,,,4,5,,,,,,,,,,,,,,,,,40,41,,,,,,,,,,,213,9,,,,,,,10,19,,,,,,,1,12,727,13,339,26,,,,,,,9,4,,,,,52,17,,,,,,,,,,,,,,,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,43,6,11,,,,,,,,,,,,,,,,,,,,,,,764,8,,,,,350,18,,,,,9,13,4494,5,,,,,,,,,,,,,,,,,9,8,,,,,9,16,,,,,13,17,,,,,173,15,,,,,,,,,,,,,,,,,,,,,95,12,,,,,137,7,,,,,,,,,91,10,,,,,,,,,,,,,,,,,,,,,,,2210,6
7,8,2181,23457,,,,,,,,,,,166,11,,,,,,,,,,,,,,,,,6,3,,,,,,,280,3,,,,,,,,,,,,,,,58,7,,,,,,,148,18,,,,,282,4,1793,18,,,,,,,230,5,,,6814,17,17,6,1388,16,130,2,10,5,,,214,13,,,,,1061,16,,,,,,,,,,,,,,,,,,,,,,,266,10,,,,,82,10,,,,,227,8,,,,,,,277,8,,,,,,,24,3,659,16,857,14,,,,,,,25,3,,,,,38,23,,,,,,,,,,,,,,,5,3,28,9,40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,14,24,2,134,6,,,,,,,,,,,,,,,,,,,,,1322,5,,,,,328,20,,,,,158,5,2192,9,,,,,,,,,,,5,3,,,,,28,5,,,63,10,37,8,,,,,38,13,6,2,,,1600,1,,,,,,,,,,,,,164,6,,,,,,,228,7,,,,,157,5,16,2,,,,,,,,,,,,,,,,,,,8,6,,,,,,,,,,,1246,8
8,9,2425,22495,,,,,,,,,,,114,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,,,48,13,,,,,,,289,9,,,,,102,10,1773,19,,,,,,,,,,,6101,22,7,9,2240,7,,,5,11,130,9,235,9,,,,,1398,12,,,,,7,3,,,,,,,,,,,,,,,,,194,12,,,,,,,,,,,201,10,9,7,,,,,,,,,,,,,,,1066,8,671,18,,,,,,,,,,,,,8,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,25,,,,,,,,,,,,,,,,,,,,,,,,,1278,6,,,,,1082,5,,,,,252,2,4081,6,,,,,,,,,,,,,,,,,,,,,109,7,,,,,,,,,,,,,160,16,,,,,6,8,,,,,,,,,,,,,,,,,,,,,377,3,,,,,,,,,37,18,,,,,,,,,,,,,,,,,,,,,,,201,29
9,10,463,22246,2,6,9,3,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,15,17,,,,,,,,,2,9,,,,,39,15,,,,,,,236,14,,,,,74,13,1924,17,,,,,,,,,,,10179,9,3,24,1250,20,10,12,6,8,15,21,127,27,,,,,958,19,,,,,,,,,,,,,,,,,,,,,,,103,23,,,,,27,14,,,,,74,21,,,,,,,38,12,,,,,,,,,832,10,2178,6,,,,,,,,,,,,,45,21,,,,,,,5,9,,,,,,,,,12,12,,,,,,,,,,,,,,,,,7,10,,,,,,,,,,,,,285,29,4,15,29,26,,,,,,,,,,,,,,,,,,,,,416,20,,,,,1194,4,,,,,,,911,16,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,19,15,,,,,194,13,,,,,,,,,,,,,66,8,,,,,,,55,17,,,,,55,15,,,,,,,,,38,17,,,,,,,,,,,,,,,,,,,,,,,791,12
