bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,116899,1,141,1,22,1,43,1,24,1,24,1,2785,1,19,1,25,1,21,1,464,1,42,1,24,1,19,1,,,41,1,536,1,39,1,83,1,328,1,18,1,49,2,248,1,26,1,304,1,23,1,22,1,42,1,968,1,23,1,40,1,476,1,6117,1,26,1,22,1,581,2,,,32048,1,51,1,14573,1,455,1,49,1,2363,2,1156,1,41,1,4310,1,,,27,1,21,1,30,1,27,1,20,1,55,1,213,1,20,1,1768,1,1958,1,31,1,492,2,36,1,19,1,1059,1,284,1,20,1,2334,1,30,1,42,1,28,1,80,1,3868,2,3086,5,26,1,25,1,17,2,389,1,615,1,64,1,377,3,26,1,,,44,1,34,1,28,1,48,1,30,1,389,3,261,1,28,1,18,2,,,83,1,89,1,146,1,966,1,139,2,22,1,20,1,18,1,27,1,27,1,11,1,1270,3,35,1,463,1,,,16,1,20,1,18,1,62,1,23,1,26,1,,,35,1,2582,2,22,1,25,1,4747,1,23,1,563,1,8267,2,23,1,28,1,25,1,24,1,34,1,15,1,158,3,64,1,417,1,286,1,,,309,1,339,3,,,21,3,1190,2,20,2,,,302,1,,,124,1,722,1,50,1,243,1,647,1,28,1,,,471,2,67,1,214,1,43,1,24,1,2093,1,,,22,1,,,18,1,,,26,1,17,1,63,1,17,1,29,1,,,2303,4
1406,56012,2,33,2,,,,,,,,,19,15,,,,,15,2,,,,,,,,,,,,,343,3,,,,,,,,,,,,,,,57,7,,,,,,,269,7,,,7,3,413,2,4547,3,,,,,665,1,,,19854,3,5,13,3315,2,60,5,10,5,389,5,855,4,,,2385,4,38,1,,,,,7,2,,,,,,,,,,,452,5,,,,,591,1,,,,,277,8,28,3,10,2,1764,2,,,,,,,10,4,2065,4,7767,1,,,8,3,16,3,,,,,,,,,,,,,,,13,2,,,,,,,114,6,,,,,,,,,,,,,,,,,64,4,,,,,,,,,,,,,2037,1,9,7,232,4,,,,,,,,,,,,,,,,,,,696,12,,,,,409,12,,,161,5,2378,7,,,,,,,9,2,10,2,,,557,1,,,35,12,58,6,,,,,588,2,,,,,513,3,,,,,,,,,,,,,,,,,117,5,,,,,174,4,,,,,,,,,125,6,,,,,,,8,2,,,,,,,,,,,4,3,,,1427,6
2223,45985,3,,,,,,,,,,,443,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,14,,,,,,,497,3,,,,,,,1489,19,,,,,,,,,11528,8,,,2922,3,,,,,1334,3,905,3,,,2048,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4,,,166,9,,,,,,,,,6637,1,3540,4,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,426,2,,,,,,,,,,,4,7,,,,,77,3,,,,,,,,,,,,,529,14,,,423,2,,,,,,,,,,,,,,,,,,,3144,1,,,,,4092,2,,,,,2393,6,,,,,,,,,,,,,,,8,3,,,92,2,,,,,55,6,,,,,210,13,,,,,,,,,,,296,2,,,,,299,2,,,,,342,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027,5
10816,37458,4,,,,,,,,,,,354,4,,,,,7,5,,,,,,,3,2,,,4,4,121,9,,,,,,,,,,,22,3,,,35,12,,,,,,,235,8,,,,,207,4,2848,8,,,,,82,8,,,15567,4,,,2724,4,64,4,,,383,6,320,6,,,2043,6,,,,,,,,,,,,,,,,,,,328,6,41,6,,,111,9,,,,,283,7,,,,,233,7,,,,,,,,,1650,6,2714,6,,,,,,,,,,,4,3,217,4,,,,,,,,,,,,,,,,,38,5,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,832,8,4,14,138,6,5,1,,,,,,,,,,,,,,,,,846,6,,,,,669,7,,,118,8,3196,4,,,,,,,,,,,,,61,4,,,72,7,,,,,,,,,,,,,487,4,,,,,,,,,3,4,,,,,7,4,90,8,,,,,136,5,,,,,,,,,140,5,,,,,,,5,4,,,,,,,,,,,,,,,8,174
2397,34424,5,23,3,6,3,,,4,2,,,566,2,,,,,9,4,86,2,,,7,3,,,,,8,3,456,2,,,,,14,4,,,59,1,27,2,,,69,4,,,6,2,19,2,270,6,,,9,2,403,3,3214,7,,,,,363,4,,,13152,5,7,9,1878,8,47,6,16,3,2624,1,207,15,,,1557,8,,,,,9,2,,,,,,,13,2,,,,,901,2,,,7,2,138,8,,,,,385,4,30,2,8,3,243,6,,,,,4,2,23,2,871,12,1264,12,,,,,,,70,3,22,2,,,28,23,5,2,,,,,11,3,,,,,8,2,78,7,52,4,,,,,,,35,2,6,6,,,,,13,8,,,,,,,,,,,,,448,16,17,3,241,3,,,,,5,2,,,,,,,5,2,,,,,779,9,5,2,,,680,6,,,,,1315,14,,,,,,,8,4,,,,,50,6,,,91,4,39,9,,,,,169,4,,,,,371,6,11,3,,,9,6,,,,,47,9,,,11,3,262,3,,,,,41,14,15,3,,,,,5,2,64,7,6,1,,,,,6,3,,,,,,,,,,,7,2,,,387,13
2093,25921,6,,,,,,,,,,,70,10,,,,,,,12,4,,,,,,,,,,,39,12,,,,,9,5,7,2,,,,,,,23,20,2,2,,,,,153,13,,,,,48,21,931,31,,,,,,,,,10978,9,5,15,976,20,,,,,35,15,59,35,,,877,22,,,,,,,,,4,2,,,,,,,5,2,81,19,10,7,,,40,13,,,,,63,24,5,7,,,99,11,,,,,,,,,537,26,4553,2,,,11,2,,,,,1,3,,,136,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,7,,,,,,,,,,,,,326,23,,,38,24,,,,,,,,,,,,,,,,,,,341,21,,,,,363,14,,,,,1396,12,,,,,5,2,,,,,,,,,,,31,14,21,12,,,,,,,4,3,,,211,12,,,15,1,,,,,,,246,3,,,,,40,11,,,,,38,16,,,,,,,,,440,3,,,,,,,,,,,16,2,,,,,,,,,4,1,2600,2
50381,24571,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,14,,,,,,,,,,,21586,2,,,560,25,,,,,18,17,280,7,,,414,46,,,,,,,,,,,,,,,,,,,175,10,,,,,,,,,,,,,,,,,,,,,,,,,,,803,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,22739,8,,,8,2,,,,,,,,,,,,,,,9,5,,,,,,,,,,,34,13,,,,,,,,,6,5,,,,,24,19,,,,,,,229,9,,,,,62,17,1587,16,,,,,,,,,12277,6,10,6,,,24,10,17,2,27,16,141,20,,,852,24,,,,,,,,,,,,,,,,,,,49,26,,,,,25,14,,,,,72,22,,,,,33,14,,,,,,,,,1075,9,1998,8,,,,,,,,,,,,,58,13,,,,,,,8,4,,,,,,,33,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,20,8,10,52,20,,,,,,,,,,,,,,,,,,,450,18,,,,,731,4,,,,,1413,11,,,,,,,,,,,,,,,,,,,23,11,,,,,25,8,,,,,140,19,,,,,,,,,,,58,6,,,,,35,15,,,,,54,11,,,,,,,,,22,11,,,,,,,,,,,,,,,,,,,,,,,732,8
13,21329,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,3,,,,,,,224,10,,,3,8,64,16,1478,20,,,,,30,10,,,10611,10,7,8,1941,6,,,4,12,,,,,3,2,1122,14,,,,,,,,,,,,,,,,,,,833,3,,,,,,,,,,,253,10,,,,,,,,,,,,,,,472,27,1410,11,,,,,,,,,,,,,136,8,,,,,,,,,,,,,,,,,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,118,5,12,47,22,,,,,,,,,,,,,,,,,,,504,15,,,,,400,13,,,140,6,851,18,,,,,,,,,,,,,,,,,32,13,65,5,,,,,61,5,,,,,194,15,,,,,,,,,,,,,,,,,18,26,,,,,,,,,,,,,,,15,14,,,,,,,,,,,,,,,,,,,,,,,296,18
2162,21291,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,11,35,,,,,,,142,16,,,,,21,36,1229,23,,,,,,,,,10330,11,,,479,29,,,,,,,77,31,,,766,28,,,,,4,4,,,,,,,,,,,,,25,36,,,,,,,,,,,149,18,,,,,,,,,,,,,4,7,577,23,2,108,,,,,,,6,4,,,,,56,14,,,,,,,,,,,,,,,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,56,9,8,,,,,,,,,,,,,,,,,,,,,483,16,,,,,215,23,,,9,12,5831,3,,,,,,,,,,,,,3,8,,,,,3,19,,,,,,,,,,,85,26,,,,,,,,,,,,,,,,,34,16,,,,,68,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,10
