,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2162,20571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,8,34,,,,,,,150,10,,,,,28,27,1386,18,,,,,,,,,8885,11,,,1,138,,,,,,,139,16,,,957,13,,,,,5,3,,,,,,,,,,,,,34,33,,,,,,,,,,,183,9,,,,,,,,,,,,,3,9,620,12,5,106,,,,,,,3,4,,,,,102,10,,,,,,,,,,,,,,,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,40,3,13,,,,,,,,,,,,,,,,,,,,,984,4,,,,,215,19,,,11,12,5711,3,,,,,,,,,,,,,4,9,,,,,9,16,,,,,,,,,,,83,22,,,,,,,,,,,,,,,,,,,33,16,,,,,74,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,9
11,12,181,17738,11,3,,,,,,,,,140,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,21,,,,,,,,,,,,,133,9,1826,12,,,,,,,,,10212,10,,,1423,9,,,5,8,,,70,28,,,767,17,,,,,,,,,,,,,,,,,,,234,10,,,,,193,4,,,,,111,15,,,,,,,,,,,,,,,253,32,171,42,,,,,,,,,,,,,,,,,,,,,4,6,,,,,,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,15,,,58,14,,,,,,,,,,,,,,,,,,,205,24,,,,,144,26,,,,,700,19,,,,,,,,,,,,,143,3,,,,,,,,,,,,,,,,,205,9,,,,,,,,,,,,,10,14,,,,,36,14,,,,,21,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,23
12,13,1294,15687,,,,,,,,,,,45,11,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,40,,,,,,,,,,,,,54,17,1179,23,,,,,,,,,8286,12,3,22,750,21,,,,,,,143,15,,,2219,3,,,,,,,,,,,,,3,5,,,,,237,9,,,,,,,,,,,93,20,,,,,54,12,,,,,2,7,,,1003,6,,,,,,,,,,,,,,,50,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,,,471,11,,,39,22,,,,,3,5,,,,,,,,,,,,,39,46,,,,,,,,,,,492,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,11,,,,,,,,,,,,,,,,,,,17,27,,,,,7,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,19
13,14,320,15526,,,,,,,,,,,132,8,,,,,3,3,,,,,,,,,2,1,,,79,9,,,,,,,,,3,5,,,,,31,8,,,,,,,73,16,,,6,4,39,23,1188,22,,,,,216,6,,,6093,18,16,2,1257,13,28,8,,,41,14,223,9,,,999,11,,,,,,,4,3,,,2,2,,,9,3,,,80,22,56,5,,,,,,,,,202,5,,,,,468,4,,,,,,,5,7,183,45,346,25,,,,,8,3,,,,,12,2,70,14,,,,,,,12,2,,,,,,,25,9,,,,,,,,,13,4,,,,,168,3,,,,,,,,,,,,,859,5,15,3,71,13,,,,,8,2,,,,,,,,,,,,,753,7,,,,,199,22,,,135,3,778,17,,,,,,,,,2,3,,,,,,,70,4,43,5,,,,,,,,,,,89,20,,,,,13,5,,,4,4,,,19,11,,,,,38,13,,,5,1,28,16,,,,,,,,,29,10,,,,,,,,,,,,,,,,,,,,,,,276,21
14,15,25821,15303,,,,,,,,,,,228,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3457,7,,,,,,,,,1002,81,9,9,1206,14,,,,,,,,,,,3492,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2312,5
15,16,13,15004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,9,,,,,,,85,14,,,1,10,71,14,1213,21,,,,,1,14,,,6854,16,4,15,1350,12,,,2,13,,,,,1,2,526,27,,,,,,,,,,,1,3,,,,,,,1282,2,,,,,,,,,,,185,8,,,,,,,,,,,,,,,322,28,1077,13,,,,,,,,,,,,,133,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,124,3,11,39,21,,,,,,,,,,,,,,,,,,,188,26,,,,,234,18,,,48,9,835,16,,,,,,,,,,,,,,,,,13,16,33,6,,,,,44,6,,,,,103,18,,,,,,,,,,,,,,,,,,,30,18,,,,,,,,,,,,,,,15,13,,,,,,,,,,,,,,,,,,,,,,,280,20
16,17,2425,14179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,23,12,,,,,,,42,20,,,,,115,11,1054,25,,,,,,,,,4076,24,9,8,1398,11,,,2,14,78,10,249,8,,,1262,10,,,,,,,,,,,,,,,,,,,99,17,,,,,,,,,,,103,18,,,,,,,,,,,,,,,733,9,662,17,,,,,,,,,,,,,7,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,19,,,,,,,,,,,,,,,,,,,,,,,224,22,,,,,629,9,,,114,4,2686,5,,,,,,,,,,,,,,,,,40,10,,,,,,,,,,,,,123,16,,,,,7,7,,,,,,,,,,,,,,,,,,,85,7,,,,,,,,,9,15,,,,,,,,,,,,,,,,,,,,,,,106,31
17,18,50381,12846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,22,,,,,,,,,,,11214,6,,,318,33,,,,,9,21,136,17,,,197,59,,,,,,,,,,,,,,,,,,,123,15,,,,,,,,,,,,,,,,,,,,,,,,,,,533,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,27443,12791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,25,,,,,,,47,19,,,6,5,39,24,720,35,,,,,,,,,508,124,3,28,594,24,17,11,,,,,168,12,,,323,39,,,,,,,,,,,,,,,,,,,,,,,,,54,12,,,,,,,,,,,,,,,,,,,,,460,21,2006,5,,,,,,,,,,,,,3370,2,,,,,,,,,,,,,,,,,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,139,33,,,,,,,,,,,,,,,,,,,,,,,286,18,,,,,278,15,,,,,748,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2961,1
19,20,19967,11674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11661,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,128
