bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2223,137758,1,,,,,,,,,,,1075,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,15,,,,,,,2704,1,,,,,346,5,5730,14,,,,,,,,,24070,4,,,7834,2,,,,,2875,3,6006,2,,,,,9422,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,2,,,,,280,6,,,,,,,,,25907,1,4131,2,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,691,1,,,,,,,,,,,24,4,,,,,148,2,,,,,,,,,,,,,1668,8,,,2026,2,,,,,,,,,,,,,,,,,,,,,12520,1,,,,,19122,1,,,,,,,3661,7,,,,,,,,,,,,,,,,,,,19,2,,,501,1,,,,,142,7,,,,,459,14,,,,,,,,,,,,,507,3,,,,,844,1,,,,,597,2,,,,,,,,,1215,2,,,,,,,,,,,9,9,,,,,,,,,,,3020,5
171,119789,2,168,1,62,1,68,1,35,1,64,1,3588,1,58,1,47,1,63,2,509,1,65,1,58,1,45,2,,,75,1,696,4,168,1,181,1,544,1,63,1,65,1,488,1,53,1,226,3,49,1,45,1,70,1,1364,2,51,1,82,1,517,3,7130,8,69,1,59,1,738,3,51,1,29758,3,70,1,7498,3,695,1,61,1,2949,2,2439,4,55,1,64,1,5089,6,,,61,1,53,1,64,1,61,1,60,1,68,1,61,1,184,1,48,1,,,1800,1,2328,1,181,1,511,3,59,1,49,1,2103,1,190,1,,,52,1,1379,2,48,1,53,1,56,1,165,1,5132,8,2369,4,40,1,58,1,48,1,414,1,448,1,242,1,419,4,40,1,,,109,1,65,1,56,1,51,1,62,1,54,1,491,3,330,1,45,1,49,1,52,1,106,1,156,1,142,1,1175,1,128,3,54,1,62,1,48,1,46,1,53,2,53,1,1481,10,64,1,2926,1,45,1,,,52,1,44,1,50,1,56,1,41,1,50,1,,,58,1,4352,2,50,1,57,1,1976,3,55,1,57,1,434,2,6520,2,48,1,50,1,54,1,45,1,42,1,48,1,50,1,54,1,164,3,98,1,627,1,334,2,,,252,1,349,4,,,56,1,1589,1,64,1,,,310,1,,,376,1,4,1,547,2,74,1,127,1,511,2,60,1,,,479,4,128,1,395,1,59,1,49,1,2820,1,,,48,1,,,41,2,,,87,1,45,1,50,1,49,1,57,1,,,2658,7
1406,113247,3,73,2,,,,,,,,,11,21,,,,,43,3,98,4,,,,,,,,,,,867,1,,,,,,,,,,,,,,,96,8,,,,,,,563,7,,,25,2,667,2,11796,2,,,,,2617,1,,,35143,2,27,2,6948,4,181,3,32,2,512,6,6779,1,,,,,6628,3,50,1,,,,,27,2,,,,,,,,,,,,,,,1134,3,,,,,1297,1,,,,,1147,6,107,3,,,21,3,3642,1,,,,,,,42,3,6356,6,4049,3,,,41,2,34,2,,,,,,,,,,,,,,,41,2,,,,,,,,,307,5,179,2,,,,,,,,,,,,,,,115,4,,,,,,,,,,,,,5149,1,29,3,1201,3,,,,,,,1,7,,,,,,,,,,,,,2253,6,,,,,1685,4,,,,,397,5,5155,3,,,,,,,,,,,30,2,28,2,,,1029,1,,,131,9,163,5,,,,,464,3,,,,,1560,2,,,,,,,,,,,,,,,,,,,124,6,,,,,338,5,20,4,,,,,,,234,9,,,,,,,23,3,,,32,3,,,,,,,28,2,,,1478,11
10816,67631,4,,,,,,,,,,,352,6,,,,,67,1,,,,,,,63,1,,,71,2,237,9,,,,,,,,,,,70,2,,,100,7,,,,,,,524,8,,,,,227,9,7817,6,,,,,387,8,,,15356,8,,,4851,5,129,6,,,765,5,655,17,,,,,3398,8,,,,,,,,,,,,,,,,,,,,,,,536,7,103,5,,,236,9,,,,,1233,5,,,,,,,630,3,,,,,,,,,8722,4,2046,6,,,,,,,,,,,78,2,248,6,,,,,,,,,,,,,,,,,,,151,3,,,,,,,,,,,,,,,,,,,,,,,,,78,1,,,1442,11,60,2,438,9,,,68,1,,,,,,,,,,,,,,,,,2289,5,,,,,3412,2,,,,,269,7,3988,6,,,,,,,,,,,,,,,,,75,4,,,177,7,,,,,,,166,6,,,,,1479,3,,,,,,,,,78,3,,,,,,,78,2,121,7,,,,,174,7,,,,,,,,,451,7,,,,,,,71,1,,,66,2,,,,,,,,,,,3599,2
2397,58501,5,20,4,17,3,,,11,2,,,1102,2,,,,,17,5,132,2,,,24,3,,,,,19,3,708,3,,,,,28,5,,,17,4,32,3,,,72,12,,,24,2,30,2,614,6,,,18,5,791,1,7091,9,,,,,508,5,,,20706,7,24,4,3732,12,59,9,12,9,3288,1,746,16,,,,,3184,10,,,,,19,2,,,,,,,,,26,2,,,,,,,875,5,,,21,2,293,7,,,,,806,11,67,4,,,22,2,33,15,,,,,15,3,49,2,2185,14,1675,10,,,,,,,94,2,29,2,,,32,22,23,2,,,,,22,3,,,,,27,2,27,2,130,7,103,7,,,,,,,83,2,13,5,,,,,15,9,,,,,,,,,,,,,975,14,16,8,726,4,,,,,,,16,2,,,,,,,15,2,,,,,1531,11,12,2,,,876,9,,,,,,,1631,10,,,,,,,,,,,19,4,,,,,61,5,,,170,8,85,8,,,,,166,5,,,,,1042,5,24,3,,,38,4,,,,,,,74,7,,,18,3,213,4,,,,,224,6,29,3,,,,,16,2,78,11,29,1,,,,,17,4,,,22,5,,,,,,,21,3,,,647,15
50381,48954,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,26,2772,25,,,,,,,,,38290,1,,,1151,24,,,,,52,17,480,20,,,,,899,41,,,,,,,,,,,,,,,,,,,,,,,193,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3519,11,126,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,48069,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,6,,,,,,,453,10,,,18,4,121,17,5391,16,,,,,202,9,,,21623,5,16,10,4469,8,,,19,5,,,252,26,,,19,2,2116,16,,,,,,,,,,,,,1,4,,,,,,,,,1242,2,,,,,,,,,,,934,9,,,24,1,,,,,,,,,,,,,1123,29,1974,8,,,,,,,,,,,,,117,13,,,,,,,,,,,,,,,,,,,48,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812,5,24,4,237,15,,,,,,,,,,,,,,,,,,,,,601,22,,,,,886,8,,,,,164,9,1240,14,,,,,,,,,,,,,,,,,,,,,73,12,129,6,,,,,79,8,,,,,711,9,,,,,,,,,,,,,,,,,,,45,11,,,,,,,,,,,,,,,40,15,,,,,,,,,,,,,,,,,,,,,,,746,14
811,46392,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,2,,,,,,,46,34,,,,,,,6164,12,,,,,,,,,14477,10,17,9,4706,7,,,,,,,1151,9,,,,,5754,4,,,,,,,,,,,,,,,12,4,,,,,,,942,4,,,,,,,,,,,1039,8,,,,,,,,,,,,,,,,,386,55,537,22,,,,,,,,,,,,,505,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3582,2,,,75,26,,,,,,,,,,,,,,,,,,,,,1451,12,,,,,1195,7,,,,,876,1,386,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2834,6
2093,44473,9,,,,,,,,,,,67,14,,,,,,,20,5,,,,,,,,,,,51,14,,,,,18,6,23,2,,,,,,,42,17,17,2,,,,,136,22,,,,,89,20,2104,37,,,,,,,,,15251,9,12,16,10084,1,,,,,59,16,207,31,,,,,1227,33,,,,,,,,,19,2,,,,,,,,,13,2,,,94,24,17,7,,,41,13,,,,,179,21,12,8,,,,,115,10,,,,,,,,,1134,28,4987,1,,,21,3,14,4,,,4,4,,,151,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,7,,,,,,,,,,,,,706,24,,,80,25,,,,,,,,,,,,,,,,,,,,,663,21,,,,,599,17,,,,,,,1333,12,,,,,18,2,,,,,,,,,,,,,,,67,13,34,13,,,,,,,23,2,,,346,17,,,18,2,,,,,,,,,221,6,,,,,39,14,,,,,61,16,,,,,,,,,544,5,,,,,,,,,,,24,4,,,,,,,,,12,1,3447,3
2243,43722,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,13,,,,,,,,,,,,,,,12,50,,,,,,,,,,,,,,,17951,1,,,,,,,,,10033,20,,,,,,,,,,,,,,,,,3307,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,6,,,,,602,13,,,,,,,,,,,,,,,,,2012,15,247,38,,,,,,,,,,,,,19,37,,,,,,,,,,,,,,,,,169,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2381,6,,,,,,,,,,,,,,,,,,,,,,,,,3008,4,,,,,1261,5,,,,,83,10,984,19,,,,,,,,,,,8,5,,,,,,,,,,,219,3,,,,,933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,47
