bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
181,24603,11,17,3,,,,,,,,,210,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,14,,,,,,,,,,,,,159,6,2629,11,,,,,,,,,13125,5,,,2288,5,,,11,5,,,155,14,,,1610,10,,,,,,,,,,,,,,,151,10,,,,,376,2,,,,,260,8,,,,,,,,,,,,,,,277,45,179,41,,,,,,,,,,,,,,,,,9,2,,,,,,,47,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,13,,,103,7,,,,,,,,,,,,,490,17,,,,,230,17,,,,,955,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,6,,,,,,,,,9,12,,,,,150,14,,,,,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,22
29351,22518,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848,16,,,,,,,,,5245,23,,,120,57,120,3,,,,,71,27,,,91,108,,,,,,,,,,,,,,,149,11,,,,,,,,,,,24,32,14,5,,,,,,,,,,,,,,,68,55,,,,,,,,,,,,,,,,,,,,,,,,,226,3,111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,60,62,,,,,,,,,,,,,,,,,347,22,,,,,,,,,,,12697,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,34,,,,,,,,,,,,,,,,,,,,,1099,1,,,,,,,,,158,5,,,,,,,,,,,,,,,,,,,,
13,21644,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,5,,,,,,,174,10,,,4,4,52,19,1627,18,,,,,,,,,9533,12,10,13,1964,6,,,5,10,,,,,4,2,1081,16,,,,,,,,,,,,,,,414,4,,,,,,,,,,,365,4,,,,,,,,,,,,,,,726,19,1693,9,,,,,,,,,,,93,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,124,7,9,75,12,,,,,,,,,,,,,855,8,,,,,336,11,,,116,5,918,19,,,,,,,,,,,,,,,,,25,14,38,7,,,,,75,4,,,,,1117,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,,,,,,,,,,,,,,,,,265,16
2181,21531,14,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,159,6,,,,,,,,,,,,,,,18,25,,,,,,,121,13,,,,,178,4,1590,20,,,,,95,7,,,6233,16,16,4,1125,14,171,2,8,6,,,141,16,,,1155,15,,,,,,,,,,,,,,,194,8,,,,,76,9,,,,,200,14,,,,,348,5,,,,,,,21,2,75,89,983,12,,,,,23,3,,,,,27,29,,,,,,,,,,,,,44,9,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,657,11,20,2,157,6,,,,,,,,,,,,,1154,5,,,,,312,13,,,162,3,2213,8,,,,,,,6,6,,,,,,,,,56,10,15,11,,,,,,,14,2,,,1450,1,,,,,,,,,110,5,,,,,1222,3,,,,,119,6,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,821,7
1294,18787,15,,,,,,,,,,,55,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,10,,,,,,,,,,,,,82,14,1460,24,,,,,,,,,8235,13,12,8,1214,13,,,,,,,333,4,,,2862,3,,,,,,,,,,,,,,,153,9,,,,,,,,,,,228,12,,,,,16,14,,,,,7,2,,,2321,4,,,,,,,,,,,,,111,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,437,16,,,38,22,,,5,4,,,,,,,,,116,38,,,,,,,,,,,649,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,13,,,,,,,,,,,,,,,55,20,,,,,14,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,26
2243,17638,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,10,,,,,,,,,,,,,,,15,29,,,,,,,,,,,,,,,3589,6,,,,,,,,,7414,14,,,,,,,,,,,,,,,1486,12,,,,,,,,,,,,,,,,,,,,,67,10,,,,,113,18,,,,,,,,,,,,,,,934,17,216,36,,,,,,,,,,,,,,,,,,,,,,,,,49,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,6,,,,,,,,,,,,,,,,,990,7,,,,,394,10,,,45,10,951,18,,,,,,,17,2,,,,,,,,,,,74,4,,,,,415,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,47
822,16414,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,11,,,,,,,,,,,,,,,31,15,,,,,,,,,,,4,5,17,40,1900,14,,,,,,,,,6218,17,6,27,998,17,,,,,,,428,3,,,836,26,,,,,,,,,,,,,,,42,27,,,,,,,,,,,278,6,,,,,,,,,,,,,,,1123,12,889,14,,,,,,,,,,,48,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576,12,3,16,74,14,,,,,,,,,,,,,1347,3,,,,,110,28,,,,,631,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,8,,,,,,,,,,,,,,,,,,,,,8,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,10
2425,13643,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,15,31,,,,,,,,,,,,,84,13,1070,34,,,,,,,,,4943,29,11,11,917,18,,,5,11,70,8,141,17,,,1071,17,,,,,,,,,,,,,,,237,6,,,,,,,,,,,,,,,,,,,,,,,,,,,604,27,848,16,,,,,,,,,,,11,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,25,,,,,,,,,,,,,,,,,303,25,,,,,335,12,,,110,8,2219,7,,,,,,,,,,,,,,,,,97,3,,,,,,,,,,,,,112,20,,,,,,,,,,,,,,,,,,,,,111,7,,,,,,,,,6,15,,,,,,,,,,,,,,,,,,,102,30
811,12428,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,6,,,,,,,23,31,,,,,,,1488,22,,,,,,,,,4609,31,,,1662,8,,,,,,,128,18,,,920,21,,,,,,,,,,,,,,,207,7,,,,,,,,,,,108,19,,,,,,,,,,,,,,,97,83,253,32,,,,,,,,,,,507,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846,5,,,28,28,,,,,,,,,,,,,834,10,,,,,262,15,,,69,9,328,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25821,11883,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3309,8,,,,,,,,,5,952,10,15,,,,,,,,,,,,,3215,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,2,,,,,,,,,,,,,,,,,,,,,,,26,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
