,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,463,21968,,,8,3,,,,,,,,,,,,,,,5,5,,,,,,,,,11,17,,,,,,,,,7,4,,,,,18,22,,,,,,,261,6,,,,,72,11,1932,14,,,,,,,,,11692,6,5,10,,,11,15,3,8,,,122,14,,,,,,,,,,,,,,,,,,,,,,,67,20,,,,,9,15,,,,,58,23,,,,,46,12,,,,,,,,,858,9,2353,7,,,,,,,,,,,,,66,14,,,,,7,6,,,,,,,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,16,7,4,44,18,,,,,,,,,,,,,,,,,469,16,,,,,857,4,,,,,1538,11,,,,,,,,,,,,,,,,,,,15,12,,,,,17,10,,,,,108,17,,,,,,,,,,,,,48,8,,,,,23,23,,,,,30,14,,,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,792,8
11,12,2243,17856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,10,,,,,,,,,,,,,,,6,52,,,,,,,,,,,,,,,4866,2,,,,,,,,,5660,19,,,,,,,,,,,,,,,1889,8,,,,,,,,,,,,,,,,,,,,,,,,,81,9,,,,,94,17,,,,,,,,,,,,,,,725,13,185,40,,,,,,,,,,,,,7,62,,,,,,,,,,,,,37,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,5,,,,,,,,,,,,,,,,,,,,,1395,4,,,,,614,8,,,19,10,846,18,,,,,,,4,6,,,,,,,,,,,64,5,,,,,368,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,56
12,13,13,17549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,10,,,,,,,74,14,,,8,3,42,20,1142,20,,,,,4,13,,,8837,12,3,17,1540,12,,,8,5,,,,,7,2,515,28,,,,,,,,,,,1,4,,,,,,,580,4,,,,,,,,,,,108,14,,,,,,,,,,,,,,,410,23,1874,10,,,,,,,,,,,,,144,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,124,6,7,29,26,,,,,,,,,,,,,,,,,310,22,,,,,296,15,,,40,9,854,17,,,,,,,,,,,,,,,,,10,18,45,7,,,,,51,6,,,,,92,22,,,,,,,,,,,,,,,,,,,36,16,,,,,,,,,,,,,,,10,15,,,,,,,,,,,,,,,,,,,,,432,15
13,14,2425,16145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,23,19,,,,,,,53,19,,,,,81,10,1048,21,,,,,,,,,4834,20,3,23,1254,15,,,3,9,72,10,151,8,,,2710,5,,,,,,,,,,,,,,,,,,,106,14,,,,,,,,,,,76,21,,,,,,,,,,,,,,,638,14,653,20,,,,,,,,,,,,,16,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,19,,,,,,,,,,,,,,,,,,,,,286,24,,,,,624,7,,,119,4,2761,6,,,,,,,,,,,,,,,,,36,10,,,,,,,,,,,,,94,20,,,,,7,6,,,,,,,,,,,,,,,,,,,61,10,,,,,,,,,13,14,,,,,,,,,,,,,,,,,,,,,161,27
14,15,320,15636,,,,,,,,,,,161,9,,,,,,,,,,,,,1,1,,,87,9,,,,,,,,,6,6,,,,,36,8,,,,,,,73,15,,,5,6,41,21,1009,23,,,,,172,6,,,6800,16,21,2,1315,13,37,10,,,34,14,132,12,,,1238,12,,,,,,,4,3,,,5,2,,,4,4,,,47,26,51,4,,,,,,,,,159,7,,,,,342,4,,,,,,,5,6,212,39,378,26,,,,,4,4,,,,,22,2,49,16,,,,,9,3,,,,,,,14,12,,,,,,,,,6,7,,,,,74,4,,,,,,,,,,,,,727,8,17,3,35,23,,,,,2,5,,,,,,,,,,,512,13,,,,,189,21,,,80,7,882,16,,,,,,,,,8,3,,,,,,,46,8,69,4,,,,,,,,,,,68,25,,,,,6,7,,,4,3,,,14,13,,,,,45,12,,,8,1,40,12,,,,,,,,,28,10,,,,,,,,,,,,,,,,,,,,,303,20
15,16,181,15076,19,4,,,,,,,,,247,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,,,,,,,,,,,,,100,9,1472,15,,,,,,,,,8008,14,,,1559,10,,,,,,,52,31,,,851,19,,,,,,,,,,,,,,,,,,,133,10,,,,,201,4,,,,,127,10,,,,,,,,,,,,,,,157,51,188,39,,,,,,,,,,,,,,,,,,,1,8,,,,,,,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,15,,,48,15,,,,,,,,,,,,,,,,,263,26,,,,,159,26,,,,,545,22,,,,,,,,,,,,,146,2,,,,,,,,,3,2,,,,,,,158,11,,,,,,,,,,,,,4,17,,,,,42,13,,,,,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,28
16,17,25821,13213,,,,,,,,,,,162,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3067,6,,,,,,,,,1013,82,8,6,1241,16,,,,,,,,,,,3519,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3149,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034,3,,,,,,,,,,,,,,,,,,,,,,,,,,,20,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,27443,12927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,33,,,,,,,47,22,,,4,7,30,25,770,27,,,,,,,,,575,124,1,48,567,26,48,8,,,,,69,27,,,400,35,,,,,,,,,,,,,,,,,,,,,,,,,36,13,,,,,,,,,,,,,,,,,,,,,404,24,1873,11,,,,,,,,,,,,,3154,1,,,,,,,,,,,,,,,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,183,26,,,,,,,,,,,,,,,,,,,,,322,19,,,,,208,19,,,,,813,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3371,1
18,19,50381,12565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,26,,,,,,,,,,,11231,8,,,,,,,,,14,16,115,16,,,151,68,,,,,,,,,,,,,,,,,,,114,12,,,,,,,,,,,,,,,,,,,,,,,,,,,606,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,36,,,,,,,,,,,,,,,,,,,,,,,,,,,186,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,1602,12131,,,,,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,31,,,,,,,,,,,,,15,38,678,36,,,,,,,,,10301,10,6,7,170,49,,,,,,,,,,,162,66,,,,,,,,,,,,,,,,,,,58,23,,,,,,,,,,,,,,,,,,,,,,,,,,,167,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,28,,,,,,,,,,,,,,,,,,,,,200,27,,,,,81,36,,,,,,,,,,,,,,,,,,,,,1,5,21,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,48
