bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
25821,18508,11,,,,,,,,,,,340,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,9,,,,,,,,,1049,84,4,33,1576,8,,,,,,,,,,,3440,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5921,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,7,,,,,,,,,,,,,,,,,,,,,,,2051,6
2243,18087,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,15,,,,,,,,,,,,,,,4,62,,,,,,,,,,,,,,,4551,3,,,,,,,,,7411,13,,,,,,,,,,,,,,,1295,9,,,,,,,,,,,,,,,,,,,,,,,,,,,139,6,,,,,141,11,,,,,,,,,,,,,,,460,17,171,39,,,,,,,,,,,,,7,60,,,,,,,,,,,,,,,34,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,5,,,,,,,,,,,,,,,,,,,,,,,,,881,7,,,,,621,8,,,12,11,671,18,,,,,,,,,,,12,3,,,,,,,,,,,86,3,,,,,559,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,41
13,16912,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,9,,,,,,,97,15,,,6,8,47,23,990,23,,,,,34,11,,,7165,16,3,34,1409,11,,,3,12,,,,,7,2,484,26,,,,,,,,,,,,,,,,,,,,,1905,1,,,,,,,,,,,106,18,,,,,,,,,,,,,,,261,28,2008,9,,,,,,,,,,,,,110,9,,,,,,,,,,,,,,,,,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,12,14,3,49,18,,,,,,,,,,,,,,,,,,,,,138,27,,,,,239,18,,,29,9,697,17,,,,,,,,,,,,,,,,,,,,,22,13,18,10,,,,,63,6,,,,,102,19,,,,,,,,,,,,,,,,,,,24,17,,,,,,,,,,,,,,,2,28,,,,,,,,,,,,,,,,,,,,,,,397,20
29351,15998,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,111,14,,,,,,,2627,10,,,,,,,,,3065,29,,,187,46,115,2,,,,,86,27,,,232,50,,,,,,,,,,,,,,,,,,,,,502,7,,,,,,,,,,,20,36,17,5,,,,,,,,,,,,,,,144,48,,,,,,,,,,,,,30,23,,,,,,,,,,,,,,,251,3,84,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,35,,,,,,,,,,,,,,,,,,,,,,,,,565,12,,,,,,,,,,,6842,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,32,,,,,,,,,,,,,,,,,,,,,,,,,608,1,,,,,,,,,267,5,,,,,,,,,,,,,,,,,,,,,,,66,46
2425,15764,15,,,,,,,,,,,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,,,35,11,,,,,,,88,17,,,,,138,9,1205,19,,,,,,,,,4488,20,10,10,1486,10,,,9,7,62,12,223,7,,,911,15,,,,,,,,,,,,,,,,,,,,,134,17,,,,,,,,,,,92,20,,,,,,,,,,,,,,,786,9,621,17,,,,,,,,,,,,,22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,19,,,,,,,,,,,,,,,,,,,,,,,,,572,11,,,,,867,4,,,147,2,2905,5,,,,,,,,,,,,,,,,,,,,,68,6,,,,,,,,,,,,,119,15,,,,,11,7,,,,,,,,,,,,,,,,,,,197,4,,,,,,,,,19,16,,,,,,,,,,,,,,,,,,,,,,,215,27
1294,14503,16,,,,,,,,,,,25,15,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,13,,,,,,,,,,,,,59,18,1064,20,,,,,,,,,7621,12,6,23,755,21,,,,,30,17,186,9,,,2101,4,,,,,,,,,,,,,7,4,,,,,,,204,12,,,,,,,,,,,122,14,,,,,38,13,,,,,4,3,,,869,7,,,,,,,,,,,,,,,27,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,422,13,,,23,29,,,,,,,4,5,,,,,,,,,,,,,35,58,,,,,,,,,,,451,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,13,,,,,,,,,,,,,17,15,,,,,21,21,,,,,7,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,28
181,13611,17,12,4,,,,,,,,,74,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,18,,,,,,,,,,,,,109,10,1429,16,,,,,,,,,7166,15,,,1346,14,,,10,3,,,81,29,,,744,18,,,,,,,,,,,,,,,,,,,,,233,10,,,,,163,5,,,,,60,22,,,,,,,,,,,,,,,178,37,232,33,,,,,,,,,,,,,,,,,,,10,3,,,,,,,,,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,17,,,51,16,,,,,,,,,,,,,,,,,,,,,214,23,,,,,120,31,,,,,435,23,,,,,,,,,,,,,,,,,146,2,,,,,,,,,3,3,,,,,,,176,11,,,,,,,,,,,,,15,17,,,,,26,16,,,,,18,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,29
811,13464,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,7,,,,,,,11,53,,,,,,,1280,17,,,,,,,,,3715,25,8,12,1503,9,,,,,,,103,25,,,962,13,,,,,,,,,,,,,7,3,,,,,,,1431,3,,,,,,,,,,,126,13,,,,,,,,,,,,,,,82,69,355,26,,,,,,,,,,,,,292,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813,6,,,37,22,,,,,,,,,,,,,,,,,,,,,277,19,,,,,627,7,,,123,4,318,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356,10
50381,12916,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,27,561,42,,,,,,,,,10445,8,,,383,32,,,,,51,14,149,14,,,281,44,,,,,,,,,,,,,,,,,,,,,186,14,,,,,,,,,,,,,,,,,,,,,,,,,,,424,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5072,10700,20,,,,,,,,,,,4,22,,,,,,,,,,,,,,,,,,,17,16,,,,,121,2,,,,,,,,,3,69,,,,,,,,,,,,,144,8,508,44,,,,,,,,,7306,14,5,26,72,76,,,,,,,,,,,255,46,,,,,,,,,,,,,,,20,2,,,,,,,675,2,,,,,,,,,,,,,,,134,10,,,,,,,,,93,64,299,30,,,,,,,,,,,,,35,21,,,,,,,,,,,,,,,,,,,,,,,6,1,,,33,2,,,414,2,,,,,,,,,,,,,,,51,55,6,11,121,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,61,,,,,,,,,,,,,,,,,,,9,2,,,,,,,,,,,,,,,25,51,,,,,197,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,58
