,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,124972,208,1,44,1,42,1,34,1,52,1,2859,1,27,1,38,1,35,1,890,1,42,1,29,1,27,1,,,44,1,804,1,63,1,86,1,442,1,49,1,62,1,406,1,28,1,290,1,28,1,25,1,33,1,933,2,21,1,46,1,536,3,5832,1,33,1,24,1,586,2,33,1,34833,1,78,1,12384,1,596,1,80,1,2989,2,1360,2,51,1,4167,1,,,32,1,27,1,45,1,21,1,30,1,45,1,172,1,31,1,,,1751,1,2169,1,31,1,545,1,24,1,23,1,1450,1,734,1,43,1,1587,2,31,1,31,1,37,1,123,1,4179,2,3870,2,24,1,40,1,27,2,464,1,2749,1,135,1,481,2,26,1,,,93,1,82,1,50,1,33,1,28,1,15,1,374,2,299,1,34,1,22,1,,,106,1,123,1,105,1,2431,1,377,2,32,1,46,1,24,1,35,1,49,1,24,1,1120,4,44,1,673,2,30,1,,,48,1,24,2,26,1,31,1,22,1,31,1,,,36,1,3234,2,28,1,31,1,3064,2,30,1,47,1,526,1,7667,2,27,1,27,1,33,1,32,1,34,1,35,1,26,1,16,1,243,3,99,1,535,1,263,1,,,415,1,412,4,,,22,2,987,2,48,2,,,248,1,,,346,1,3,1,691,1,44,1,230,1,597,2,40,1,,,481,2,78,1,374,1,49,1,19,1,1830,1,,,25,1,,,48,1,,,26,1,24,1,31,1,19,1,30,1,,,3145,4
1,2,2223,58492,,,,,,,,,,,469,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,13,,,,,,,1186,1,,,,,405,4,1743,14,,,,,,,,,13002,5,,,4653,2,,,,,2714,3,1443,1,,,2478,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,4,,,126,9,,,,,,,,,5631,1,2517,7,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,587,1,,,,,,,,,,,14,5,,,,,51,4,,,,,,,,,,,,,491,14,,,853,1,,,,,,,,,,,,,,,,,,,,,5111,1,,,,,6236,1,,,,,,,3308,6,,,,,,,,,,,,,,,,,,,13,3,,,147,2,,,,,108,7,,,,,258,8,,,,,,,,,,,,,446,3,,,,,1000,1,,,,,438,3,,,,,,,,,547,6,,,,,,,,,,,5,9,,,,,,,,,,,2444,6
2,3,1406,48484,46,2,,,,,,,,,25,16,,,,,12,4,46,3,,,,,,,,,,,687,2,,,,,,,,,,,,,,,100,4,,,,,,,176,12,,,15,2,275,5,3124,7,,,,,606,1,,,18814,2,11,10,3746,3,61,4,13,2,452,6,1326,3,,,2155,6,44,1,,,,,12,2,,,,,,,,,,,,,611,3,,,,,397,2,,,,,158,13,39,3,10,3,1926,1,,,,,,,16,3,1276,5,3158,3,,,12,3,7,5,,,,,,,,,,,,,,,10,4,,,,,,,,,88,4,10,11,,,,,,,,,,,,,,,37,5,,,,,,,,,,,,,1125,3,10,6,399,3,,,,,,,43,1,,,,,,,,,,,,,783,9,,,,,378,13,,,,,124,6,3005,7,,,,,,,,,,,8,4,5,2,,,481,1,,,37,12,83,6,,,,,505,3,,,,,590,3,,,,,,,,,,,,,,,,,,,75,8,,,,,150,8,11,3,,,,,,,110,8,,,,,,,8,3,,,7,5,,,,,,,11,2,,,1035,9
3,4,10816,44840,,,,,,,,,,,312,5,,,,,9,5,,,,,,,8,2,,,12,3,169,7,,,,,,,,,,,10,3,,,34,14,,,,,,,318,7,,,,,581,2,3471,6,,,,,80,8,,,12272,7,,,3237,4,42,6,,,729,5,383,6,,,2344,4,,,,,,,,,,,,,,,,,,,,,317,6,50,6,,,184,8,,,,,449,3,,,,,331,4,,,,,,,,,1422,4,2900,5,,,,,,,,,,,6,3,248,5,,,,,,,,,,,,,,,,,,,49,5,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,1665,1,7,10,325,4,,,8,1,,,,,,,,,,,,,,,,,1387,5,,,,,731,4,,,,,113,7,3512,5,,,,,,,,,,,,,,,,,26,6,,,90,7,,,,,,,81,8,,,,,513,4,,,,,,,,,9,3,,,,,,,10,3,78,7,,,,,162,7,,,,,,,,,938,4,,,,,,,4,4,,,8,4,,,,,,,,,,,5198,3
4,5,2093,38729,,,,,,,,,,,86,9,,,,,,,25,4,,,,,,,,,,,50,11,,,,,12,5,11,2,,,,,,,37,12,10,2,,,,,88,19,,,,,66,17,1170,23,,,,,,,,,15818,3,6,21,1468,11,,,,,66,15,94,26,,,1050,16,,,,,,,,,19,2,,,,,,,12,2,,,98,19,21,7,,,53,13,,,,,101,18,14,6,,,94,10,,,,,,,,,647,16,5189,1,,,17,2,8,3,,,3,4,,,151,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,7,,,,,,,,,,,,,340,18,,,54,18,,,,,,,,,,,,,,,,,,,,,419,18,,,,,450,10,,,,,,,1590,11,,,,,10,2,,,,,,,,,,,,,,,48,11,25,11,,,,,,,17,1,,,185,12,,,7,2,,,,,,,,,307,4,,,,,82,6,,,,,56,15,,,,,,,,,1084,3,,,,,,,,,,,19,2,,,,,,,,,12,1,7508,1
5,6,2397,35272,16,4,14,2,,,11,2,,,991,2,,,,,16,2,146,2,,,17,2,,,,,11,4,324,5,,,,,25,4,,,49,2,43,2,,,44,9,,,16,2,23,2,327,6,,,15,3,675,1,3489,5,,,,,339,4,,,12544,6,13,5,1961,7,45,5,7,7,3072,1,221,8,,,1406,10,,,,,8,2,,,,,,,21,2,,,,,,,551,5,,,17,2,208,6,,,,,359,4,79,2,15,2,32,13,,,,,16,2,31,2,835,11,1457,9,,,,,,,75,2,35,2,,,34,24,17,2,,,,,18,2,,,,,10,2,11,2,83,6,65,4,,,,,,,61,2,9,6,,,,,15,8,,,,,,,,,,,,,443,16,19,4,291,5,,,,,,,10,4,,,,,,,6,2,,,,,685,11,12,2,,,395,12,,,,,,,1531,13,,,,,,,,,,,14,2,,,,,64,4,,,99,5,60,7,,,,,179,5,,,,,426,6,23,3,,,16,5,,,,,,,66,9,,,8,4,238,4,,,,,169,6,11,4,,,,,13,2,56,11,27,1,,,,,10,2,,,12,3,,,,,,,11,3,,,456,17
6,7,2162,27803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,9,42,,,,,,,139,15,,,,,36,29,1453,19,,,,,,,,,15298,4,,,949,21,,,,,,,120,24,,,880,18,,,,,3,4,,,,,,,,,,,,,,,19,44,,,,,,,,,,,184,10,,,,,,,,,,,,,4,9,608,17,6,112,,,,,,,9,4,,,,,74,10,,,,,,,,,,,,,,,,,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,36,2,18,,,,,,,,,,,,,,,,,,,,,,,534,15,,,,,147,21,,,,,9,12,6012,3,,,,,,,,,,,,,,,,,3,10,,,,,7,16,,,,,16,12,,,,,119,19,,,,,,,,,,,,,,,,,,,35,14,,,,,127,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,12
7,8,2181,27758,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,500,3,,,,,,,,,,,,,,,24,21,,,,,,,179,10,,,,,193,8,2538,11,,,,,321,5,,,7924,11,17,4,1079,19,149,2,10,4,,,226,7,,,1483,9,,,,,,,,,,,,,,,,,,,,,256,8,,,,,101,10,,,,,279,5,,,,,298,6,,,,,,,11,4,956,8,1080,13,,,,,,,38,3,,,,,42,19,,,,,,,,,,,,,,,4,4,53,8,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,9,12,5,223,6,,,,,,,,,,,,,,,,,,,,,1573,4,,,,,271,16,,,,,146,5,2685,8,,,,,,,,,,,5,7,,,,,34,5,,,132,4,21,12,,,,,44,10,8,2,,,2005,1,,,,,,,,,,,,,177,5,,,,,107,5,,,,,175,5,23,2,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,1602,7
8,9,463,25978,,,6,4,,,,,,,,,,,,,,,6,6,,,,,,,,,,,33,14,,,,,,,,,2,10,,,,,31,17,,,,,,,252,8,,,,,96,15,2028,13,,,,,,,,,11949,8,5,28,1088,17,17,15,5,9,15,21,154,18,,,1154,13,,,,,,,,,,,,,,,,,,,,,123,15,,,,,19,15,,,,,85,19,,,,,35,12,,,,,,,,,821,13,3076,4,,,,,,,,,,,,,113,8,,,,,,,2,8,,,,,,,,,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,17,6,11,41,24,,,,,,,,,,,,,,,,,,,,,409,19,,,,,957,3,,,,,,,1780,9,,,,,,,,,,,,,,,,,,,,,,,12,14,,,,,16,11,,,,,136,16,,,,,,,,,,,,,58,10,,,,,26,18,,,,,73,12,,,,,,,,,41,13,,,,,,,,,,,,,,,,,,,,,,,944,11
9,10,29351,21752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,,,,,,,,,,,,,,,,,,,,,,,,,148,14,,,,,,,2732,9,,,,,,,,,3550,28,,,189,47,110,3,,,,,71,28,,,284,51,,,,,,,,,,,,,,,,,,,,,259,7,,,,,,,,,,,41,28,20,5,,,,,,,,,,,,,,,128,50,,,,,,,,,,,,,16,55,,,,,,,,,,,,,,,,,330,3,92,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,40,,,,,,,,,,,,,,,,,,,,,,,,,927,8,,,,,,,,,,,,,10798,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,32,,,,,,,,,,,,,,,,,,,,,,,,,1046,1,,,,,,,,,671,5,,,,,,,,,,,,,,,,,,,,,,,134,33
