,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,50381,18715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17761,2,,,,,,,,,12,14,132,13,,,,,,,,,,,,,,,,,,,,,105,12,,,,,,,,,,,,,,,,,,,,,,,,,,,705,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,181,17927,4,4,,,,,,,,,326,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,17,,,,,,,,,,,,,151,5,1680,14,,,,,,,,,9550,11,,,1598,8,,,3,11,,,88,18,,,1076,14,,,,,,,,,,,,,,,,,126,10,,,,,253,3,,,,,196,11,,,,,,,,,,,,,,,162,46,149,41,,,,,,,,,,,,,,,,,,,6,7,,,,,,,45,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,15,,,106,10,,,,,,,,,,,,,265,24,,,,,107,25,,,,,1095,18,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,220,7,,,,,,,,,,,16,12,,,,,114,15,,,,,11,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,30
12,13,320,17119,,,,,,,,,,,186,7,,,,,,,,,,,,,,,150,6,,,,,,,,,12,3,,,,,66,3,,,,,,,154,10,,,9,4,45,18,1189,18,,,,,484,4,,,6884,16,23,2,1055,15,41,6,,,,,148,9,,,1535,9,,,,,9,3,,,7,2,,,12,2,,,63,23,80,3,,,,,,,,,236,7,,,,,357,5,,,,,,,15,3,166,43,459,22,,,16,4,,,,,11,3,41,23,,,,,,,14,4,,,,,,,22,10,,,,,,,,,10,5,,,,,49,5,,,,,,,,,,,,,612,9,72,1,65,17,,,1,7,,,,,,,,,552,10,,,,,186,19,,,75,7,1243,13,,,,,,,,,9,3,,,,,,,59,8,56,3,,,,,,,,,,,64,31,,,,,12,5,10,4,,,30,9,,,,,121,14,,,18,1,38,13,,,,,,,,,42,10,,,,,,,,,,,,,,,,,,,,,306,17
13,14,822,16753,,,,,,,,,,,,,,,,,,,,,,,,,,,26,12,,,,,,,,,,,,,,,21,20,,,,,,,,,,,5,7,15,37,1250,17,,,,,,,,,10231,9,6,16,584,23,,,,,,,198,5,,,425,36,,,,,,,,,,,,,,,,,33,31,,,,,,,,,,,161,14,,,,,,,,,,,,,,,499,22,612,19,,,,,,,,,,,46,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,13,6,15,159,7,,,,,,,,,,,,,618,8,,,,,93,28,,,,,579,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,9,,,,,,,,,,,,,,,,,,,,,,,13,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,14
14,15,13,15558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,5,,,,,,,134,12,,,5,6,40,21,1096,20,,,,,,,,,7720,13,3,33,1298,11,,,5,10,,,,,4,2,643,26,,,,,,,,,,,,,,,,,264,5,,,,,,,,,,,191,12,,,,,,,,,,,,,,,337,25,1431,10,,,,,,,,,,,123,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,127,12,5,47,23,,,,,,,,,,,,,395,15,,,,,256,12,,,32,9,904,22,,,,,,,,,,,,,,,,,17,14,18,9,,,,,50,4,,,,,138,17,,,,,,,,,,,,,,,,,30,27,,,,,,,,,,,,,,,6,12,,,,,,,,,,,,,,,,,,,,,305,18
15,16,2243,15109,,,,,,,,,,,,,,,,,,,,,,,,,,,22,17,,,,,,,,,,,,,,,7,44,,,,,,,,,,,,,,,3183,7,,,,,,,,,5793,20,,,,,,,,,,,,,,,1472,10,,,,,,,,,,,,,,,,,,,,,,,43,11,,,,,134,18,,,,,,,,,,,,,,,510,20,214,34,,,,,,,,,,,13,46,,,,,,,,,,,,,,,36,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732,5,,,,,,,,,,,,,,,,,890,5,,,,,438,9,,,15,10,1140,15,,,,,,,7,5,,,,,,,,,,,39,5,,,,,367,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54
16,17,2425,14254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,28,15,,,,,,,,,,,,,80,11,984,27,,,,,,,,,4724,24,6,20,1240,13,,,6,7,106,8,133,11,,,1263,13,,,,,,,,,,,,,,,,,104,13,,,,,,,,,,,17,34,,,,,,,,,,,,,,,587,14,844,14,,,,,,,,,,,22,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,22,,,,,,,,,,,,,,,,,387,16,,,,,542,8,,,113,4,2403,9,,,,,,,,,,,,,,,,,49,10,,,,,,,,,,,,,185,10,,,,,,,,,,,,,,,,,,,,,,,55,10,,,,,,,,,15,11,,,,,,,,,,,,,,,,,,,,,145,33
17,18,1294,13268,,,,,,,,,,,70,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,23,,,,,,,,,,,,,60,16,852,30,,,,,,,,,7337,14,4,29,639,21,,,,,,,103,16,,,1441,11,,,,,,,,,,,,,,,,,216,7,,,,,,,,,,,144,16,,,,,34,13,,,,,3,6,,,706,7,,,,,,,,,,,,,90,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,438,14,,,72,16,,,5,5,,,,,,,,,49,53,,,,,,,,,,,597,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,11,,,,,,,,,,,,,,,,,38,25,,,,,5,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,29
18,19,25821,12862,,,,,,,,,,,43,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3029,9,,,,,,,,,4,958,14,3,,,,,,,,,,,,,3118,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5292,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342,2,,,,,,,,,,,,,,,,,,,,,,,20,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,2719,10747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,80,,,,,,,,,,,,,41,20,790,33,,,,,,,,,7986,12,5,24,243,39,,,,,,,29,39,,,832,20,,,,,,,,,,,,,,,,,84,16,,,,,,,,,,,8,47,,,,,,,,,,,,,,,193,36,,,,,,,,,,,,,21,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,39,,,,,,,,,,,,,,,,,39,57,,,,,,,,,,,169,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,40,,,,,,,,,,,,,,,,,,,,,,,5,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,31
20,21,5432,9085,,,,,,,,,,,164,8,,,13,2,,,,,,,,,,,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,67,,,,,,,,,6057,18,,,944,16,,,,,115,7,13,71,,,240,57,,,,,,,,,,,,,5,4,,,107,11,29,4,,,,,,,,,,,,,,,244,6,,,,,,,,,150,49,116,43,,,,,,,,,,,13,47,,,,,,,,,,,,,,,,,32,7,,,,,,,4,7,,,21,3,,,,,,,,,,,,,,,110,37,8,11,38,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,2,18,2,,,152,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,34
21,22,2136,8893,,,,,,,,,,,,,,,,,,,,,,,,,,,141,8,,,,,,,,,,,,,,,,,,,,,,,255,8,,,,,,,3160,8,,,,,,,,,2365,51,8,12,147,49,,,,,203,3,,,,,231,58,,,,,,,,,,,,,,,,,,,,,,,146,6,,,,,232,9,,,,,,,,,,,,,,,249,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,,,,,,,551,11,,,,,,,,,,,,,,,,,745,7,,,,,,,,,,,68,70,,,,,,,,,,,,,,,,,90,3,,,,,,,,,5,3,,,197,8,,,,,,,,,,,,,,,,,55,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,80
22,23,27443,8856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,27,,,,,,,45,24,,,5,8,31,23,653,40,,,,,,,,,751,111,9,10,462,27,20,10,,,,,44,31,,,367,40,,,,,,,,,,,,,,,,,,,,,,,31,13,,,,,,,,,,,,,,,,,,,,,317,26,,,,,,,,,,,,,2204,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,24,,,,,,,,,,,,,,,,,308,22,,,,,194,18,,,,,700,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2473,4
23,24,5072,8573,,,,,,,,,,,10,19,,,,,,,,,,,,,,,11,20,,,,,32,2,,,,,,,,,11,35,,,,,,,,,,,,,105,8,483,46,,,,,,,,,6414,17,5,26,71,66,,,,,,,,,,,285,48,,,,,,,,,,,,,5,3,,,,,130,2,,,,,,,,,,,,,,,213,9,,,,,,,,,66,78,245,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,12,4,,,138,2,,,,,,,,,,,,,,,27,69,12,6,75,14,,,,,,,,,,,,,,,,,,,,,,,,,123,55,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,18,55,,,,,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,65
24,25,811,8505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,10,,,,,,,15,39,,,,,,,1039,24,,,,,,,,,3013,39,,,1088,14,,,,,,,58,27,,,686,23,,,,,,,,,,,,,,,,,152,9,,,,,,,,,,,88,22,,,,,,,,,,,,,,,53,92,261,28,,,,,,,,,,,347,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,4,,,34,27,,,,,,,,,,,,,350,19,,,,,221,15,,,54,8,273,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,3886,8184,,,,,,,,,,,,,,,,,,,,,,,,,,,211,5,,,,,,,,,,,,,,,15,29,,,,,,,,,,,,,80,12,3477,5,,,,,,,,,11,933,4,31,233,40,14,13,,,15,12,132,12,,,412,37,,,2,4,,,,,,,,,,,,,16,39,,,,,,,,,,,663,2,,,,,,,,,,,,,,,684,9,90,51,,,,,,,,,,,19,36,,,,,,,,,16,2,,,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,48,14,4,118,8,,,,,,,,,,,,,206,27,,,,,596,7,,,288,2,194,47,,,,,,,,,,,,,,,,,76,4,4,15,,,,,,,,,,,66,30,,,,,,,,,,,,,,,,,326,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,38
26,27,6819,8008,,,,,,,,,,,,,,,,,,,,,,,,,,,25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,17,5034,2,,,,,,,,,1532,68,7,15,,,,,,,,,43,32,,,283,49,,,,,,,,,,,,,,,,,38,27,,,,,,,,,,,,,,,,,,,,,,,7,3,,,78,73,,,,,,,,,,,,,13,48,,,,,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,82,50,,,20,34,,,,,,,,,,,,,330,21,,,,,33,43,,,,,190,48,,,,,,,,,,,,,,,,,26,12,,,,,,,,,,,,,68,28,,,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,37
27,28,2392,7660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,28,,,,,,,76,16,,,,,,,839,32,,,,,,,,,3898,30,,,293,33,,,12,5,116,6,,,,,975,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,31,,,,,,,,,,,,,,,303,27,270,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,20,,,63,19,,,,,,,,,,,,,336,20,,,,,73,31,,,,,,,,,,,,,,,,,,,,,,,3,36,,,,,,,11,11,,,,,74,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,57
