,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,160635,134,1,43,1,38,1,25,1,15,1,3937,1,20,1,22,1,16,1,41,1,7,1,13,1,1121,1,70,1,11,1,22,1,,,35,1,1046,1,115,1,417,1,386,1,19,1,26,1,305,1,6,1,244,1,15,1,12,1,27,1,1192,1,14,1,46,1,415,2,9666,1,12,1,15,1,14,1,919,1,9,2,39429,1,84,1,13177,1,1434,1,41,1,3400,3,1886,2,13,1,54,1,6246,1,,,12,1,30,1,29,1,10,2,6,1,16,1,44,1,64,1,7,2,,,2066,1,1209,1,75,1,681,1,10,1,10,1,1980,1,505,1,,,20,1,4909,1,15,1,20,1,29,1,123,1,7779,2,3553,3,24,1,13,2,25,2,668,1,756,1,163,1,598,3,18,1,5,1,113,1,72,1,16,1,9,1,19,1,13,1,470,1,237,1,11,1,11,2,13,2,118,1,115,1,109,1,1237,1,1138,1,12,1,48,1,14,1,21,1,31,1,11,1,1650,3,28,2,1438,3,11,1,,,4,1,15,2,18,1,12,1,17,1,25,1,,,14,1,5929,1,27,1,20,1,6207,2,26,1,19,1,1172,1,10949,2,15,1,12,1,11,1,8,1,11,1,21,1,17,1,9,1,171,3,112,1,504,2,256,1,,,369,1,518,3,,,27,2,1066,1,31,2,,,308,1,,,439,1,34,1,912,1,18,1,84,1,174,1,2769,1,63,1,,,636,2,82,1,783,1,33,1,10,1,2177,2,,,17,1,,,12,1,,,25,1,8,1,11,1,20,1,25,1,,,5692,3
1,2,2223,83482,,,,,,,,,,,1761,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,6,,,,,,,1017,2,,,,,198,6,2679,12,,,,,,,,,,,14761,7,,,5582,3,,,,,9382,1,2460,1,,,,,3627,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,3,,,,,712,4,,,,,,,,,8390,1,2873,6,,,,,18,3,,,,,,,97,13,,,,,,,,,,,,,,,,,153,3,,,,,,,,,,,21,5,,,,,183,5,,,,,,,,,,,,,671,12,,,1458,2,,,,,,,,,,,,,,,,,,,,,5794,2,,,,,9125,1,,,,,,,2787,8,,,,,,,,,,,,,,,,,,,10,4,,,202,2,,,34,2,107,9,,,,,307,9,,,,,,,,,,,,,534,2,,,,,,,2473,2,,,,,281,4,,,,,,,,,2620,1,,,,,,,,,,,4,9,,,,,,,,,,,3027,6
2,3,1406,69418,35,2,,,,,,,,,684,4,,,,,,,17,4,,,,,75,3,,,,,,,,,,,322,4,,,,,,,,,,,,,,,47,11,,,,,,,217,11,,,7,7,330,3,4111,6,,,,,,,517,3,,,21636,3,9,9,3438,5,65,4,19,3,691,6,1307,3,,,,,2970,4,10,1,,,,,13,2,,,,,,,10,5,,,,,,,865,4,,,,,511,2,,,,,306,8,75,4,,,7,2,2606,2,,,,,,,21,5,1806,5,2495,7,,,7,3,8,6,,,,,,,117,9,,,,,61,2,10,6,,,,,,,,,63,7,21,11,,,,,,,,,,,,,,,169,6,,,,,,,,,,,,,1717,2,19,4,12831,1,,,,,,,28,1,,,,,,,,,,,,,596,15,,,,,595,12,,,,,159,7,3531,7,,,,,,,,,,,14,2,14,2,,,659,1,,,51,11,28,9,,,,,175,6,,,,,691,4,,,,,,,,,,,,,49,11,,,,,,,232,10,,,,,206,6,8,4,,,,,,,288,8,,,,,,,6,3,,,7,5,,,,,,,9,3,,,1827,9
3,4,10816,58826,,,,,,,,,,,445,7,,,,,,,22,3,,,,,,,,,,,13,2,,,15,3,153,7,,,,,,,,,,,18,2,,,49,8,,,,,,,372,5,,,,,215,5,3257,8,,,,,,,67,9,,,13598,8,,,6006,2,63,5,,,1091,5,506,6,,,,,2161,7,,,,,,,,,,,,,,,,,,,,,,,326,7,43,6,,,250,6,,,,,744,3,,,,,,,441,5,,,,,,,,,2285,4,1927,9,,,,,,,,,,,12,3,255,5,,,,,,,,,,,,,,,,,,,76,3,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,777,10,11,8,449,4,,,21,1,,,,,,,,,,,,,,,,,1568,4,,,,,2472,3,,,,,242,4,12631,1,,,,,,,,,,,,,,,,,19,6,,,74,9,,,,,,,118,8,,,,,456,6,,,,,,,,,,,,,,,,,,,16,5,368,6,,,,,187,8,,,,,,,,,823,4,,,,,,,9,2,,,18,3,,,,,,,,,,,4142,4
4,5,2397,49355,20,3,12,2,,,9,2,,,1419,3,,,,,,,17,5,,,,,178,2,,,11,2,,,,,9,5,440,3,,,,,22,5,,,16,2,12,3,,,83,3,,,4,2,10,2,393,4,,,11,3,735,1,4480,4,,,,,,,396,4,,,16670,5,23,2,3595,4,50,6,11,7,5937,2,282,11,,,,,1769,9,,,,,17,3,,,,,,,,,24,3,,,,,,,1136,2,,,9,2,169,9,,,,,370,6,101,2,,,6,3,32,13,,,,,4,4,30,3,1405,6,1798,10,,,,,,,91,2,55,2,,,44,20,16,2,,,,,20,3,,,,,13,4,5,3,63,8,59,4,,,,,,,81,2,12,7,,,,,14,9,,,,,,,,,,,,,570,15,12,6,425,5,,,,,,,8,5,,,,,,,8,2,,,,,808,10,11,2,,,821,7,,,,,,,1957,11,,,,,,,,,,,7,4,,,,,57,4,,,44,12,71,5,,,,,168,7,,,,,491,5,9,3,,,23,4,,,,,,,79,8,,,,,21,4,664,5,,,,,118,11,16,2,,,,,6,2,77,14,15,1,,,,,5,4,,,6,6,,,,,,,11,2,,,659,19
5,6,2093,39190,,,,,,,,,,,136,14,,,,,,,,,,,,,16,4,,,,,,,,,,,54,11,,,,,6,6,5,3,,,,,,,39,12,2,2,,,,,140,20,,,,,57,18,1684,21,,,,,,,,,,,15641,6,9,10,2299,8,,,,,60,15,225,17,,,,,1132,15,,,,,,,,,12,1,,,,,,,,,11,1,,,112,17,11,7,,,99,11,,,,,146,17,11,9,,,,,160,9,,,,,,,,,836,13,4553,1,,,14,1,10,5,,,5,3,,,175,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,7,,,,,,,,,,,,,385,17,,,117,19,,,,,,,,,,,,,,,,,,,,,790,11,,,,,720,9,,,,,,,1612,13,,,,,6,2,,,,,,,,,,,,,,,55,10,13,15,,,,,,,17,2,,,321,8,,,4,2,,,,,,,,,338,5,,,,,,,220,11,,,,,144,9,,,,,,,,,368,7,,,,,,,,,,,25,2,,,,,,,,,6,1,6338,1
6,7,2162,31759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,39,13,,,,,,,195,13,,,,,33,27,1665,22,,,,,,,,,,,18863,4,,,917,24,,,,,,,131,25,,,,,1093,16,,,,,9,5,,,,,,,,,,,,,,,,,17,50,,,,,,,,,,,158,16,,,,,,,10,20,,,,,,,13,6,582,22,230,33,,,,,,,6,4,,,,,43,23,,,,,,,,,,,,,,,,,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,42,5,16,,,,,,,,,,,,,,,,,,,,,,,616,14,,,,,285,17,,,,,27,11,4327,5,,,,,,,,,,,,,,,,,2,11,,,,,8,17,,,,,28,15,,,,,136,18,,,,,,,,,,,,,,,,,,,,,72,19,,,,,134,10,,,,,,,,,147,10,,,,,,,,,,,,,,,,,,,,,,,1839,8
7,8,11733,29305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,114,,,,,,,,,12,1,24876,2,,,,,,,,,,,,,,,,,340,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,3,,,,,28,38,,,,,,,,,,,,,,,,,3202,3,39,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,84,4,,,,,40,13,,,,,14,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,463,28122,8,5,5,4,,,,,,,72,18,,,,,,,,,,,,,8,6,,,,,,,,,,,21,19,,,,,,,,,5,8,,,,,24,24,,,,,,,269,8,,,,,65,16,2340,13,,,,,,,,,,,12623,9,7,15,1433,14,11,15,4,17,26,20,163,22,,,,,1173,14,,,,,,,,,,,,,,,,,,,,,,,94,22,,,,,27,14,,,,,139,19,,,,,,,32,12,,,,,,,,,1300,7,3517,4,,,,,,,,,,,,,105,12,6,3,,,,,12,5,,,,,,,,,11,11,,,,,,,,,,,,,,,,,12,10,,,,,,,,,,,,,357,19,7,14,35,29,,,,,,,,,,,,,,,,,,,,,399,19,,,,,1179,5,,,,,,,1426,14,,,,,,,,,,,,,,,,,,,,,,,24,11,,,,,19,17,,,,,174,15,,,,,,,,,,,,,86,7,,,,,,,85,16,,,,,54,20,,,,,,,,,36,16,,,,,,,,,,,,,,,,,,,,,,,729,16
9,10,811,27732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,4,,,,,,,14,52,,,,,,,2839,10,,,,,,,,,,,9660,10,3,38,1626,12,,,,,,,264,12,,,,,1773,8,,,,,,,,,,,,,,,5,11,,,,,,,780,5,,,,,,,,,,,210,11,,,,,,,,,,,,,,,,,136,64,339,23,,,,,,,,,,,,,414,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293,4,,,64,26,,,,,,,,,,,,,,,,,,,,,888,8,,,,,643,11,,,,,365,2,371,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5955,2
