bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
2181,22782,11,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,151,5,,,,,,,,,,,,,,,26,11,,,,,,,130,10,,,,,136,8,1768,14,,,,,379,3,,,6621,17,17,4,1388,10,92,3,7,9,,,151,8,,,1630,6,,,,,,,,,,,,,,,256,5,,,,,118,6,,,255,3,,,,,323,4,,,,,,,11,3,112,57,1051,11,,,,,12,3,,,,,19,31,,,,,,,,,,,,,,,48,8,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,722,7,16,2,173,6,,,,,,,,,,,,,1668,2,,,,,258,15,,,117,4,1998,9,,,,,,,5,4,,,,,,,,,74,5,14,9,,,,,,,4,3,,,1112,2,,,,,,,,,105,5,,,,,790,5,,,,,119,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,868,7
50381,22761,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21832,2,,,,,,,,,16,11,174,5,,,,,,,,,,,,,,,,,,,86,14,,,,,,,,,,,,,,,,,,,,,,,,,653,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,17880,13,11,4,,,,,,,,,261,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,13,,,,,,,,,,,,,212,4,1739,15,,,,,,,,,9598,8,,,1767,6,,,9,7,,,91,20,,,1157,12,,,,,,,,,,,,,,,95,11,,,,,213,3,,,151,11,,,,,,,,,,,,,,,146,46,163,37,,,,,,,,,,,,,,,,,,,4,5,,,,,,,47,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,12,,,58,13,,,,,,,,,,,,,225,25,,,,,142,25,,,,,769,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,8,,,,,,,,,21,10,,,,,84,16,,,,,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,26
2243,16875,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,12,,,,,,,,,,,,,,,6,54,,,,,,,,,,,,,,,3706,6,,,,,,,,,7455,14,,,,,,,,,,,,,,,1354,9,,,,,,,,,,,,,,,,,,,,,59,11,,,85,17,,,,,,,,,,,,,,,438,21,176,36,,,,,,,,,,,,,,,,,,,,,,,,,,,39,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828,5,,,,,,,,,,,,,,,,,870,5,,,,,470,8,,,38,10,927,17,,,,,,,8,2,,,,,,,,,,,39,5,,,,,309,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,49
320,16789,15,,,,,,,,,,,118,7,,,,,,,,,,,,,,,,,67,9,,,,,,,,,10,5,,,,,43,5,,,,,,,63,15,,,11,2,51,18,1312,23,,,,,120,6,,,7526,12,21,3,1270,12,32,5,,,,,133,11,,,1305,11,,,,,8,2,,,7,2,,,7,3,62,21,19,4,,,,,,,201,8,,,,,311,5,,,,,,,8,4,194,37,396,24,,,21,3,,,,,9,2,55,14,,,,,,,3,6,,,,,,,49,7,,,,,,,,,6,4,,,,,60,6,,,,,,,,,,,,,596,10,14,3,38,20,,,,,,,,,,,,,510,10,,,,,234,16,,,182,3,1021,15,,,,,,,,,6,2,,,,,,,56,7,42,4,,,,,,,,,,,72,25,,,,,10,6,10,3,28,8,,,,,93,15,,,4,1,41,11,,,,,,,,,46,8,,,,,,,,,,,,,,,,,,,288,16
2136,14970,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,8,,,,,,,,,,,,,,,,,,,,,,,185,7,,,,,,,5352,3,,,,,,,,,2689,40,7,12,147,50,,,,,168,4,,,,,3868,2,,,,,,,,,,,,,,,,,,,,,137,5,,,135,13,,,,,,,,,,,,,,,237,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,,,,,,,,,,,674,8,,,,,,,,,,,,,,,,,620,7,,,,,,,,,,,72,70,,,,,,,,,,,,,,,,,78,3,,,,,,,,,6,2,,,439,4,,,,,,,,,,,,,,,60,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,87
13,14842,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,8,,,,,,,104,12,,,4,5,43,20,1366,22,,,,,,,,,7152,15,5,19,1295,11,,,7,8,,,,,2,2,672,25,,,,,,,,,1,4,,,,,265,4,,,,,,,,,196,9,,,,,,,,,,,,,,,341,27,1427,9,,,,,,,,,,,73,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,113,4,14,51,16,,,,,,,,,,,,,327,18,,,,,309,12,,,57,8,723,20,,,,,,,,,,,,,,,,,13,16,23,7,,,,,30,6,,,,,119,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13,,,,,,,,,,,,,,,,,,,184,20
1294,13266,18,,,,,,,,,,,35,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,20,,,,,,,,,,,,,75,13,804,35,,,,,,,,,7457,13,9,10,729,17,,,,,,,161,7,,,1497,7,,,,,,,,,,,,,,,139,9,,,,,,,,,81,18,,,,,24,13,,,,,3,6,,,605,9,,,,,,,,,,,,,72,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,,,,,,,,,,,,,476,13,,,34,23,,,3,3,,,,,,,,,59,46,,,,,,,,,,,606,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,14,,,,,,,,,,,,,,,25,26,,,,,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,23
25821,12802,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3058,10,,,,,,,,,6,948,13,6,,,,,,,,,,,,,3456,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4985,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1261,2,,,,,,,,,,,,,,,,,,,,,,,23,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,12770,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,9,36,,,,,,,,,,,,,43,21,879,32,,,,,,,,,4233,26,10,8,1678,9,,,10,6,64,8,164,6,,,1057,13,,,,,,,,,,,,,,,82,16,,,,,,,,,,,,,,,,,,,,,,,,,516,14,823,18,,,,,,,,,,,15,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,23,,,,,,,,,,,,,,,,,340,16,,,,,379,9,,,80,6,1839,10,,,,,,,,,,,,,,,,,58,6,,,,,,,,,,,,,99,18,,,,,,,,,,,,,,,,,,,,,57,9,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,118,28
