,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
17,18,27443,13383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,33,,,,,,,54,21,,,4,8,34,27,956,31,,,,,,,,,800,114,10,10,612,28,24,9,,,,,91,23,,,556,28,,,,,,,,,,,,,,,,,,,,,,,,,64,12,,,,,,,,,,,,,,,,,,,,,498,28,2236,7,,,,,,,,,,,,,2531,1,,,,,,,,,,,,,,,,,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,341,18,,,,,,,,,,,,,,,,,,,,,452,17,,,,,327,14,,,,,727,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2995,2
18,19,822,13128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,14,,,,,,,,,,,,,,,21,24,,,,,,,,,,,4,6,51,17,1642,17,,,,,,,,,4911,25,6,17,830,23,,,,,,,240,5,,,527,33,,,,,,,,,,,,,,,,,,,45,30,,,,,,,,,,,132,17,,,,,,,,,,,,,,,949,11,602,21,,,,,,,,,,,,,59,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,13,4,16,72,16,,,,,,,,,,,,,,,,,733,7,,,,,114,29,,,,,899,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,10,,,,,,,,,,,,,,,,,,,,,,,16,27,,,,,,,,,1,25,,,,,,,,,,,,,,,,,,,,,603,10
19,20,25821,12827,,,,,,,,,,,66,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3693,6,,,,,,,,,758,119,10,9,1349,14,,,,,,,,,,,3262,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2724,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,5,,,,,,,,,,,,,,,,,,,,,,,,,,,24,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,811,12530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,5,,,,,,,16,39,,,,,,,1267,20,,,,,,,,,4554,27,,,2129,9,,,,,,,124,20,,,781,20,,,,,,,,,,,,,,,,,,,219,7,,,,,,,,,,,155,15,,,,,,,,,,,,,,,97,74,264,34,,,,,,,,,,,,,220,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879,6,,,28,31,,,,,,,,,,,,,,,,,581,12,,,,,623,8,,,114,6,404,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,2719,12385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,83,,,,,,,6,51,,,,,18,34,605,42,,,,,,,,,9534,12,3,37,470,31,,,,,,,56,32,,,769,21,,,,,,,,,,,,,,,,,,,70,21,,,,,,,,,,,17,41,,,,,,,,,,,,,,,253,43,,,,,,,,,,,,,,,13,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,50,,,,,,,,,,,,,,,,,,,,,50,53,,,,,,,,,,,240,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,40,,,,,,,,,,,,,,,,,,,,,,,16,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,29
22,23,2136,12038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,6,,,,,,,,,,,,,,,,,,,,,,,330,6,,,,,,,3724,5,,,,,,,,,3263,41,7,16,263,41,,,,,374,4,,,,,252,53,,,,,,,,,,,,,,,,,,,,,,,,,144,8,,,,,200,11,,,,,,,,,,,,,,,505,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,,,,,,,,,,,,,,,948,4,,,,,,,,,,,,,,,,,,,,,1123,5,,,,,,,,,,,133,57,,,,,,,,,,,,,30,7,,,103,4,,,,,,,,,5,3,,,318,7,,,,,,,,,,,,,,,,,77,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,93
23,24,5072,11443,,,,,,,,,,,5,20,,,,,,,,,,,,,,,,,9,21,,,,,41,2,,,,,,,,,10,38,,,,,,,,,,,,,124,8,546,46,,,,,,,,,8008,17,8,14,107,64,,,,,,,,,,,362,42,,,,,,,,,,,,,,,5,4,,,,,1000,2,,,,,,,,,,,,,,,184,8,,,,,,,,,107,71,286,32,,,,,,,,,,,,,13,47,,,,,,,,,,,,,,,,,,,,,4,1,,,11,4,,,188,2,,,,,,,,,,,,,,,49,61,6,13,126,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,58,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,22,62,,,,,50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,74
24,25,1258,9617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,26,,,,,,,1063,25,,,,,,,,,8473,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,6819,8969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,21,5367,2,,,,,,,,,1793,64,6,19,63,91,,,,,,,18,68,,,197,61,,,,,,,,,,,,,,,,,,,48,29,,,,,,,,,,,,,,,,,,,,,,,5,4,,,152,59,98,51,,,,,,,,,,,,,15,43,,,,,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,86,48,,,23,34,,,,,,,,,,,,,,,,,504,14,,,,,45,41,,,,,203,47,,,,,,,,,,,,,,,,,20,12,,,,,,,,,,,,,111,21,,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,36
26,27,39856,8920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,8,,,,,,,,,,,,,,,22,23,,,,,,,78,16,,,,,24,31,794,37,,,,,,,,,3212,43,,,,,,,,,,,,,,,915,16,,,,,,,,,,,,,,,,,,,122,14,,,,,,,,,,,184,13,,,,,,,,,,,,,,,1218,8,,,,,,,,,,,,,,,38,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,46,,,,,,,,,,,,,,,,,299,24,,,,,,,,,,,1504,14,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,24
