,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
0,1,171,110828,127,1,51,1,31,1,,,65,1,2139,1,26,1,32,1,20,1,220,1,37,1,31,1,36,1,341,2,30,1,79,1,163,1,23,1,62,1,149,1,14,1,234,1,28,1,21,1,24,1,686,1,27,1,35,1,460,1,5048,1,18,1,23,1,378,2,,,31166,1,69,1,17249,1,437,1,68,1,1106,2,900,1,40,1,4010,1,30,1,24,1,31,1,23,1,23,1,47,1,117,1,1236,1,654,1,23,1,374,1,13,1,3,1,794,1,123,1,23,1,1419,1,16,1,23,1,23,1,90,1,3820,1,4286,3,50,1,30,3,249,1,1084,1,45,1,594,3,22,1,32,1,63,1,40,1,24,1,21,1,244,2,230,1,22,2,,,96,1,44,1,72,1,393,1,135,2,25,1,45,1,25,1,19,1,36,1,24,1,990,3,40,1,651,1,,,31,1,20,1,20,1,21,1,,,2230,1,23,1,19,1,4105,1,24,1,572,1,7799,3,22,1,24,1,13,1,31,1,26,1,19,1,191,1,32,1,321,1,157,1,,,173,1,967,1,,,22,2,1523,1,56,1,,,118,1,63,1,1,1,688,1,19,1,114,1,1832,1,32,1,,,403,2,48,1,55,1,38,1,25,1,2173,1,,,23,1,,,22,1,,,27,1,15,1,19,1,28,1,2381,4
1,2,1406,40203,16,2,,,,,,,,,27,11,,,,,,,,,,,,,,,186,4,,,,,,,,,,,,,,,37,4,,,,,,,105,12,,,6,5,340,2,3789,3,,,,,311,4,,,18291,3,24,4,2519,3,24,5,25,3,154,3,3,131,,,1824,3,,,,,,,,,,,,,,,694,3,,,,,181,4,,,,,129,10,15,3,9,2,825,2,,,,,,,6,7,1379,4,1773,9,9,3,17,4,,,,,,,,,,,,,5,5,,,,,,,73,4,,,,,,,,,,,,,,,72,5,,,,,,,,,,,,,1238,1,7,8,219,4,,,7,3,,,,,,,,,399,13,,,,,366,11,,,70,7,2257,7,,,,,,,6,3,7,3,,,172,2,,,27,12,,,,,,,547,2,,,,,373,4,,,,,,,,,,,,,,,,,203,8,,,,,79,6,,,,,,,,,170,5,,,,,,,10,3,,,,,,,,,8,3,1170,6
2,3,10816,37534,,,,,,,,,,,357,5,,,,,,,,,,,,,7,3,125,6,,,,,,,,,,,10,3,,,26,11,,,,,,,184,6,,,,,281,3,2833,7,,,,,42,7,,,16289,4,,,2822,2,40,4,,,106,5,16,53,,,1523,4,,,,,,,,,,,,,,,454,6,13,5,,,74,8,,,,,251,3,,,,,159,8,,,,,,,,,1131,5,3930,4,,,,,,,,,5,3,294,7,,,,,,,,,,,,,,,20,6,,,,,,,,,,,,,,,,,,,,,,,3,2,,,657,5,7,10,166,7,8,1,,,,,,,,,,,745,6,,,,,818,6,,,70,8,2948,4,,,,,,,,,,,,,38,4,,,101,2,,,,,,,,,,,,,399,3,,,,,,,5,4,,,,,,,6,4,348,7,,,,,92,5,,,,,,,,,111,6,,,,,,,5,4,,,,,,,,,,,15,86
3,4,2397,30539,13,3,11,3,,,8,1,,,401,3,,,,,10,2,86,2,,,,,12,2,369,1,,,,,,,,,26,2,23,2,,,59,2,,,9,2,12,2,160,9,,,8,3,136,5,3661,4,,,,,258,5,,,10860,9,31,2,1668,5,15,10,12,5,1335,1,124,10,,,1223,9,,,8,3,,,,,,,15,2,,,1147,2,,,9,2,115,6,,,,,185,5,19,2,6,3,49,11,,,,,11,2,9,4,736,7,2083,8,,,,,29,2,14,2,,,38,22,13,2,,,15,2,,,,,9,2,68,6,40,4,,,,,21,2,9,5,,,,,14,8,,,,,,,,,,,,,327,15,11,6,271,3,,,8,2,,,,,3,2,,,464,9,5,2,,,593,8,,,,,1559,11,,,,,,,5,5,,,,,39,3,,,49,8,28,7,,,,,54,4,,,,,343,5,25,3,,,10,6,,,,,44,8,,,14,2,1086,3,,,,,,,8,3,,,,,9,2,26,10,7,1,,,,,14,2,,,,,,,,,10,2,335,16
4,5,29351,29749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1691,15,,,,,,,,,6984,16,,,129,52,94,2,,,,,72,20,,,86,90,,,,,,,,,,,,,,,283,7,,,,,,,,,,,15,37,8,5,,,,,,,,,,,,,,,102,46,,,,,,,,,,,,,,,,,,,,,,,,,216,3,77,2,,,,,,,,,,,,,,,,,,,,,,,,,,,80,44,,,,,,,,,,,,,,,,,242,21,,,,,,,,,,,17751,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,46,,,,,,,,,,,,,,,,,,,,,,,1700,1,,,,,,,,,197,4,,,,,,,,,,,,,,,,,,,,
5,6,2223,27737,,,,,,,,,,,742,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,10,,,,,,,249,4,,,,,,,1126,17,,,,,,,,,8951,14,,,134,50,,,,,,,559,2,,,1253,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,157,9,,,,,,,,,2199,2,2116,7,,,,,,,,,,,,,,,,,,,,,,,,,250,1,,,,,,,,,,,,,,,76,4,,,,,,,,,,,,,408,12,,,345,2,,,,,,,,,,,,,816,4,,,,,1892,3,,,,,2679,5,,,,,,,,,,,,,,,10,2,,,59,2,,,,,28,6,,,,,165,11,,,,,,,,,,,192,4,,,,,451,6,,,,,138,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2706,2
6,7,2162,27382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,7,37,,,,,,,139,10,,,,,11,46,1764,13,,,,,,,,,11247,8,,,1,124,,,,,,,111,12,,,964,11,,,2,4,,,,,,,,,,,30,34,,,,,,,,,,,188,4,,,,,,,,,,,,,6,8,678,8,4,94,,,,,2,4,,,,,143,9,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,34,4,15,,,,,,,,,,,,,,,776,5,,,,,250,16,,,22,11,10116,2,,,,,,,,,,,,,4,6,,,,,5,13,,,,,,,,,,,117,15,,,,,,,,,,,,,,,,,62,17,,,,,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,10
7,8,463,26110,,,15,2,,,,,,,,,,,,,,,,,,,,,,,33,10,,,,,,,,,10,4,,,,,28,7,,,,,,,267,3,,,,,99,10,2300,11,,,,,,,,,14367,5,,,,,13,11,,,,,191,4,,,,,,,,,,,,,,,,,,,137,13,,,,,39,12,,,,,103,15,,,,,33,12,,,,,,,,,1019,6,2294,6,,,,,,,,,,,96,12,,,,,,,,,,,,,49,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,16,13,5,69,10,,,,,,,,,,,,,600,7,,,,,1004,5,,,,,1986,8,,,,,,,,,,,,,,,,,,,26,8,,,,,20,7,,,,,174,10,,,,,,,,,,,50,6,,,,,101,12,,,,,42,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607,9
8,9,50381,24172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23392,2,,,,,,,,,10,15,131,8,,,,,,,,,,,,,,,,,,,59,19,,,,,,,,,,,,,,,,,,,,,,,,,,,580,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,2093,23186,,,,,,,,,,,31,10,,,,,,,15,3,,,,,,,22,13,,,,,7,4,17,2,,,,,,,28,8,4,2,,,,,98,13,,,,,33,23,823,25,,,,,,,,,9018,13,8,10,1045,13,,,,,14,12,58,28,,,659,22,,,,,,,8,2,,,,,,,43,26,9,7,,,24,14,,,,,69,21,,,,,133,10,,,,,,,,,459,17,4803,2,17,2,,,,,1,3,,,513,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,3,,,,,,,,,,,,,176,23,,,40,24,,,,,,,,,,,,,177,25,,,,,268,15,,,,,1334,12,,,,,5,2,,,,,,,,,,,33,10,17,10,,,,,,,18,1,,,81,20,,,,,,,,,,,202,3,,,,,47,21,,,,,28,16,,,,,,,,,264,3,,,,,,,,,,,22,2,,,,,,,2384,3
