bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2162,19824,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,11,28,,,,,,,117,14,,,,,24,26,1056,19,,,,,,,,,9944,8,,,658,25,,,,,,,93,26,,,678,19,,,,,3,4,,,,,,,,,,,,,,,13,45,,,,,,,,,,,166,10,,,,,,,12,18,,,,,,,9,6,429,19,5,108,,,,,,,7,4,,,,,65,9,,,,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,43,5,11,,,,,,,,,,,,,,,,,,,,,,,734,8,,,,,157,23,,,,,9,12,4475,2,,,,,,,,,,,,,,,,,8,9,,,,,5,16,,,,,24,12,,,,,82,23,,,,,,,,,,,,,,,,,15,22,,,,,126,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,13
2243,16743,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,14,,,,,,,,,,,,,,,9,31,,,,,,,,,,,,,,,5056,1,,,,,,,,,4833,16,,,,,,,,,,,,,,,1413,9,,,,,,,,,,,,,,,,,,,,,,,,,,,93,8,,,,,212,8,,,,,,,,,,,,,,,,,488,13,175,38,,,,,,,,,,,,,14,40,,,,,,,,,,,,,,,,,46,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,3,,,,,,,,,,,,,,,,,,,,,,,,,1045,5,,,,,319,16,,,,,22,10,949,14,,,,,,,,,,,4,5,,,,,,,,,,,149,3,,,,,790,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,42
811,15284,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,3,,,,,,,28,32,,,,,,,1334,17,,,,,,,,,4113,20,4,25,2014,6,,,,,,,109,23,,,1352,11,,,,,,,,,,,,,4,4,,,,,,,411,5,,,,,,,,,,,114,13,,,,,,,,,,,,,,,,,78,65,283,31,,,,,,,,,,,,,240,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469,1,,,19,27,,,,,,,,,,,,,,,,,,,,,483,12,,,,,440,10,,,,,111,5,289,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2323,5
13,14840,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,10,,,,,,,84,18,,,6,6,24,25,1010,20,,,,,21,12,,,7248,11,4,24,1458,10,,,4,11,,,36,35,3,2,482,28,,,,,,,,,,,1,4,,,,,,,,,700,3,,,,,,,,,,,94,15,,,2,1,,,,,,,,,,,,,236,30,1136,10,,,,,,,,,,,,,36,12,,,,,,,,,,,,,,,,,,,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,14,12,3,50,16,,,,,,,,,,,,,,,,,,,,,171,24,,,,,269,19,,,,,33,9,588,18,,,,,,,,,,,,,,,,,,,,,17,13,21,12,,,,,49,8,,,,,98,20,,,,,,,,,,,,,,,,,35,14,,,,,,,,,,,,,,,24,16,,,,,,,,,,,,,,,,,,,,,,,370,20
1294,14446,15,,,,,,,,,,,37,14,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,12,,,,,,,,,,,,,53,15,698,32,,,,,,,,,8518,10,10,7,886,21,,,9,5,57,15,148,14,,,1688,7,,,,,,,,,,,,,11,2,,,,,,,139,10,,,,,,,,,,,81,16,,,,,,,20,15,,,,,5,3,,,833,8,,,,,,,,,,,,,,,14,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,,,,,,,,,,,,,342,17,,,15,30,,,,,,,9,1,,,,,,,,,,,,,33,52,,,,,,,,,,,,,431,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,12,,,,,,,,,,,34,11,,,,,22,18,,,,,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,29
320,14316,16,,,,,,,,,,,146,7,,,,,10,4,,,,,,,,,6,1,,,98,9,,,,,,,,,4,5,,,,,31,7,,,,,,,95,16,,,9,2,37,20,948,21,,,,,80,6,,,6214,15,17,2,967,19,13,13,,,67,14,256,7,,,1067,12,,,,,,,6,3,,,7,2,,,18,3,,,,,63,25,72,5,,,,,,,,,235,6,,,,,,,214,6,,,,,,,9,5,185,36,243,34,,,,,6,4,,,,,12,3,21,26,,,,,,,6,4,,,,,,,,,28,9,18,9,,,,,,,,,12,5,,,,,84,3,,,,,,,,,,,,,625,9,6,8,55,14,,,,,,,2,5,,,,,,,,,,,,,380,16,,,,,341,14,,,,,71,8,918,15,,,,,,,,,,,,,6,2,,,,,,,66,7,66,6,,,,,,,,,,,62,32,,,,,29,5,,,8,4,18,12,,,,,10,27,,,8,1,36,16,,,,,,,,,42,13,,,,,,,,,,,7,4,,,,,,,,,,,256,24
2425,14304,17,,,,,,,,,,,59,11,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,15,21,,,,,,,127,13,,,,,95,9,1231,18,,,,,,,,,3599,24,6,18,1004,17,,,3,14,167,8,185,10,,,934,15,,,,,,,,,,,,,,,,,,,,,80,20,,,,,,,,,,,127,12,,,,,,,,,,,,,,,,,876,6,628,17,,,,,,,,,,,,,11,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,21,,,,,,,,,,,,,,,,,,,,,,,,,706,9,,,,,933,5,,,,,124,4,2734,6,,,,,,,,,,,,,,,,,,,,,48,10,,,,,,,,,,,,,114,17,,,,,3,7,,,,,,,,,,,,,,,,,144,6,,,,,,,,,21,17,,,,,,,,,,,,,,,,,,,,,,,121,32
50381,11845,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,29,847,25,,,,,,,,,8995,9,,,414,32,,,,,91,13,128,17,,,205,52,,,,,,,,,,,,,,,,,,,,,128,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,20,82,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,11545,19,9,3,,,,,,,,,69,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,14,,,,,,,,,,,,,48,17,907,22,,,,,,,,,6286,14,,,1350,11,,,9,4,,,64,31,,,682,18,,,,,,,,,,,,,,,,,,,,,115,12,,,,,178,5,,,,,55,23,,,,,,,,,,,,,,,,,201,34,141,45,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,23,,,26,24,,,,,,,,,,,,,,,,,,,,,158,26,,,,,110,29,,,,,,,399,27,,,,,,,,,,,,,,,,,141,2,,,,,,,,,,,,,,,,,179,10,,,,,,,,,,,8,16,,,,,30,16,,,,,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,30
2136,10959,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,7,,,,,,,,,,,,,,,,,,,,,,,274,7,,,,,,,2316,10,,,,,,,,,3698,23,7,14,212,43,,,,,992,4,,,,,321,39,,,,,,,,,,,,,,,,,,,,,,,,,,,85,10,,,,,183,9,12,7,,,,,,,,,,,,,,,273,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,,,,,,,,,,,,,,,,,,,,,815,5,,,,,,,,,,,,,,,,,,,,,,,,,998,6,,,,,,,,,,,,,77,66,,,,,,,,,,,,,,,,,11,8,,,140,4,,,,,4,2,,,7,3,,,306,8,,,,,,,,,,,,,,,,,36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,58
