bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
181,20825,11,15,3,,,,,,,,,316,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,13,,,,,,,,,,,,,188,5,1738,15,,,,,,,,,11649,9,,,2120,4,,,12,7,,,78,20,,,1505,11,,,,,,,,,,,,,,,128,8,,,,,272,4,,,143,12,,,,,,,,,,,,,,,179,40,113,40,,,,,,,,,,,,,,,,,5,6,,,,,,,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,14,,,100,9,,,,,,,,,,,,,191,25,,,,,176,22,,,,,821,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,7,,,,,,,,,,,11,11,,,,,94,14,,,,,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,22
50381,20497,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19761,2,,,,,,,,,8,14,38,30,,,,,,,,,,,,,,,,,,,35,25,,,,,,,,,,,,,,,,,,,,,,,,,655,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181,20285,13,,,,,,,,,,,,,,,,,,,,,9,2,,,,,176,4,,,,,,,,,,,,,,,31,10,,,,,,,104,12,,,,,176,6,2833,8,,,,,107,6,,,5772,23,12,6,1320,10,77,3,15,4,,,139,9,,,1325,13,,,,,,,,,,,,,,,196,5,,,,,87,9,,,159,9,,,,,330,4,,,,,,,23,2,75,70,751,11,,,,,21,3,,,,,24,25,,,,,,,,,,,,,47,8,34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,499,13,14,6,198,6,,,,,,,,,,,,,805,5,,,,,254,14,,,103,4,2045,9,,,,,,,10,3,,,,,,,,,64,8,29,9,,,,,,,15,1,,,859,2,,,,,,,,,,,224,2,,,,,508,6,,,,,173,4,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,631,6
320,17501,14,,,,,,,,,,,127,6,,,,,,,,,,,,,,,56,8,,,,,,,,,6,6,,,,,51,3,,,,,,,141,10,,,9,4,50,17,1430,18,,,,,110,5,,,7483,15,17,4,1551,9,19,9,,,,,130,11,,,1659,9,,,,,10,2,,,16,1,,,11,2,34,26,26,4,,,,,,,240,6,,,,,265,6,,,,,,,10,4,192,38,353,20,,,13,4,,,,,6,2,47,15,,,,,16,3,,,,,,,23,10,,,,,,,,,6,4,,,,,47,4,,,,,,,,,,,,,598,11,20,2,64,16,,,,,,,,,,,,,441,11,,,,,216,18,,,54,9,1229,11,,,,,,,,,6,3,,,,,,,72,6,68,5,,,,,,,,,,,87,23,,,,,6,4,7,2,,,18,9,,,,,122,11,,,5,1,36,13,,,,,,,,,43,10,,,,,,,,,,,,,,,,,,,255,15
13,16822,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,11,,,,,,,102,13,,,6,5,73,12,1241,20,,,,,,,,,9893,12,7,12,991,13,,,12,6,,,,,8,2,926,15,,,,,,,,,1,4,,,,,179,6,,,,,,,,,136,13,,,,,,,,,,,,,,,308,29,733,12,,,,,,,,,,,91,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,116,8,10,62,18,,,,,,,,,,,,,332,18,,,,,309,11,,,33,10,756,19,,,,,,,,,,,,,,,,,22,13,46,6,,,,,28,9,,,,,256,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,,,,,,,,,,,,,,,,,,,213,17
1294,12424,16,,,,,,,,,,,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,,,,,,,,,,,,,58,15,648,33,,,,,,,,,6621,19,4,31,798,17,,,,,,,153,7,,,1515,10,,,,,,,,,,,,,,,111,9,,,,,,,,,112,18,,,,,12,15,,,,,4,6,,,757,8,,,,,,,,,,,,,99,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,438,17,,,34,28,,,3,7,,,,,,,,,73,40,,,,,,,,,,,545,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,17,,,,,,,,,,,,,,,,,41,21,,,,,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,20
25821,12229,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2356,10,,,,,,,,,6,940,11,8,,,,,,,,,,,,,4823,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3693,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302,4,,,,,,,,,,,,,,,,,,,,,,,38,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,11141,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2,,,,,,,23,26,,,,,,,1123,22,,,,,,,,,3571,35,,,1690,7,,,,,,,89,17,,,1151,14,,,,,,,,,,,,,,,161,7,,,,,,,,,93,21,,,,,,,,,,,,,,,78,67,129,36,,,,,,,,,,,356,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394,3,,,38,25,,,,,,,,,,,,,553,8,,,,,339,10,,,60,7,238,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,10497,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,4,60,,,,,,,,,,,,,49,18,926,25,,,,,,,,,4170,30,6,18,877,16,,,7,9,49,8,148,8,,,877,19,,,,,,,,,,,,,,,98,11,,,,,,,,,,,,,,,,,,,,,,,,,474,18,596,17,,,,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,26,,,,,,,,,,,,,,,,,231,22,,,,,278,12,,,73,6,1177,12,,,,,,,,,,,,,,,,,37,11,,,,,,,,,,,,,76,25,,,,,,,,,,,,,,,,,,,,,,,35,14,,,,,,,,,15,11,,,,,,,,,,,,,,,,,,,92,28
822,10164,20,,,,,,,,,,,,,,,,,,,,,,,,,,,19,13,,,,,,,,,,,,,,,32,9,,,,,,,,,,,3,7,37,22,1099,23,,,,,,,,,4868,26,5,24,582,21,,,,,,,202,5,,,495,29,,,,,,,,,,,,,,,36,22,,,,,,,,,78,23,,,,,,,,,,,,,,,433,20,409,19,,,,,,,,,,,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,10,14,4,61,19,,,,,,,,,,,,,481,10,,,,,126,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,13,,,,,,,,,,,,,,,,,,,,,,,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,11
