bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
811,23180,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,5,,,,,,,16,53,,,,,,,2717,11,,,,,,,,,,,9169,16,5,21,1297,21,,,,,,,345,11,,,,,2219,8,,,,,,,,,,,,,,,2,8,,,,,632,5,,,,,,,,,,,222,14,,,,,,,,,,,,,,,,,236,62,350,27,,,,,,,,,,,,,176,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1483,3,,,28,27,,,,,,,,,,,,,,,,,,,,,426,25,,,,,518,14,,,,,445,3,364,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2381,4
2425,23026,12,,,,,,,,,,,86,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,,,37,18,,,,,,,202,13,,,,,102,9,1866,20,,,,,,,,,,,5908,28,9,9,1820,11,,,2,17,152,10,265,16,,,,,1670,10,,,,,4,6,,,,,,,,,,,,,,,196,10,,,,,,,,,,,269,10,14,8,,,,,,,,,,,,,,,1509,13,649,17,,,,,,,,,,,,,11,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,25,,,,,,,,,,,,,,,,,,,,,,,,,1184,8,,,,,1070,5,,,,,362,4,4256,7,,,,,,,,,,,,,,,,,,,,,102,6,,,,,,,,,,,,,220,15,,,,,6,7,,,,,,,,,,,,,,,61,23,,,,,362,3,,,,,,,,,34,18,,,,,,,,,,,,,,,,,,,,,,,213,29
463,22894,13,8,7,14,3,,,,,,,,,,,,,,,,,,,,,13,6,,,,,,,,,,,27,17,,,,,,,,,6,5,,,,,44,15,,,,,,,205,12,,,,,81,14,1863,21,,,,,,,,,,,10878,10,4,26,956,24,11,14,9,6,18,21,90,36,,,,,1131,23,,,,,,,,,,,,,,,,,,,,,123,19,,,,,18,16,,,,,76,23,,,,,,,38,12,,,,,,,,,1025,16,1954,8,,,,,,,,,,,,,38,26,,,,,,,10,5,,,,,,,,,15,12,,,,,,,,,,,,,,,,,5,11,,,,,,,,,,,,,496,21,6,10,53,20,,,,,,,,,,,,,,,,,,,,,453,23,,,,,740,9,,,,,,,1421,15,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,20,17,,,,,125,27,,,,,,,,,,,,,65,9,,,,,,,89,16,,,,,87,13,,,,,,,,,45,17,,,,,,,,,,,,,,,,,,,,,,,619,14
320,21320,14,,,,,,,,,,,78,18,,,,,,,7,7,,,,,,,,,,,,,5,1,,,275,6,,,,,,,,,12,2,,,,,53,14,,,,,,,182,15,,,12,4,53,18,2479,12,,,,,,,452,5,,,6298,23,19,2,1792,13,42,8,,,86,14,359,9,,,,,2641,5,,,,,6,3,5,3,,,,,11,2,13,4,17,4,,,140,15,55,5,,,,,,,,,490,3,,,,,,,268,8,,,,,,,12,5,706,27,253,35,,,,,9,4,,,,,12,3,47,19,,,,,,,12,3,,,,,,,,,39,9,15,12,,,,,,,,,6,6,,,,,117,4,,,,,,,,,,,,,749,16,17,7,63,17,,,,,,,8,5,,,,,,,,,,,,,831,11,,,,,343,17,,,,,255,6,1042,19,,,,,,,,,,,,,6,3,,,,,,,83,9,224,3,,,,,35,14,,,,,112,29,,,,,11,6,,,,,,,36,11,,,,,3,5,62,22,,,8,1,33,25,,,,,,,,,63,16,,,,,,,,,,,9,6,,,,,,,,,,,249,25
2243,21215,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,15,,,,,,,,,,,,,,,15,43,,,,,,,,,,,,,,,3709,5,,,,,,,,,,,7646,20,,,,,,,,,,,5,146,,,,,1455,14,,,,,,,,,,,,,,,,,,,,,,,,,,,246,9,,,,,168,16,,,,,,,,,,,,,,,,,826,24,642,18,,,,,,,,,,,,,17,53,,,,,,,,,,,,,,,,,84,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274,7,,,,,,,,,,,2,8,,,,,,,,,,,,,1835,3,,,,,703,11,,,,,65,10,1075,18,,,,,,,,,,,4,4,,,,,,,,,,,200,4,,,,,1042,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,31
181,21019,16,9,5,,,,,,,,,129,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,7,,,,,,,,,,,,,86,12,3049,9,,,,,,,,,,,10321,12,,,1698,14,,,5,10,,,119,26,,,,,1332,19,,,,,,,,,,,,,,,,,,,,,134,16,,,,,521,4,,,,,119,19,,,,,,,,,,,,,,,,,397,47,180,43,,,,,,,,,,,,,,,,,,,,,5,8,,,,,,,,,66,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,20,,,40,24,,,,,,,,,,,,,,,,,,,,,270,31,,,,,219,22,,,,,,,583,25,,,,,,,,,,,,,,,,,547,2,,,,,,,,,1,5,,,,,,,304,13,,,,,,,,,,,,,11,20,,,,,,,63,20,,,,,93,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,40
178900,20202,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,38,,,,,,,112,21,,,,,,,2369,15,,,,,,,,,,,13890,8,,,,,,,,,,,,,,,,,1350,17,,,,,,,,,,,,,,,,,,,,,403,6,,,,,,,,,,,43,37,,,,,,,,,,,,,,,,,534,34,166,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,35,,,,,,,,,,,,,,,,,,,,,,,,,219,32,,,,,,,,,,,,,719,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,19652,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,5,,,,,,,,,,,,,,,,,,,,,,,451,4,,,,,,,3233,8,,,,,,,,,,,6642,21,7,12,327,46,,,,,1760,4,,,,,,,562,46,,,,,,,,,,,,,,,,,,,,,,,,,,,371,5,,,,,345,7,14,7,,,,,,,,,,,,,,,710,26,,,,,,,,,,,,,,,22,43,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,,,,,,,,,,,,,,,,,,,,,1314,5,,,,,,,,,,,,,,,,,,,,,,,,,1627,4,,,,,,,,,,,,,98,70,,,,,,,,,,,,,,,,,34,6,,,417,2,,,,,4,3,411,4,6,3,,,314,11,,,,,,,,,,,,,,,,,,,,,487,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,46
27443,17552,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,25,,,,,,,104,23,,,13,3,45,22,1438,31,,,,,,,49,12,,,653,155,10,8,545,33,49,7,,,,,114,28,,,,,571,45,,,,,,,,,,,,,,,,,,,,,50,33,,,,,64,12,,,,,,,,,,,,,,,,,,,,,,,649,28,2682,3,,,,,,,,,,,,,280,3,,,,,,,,,,,,,,,,,,,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,38,,,,,,,,,,,,,,,,,,,,,,,,,516,21,,,,,205,25,,,,,,,5399,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,2,,,,,,,,,,,,,50,22,,,,,,,,,322,7,,,,,,,,,,,,,,,,,,,,,,,2993,2
18011,17385,20,11,4,,,,,,,,,83,16,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,74,4,,,,,,,,,36,19,,,,,,,102,24,,,,,,,528,75,,,,,,,,,,,9812,14,4,33,1793,12,6,20,2,19,,,28,65,,,,,597,42,,,,,,,,,,,,,,,,,,,,,185,11,72,4,,,23,15,,,,,46,32,,,,,,,55,11,,,,,,,,,205,70,820,15,,,,,,,,,14,3,,,43,23,,,,,,,,,8,3,,,1,25,,,,,,,8,2,,,,,,,18,4,,,,,13,9,,,,,,,,,,,,,112,57,5,15,13,37,,,,,,,,,,,,,,,,,,,,,300,30,,,,,542,13,,,,,,,1137,17,,,,,,,,,,,,,,,,,20,8,9,4,28,15,,,,,,,,,,,,,91,35,,,,,26,4,,,,,,,,,,,,,,,63,21,,,,,71,18,,,7,2,,,,,105,11,,,,,,,,,,,1,12,,,,,,,,,,,261,24
