,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,106922,179,1,37,1,34,1,21,1,24,1,3691,1,16,1,22,1,25,1,249,1,42,1,20,1,26,1,,,36,1,506,1,61,1,60,1,401,1,17,1,56,1,211,1,22,1,186,1,24,1,12,1,36,1,568,2,22,1,46,1,418,2,5239,1,23,1,25,1,536,1,,,31793,1,43,1,14163,1,659,1,56,1,1799,3,998,2,34,1,3627,1,,,26,1,38,1,28,1,23,1,22,1,62,1,197,1,22,1,,,1620,1,2745,1,23,1,312,1,19,1,19,1,891,1,252,1,25,1,1665,2,16,1,26,1,23,1,104,1,3494,2,2586,5,26,1,27,1,27,2,298,1,271,1,102,1,463,3,28,1,,,19,1,44,1,19,1,22,1,25,1,19,1,337,1,218,1,22,1,22,1,,,50,2,156,1,89,1,1077,1,199,2,20,1,22,1,37,1,34,1,30,1,19,1,962,6,47,1,356,2,2,1,,,21,1,21,1,23,1,23,1,17,1,19,1,,,20,1,2464,1,21,1,28,1,4437,2,26,1,302,1,5364,2,31,1,17,1,24,1,18,1,28,1,39,1,17,1,116,2,74,1,288,1,160,1,,,181,1,243,2,,,20,3,932,2,38,1,,,181,1,,,112,1,2,1,515,2,29,1,201,1,400,2,36,1,,,300,2,76,1,259,1,54,1,20,1,1829,1,,,28,1,,,35,1,,,24,1,17,1,24,1,16,1,28,1,,,2334,3
1,2,2223,49458,,,,,,,,,,,670,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,26,,,,,,,592,1,,,,,298,4,1572,14,,,,,,,,,12024,7,,,3501,2,,,,,2791,1,1024,1,,,2124,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3,,,155,9,,,,,,,,,7887,1,2245,8,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,315,2,,,,,,,,,,,15,3,,,,,63,3,,,,,,,,,,,,,478,12,,,523,1,,,,,,,,,,,,,,,,,,,,,2300,2,,,,,5083,1,,,,,1605,9,,,,,,,,,,,,,,,,,9,3,,,130,2,,,,,58,6,,,,,156,12,,,,,,,,,,,,,447,4,,,,,443,1,,,,,222,3,,,,,,,,,421,5,,,,,,,,,,,2,9,,,,,,,,,,,2251,4
2,3,1406,44254,63,2,,,,,,,,,16,18,,,,,10,2,33,3,,,,,,,,,,,251,4,,,,,,,,,,,,,,,39,9,,,,,,,110,14,,,10,3,244,5,2721,8,,,,,451,3,,,21250,2,18,3,3340,3,41,5,14,2,379,6,706,4,,,1872,7,45,1,,,,,10,2,,,,,,,,,,,,,688,5,,,,,215,3,,,,,134,13,21,4,8,3,1426,3,,,,,,,10,4,1373,5,2262,7,,,10,3,14,3,,,,,,,,,,,,,,,6,6,,,,,,,,,50,7,,,,,,,,,,,,,,,,,54,4,,,,,,,,,,,,,1128,3,6,9,343,3,,,,,,,,,,,,,,,,,,,,,340,17,,,,,423,11,,,80,6,1732,8,,,,,,,,,8,4,6,3,,,171,1,,,23,13,43,6,,,,,227,3,,,,,466,3,,,,,,,,,,,,,,,,,,,133,7,,,,,83,9,8,3,,,,,,,194,7,,,,,,,7,3,,,8,3,,,,,,,13,2,,,918,12
3,4,10816,39928,,,,,,,,,,,530,4,,,,,6,6,,,,,,,11,2,,,16,2,146,5,,,,,,,,,,,9,3,,,55,4,,,,,,,250,5,,,,,217,6,2981,6,,,,,70,7,,,12725,6,,,3228,4,60,4,,,577,5,398,6,,,2687,3,,,,,,,,,,,,,,,,,,,,,544,6,45,6,,,102,9,,,,,411,3,,,,,149,10,,,,,,,,,1868,4,3178,4,,,,,,,,,,,13,2,249,4,,,,,,,,,,,,,,,,,,,48,4,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,647,10,10,5,163,6,,,7,1,,,,,,,,,,,,,,,,,1098,4,,,,,672,6,,,115,4,3551,4,,,,,,,,,,,,,,,50,4,,,75,5,,,,,,,,,,,,,453,4,,,,,,,,,10,3,,,,,,,11,3,136,6,,,,,107,6,,,,,,,,,189,8,,,,,,,8,2,,,7,4,,,,,,,,,,,2038,5
4,5,2397,33318,17,3,10,3,,,8,2,,,1114,2,,,,,7,4,114,2,,,5,2,,,,,9,5,379,2,,,,,13,4,,,30,2,31,2,,,49,6,,,4,2,9,2,235,7,,,9,4,569,1,3602,4,,,,,424,4,,,11512,8,15,4,1845,7,24,11,9,3,2475,2,190,9,,,1504,10,,,,,6,3,,,,,,,14,2,,,,,,,896,3,,,7,2,129,6,,,,,255,4,65,2,10,2,35,13,,,,,9,2,20,2,895,7,1638,10,,,,,,,73,2,17,2,,,55,18,9,2,,,,,11,2,,,,,13,2,6,3,112,4,40,5,,,,,,,57,1,7,6,,,,,16,7,,,,,,,,,,,,,476,13,7,8,212,4,,,,,,,11,2,,,,,,,6,2,,,,,653,7,6,2,,,599,9,,,,,1107,13,,,,,,,,,10,2,,,,,45,5,,,50,10,46,5,,,,,107,5,,,,,395,6,11,3,,,17,4,,,,,,,44,11,,,8,4,244,3,,,,,51,13,8,4,,,,,7,2,57,11,9,1,,,,,5,4,,,6,6,,,,,,,9,3,,,505,16
5,6,2093,31439,,,,,,,,,,,59,12,,,,,,,11,5,,,,,,,,,,,34,11,,,,,7,5,9,2,,,,,,,42,8,6,2,,,,,102,16,,,,,57,19,1284,17,,,,,,,,,15181,3,10,7,1086,18,,,,,47,16,93,25,,,837,16,,,,,,,,,15,2,,,,,,,7,2,,,113,19,12,7,,,49,13,,,,,78,19,8,6,,,190,7,,,,,,,,,663,12,4415,1,,,21,2,7,4,,,2,4,,,157,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,6,,,,,,,,,,,,,314,18,,,62,15,,,,,,,,,,,,,,,,,,,,,296,18,,,,,382,12,,,,,1736,7,,,,,8,2,,,,,,,,,,,,,51,8,15,12,,,,,,,8,2,,,155,13,,,7,2,,,,,,,,,329,5,,,,,40,12,,,,,55,12,,,,,,,,,529,3,,,,,,,,,,,14,2,,,,,,,,,10,1,2787,2
6,7,2181,31325,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,294,3,,,,,,,,,,,,,,,31,14,,,,,,,124,12,,,,,350,3,1764,13,,,,,528,2,,,10028,10,10,8,1392,13,94,3,7,7,,,235,8,,,2349,4,,,,,,,,,,,,,,,,,,,,,274,9,,,,,86,10,,,,,235,5,,,,,1959,1,,,,,,,8,6,108,61,2356,6,,,,,,,32,3,,,,,57,17,,,,,,,,,,,,,,,9,2,36,8,49,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293,1,17,2,143,7,,,,,,,,,,,,,,,,,,,,,1258,3,,,,,321,17,,,147,3,1932,6,,,,,,,,,9,3,,,,,37,6,,,89,4,35,8,,,,,,,13,1,,,1006,1,,,,,,,,,,,,,484,3,,,,,164,5,,,,,109,5,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830,6
7,8,463,27288,,,14,2,,,,,,,,,,,,,,,29,4,,,,,,,,,,,19,16,,,,,,,,,5,5,,,,,36,11,,,,,,,248,6,,,,,79,15,1953,12,,,,,,,,,13050,5,9,10,,,17,14,8,5,19,18,146,13,,,946,13,,,,,,,,,,,,,,,,,,,,,67,26,,,,,19,14,,,,,70,23,,,,,43,12,,,,,,,,,1074,6,4281,2,,,,,,,,,,,,,69,12,,,,,,,8,4,,,,,,,,,32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,15,4,13,50,19,,,,,,,,,,,,,,,,,,,,,348,15,,,,,746,5,,,,,1569,10,,,,,,,,,,,,,,,,,,,,,13,13,,,,,27,9,,,,,162,10,,,,,,,,,,,,,52,10,,,,,26,19,,,,,55,11,,,,,,,,,32,14,,,,,,,,,,,,,,,,,,,,,,,1592,8
8,9,2162,20310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,12,32,,,,,,,102,17,,,,,32,29,1150,21,,,,,,,,,10072,9,,,713,22,,,,,,,120,20,,,920,14,,,,,3,4,,,,,,,,,,,,,,,27,40,,,,,,,,,,,187,6,,,,,,,,,,,,,7,8,482,20,7,108,,,,,,,4,4,,,,,38,22,,,,,,,,,,,,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,48,2,18,,,,,,,,,,,,,,,,,,,,,,,604,8,,,,,175,25,,,9,12,4619,3,,,,,,,,,,,,,,,4,9,,,,,5,17,,,,,15,10,,,,,77,22,,,,,,,,,,,,,,,,,,,21,23,,,,,117,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,13
9,10,2243,17862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,12,,,,,,,,,,,,,,,7,52,,,,,,,,,,,,,,,5192,2,,,,,,,,,5626,16,,,,,,,,,,,,,,,1548,9,,,,,,,,,,,,,,,,,,,,,,,,,,,143,5,,,,,144,10,,,,,,,,,,,,,,,532,18,181,43,,,,,,,,,,,,,10,55,,,,,,,,,,,,,,,,,63,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062,4,,,,,,,,,,,,,,,,,,,,,,,,,942,5,,,,,666,7,,,29,10,924,14,,,,,,,,,4,7,,,,,,,,,,,76,4,,,,,616,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,46
