,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,97157,101,1,29,1,26,1,29,1,30,1,2244,1,27,1,29,1,38,1,26,1,3,1,12,1,258,1,31,1,31,1,16,2,,,36,2,355,2,134,1,132,1,514,1,29,1,59,1,180,1,18,1,503,1,20,1,12,1,32,1,637,2,24,1,34,1,329,2,5733,1,12,1,13,1,19,1,457,3,19,1,24269,2,42,1,11095,1,419,1,60,1,2547,2,1540,1,13,1,30,1,3345,2,,,13,1,22,1,51,1,12,1,13,1,15,1,23,1,125,1,21,1,,,1863,4,1259,1,91,1,326,2,17,1,16,1,1148,1,388,1,,,19,1,1721,3,15,1,25,1,18,1,103,1,3117,2,2677,5,15,1,17,1,19,2,405,1,620,1,103,1,296,3,21,1,36,1,93,1,87,1,24,1,12,1,19,1,20,1,263,1,202,1,14,1,13,2,16,2,55,2,317,1,138,1,767,1,624,2,15,1,67,1,11,1,23,1,47,1,12,1,873,5,23,1,376,2,9,1,,,14,1,16,2,16,1,17,1,21,1,37,1,,,20,1,2306,2,61,1,32,1,3607,2,23,1,37,1,415,1,5900,3,25,1,20,1,18,1,9,1,13,1,17,1,17,1,12,1,104,3,94,1,267,1,192,1,,,237,1,305,2,,,12,3,906,2,45,2,,,236,1,,,193,1,64,1,405,4,13,1,59,1,118,1,1697,2,28,1,,,342,2,81,1,185,1,30,1,20,1,2119,1,,,21,1,,,22,2,,,31,1,13,1,12,1,16,1,23,1,,,2273,5
1,2,2223,71818,,,,,,,,,,,1350,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,19,,,,,,,719,1,,,,,152,8,2027,15,,,,,,,,,,,27875,1,,,4850,2,,,,,2545,3,1157,2,,,,,2408,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,2,,,,,385,6,,,,,,,,,3440,1,3725,3,,,,,4,5,,,,,,,113,11,,,,,,,,,,,,,,,,,113,4,,,,,,,,,,,14,5,,,,,144,3,,,,,,,,,,,,,740,7,,,677,1,,,,,,,,,,,,,,,,,,,,,3482,1,,,,,6655,1,,,,,,,2250,8,,,,,,,,,,,,,,,,,,,6,4,,,173,2,,,12,2,85,8,,,,,214,9,,,,,,,,,,,,,515,3,,,,,,,2209,1,,,,,219,4,,,,,,,,,1343,2,,,,,,,,,,,5,8,,,,,,,,,,,2132,6
2,3,1406,45577,36,2,,,,,,,,,533,4,,,,,,,12,6,,,,,54,3,,,,,,,,,,,164,5,,,,,,,,,,,,,,,62,9,,,,,,,171,14,,,18,2,189,3,3337,6,,,,,,,377,4,,,16514,3,16,4,2606,4,48,5,9,5,399,6,637,4,,,,,2485,3,23,1,,,,,11,2,,,,,,,,,,,,,,,2851,2,,,,,303,3,,,,,212,7,37,4,,,5,3,2478,1,,,,,,,15,5,1334,5,1834,8,,,12,3,9,3,,,,,,,115,10,,,,,,,12,5,,,,,,,,,120,3,24,10,,,,,,,,,,,,,,,66,6,,,,,,,,,,,,,1424,2,10,7,291,3,,,,,,,23,1,,,,,,,,,,,,,462,12,,,,,498,11,,,,,100,7,2693,7,,,,,,,,,,,11,2,6,3,,,421,1,,,46,12,41,8,,,,,131,5,,,,,682,3,,,,,,,,,,,,,,,,,,,,,127,10,,,,,114,8,10,4,,,,,,,218,10,,,,,,,10,3,,,6,6,,,,,,,6,3,,,1119,10
3,4,10816,41298,,,,,,,,,,,378,7,,,,,,,26,2,,,,,,,,,,,26,1,,,41,1,141,7,,,,,,,,,,,22,2,,,63,7,,,,,,,263,6,,,,,162,6,2760,9,,,,,,,95,7,,,11638,8,,,3090,3,55,4,,,414,5,267,6,,,,,1734,7,,,,,,,,,,,,,,,,,,,,,,,680,8,61,6,,,195,4,,,,,382,3,,,,,,,498,4,,,,,,,,,1303,6,1642,9,,,,,,,,,,,31,2,174,7,,,,,,,,,,,,,,,,,,,78,3,,,,,,,,,,,,,,,,,,,,,,,,,31,2,,,563,11,23,3,214,5,,,28,1,,,,,,,,,,,,,,,,,1344,3,,,,,1759,3,,,,,144,4,7144,1,,,,,,,,,,,,,,,,,23,6,,,83,6,,,,,,,94,7,,,,,358,6,,,,,,,,,,,,,,,,,,,22,2,202,7,,,,,131,6,,,,,,,,,358,6,,,,,,,24,1,,,31,2,,,,,,,,,,,2503,3
4,5,2397,36389,13,5,11,2,,,16,2,,,1264,3,,,,,,,19,3,,,,,118,2,,,6,3,,,,,12,4,366,1,,,,,13,5,,,24,2,21,3,,,63,6,,,6,2,6,2,308,4,,,8,5,441,1,3769,5,,,,,,,376,5,,,12930,6,20,2,2102,6,38,6,9,6,2610,1,190,10,,,,,1343,11,,,,,7,4,,,,,,,,,13,2,,,,,,,1692,5,,,8,2,134,8,,,,,310,4,45,3,,,11,2,28,12,,,,,12,3,36,2,970,8,1237,11,,,,,,,68,2,36,2,,,49,22,10,2,,,,,60,2,,,,,7,5,7,3,67,6,51,4,,,,,,,69,1,8,6,,,,,11,9,,,,,,,,,,,,,491,15,8,8,255,4,,,,,,,7,4,,,,,,,9,3,,,,,530,11,6,2,,,718,8,,,,,,,1453,10,,,,,,,,,,,7,5,,,,,62,4,,,67,10,35,9,,,,,126,6,,,,,390,4,9,3,,,21,4,,,,,,,63,8,,,,,12,4,400,5,,,,,79,10,25,2,,,,,11,2,109,12,14,1,,,,,8,4,,,4,10,,,,,,,9,2,,,413,21
5,6,2093,30429,,,,,,,,,,,74,15,,,,,,,,,,,,,18,4,,,,,,,,,,,41,13,,,,,10,6,9,2,,,,,,,42,13,10,2,,,,,126,18,,,,,66,15,1154,24,,,,,,,,,,,11846,7,10,10,1277,13,,,,,67,14,130,20,,,,,805,19,,,,,,,,,8,2,,,,,,,,,9,2,,,178,18,6,7,,,50,13,,,,,101,18,10,7,,,,,111,10,,,,,,,,,597,19,5088,1,,,15,2,7,4,,,11,3,,,149,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,7,,,,,,,,,,,,,496,14,,,45,22,,,,,,,,,,,,,,,,,,,,,444,14,,,,,784,7,,,,,,,1281,12,,,,,11,2,,,,,,,,,,,,,,,71,9,13,14,,,,,,,7,2,,,206,10,,,16,1,,,,,,,,,288,5,,,,,,,123,11,,,,,66,14,,,,,,,,,480,5,,,,,,,,,,,16,3,,,,,,,,,6,1,3995,1
6,7,2162,27815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,,,,,9,47,,,,,,,198,11,,,,,35,25,1790,16,,,,,,,,,,,15634,4,,,874,24,,,,,,,151,16,,,,,1049,15,,,,,,,,,,,,,,,,,,,,,,,26,50,,,,,,,,,,,152,10,,,,,,,10,17,,,,,,,12,7,632,17,223,32,,,,,,,5,4,,,,,75,16,,,,,,,,,,,,,,,,,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,46,3,15,,,,,,,,,,,,,,,,,,,,,,,606,10,,,,,270,19,,,,,11,13,3850,5,,,,,,,,,,,,,,,,,4,9,,,,,9,16,,,,,15,15,,,,,150,18,,,,,,,,,,,,,,,,,,,,,64,14,,,,,123,7,,,,,,,,,181,11,,,,,,,,,,,,,,,,,,,,,,,1525,7
7,8,463,22448,15,3,8,3,,,,,,,,,,,,,,,,,,,,,10,6,,,,,,,,,,,31,16,,,,,,,,,6,6,,,,,38,15,,,,,,,234,9,,,,,79,12,2054,13,,,,,,,,,,,10130,9,11,9,928,22,13,12,5,10,16,19,86,29,,,,,986,16,,,,,,,,,,,,,,,,,,,,,,,122,23,,,,,20,14,,,,,60,23,,,,,,,27,13,,,,,,,,,772,12,2790,4,,,,,,,,,,,,,58,19,,,,,,,4,7,,,,,,,,,15,13,,,,,,,,,,,,,,,,,8,10,,,,,,,,,,,,,316,20,5,11,47,21,,,,,,,,,,,,,,,,,,,,,366,18,,,,,1145,5,,,,,,,1030,14,,,,,,,,,,,,,,,,,,,,,,,23,11,,,,,22,14,,,,,195,12,,,,,,,,,,,,,42,10,,,,,,,41,20,,,,,61,16,,,,,,,,,27,19,,,,,,,,,,,,,,,,,,,,,,,602,15
8,9,2181,22059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,238,3,,,,,,,,,,,,,,,82,4,,,,,,,170,15,,,,,189,4,2108,12,,,,,,,482,2,,,6244,18,18,3,1415,12,236,2,11,3,,,142,17,,,,,1056,14,,,,,,,,,,,,,,,,,,,,,,,265,12,,,,,89,10,,,,,271,5,,,,,,,268,8,,,,,,,34,3,706,14,857,15,,,,,,,33,3,,,,,47,26,,,,,,,,,,,,,,,13,2,18,10,39,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,16,17,5,157,7,,,,,,,,,,,,,,,,,,,,,1009,5,,,,,282,17,,,,,143,5,1698,9,,,,,,,,,,,9,3,,,,,28,5,,,64,11,42,7,,,,,34,13,9,1,,,931,1,,,,,,,,,,,,,155,6,,,,,,,397,6,,,,,133,5,15,3,,,,,,,,,,,,,,,,,,,5,7,,,,,,,,,,,1424,9
9,10,811,20608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,8,,,,,,,16,45,,,,,,,2046,14,,,,,,,,,,,6401,16,6,17,1143,18,,,,,,,134,19,,,,,1349,10,,,,,,,,,,,,,,,5,4,,,,,,,2896,1,,,,,,,,,,,118,13,,,,,,,,,,,,,,,,,126,63,334,24,,,,,,,,,,,,,204,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108,3,,,33,27,,,,,,,,,,,,,,,,,,,,,374,17,,,,,417,12,,,,,223,2,350,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3229,2
