bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2243,21292,11,,,,,,,,,,,,,,,,,,,,,,,,,,,30,14,,,,,,,,,,,,,,,2,68,,,,,,,,,,,,,,,6192,1,,,,,,,,,6378,16,,,,,,,,,,,,,,,3226,4,,,,,,,,,,,,,,,,,,,,,,,,,86,10,,,,,252,5,,,,,,,,,,,,,,,786,10,189,33,,,,,,,,,,,,,10,50,,,,,,,,,,,,,,,43,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901,1,,,,,,,,,,,,,,,,,,,79,35,,,,,443,9,,,25,10,952,15,,,,,,,4,4,,,,,,,,,,,120,3,,,,,527,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,54
50381,19691,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18200,2,,,,,,,,,5,18,143,11,,,,,,,,,,,,,,,,,,,,,,,100,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,17207,13,14,4,,,,,,,,,349,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,12,,,,,,,,,,,,,131,7,1577,16,,,,,,,,,9034,10,,,1590,9,,,,,,,63,26,,,936,17,,,,,,,,,,,,,,,,,,,132,10,,,,,258,4,,,,,155,12,,,,,,,,,,,,,,,160,46,111,41,,,,,,,,,,,,,,,,,,,,,4,6,,,,,,,39,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,15,,,57,16,,,,,,,,,,,,,,,235,24,,,,,136,22,,,,,1214,13,,,,,,,,,,,,,43,5,,,,,,,,,2,2,,,,,,,263,8,,,,,,,,,,,15,11,,,,,105,12,,,,,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,23
320,16115,14,,,,,,,,,,,149,7,,,,,,,,,,,,,,,87,9,,,,,,,,,20,3,,,,,24,8,,,,,,,86,16,,,11,2,27,25,1068,23,,,,,122,6,,,6876,13,15,6,1045,16,22,6,,,21,14,133,13,,,1489,10,,,,,,,10,2,,,9,2,,,9,2,,,48,26,24,5,,,,,,,,,218,7,,,,,327,5,,,,,,,14,3,145,50,413,24,,,,,10,3,,,,,19,2,66,14,,,,,,,12,3,,,,,,,26,10,,,,,,,,,12,5,,,,,92,3,,,,,,,,,,,,,768,10,19,3,64,14,,,,,2,6,,,,,,,,,619,8,,,,,188,17,,,77,5,1013,14,,,,,,,,,14,2,,,,,,,49,10,73,5,,,,,,,,,,,71,29,,,,,12,6,8,3,,,29,10,,,,,115,11,,,7,1,31,15,,,,,,,,,49,10,,,,,,,,,,,,,,,,,,,258,19
13,14946,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,6,,,,,,,121,12,,,5,5,58,13,1059,24,,,,,,,,,7711,11,5,20,1232,13,,,10,3,,,,,4,2,678,22,,,,,,,,,,,1,4,,,,,,,345,6,,,,,,,,,,,126,16,,,,,,,,,,,,,,,328,27,1090,12,,,,,,,,,,,,,112,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,102,4,14,29,25,,,,,,,,,,,,,,,244,21,,,,,312,11,,,27,9,790,17,,,,,,,,,,,,,,,,,21,12,44,6,,,,,54,6,,,,,165,15,,,,,,,,,,,,,,,,,22,30,,,,,,,,,,,,,,,15,12,,,,,,,,,,,,,,,,,,,294,17
25821,14907,16,,,,,,,,,,,37,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3897,5,,,,,,,,,216,243,9,9,1565,11,,,,,,,,,,,4565,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3131,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1392,2,,,,,,,,,,,,,,,,,,,,,,,,,95,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,13026,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,2,,,,,,,22,26,,,,,,,1299,20,,,,,,,,,3579,25,,,2033,6,,,,,,,99,21,,,1194,13,,,,,,,,,,,,,,,,,,,1700,2,,,,,,,,,,,85,20,,,,,,,,,,,,,,,94,64,246,30,,,,,,,,,,,,,273,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274,4,,,28,27,,,,,,,,,,,,,,,294,17,,,,,281,12,,,72,6,370,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,11982,18,,,,,,,,,,,62,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,24,,,,,,,,,,,,,45,16,706,34,,,,,,,,,6473,15,8,10,678,21,,,,,,,112,18,,,1286,12,,,,,,,,,,,,,,,,,,,162,9,,,,,,,,,,,87,19,,,,,38,11,,,,,1,6,,,719,11,,,,,,,,,,,,,,,39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,,,,,,,,,,402,14,,,34,23,,,,,1,7,,,,,,,,,55,46,,,,,,,,,,,512,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,14,,,,,,,,,,,,,,,,,85,17,,,,,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,18
27443,11126,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,31,,,,,,,51,17,,,8,4,30,23,653,35,,,,,,,,,601,116,6,19,453,26,21,7,,,,,424,4,,,447,38,,,,,,,,,,,,,,,,,,,,,,,,,43,12,,,,,,,,,,,,,,,,,,,,,363,25,1634,8,,,,,,,,,,,,,2701,1,,,,,,,,,,,,,,,,,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,203,23,,,,,,,,,,,,,,,,,,,283,18,,,,,182,19,,,,,653,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2316,1
2425,10784,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,4,49,,,,,,,,,,,,,51,15,987,27,,,,,,,,,3392,28,7,12,840,18,,,2,11,83,8,123,14,,,954,16,,,,,,,,,,,,,,,,,,,95,14,,,,,,,,,,,58,24,,,,,,,,,,,,,,,500,15,690,17,,,,,,,,,,,,,8,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,25,,,,,,,,,,,,,,,,,,,368,16,,,,,371,10,,,59,8,1631,10,,,,,,,,,,,,,,,,,60,7,,,,,,,,,,,,,104,21,,,,,19,5,,,,,,,,,,,,,,,,,56,11,,,,,,,,,4,15,,,,,,,,,,,,,,,,,,,139,27
