,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,181,17810,14,4,,,,,,,,,338,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,17,,,,,,,,,,,,,129,8,1110,17,,,,,,,,,11016,9,,,1579,9,,,11,4,,,69,25,,,857,15,,,,,,,,,,,,,,,,,99,13,,,,,220,4,,,,,144,10,,,,,,,,,,,,,,,133,46,142,34,,,,,,,,,,,,,,,,,,,,,5,7,,,,,,,36,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,14,,,64,12,,,,,,,,,,,203,23,,,,,134,21,,,,,652,21,,,,,,,,,,,,,16,6,,,,,,,,,4,2,,,,,,,215,10,,,,,,,,,,,12,13,,,,,81,16,,,,,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,23
11,12,50381,16825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15922,4,,,,,,,,,17,14,125,11,,,,,,,,,,,,,,,,,,,,,118,10,,,,,,,,,,,,,,,,,,,,,,,,,,,541,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,2243,16763,,,,,,,,,,,,,,,,,,,,,,,,,,,34,13,,,,,,,,,,,,,,,4,47,,,,,,,,,,,,,,,3392,5,,,,,,,,,8057,14,,,,,,,,,,,,,,,1610,6,,,,,,,,,,,,,,,,,,,,,,,59,10,,,,,106,15,,,,,,,,,,,,,,,417,19,140,36,,,,,,,,,,,,,16,42,,,,,,,,,,,,,,,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,5,,,,,,,,,,,,,,,94,31,,,,,456,8,,,24,9,825,18,,,,,,,7,4,,,,,,,,,,,68,4,,,,,545,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,46
13,14,1294,16203,,,,,,,,,,,59,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,10,,,,,,,,,,,,,64,13,547,38,,,,,,,,,10888,10,8,12,700,22,,,,,,,119,13,,,1303,8,,,,,,,,,,,,,,,,,133,9,,,,,,,,,,,99,17,,,,,83,11,,,,,5,5,,,639,8,,,,,,,,,,,,,,,72,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,,,,,,,,,,,,,328,13,,,47,22,,,8,4,,,,,,,34,55,,,,,,,,,,,542,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,12,,,,,,,,,,,,,,,,,50,21,,,,,11,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,21
14,15,25821,15450,,,,,,,,,,,61,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3701,4,,,,,,,,,5,963,38,2,1062,17,,,,,,,,,,,5308,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3394,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1864,1,,,,,,,,,,,,,,,,,,,,,17,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,320,15140,,,,,,,,,,,195,7,,,,,,,,,,,,,,,76,9,,,,,,,,,16,3,,,,,23,7,,,,,,,82,15,,,23,2,47,16,987,18,,,,,108,6,,,7061,16,18,3,1121,13,16,7,,,,,104,17,,,1264,10,,,,,7,2,,,5,3,,,9,3,,,79,16,38,4,,,,,,,,,155,7,,,,,158,8,,,,,,,21,2,125,48,392,25,,,,,15,2,,,,,18,2,53,18,,,,,,,18,2,,,,,,,22,10,,,,,,,,,4,7,,,,,50,5,,,,,,,,,,,,,559,8,22,3,39,23,,,1,7,,,,,,,345,13,,,,,191,18,,,63,6,941,15,,,,,,,,,5,3,,,,,,,40,10,33,7,,,,,,,,,,,58,32,,,,,14,6,8,4,,,18,12,,,,,151,10,,,10,1,30,14,,,,,,,,,39,9,,,,,,,,,,,,,,,,,,,,,263,19
16,17,13,14296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,9,,,,,,,107,12,,,5,6,39,21,911,21,,,,,,,,,8142,13,8,11,1100,15,,,9,8,,,,,6,2,527,26,,,,,,,,,,,,,,,,,273,4,,,,,,,,,,,112,13,,,,,,,,,,,,,,,247,29,905,12,,,,,,,,,,,,,159,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,125,6,13,34,25,,,,,,,,,,,216,20,,,,,267,13,,,15,10,623,22,,,,,,,,,,,,,,,,,19,13,19,8,,,,,48,6,,,,,139,15,,,,,,,,,,,,,,,,,26,25,,,,,,,,,,,,,,,19,12,,,,,,,,,,,,,,,,,,,,,288,18
17,18,2425,11347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,13,20,,,,,,,,,,,,,60,14,955,19,,,,,,,,,3806,28,8,13,1094,16,,,6,10,99,8,182,6,,,932,13,,,,,,,,,,,,,,,,,110,11,,,,,,,,,,,55,25,,,,,,,,,,,,,,,406,22,629,16,,,,,,,,,,,,,12,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,19,,,,,,,,,,,,,,,256,16,,,,,403,9,,,77,5,1605,10,,,,,,,,,,,,,,,,,46,9,,,,,,,,,,,,,111,17,,,,,15,5,,,,,,,,,,,,,,,,,50,9,,,,,,,,,35,11,,,,,,,,,,,,,,,,,,,,,148,25
18,19,5072,10723,,,,,,,,,,,9,19,,,,,,,,,,,,,,,9,18,,,,,46,2,,,,,,,,,5,39,,,,,,,,,,,,,148,6,383,47,,,,,,,,,8456,12,3,37,80,62,,,,,,,,,,,269,46,,,,,,,,,,,,,10,2,,,,,269,2,,,,,,,,,,,,,,,183,6,,,,,,,,,97,55,379,27,,,,,,,,,,,,,8,59,,,,,,,,,,,,,,,,,,,,,14,1,,,22,2,,,45,2,,,,,,,,,,,,,,,21,82,8,9,73,10,,,,,,,,,,,,,,,,,,,,,,,76,60,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,11,67,,,,,57,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,61
19,20,27443,9753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,35,,,,,,,47,19,,,3,8,40,20,850,26,,,,,,,,,721,109,6,22,402,29,21,6,,,,,83,24,,,321,42,,,,,,,,,,,,,,,,,,,,,,,43,12,,,,,,,,,,,,,,,,,,,,,300,27,1357,9,,,,,,,,,,,,,1754,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,26,,,,,,,,,,,,,,,204,22,,,,,192,17,,,,,547,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2671,2
