,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2243,19627,,,,,,,,,,,,,,,,,,,,,,,,,,,20,13,,,,,,,,,,,,,,,9,39,,,,,,,,,,,,,,,4541,4,,,,,,,,,8151,13,,,,,,,,,,,,,,,1878,6,,,,,,,,,,,,,,,,,,,,,,,53,11,,,,,91,20,,,,,,,,,,,,,,,561,24,203,34,,,,,,,,,,,7,57,,,,,,,,,,,,,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,5,,,,,,,,,,,,,,,,,1170,4,,,,,498,9,,,27,9,1013,16,,,,,,,6,5,,,,,,,,,,,40,7,,,,,299,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,54
11,12,50381,19555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18326,3,,,,,,,,,19,14,153,9,,,,,,,,,,,,,,,,,,,,,92,12,,,,,,,,,,,,,,,,,,,,,,,,,,,965,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,181,18989,10,4,,,,,,,,,252,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,15,,,,,,,,,,,,,123,7,2029,13,,,,,,,,,10347,10,,,1718,8,,,5,10,,,81,24,,,1249,11,,,,,,,,,,,,,,,,,81,17,,,,,240,4,,,,,159,12,,,,,,,,,,,,,,,233,46,90,49,,,,,,,,,,,,,,,,,7,6,,,,,,,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,17,,,111,9,,,,,,,,,,,,,267,23,,,,,125,25,,,,,860,18,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,285,8,,,,,,,,,,,13,10,,,,,80,15,,,,,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,23
13,14,320,16706,,,,,,,,,,,111,9,,,,,,,,,,,,,,,122,7,,,,,,,,,9,6,,,,,51,6,,,,,,,92,12,,,11,4,26,25,1269,23,,,,,430,4,,,6262,16,19,4,1206,14,43,5,,,,,141,10,,,1714,7,,,,,7,3,,,7,2,,,7,3,,,54,22,89,3,,,,,,,,,205,9,,,,,447,4,,,,,,,15,5,224,47,326,26,,,19,3,,,,,12,2,48,17,,,,,9,4,,,,,,,25,10,,,,,,,,,7,5,,,,,103,3,,,,,,,,,,,,,616,11,102,1,50,21,,,,,,,,,,,,,446,15,,,,,209,17,,,50,7,1213,13,,,,,,,,,9,2,,,,,,,52,9,64,4,,,,,,,,,,,58,33,,,,,16,5,10,4,,,25,9,,,,,154,13,,,9,1,31,13,,,,,,,,,36,10,,,,,,,,,,,,,,,,,,,,,446,14
14,15,13,16696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,5,,,,,,,147,10,,,4,7,54,16,1382,21,,,,,,,,,8401,12,4,29,1505,9,,,4,11,,,,,4,2,845,20,,,,,,,,,,,,,,,,,267,4,,,,,,,,,,,215,7,,,,,,,,,,,,,,,495,27,1013,10,,,,,,,,,,,140,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,134,15,5,63,16,,,,,,,,,,,,,385,19,,,,,266,14,,,24,10,822,20,,,,,,,,,,,,,,,,,17,13,27,9,,,,,51,5,,,,,141,14,,,,,,,,,,,,,,,,,30,27,,,,,,,,,,,,,,,9,13,,,,,,,,,,,,,,,,,,,,,313,17
15,16,1294,16591,,,,,,,,,,,140,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,16,,,,,,,,,,,,,58,14,965,29,,,,,,,,,9512,11,6,18,772,18,,,,,,,133,11,,,1476,8,,,,,,,,,,,,,,,,,162,7,,,,,,,,,,,135,14,,,,,28,13,,,,,6,3,,,1355,7,,,,,,,,,,,,,74,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,465,15,,,46,22,,,4,5,,,,,,,,,44,52,,,,,,,,,,,794,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,18,,,,,,,,,,,,,,,,,31,26,,,,,25,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,20
16,17,25821,13432,,,,,,,,,,,34,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2752,10,,,,,,,,,10,949,15,7,,,,,,,,,,,,,3249,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6152,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202,3,,,,,,,,,,,,,,,,,,,,,,,18,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,2425,12910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,,,19,21,,,,,,,,,,,,,61,13,942,31,,,,,,,,,4378,28,6,19,1103,15,,,7,8,106,8,126,14,,,1007,14,,,,,,,,,,,,,,,,,113,11,,,,,,,,,,,14,37,,,,,,,,,,,,,,,663,20,591,17,,,,,,,,,,,22,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,22,,,,,,,,,,,,,,,,,323,20,,,,,506,8,,,98,4,2189,9,,,,,,,,,,,,,,,,,67,6,,,,,,,,,,,,,138,15,,,,,14,6,,,,,,,,,,,,,,,,,59,9,,,,,,,,,10,11,,,,,,,,,,,,,,,,,,,,,106,32
18,19,822,12475,,,,,,,,,,,,,,,,,,,,,,,,,,,24,12,,,,,,,,,,,,,,,30,9,,,,,,,,,,,5,6,14,38,1423,19,,,,,,,,,5359,24,3,36,589,24,,,,,,,222,5,,,515,29,,,,,,,,,,,,,,,,,25,31,,,,,,,,,,,100,18,,,,,,,,,,,,,,,772,13,562,20,,,,,,,,,,,38,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,16,6,14,75,13,,,,,,,,,,,,,805,6,,,,,112,28,,,,,590,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,7,,,,,,,,,,,,,,,,,,,,,,,8,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,11
19,20,811,10291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,4,,,,,,,16,31,,,,,,,1417,20,,,,,,,,,3483,35,,,1391,10,,,,,,,85,22,,,1076,12,,,,,,,,,,,,,,,,,143,8,,,,,,,,,,,94,19,,,,,,,,,,,,,,,97,71,157,36,,,,,,,,,,,294,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,6,,,29,28,,,,,,,,,,,,,437,16,,,,,258,15,,,50,8,273,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
