,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,134821,417,1,57,1,27,1,,,86,1,3672,1,20,1,23,1,31,1,479,1,21,1,22,1,47,1,676,1,43,1,53,1,144,1,17,1,53,1,248,1,21,1,274,1,34,1,17,1,53,1,1152,1,18,1,43,1,696,1,6912,1,17,1,18,1,497,1,,,40779,1,64,1,15238,1,621,1,88,1,1964,1,1283,1,31,1,6038,1,22,1,25,1,37,1,19,1,18,1,44,1,114,1,12,1,1161,1,742,1,41,1,565,1,21,1,12,1,1347,1,438,1,20,1,2254,1,24,1,25,1,33,1,108,1,4791,1,4462,3,26,1,25,2,456,1,749,1,45,1,655,3,25,1,,,33,1,66,1,25,1,19,1,24,1,399,2,301,1,15,2,,,92,1,40,1,69,1,410,1,197,2,16,1,17,1,19,1,23,1,24,1,18,1,1570,1,44,2,580,1,,,18,1,21,1,13,1,30,1,,,3211,1,23,1,23,1,2740,1,15,1,580,1,10395,2,18,1,24,1,20,1,29,1,44,1,19,1,193,2,36,1,512,1,209,1,,,284,1,336,3,,,25,2,1425,1,29,1,,,115,1,54,1,3,1,1251,1,30,1,324,1,3534,1,31,1,,,400,2,56,1,139,1,48,1,22,1,1451,2,,,20,1,,,18,1,,,37,1,14,1,22,1,17,1,,,2652,3
1,2,1406,48053,24,2,,,,,,,,,32,11,,,,,,,,,,,,,,,272,3,,,,,,,,,,,,,,,54,5,,,,,,,161,10,,,10,2,575,2,3236,9,,,,,475,3,,,20551,2,19,5,2847,5,50,5,25,2,180,5,14,73,,,3162,3,,,,,,,,,,,,,,,,,365,3,,,,,336,3,,,,,210,10,34,2,6,3,1027,2,,,,,,,12,5,1437,4,2809,5,8,3,11,4,,,,,,,,,,,,,,,11,3,,,,,,,104,5,,,,,,,,,,,,,,,57,4,,,,,,,,,,,,,1335,3,8,11,304,3,,,6,4,,,,,,,,,666,10,,,,,294,12,,,73,6,3556,5,,,,,,,6,4,6,3,,,410,1,,,41,11,,,,,,,390,2,,,,,573,3,,,,,,,,,,,,,,,,,219,10,,,,,121,5,,,,,,,,,296,5,,,,,,,9,4,,,,,,,,,5,3,,,1621,5
2,3,10816,42647,,,,,,,,,,,429,4,,,,,,,,,,,,,15,2,134,8,,,,,,,,,,,13,3,,,33,11,,,,,,,218,8,,,,,308,3,3934,4,,,,,48,9,,,17388,4,,,2935,4,65,4,,,203,3,19,53,,,2507,4,,,,,,,,,,,,,,,,,209,6,15,5,,,139,7,,,,,295,5,,,,,204,9,,,,,,,,,1375,5,3155,4,,,,,,,,,14,2,322,7,,,,,,,,,,,,,,,,,36,5,,,,,,,,,,,,,,,,,,,,,,,12,2,,,1036,5,12,5,287,4,14,1,,,,,,,,,,,1236,6,,,,,736,5,,,112,3,3665,4,,,,,,,,,,,,,69,4,,,70,8,,,,,,,,,,,,,536,4,,,,,,,10,3,,,,,,,12,4,495,7,,,,,93,8,,,,,,,,,206,6,,,,,,,14,3,,,,,,,,,,,,,19,99
3,4,2223,40501,,,,,,,,,,,622,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,25,,,,,,,501,3,,,,,,,1762,14,,,,,,,,,10420,10,,,4281,2,,,,,,,732,2,,,2347,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,,,218,8,,,,,,,,,3159,2,2478,6,,,5,5,,,,,,,,,,,,,,,,,,,,,,,623,1,,,,,,,,,24,2,,,,,36,6,,,,,,,,,,,,,773,9,,,416,2,,,,,,,,,,,,,2208,2,,,,,2097,2,,,,,3495,6,,,,,,,,,,,,,,,10,3,,,146,2,,,,,63,6,,,,,244,9,,,,,,,,,,,300,2,,,,,919,5,,,,,179,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2411,4
4,5,2397,36660,15,4,10,2,,,10,1,,,571,3,,,,,8,2,82,2,,,,,11,3,577,2,,,,,,,,,29,2,62,2,,,43,6,,,12,2,12,2,290,7,,,8,4,197,5,4724,3,,,,,269,4,,,14015,6,21,4,1891,9,16,11,22,3,1688,2,159,7,,,1560,10,,,8,2,,,,,,,19,2,,,,,544,2,,,14,2,189,5,,,,,380,3,24,3,7,2,31,12,,,,,6,3,19,2,719,11,1859,8,,,,,38,2,23,2,,,31,26,12,2,,,,,21,2,,,,,8,2,101,6,41,4,,,,,21,3,4,6,,,,,14,7,,,,,,,,,,,,,351,17,10,7,255,5,,,7,3,,,,,6,2,,,687,9,6,2,,,548,6,,,,,1709,11,,,,,,,9,2,,,,,72,3,,,59,10,63,6,,,,,88,4,,,,,381,5,11,3,,,6,6,,,,,73,7,,,14,2,1360,3,,,,,,,11,2,,,,,8,2,52,7,8,1,,,,,15,2,,,,,,,,,10,2,,,406,13
5,6,2093,30777,,,,,,,,,,,46,10,,,,,,,8,4,,,,,,,41,10,,,,,8,4,9,2,,,,,,,35,10,7,2,,,,,118,13,,,,,50,20,1117,26,,,,,,,,,11722,7,9,12,1114,17,,,,,47,10,60,26,,,863,20,,,,,,,13,2,,,,,,,,,31,28,11,7,,,30,13,,,,,74,23,,,,,132,10,,,,,,,,,539,20,5909,2,15,2,,,,,1,3,,,447,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,5,,,,,,,,,,,,,236,23,,,45,24,,,,,,,,,,,,,257,27,,,,,289,13,,,,,1509,12,,,,,4,2,,,,,,,,,,,31,12,12,11,,,,,,,15,1,,,127,18,,,,,,,,,,,239,5,,,,,73,19,,,,,58,11,,,,,,,,,431,3,,,,,,,,,,,35,2,,,,,,,7,1,4910,1
6,7,2162,27008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,,,,,19,20,,,,,,,145,12,,,,,9,51,1689,16,,,,,,,,,11234,8,,,1,125,,,,,,,98,20,,,902,19,,,4,4,,,,,,,,,,,,,16,38,,,,,,,,,,,228,9,,,,,,,,,,,,,9,7,738,9,7,93,,,,,5,4,,,,,177,10,,,,,,,,,,,,,,,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,47,6,13,,,,,,,,,,,,,,,630,12,,,,,164,23,,,25,11,9799,3,,,,,,,,,,,,,8,5,,,,,2,17,,,,,,,,,,,103,22,,,,,,,,,,,,,,,,,73,20,,,,,109,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698,8
7,8,463,26367,,,5,3,,,,,,,,,,,,,,,,,,,,,,,24,13,,,,,,,,,4,7,,,,,27,14,,,,,,,296,6,,,,,85,13,2257,11,,,,,,,,,14378,5,,,,,14,12,,,,,142,10,,,,,,,,,,,,,,,,,,,,,59,19,,,,,25,14,,,,,91,20,,,,,44,11,,,,,,,,,1023,6,2278,7,,,,,,,,,,,105,14,,,,,,,,,,,,,,,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,15,8,10,73,18,,,,,,,,,,,,,573,15,,,,,923,3,,,,,2394,9,,,,,,,,,,,,,,,,,,,21,10,,,,,32,7,,,,,184,13,,,,,,,,,,,61,8,,,,,92,18,,,,,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,9
8,9,29351,26328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917,12,,,,,,,,,6715,19,,,144,54,117,2,,,,,114,15,,,173,71,,,,,,,,,,,,,,,,,166,7,,,,,,,,,,,38,26,12,5,,,,,,,,,,,,,,,116,50,,,,,,,,,,,,,,,,,,,,,,,,,,,342,3,96,2,,,,,,,,,,,,,,,,,,,,,,,,,,,70,55,,,,,,,,,,,,,,,,,558,16,,,,,,,,,,,13976,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,39,,,,,,,,,,,,,,,,,,,,,,,1413,1,,,,,,,,,318,4,,,,,,,,,,,,,,,,,,,,,,
9,10,2181,25536,,,,,,,,,,,,,,,,,,,,,10,2,,,,,219,5,,,,,,,,,,,,,,,17,24,,,,,,,151,11,,,,,230,4,1720,15,,,,,167,6,,,7535,15,9,13,1372,12,88,3,10,6,,,185,5,,,1975,7,,,,,,,,,,,,,,,,,223,5,,,,,126,9,,,,,234,7,,,,,342,4,,,,,,,8,8,96,69,1099,12,,,,,18,3,,,,,38,21,,,,,,,,,,,,,,,58,9,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,809,7,18,3,217,6,,,,,,,,,,,,,1713,3,,,,,307,9,,,102,4,2440,7,,,,,,,4,6,,,,,,,,,97,4,25,9,,,,,,,6,2,,,1331,2,,,,,,,,,,,263,3,,,,,865,6,,,,,143,4,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224,6
