,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,463,22257,,,15,2,,,,,,,,,,,,,,,6,5,,,,,,,,,,,24,16,,,,,,,,,11,3,,,,,31,17,,,,,,,245,9,,,,,72,15,1767,17,,,,,,,,,12138,7,8,9,,,15,13,8,7,26,16,109,24,,,907,24,,,,,,,,,,,,,,,,,,,62,23,,,,,30,14,,,,,85,22,,,,,43,14,,,,,,,,,765,18,1650,10,,,,,,,,,,,,,98,9,,,,,10,4,,,,,,,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,23,7,10,28,28,,,,,,,,,,,,,,,,,,,425,18,,,,,896,4,,,,,1427,11,,,,,,,,,,,,,,,,,,,18,12,,,,,27,8,,,,,152,19,,,,,,,,,,,49,9,,,,,25,22,,,,,40,14,,,,,,,,,26,11,,,,,,,,,,,,,,,,,,,,,,,663,9
11,12,320,21094,,,,,,,,,,,137,7,,,,,9,5,,,,,,,,,11,1,,,125,8,,,,,,,,,10,4,,,,,60,9,,,,,,,125,15,,,12,4,58,19,1373,20,,,,,144,6,,,10262,13,13,6,1245,17,33,6,,,42,14,235,9,,,1507,10,,,,,,,8,3,,,10,2,,,17,2,,,85,19,36,6,,,,,,,,,325,6,,,,,328,4,,,,,,,18,4,376,34,277,32,,,,,14,5,,,,,13,2,43,19,,,,,6,5,,,,,,,55,7,,,,,,,,,,,21,2,,,,,46,5,,,,,,,,,,,,,873,6,24,2,49,22,,,,,5,4,,,,,,,,,,,,,932,5,,,,,210,22,,,121,7,998,14,,,,,,,,,9,3,,,,,,,94,6,82,3,,,,,,,,,,,105,22,,,,,10,7,,,6,4,18,12,,,,,35,14,,,11,1,51,11,,,,,,,,,42,10,,,,,,,,,,,,,,,,,,,,,,,340,17
12,13,1294,20722,,,,,,,,,,,41,11,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,11,,,,,,,,,,,,,58,20,2147,13,,,,,,,,,9682,14,8,10,1293,16,,,,,,,165,18,,,2729,4,,,,,,,,,,,,,9,3,,,,,351,7,,,,,,,,,,,220,12,,,,,55,12,,,,,5,3,,,1570,8,,,,,,,,,,,,,,,33,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,618,12,,,62,15,,,,,5,5,,,,,,,,,,,,,210,29,,,,,,,,,,,784,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,8,,,,,,,,,,,,,,,,,23,23,,,,,17,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,21
13,14,2162,20659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,,,,,10,39,,,,,,,115,17,,,,,26,30,1237,24,,,,,,,,,9502,15,,,527,29,,,,,,,80,30,,,717,29,,,,,7,3,,,,,,,,,,,,,22,39,,,,,,,,,,,141,17,,,,,,,,,,,,,8,6,573,24,4,108,,,,,,,5,4,,,,,44,18,,,,,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,55,8,9,,,,,,,,,,,,,,,,,,,,,499,17,,,,,159,30,,,7,11,6073,4,,,,,,,,,,,,,9,8,,,,,6,16,,,,,,,,,,,106,21,,,,,,,,,,,,,,,,,20,25,,,,,85,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,10
14,15,29351,20637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2190,12,,,,,,,,,4177,39,,,149,56,156,2,,,,,105,25,,,116,99,,,,,,,,,,,,,,,,,,,180,10,,,,,,,,,,,44,28,14,5,,,,,,,,,,,,,,,97,57,,,,,,,,,,,,,,,,,,,,,,,,,,,270,3,112,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,53,,,,,,,,,,,,,,,,,,,,,,,512,15,,,,,,,,,,,11256,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,33,,,,,,,,,,,,,,,,,,,,,,,844,1,,,,,,,,,234,4,,,,,,,,,,,,,,,,,,,,,,,,
15,16,181,20277,17,4,,,,,,,,,131,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,20,,,,,,,,,,,,,152,8,2481,11,,,,,,,,,10865,11,,,1588,13,,,9,5,,,137,22,,,1205,14,,,,,,,,,,,,,,,,,,,139,12,,,,,255,5,,,,,266,8,,,,,,,,,,,,,,,381,33,186,39,,,,,,,,,,,,,,,,,,,4,7,,,,,,,51,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,17,,,61,16,,,,,,,,,,,,,,,,,,,321,23,,,,,195,24,,,,,703,21,,,,,,,,,,,,,184,2,,,,,,,,,2,2,,,,,,,266,10,,,,,,,,,,,18,11,,,,,30,20,,,,,23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,29
16,17,2243,18635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,14,,,,,,,,,,,,,,,7,51,,,,,,,,,,,,,,,4656,4,,,,,,,,,7305,21,,,,,,,,,,,,,,,1701,8,,,,,,,,,,,,,,,,,,,,,,,,,126,9,,,,,172,14,,,,,,,,,,,,,,,540,26,165,43,,,,,,,,,,,,,10,50,,,,,,,,,,,,,41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,9,,,,,,,,,,,,,,,,,,,,,,,876,6,,,,,581,8,,,27,10,874,17,,,,,,,6,5,,,,,,,,,,,62,5,,,,,617,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,43
17,18,25821,17028,,,,,,,,,,,302,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3054,9,,,,,,,,,1401,82,3,30,1608,12,,,,,,,,,,,3873,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2795,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2361,3
18,19,2425,14589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,22,24,,,,,,,67,18,,,,,131,9,1161,26,,,,,,,,,4185,38,6,15,1297,15,,,4,13,83,11,192,15,,,1001,17,,,,,,,,,,,,,,,,,,,101,17,,,,,,,,,,,125,19,,,,,,,,,,,,,,,724,19,704,17,,,,,,,,,,,,,8,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,25,,,,,,,,,,,,,,,,,,,,,,,510,16,,,,,550,9,,,204,4,2813,5,,,,,,,,,,,,,,,,,74,7,,,,,,,,,,,,,131,20,,,,,2,8,,,,,,,,,,,,,,,,,74,10,,,,,,,,,16,15,,,,,,,,,,,,,,,,,,,,,,,130,30
19,20,811,13618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,5,,,,,,,33,29,,,,,,,1111,28,,,,,,,,,5321,24,6,14,2029,6,,,,,,,147,20,,,1019,16,,,,,,,,,,,,,3,6,,,,,514,4,,,,,,,,,,,156,15,,,,,,,,,,,,,,,105,78,300,29,,,,,,,,,,,,,237,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882,5,,,23,31,,,,,,,,,,,,,,,,,,,665,13,,,,,538,10,,,99,9,354,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
