bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,114516,1,137,1,53,1,45,1,33,1,34,1,3499,1,40,1,34,1,48,2,452,1,71,1,38,1,51,2,,,63,2,636,1,161,1,172,1,449,1,32,1,48,1,444,1,38,1,285,1,31,1,29,1,61,1,957,2,27,1,83,1,485,2,5947,1,33,1,40,1,579,3,27,1,30944,1,76,1,9980,1,681,1,82,1,2207,3,1357,3,32,1,42,1,4421,2,,,37,1,39,1,50,1,36,1,34,1,41,1,62,1,139,1,25,1,,,1728,1,2486,1,209,1,635,2,31,1,30,1,1273,1,560,1,,,40,1,1370,2,33,1,30,1,47,1,127,1,4479,2,2670,5,42,1,37,1,28,2,402,1,517,1,200,1,355,5,36,1,,,59,1,80,1,57,1,40,1,66,1,37,1,432,1,297,1,25,1,34,1,54,1,98,2,158,1,124,1,1722,1,244,2,34,1,42,1,48,1,38,1,45,2,39,1,1177,4,42,2,771,2,31,1,,,36,1,30,2,38,1,30,1,30,1,41,1,,,49,1,3988,2,25,1,30,1,1988,3,38,1,34,1,485,2,6973,2,33,1,50,1,43,1,33,1,32,1,46,1,48,1,30,1,193,3,101,1,406,1,273,1,,,320,1,446,4,,,41,1,1052,1,44,1,,,337,1,,,419,1,3,1,569,2,39,1,206,1,491,2,52,1,,,505,4,93,1,415,1,281,1,37,1,2739,1,,,29,1,,,28,2,,,63,2,35,1,39,1,34,1,39,1,,,2451,6
2223,89100,2,,,,,,,,,,,1503,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,12,,,,,,,1176,1,,,,,217,6,2737,14,,,,,,,,,18735,3,,,8137,2,,,,,2290,2,2244,1,,,,,4036,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,2,,,,,357,5,,,,,,,,,9161,1,3550,3,,,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,303,2,,,,,,,,,,,25,3,,,,,80,5,,,,,,,,,,,,,746,12,,,823,1,,,,,,,,,,,,,,,,,,,,,5695,1,,,,,15243,1,,,,,,,4999,5,,,,,,,,,,,,,,,,,,,19,3,,,250,2,,,,,167,6,,,,,301,12,,,,,,,,,,,,,509,3,,,,,829,1,,,,,890,2,,,,,,,,,1520,2,,,,,,,,,,,21,5,,,,,,,,,,,2332,7
1406,68600,3,68,2,,,,,,,,,10,21,,,,,34,3,87,3,,,,,,,,,,,515,2,,,,,,,,,,,,,,,89,7,,,,,,,227,9,,,26,2,348,3,4778,3,,,,,1287,1,,,24303,2,30,3,5344,3,77,5,30,2,412,6,1499,2,,,,,3217,4,60,1,,,,,32,2,,,,,,,,,,,,,,,907,3,,,,,772,1,,,,,296,10,114,3,,,26,2,2087,1,,,,,,,35,3,2640,6,3396,4,,,34,2,25,4,,,,,,,,,,,,,,,20,3,,,,,,,,,135,5,60,7,,,,,,,,,,,,,,,57,6,,,,,,,,,,,,,1992,1,20,3,416,3,,,,,,,49,1,,,,,,,,,,,,,1024,8,,,,,877,6,,,,,249,5,6444,3,,,,,,,,,,,34,2,25,2,,,1043,1,,,86,11,52,7,,,,,624,3,,,,,784,2,,,,,,,,,,,,,,,,,,,127,7,,,,,370,5,34,2,,,,,,,169,10,,,,,,,26,3,,,26,4,,,,,,,19,3,,,1033,11
10816,51636,4,,,,,,,,,,,430,5,,,,,73,1,,,,,,,85,1,,,77,1,152,9,,,,,,,,,,,68,2,,,103,5,,,,,,,441,5,,,,,336,4,4670,6,,,,,230,8,,,14081,4,,,4200,4,127,3,,,516,5,453,6,,,,,2340,8,,,,,,,,,,,,,,,,,,,,,,,553,6,112,5,,,263,6,,,,,535,3,,,,,,,539,4,,,,,,,,,3635,4,2212,7,,,,,,,,,,,70,2,254,6,,,,,,,,,,,,,,,,,,,119,2,,,,,,,,,,,,,,,,,,,,,,,,,56,1,,,916,9,53,1,333,5,,,62,1,,,,,,,,,,,,,,,,,1856,4,,,,,2488,2,,,,,195,7,4199,7,,,,,,,,,,,,,,,,,63,4,,,178,5,,,,,,,142,7,,,,,708,3,,,,,,,,,104,3,,,,,,,64,2,134,5,,,,,171,8,,,,,,,,,499,6,,,,,,,64,1,,,68,1,,,,,,,,,,,2609,4
2397,41477,5,28,3,14,2,,,17,2,,,1082,3,,,,,24,4,167,2,,,20,2,,,,,17,4,451,3,,,,,33,5,,,15,3,25,3,,,71,10,,,21,2,25,2,391,6,,,22,3,563,1,4762,5,,,,,391,5,,,13318,6,16,9,2890,8,53,7,16,5,2918,1,381,8,,,,,1958,11,,,,,16,2,,,,,,,,,24,2,,,,,,,805,4,,,15,2,244,7,,,,,406,5,81,4,,,23,3,30,14,,,,,21,2,39,2,1221,13,1564,11,,,,,,,113,2,50,2,,,56,16,23,2,,,,,19,4,,,,,28,2,20,3,78,7,71,6,,,,,,,128,1,15,6,,,,,20,8,,,,,,,,,,,,,480,16,13,7,390,4,,,,,,,16,3,,,,,,,20,3,,,,,748,10,11,2,,,673,9,,,,,,,2128,10,,,,,,,,,,,17,4,,,,,56,5,,,91,9,28,11,,,,,215,5,,,,,499,5,23,3,,,37,4,,,,,,,53,10,,,16,4,236,4,,,,,189,7,25,4,,,,,23,2,72,12,22,1,,,,,17,4,,,18,7,,,,,,,20,2,,,542,15
2093,35322,6,,,,,,,,,,,79,13,,,,,,,27,4,,,,,,,,,,,55,11,,,,,25,6,25,2,,,,,,,60,14,22,2,,,,,110,19,,,,,57,21,1574,23,,,,,,,,,13288,7,15,10,1853,14,,,,,74,14,182,22,,,,,1041,18,,,,,,,,,18,2,,,,,,,,,18,2,,,99,24,23,7,,,58,12,,,,,153,18,20,6,,,,,153,10,,,,,,,,,844,21,6137,2,,,24,3,15,5,,,4,4,,,201,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,7,,,,,,,,,,,,,817,11,,,72,19,,,,,,,,,,,,,,,,,,,,,495,18,,,,,559,11,,,,,,,1715,11,,,,,18,2,,,,,,,,,,,,,,,59,12,22,15,,,,,,,28,1,,,236,15,,,24,1,,,,,,,,,348,5,,,,,54,12,,,,,80,15,,,,,,,,,470,7,,,,,,,,,,,39,3,,,,,,,,,24,1,3979,1
2181,30980,7,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,,,,257,7,,,,,,,,,,,,,,,42,18,,,,,,,146,15,,,,,217,5,2169,18,,,,,540,4,,,9121,14,20,8,3404,5,136,2,15,6,,,280,11,,,,,2890,5,,,,,,,,,,,,,,,,,,,,,,,296,8,,,,,118,10,,,,,384,6,,,,,,,340,7,,,,,,,26,4,971,17,1067,13,,,,,,,46,3,,,,,47,19,,,,,,,,,,,,,,,21,2,62,8,80,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984,7,20,4,176,6,,,,,,,,,,,,,,,,,,,,,1330,6,,,,,348,17,,,,,198,6,2508,8,,,,,,,,,,,19,3,,,,,25,6,,,113,7,50,8,,,,,50,11,23,2,,,685,4,,,,,,,,,,,,,241,6,,,,,82,8,,,,,223,6,25,3,,,,,,,,,,,,,,,,,,,15,8,,,,,,,,,,,1155,9
13,26942,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,8,,,,,,,166,14,,,12,7,63,17,3048,12,,,,,154,9,,,11357,9,23,6,2823,10,,,8,12,,,91,33,,,10,2,1061,17,,,,,,,,,,,,,,,,,,,,,,,936,2,,,,,,,,,,,274,11,,,10,1,,,,,,,,,,,,,725,23,1715,10,,,,,,,,,,,,,74,13,,,,,,,,,,,,,,,,,,,29,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,13,12,8,105,13,,,,,,,,,,,,,,,,,,,,,342,25,,,,,517,13,,,,,89,9,1341,14,,,,,,,,,,,,,,,,,,,,,51,13,54,6,,,,,86,8,,,,,314,10,,,,,,,,,,,,,,,,,,,39,14,,,,,,,,,,,,,,,38,16,,,,,,,,,,,,,,,,,,,,,,,553,14
463,26455,9,,,13,3,,,,,,,,,,,,,,,12,6,,,,,,,,,,,39,14,,,,,,,,,14,4,,,,,61,13,,,,,,,243,8,,,,,101,12,2359,15,,,,,,,,,11495,8,6,23,1126,24,19,17,11,7,22,20,112,28,,,,,2451,6,,,,,,,,,,,,,,,,,,,,,,,117,19,,,,,22,15,,,,,78,23,,,,,,,35,12,,,,,,,,,997,16,2591,6,,,,,,,,,,,,,54,17,,,,,,,10,6,,,,,,,,,36,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,20,11,10,62,20,,,,,,,,,,,,,,,,,,,,,424,21,,,,,997,5,,,,,,,1432,13,,,,,,,,,,,,,,,,,,,,,,,24,14,,,,,16,16,,,,,117,24,,,,,,,,,,,,,114,7,,,,,26,23,,,,,97,13,,,,,,,,,34,18,,,,,,,,,,,,,,,,,,,,,,,728,12
2162,24123,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,,,,,9,52,,,,,,,124,17,,,,,25,35,2245,16,,,,,,,,,11025,10,,,807,26,,,,,,,165,23,,,,,861,21,,,,,6,4,,,,,,,,,,,,,,,,,21,45,,,,,,,,,,,216,13,,,,,,,11,19,,,,,,,8,9,605,25,210,41,,,,,,,11,4,,,,,65,15,,,,,,,,,,,,,,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,55,7,13,,,,,,,,,,,,,,,,,,,,,,,450,19,,,,,235,21,,,,,16,12,4704,6,,,,,,,,,,,,,,,,,6,8,,,,,10,16,,,,,19,14,,,,,105,27,,,,,,,,,,,,,,,,,,,24,26,,,,,107,12,,,,,,,,,31,19,,,,,,,,,,,,,,,,,,,,,,,1871,8
