bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
2093,23564,11,,,,,,,,,,,34,11,,,,,,,11,3,,,,,,,34,11,,,,,8,4,11,2,,,,,,,36,11,9,2,,,,,92,17,,,,,45,21,1226,33,,,,,,,,,9301,13,18,8,1082,14,,,,,49,10,76,26,,,705,29,,,,,,,13,2,,,,,,,56,23,7,7,,,30,13,,,,,63,24,,,,,110,10,,,,,,,,,460,31,4853,1,12,2,,,,,2,3,,,323,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,6,,,,,,,,,,,,,254,24,,,39,25,,,,,,,,,,,,,228,27,,,,,274,15,,,,,1296,15,,,,,8,2,,,,,,,,,,,22,13,8,11,,,,,,,23,1,,,155,18,,,,,,,,,,,171,3,,,,,62,20,,,,,31,17,,,,,,,,,267,3,,,,,,,,,,,29,2,,,,,,,1999,3
13,22437,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,,,,,,,249,11,,,3,7,46,19,2225,12,,,,,,,,,10237,11,10,23,1996,5,,,7,8,,,,,3,2,1247,15,,,,,,,,,,,,,,,333,4,,,,,,,,,,,373,4,,,,,,,,,,,,,,,685,20,1795,9,,,,,,,,,,,221,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,119,10,12,66,16,,,,,,,,,,,,,681,13,,,,,341,11,,,85,8,983,17,,,,,,,,,,,,,,,,,26,12,67,3,,,,,46,5,,,,,351,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,,,,,,,,,,,,,,,,,,,266,17
29351,21859,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1826,19,,,,,,,,,5231,29,,,141,51,133,2,,,,,114,22,,,167,79,,,,,,,,,,,,,,,143,10,,,,,,,,,,,18,37,8,5,,,,,,,,,,,,,,,74,57,,,,,,,,,,,,,,,,,,,,,,,,,,,215,3,87,2,,,,,,,,,,,,,,,,,,,,,,,,,,,60,61,,,,,,,,,,,,,,,,,304,25,,,,,,,,,,,12042,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,36,,,,,,,,,,,,,,,,,,,,,,,1061,1,,,,,,,,,171,4,,,,,,,,,,,,,,,,,,,,
2243,20565,14,,,,,,,,,,,,,,,,,,,,,,,,,,,31,12,,,,,,,,,,,,,,,16,28,,,,,,,,,,,,,,,3649,7,,,,,,,,,9769,12,,,,,,,,,,,,,,,1775,7,,,,,,,,,,,,,,,,,,,,,60,10,,,,,143,18,,,,,,,,,,,,,,,1000,13,209,37,,,,,,,,,,,,,,,,,,,,,,,,,,,63,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926,6,,,,,,,,,,,,,,,,,921,6,,,,,545,6,,,53,10,889,19,,,,,,,10,3,,,,,,,,,,,46,6,,,,,410,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,45
2181,20178,15,,,,,,,,,,,,,,,,,,,,,12,2,,,,,150,7,,,,,,,,,,,,,,,26,20,,,,,,,450,6,,,,,119,9,1403,26,,,,,129,7,,,6063,21,20,5,1127,13,121,3,15,5,,,145,16,,,1092,16,,,,,,,,,,,,,,,201,7,,,,,126,7,,,,,209,16,,,,,250,6,,,,,,,16,3,93,80,1011,13,,,,,25,3,,,,,44,19,,,,,,,,,,,,,,,181,5,27,6,,,,,,,,,,,,,,,,,,,,,,,,,,,636,11,21,3,146,6,,,,,,,,,,,,,1084,3,,,,,254,16,,,123,4,1882,9,,,,,,,9,4,,,,,,,,,71,6,25,8,,,,,,,9,2,,,1133,1,,,,,,,,,,,91,5,,,,,814,7,,,,,108,6,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,703,7
1294,18385,16,,,,,,,,,,,42,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,10,,,,,,,,,,,,,77,14,1638,22,,,,,,,,,8149,14,14,11,1959,7,,,,,,,348,5,,,1759,8,,,,,,,,,,,,,,,157,9,,,,,,,,,,,270,11,,,,,33,13,,,,,6,4,,,1950,7,,,,,,,,,,,,,55,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,,,,,,510,14,,,46,24,,,8,5,,,,,,,,,127,34,,,,,,,,,,,698,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,13,,,,,,,,,,,,,,,,,65,19,,,,,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,21
822,17094,17,,,,,,,,,,,,,,,,,,,,,,,,,,,29,13,,,,,,,,,,,,,,,30,14,,,,,,,,,,,2,9,13,38,1829,18,,,,,,,,,6234,19,8,31,965,15,,,,,,,1165,1,,,873,24,,,,,,,,,,,,,,,31,32,,,,,,,,,,,289,10,,,,,,,,,,,,,,,942,17,1136,12,,,,,,,,,,,45,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,12,14,9,81,14,,,,,,,,,,,,,1071,4,,,,,143,27,,,,,747,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,6,,,,,,,,,,,,,,,,,,,,,,,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,11
25821,15253,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5036,3,,,,,,,,,2,955,7,39,,,,,,,,,,,,,3914,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4527,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1737,2,,,,,,,,,,,,,,,,,,,,,,,30,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,14508,19,,,,,,,,,,,,,,,,,,,,,,,,,,,149,8,,,,,,,,,,,,,,,,,,,,,,,201,13,,,,,,,3693,6,,,,,,,,,2906,46,14,12,140,52,,,,,199,4,,,,,282,61,,,,,,,,,,,,,,,,,,,,,143,6,,,,,210,14,,,,,,,,,,,,,,,373,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,,,,,,,,,,,,,,,773,8,,,,,,,,,,,,,,,,,827,8,,,,,,,,,,,66,69,,,,,,,,,,,,,,,,,103,4,,,,,,,,,6,3,,,239,10,,,,,,,,,,,,,,,,,4144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,63
2952,13238,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,8,,,,,,,,,,,,,119,10,2152,13,,,,,,,,,5594,26,17,9,835,18,,,7,10,,,321,6,,,1311,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,11,,,,,,,,,1159,12,45,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,17,,,113,9,,,,,,,,,,,,,,,,,,,181,23,,,,,201,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
