bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2223,132969,1,,,,,,,,,,,634,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,20,,,,,,,2736,1,,,,,448,5,5203,15,,,,,,,,,24936,4,,,6543,4,,,,,2300,3,4474,2,,,5619,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,4,,,159,8,,,,,,,,,33495,1,3468,2,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,1465,1,,,,,,,,,,,11,4,,,,,98,3,,,,,,,,,,,,,1142,12,,,1887,2,,,,,,,,,,,,,,,,,,,,,10584,1,,,,,18902,1,,,,,,,2764,8,,,,,,,,,,,,,,,,,,,4,4,,,502,1,,,,,115,7,,,,,499,16,,,,,,,,,,,,,503,2,,,,,653,1,,,,,641,2,,,,,,,,,403,5,,,,,,,,,,,1,10,,,,,,,,,,,2689,4
171,131280,2,226,1,62,1,33,1,18,1,34,1,2736,1,18,1,23,1,21,1,448,1,28,1,17,1,19,1,,,35,1,723,4,38,1,47,1,251,1,19,1,48,1,471,1,21,1,228,2,18,1,17,1,47,1,1291,3,30,1,34,1,682,2,8519,7,15,1,23,1,566,3,25,1,35264,2,141,1,8046,2,737,1,69,1,5816,1,2862,4,33,1,5202,4,,,16,1,38,1,47,1,15,1,13,1,54,1,230,1,25,1,,,2060,1,2878,1,23,1,623,3,23,1,24,1,1941,2,172,1,26,1,1226,2,13,1,16,1,22,1,119,1,6288,7,2764,6,21,1,16,2,22,1,409,1,481,1,110,1,489,4,29,1,,,33,1,50,1,36,1,20,1,19,1,16,1,510,3,378,1,31,1,24,1,,,80,1,77,1,98,1,1354,1,167,1,21,1,17,1,25,1,49,1,30,1,13,1,1836,10,57,1,5128,1,24,1,,,11,1,20,2,17,1,13,1,32,1,17,1,,,19,1,5156,2,16,1,24,1,2155,3,31,1,23,1,570,3,6694,2,18,1,24,1,16,1,20,1,28,1,20,1,33,1,16,1,178,3,81,1,573,2,374,2,,,421,1,441,4,,,21,2,1721,1,43,1,,,291,2,,,202,1,5,1,660,1,55,1,65,1,542,2,31,1,,,438,3,81,1,288,1,75,1,25,1,1773,1,,,9,1,,,27,1,,,28,1,13,1,29,1,11,1,18,1,,,2461,5
1406,106229,3,56,2,,,,,,,,,28,14,,,,,14,3,50,3,,,,,,,,,,,1314,1,,,,,,,,,,,,,,,103,7,,,,,,,484,9,,,9,5,574,3,12407,2,,,,,2397,1,,,33872,3,7,16,8558,1,189,3,16,3,512,6,4607,1,,,6361,2,28,1,,,,,8,2,,,,,,,,,,,,,593,5,,,,,1297,1,,,,,1002,7,68,2,9,2,3284,1,,,,,,,13,5,7167,6,2973,5,,,13,3,11,3,,,,,,,,,,,,,,,9,5,,,,,,,,,306,5,,,,,,,,,,,,,,,,,53,5,,,,,,,,,,,,,4576,2,10,6,1158,3,,,,,,,31,1,,,,,,,,,,,,,2170,8,,,,,1045,7,,,,,323,6,3475,6,,,,,,,,,,,7,4,9,2,,,814,1,,,54,13,156,5,,,,,680,3,,,,,1375,2,,,,,,,,,,,,,,,,,,,110,7,,,,,207,7,11,3,,,,,,,136,8,,,,,,,8,3,,,10,3,,,,,,,11,2,,,1461,7
10816,69899,4,,,,,,,,,,,363,6,,,,,16,2,,,,,,,6,2,,,13,3,203,9,,,,,,,,,,,17,3,,,62,11,,,,,,,474,10,,,,,250,11,9328,6,,,,,370,8,,,18066,8,,,5602,5,102,5,,,647,5,618,15,,,4631,6,,,,,,,,,,,,,,,,,,,,,334,6,35,6,,,210,9,,,,,1174,5,,,,,220,6,,,,,,,,,7616,5,3179,3,,,,,,,,,,,8,3,262,8,,,,,,,,,,,,,,,,,,,108,5,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,2559,6,9,9,428,10,,,10,1,,,,,,,,,,,,,,,,,2366,6,,,,,1360,5,,,,,176,8,3886,5,,,,,,,,,,,,,,,,,53,5,,,190,8,,,,,,,55,8,,,,,904,7,,,,,,,,,10,3,,,,,,,9,3,82,8,,,,,132,11,,,,,,,,,227,7,,,,,,,6,4,,,8,4,,,,,,,,,,,3506,3
2397,58298,5,20,3,13,3,,,12,2,,,831,2,,,,,13,4,118,2,,,4,3,,,,,7,4,819,2,,,,,9,5,,,34,2,31,2,,,80,8,,,17,2,8,2,642,6,,,10,4,742,1,7738,8,,,,,465,6,,,22150,6,10,10,3563,11,43,10,23,2,3003,2,659,13,,,3108,11,,,,,11,2,,,,,,,7,3,,,,,,,710,3,,,3,2,361,6,,,,,855,10,68,3,7,3,35,13,,,,,5,3,30,2,1811,17,1573,11,,,,,,,93,2,15,2,,,45,23,12,2,,,,,10,4,,,,,7,2,4,2,140,7,115,4,,,,,,,73,2,5,7,,,,,7,9,,,,,,,,,,,,,1061,17,6,11,730,4,,,,,,,7,3,,,,,,,2,2,,,,,1485,13,3,2,,,667,13,,,,,,,1432,13,,,,,,,,,,,7,5,,,,,90,4,,,202,6,74,8,,,,,166,5,,,,,1065,5,9,3,,,21,5,,,,,,,46,9,,,7,4,288,3,,,,,144,10,9,4,,,,,6,2,51,11,35,1,,,,,10,2,,,4,7,,,,,,,5,3,,,492,21
50381,58229,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,26,3164,26,,,,,,,,,46821,1,,,1058,24,,,,,104,13,614,16,,,1281,29,,,,,,,,,,,,,,,,,,,,,194,12,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,10,118,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,53422,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,4,,,,,,,52,33,,,,,,,6503,12,,,,,,,,,16757,9,3,41,6620,3,,,,,,,1022,9,,,5057,5,,,,,,,,,,,,,12,2,,,,,,,634,4,,,,,,,,,,,839,11,,,,,,,,,,,,,,,386,58,538,22,,,,,,,,,,,,,512,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7198,1,,,111,23,,,,,,,,,,,,,,,,,,,,,2355,7,,,,,2232,2,,,,,655,1,422,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,9
2093,48352,8,,,,,,,,,,,77,11,,,,,,,20,4,,,,,,,,,,,47,14,,,,,13,4,13,2,,,,,,,47,15,11,2,,,,,122,21,,,,,81,24,1990,42,,,,,,,,,24313,5,10,9,1566,18,,,,,62,16,157,33,,,1500,24,,,,,,,,,14,2,,,,,,,9,2,,,72,26,12,7,,,66,12,,,,,120,25,13,6,,,156,9,,,,,,,,,1366,24,5989,1,,,27,1,13,2,,,1,4,,,190,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,7,,,,,,,,,,,,,815,20,,,105,24,,,,,,,,,,,,,,,,,,,,,560,24,,,,,528,16,,,,,,,1978,9,,,,,7,2,,,,,,,,,,,,,,,59,12,27,14,,,,,,,14,1,,,417,17,,,8,2,,,,,,,,,355,3,,,,,73,9,,,,,63,14,,,,,,,,,564,3,,,,,,,,,,,16,2,,,,,,,,,8,1,4645,1
2243,48080,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,12,,,,,,,,,,,,,,,15,35,,,,,,,,,,,,,,,18254,1,,,,,,,,,11454,17,,,,,,,,,,,,,,,4599,7,,,,,,,,,,,,,,,,,,,,,,,,,,,330,7,,,,,682,13,,,,,,,,,,,,,,,1934,14,274,34,,,,,,,,,,,,,46,22,,,,,,,,,,,,,,,,,154,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3015,5,,,,,,,,,,,,,,,,,,,,,,,,,2666,4,,,,,1834,4,,,,,71,10,1226,15,,,,,,,,,,,12,2,,,,,,,,,,,247,3,,,,,1089,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,39
13,43495,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,5,,,,,,,465,11,,,5,7,87,21,4760,18,,,,,82,9,,,20942,7,3,40,3480,12,,,8,8,,,57,52,4,2,1853,20,,,,,,,,,,,2,4,,,,,,,,,881,2,,,,,,,,,,,814,12,,,,,,,,,,,,,,,1123,29,1850,9,,,,,,,,,,,,,175,10,,,,,,,,,,,,,,,,,,,43,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467,7,28,2,146,19,,,,,,,,,,,,,,,,,,,,,642,22,,,,,651,14,,,,,114,9,1188,16,,,,,,,,,,,,,,,,,,,,,76,11,129,7,,,,,146,6,,,,,576,13,,,,,,,,,,,,,,,,,,,25,21,,,,,,,,,,,,,,,15,17,,,,,,,,,,,,,,,,,,,,,,,530,19
