,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,93489,94,1,32,1,25,1,26,1,27,1,2445,1,19,1,22,1,25,1,303,1,29,1,25,1,24,1,,,43,1,387,1,72,1,94,1,299,1,19,1,34,1,244,1,13,1,214,2,13,1,23,1,43,1,628,2,16,1,50,1,299,3,4850,2,10,1,14,1,356,3,8,2,27150,1,128,1,12854,1,430,1,39,1,1659,3,902,2,19,1,3365,3,,,14,1,16,1,21,1,16,1,11,1,34,1,80,1,15,1,,,1351,1,1978,1,49,1,271,2,13,1,9,1,935,1,181,1,,,16,1,1155,2,12,1,12,1,19,1,51,1,2977,2,2945,2,15,1,19,1,18,2,338,1,197,1,94,1,340,3,11,1,,,34,1,45,1,28,1,19,1,19,1,11,1,189,3,237,1,13,1,20,2,2,2,55,2,83,1,78,1,449,1,179,2,18,1,18,1,12,1,19,1,20,1,18,1,939,6,13,1,517,2,20,1,,,18,1,14,1,11,1,15,1,12,1,14,1,,,11,1,2064,2,13,1,17,1,4321,2,17,1,14,1,301,1,4937,3,9,1,10,1,14,1,12,1,12,1,22,1,14,1,11,1,108,2,65,1,253,1,174,1,,,145,1,305,2,,,11,1,727,2,30,1,,,188,1,,,126,1,2,1,532,1,26,1,129,1,275,2,30,1,,,244,3,46,1,179,1,23,1,15,1,1891,1,,,10,1,,,14,1,,,13,2,13,1,17,1,16,1,11,1,,,2349,3
1,2,2223,61063,,,,,,,,,,,647,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,14,,,,,,,840,1,,,,,245,4,2109,12,,,,,,,,,12654,6,,,4280,2,,,,,2725,1,1682,1,,,4161,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,2,,,,,239,6,,,,,,,,,8996,1,2512,4,,,,,26,1,,,,,,,,,,,,,,,,,,,,,,,,,476,1,,,,,,,,,,,14,4,,,,,40,4,,,,,,,,,,,,,774,7,,,737,1,,,,,,,,,,,,,,,,,,,,,3987,1,,,,,5140,1,,,,,,,2429,6,,,,,,,,,,,,,,,,,,,2,5,,,133,2,,,,,67,5,,,,,183,10,,,,,,,,,,,,,369,3,,,,,2754,1,,,,,394,2,,,,,,,,,691,2,,,,,,,,,,,2,8,,,,,,,,,,,1658,7
2,3,1406,43278,27,2,,,,,,,,,18,16,,,,,14,3,27,3,,,,,,,,,,,274,3,,,,,,,,,,,,,,,62,5,,,,,,,118,11,,,5,9,188,5,2563,11,,,,,328,4,,,18538,2,8,9,3385,3,49,6,6,6,279,6,823,3,,,2106,7,26,1,,,,,6,3,,,,,,,,,,,,,713,4,,,,,245,3,,,,,508,4,36,4,,,4,3,2626,1,,,,,,,6,6,1463,5,2267,6,,,6,3,10,4,,,,,,,,,,,,,,,2,8,,,,,,,,,42,6,30,6,,,,,,,,,,,,,,,32,5,,,,,,,,,,,,,1407,2,7,8,310,3,,,,,,,1,7,,,,,,,,,,,,,361,15,,,,,447,11,,,,,65,8,1918,8,,,,,,,,,,,2,6,2,3,,,176,1,,,27,12,29,6,,,,,139,4,,,,,531,3,,,,,,,,,,,,,,,,,,,71,6,,,,,86,8,5,3,,,,,,,146,9,,,,,,,1,3,,,4,5,,,,,,,4,3,,,699,13
3,4,10816,38175,,,,,,,,,,,459,5,,,,,14,4,,,,,,,10,2,,,12,3,115,7,,,,,,,,,,,9,3,,,25,18,,,,,,,224,8,,,,,134,8,3090,8,,,,,107,6,,,13274,4,,,2756,4,73,5,,,457,5,251,6,,,2208,4,,,,,,,,,,,,,,,,,,,,,400,6,54,5,,,109,7,,,,,554,2,,,,,,,279,4,,,,,,,,,1484,4,1927,9,,,,,,,,,,,40,2,289,4,,,,,,,,,,,,,,,,,,,39,5,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,633,11,12,5,185,5,,,11,1,,,,,,,,,,,,,,,,,1498,3,,,,,922,5,,,,,152,3,3133,4,,,,,,,,,,,,,,,,,16,6,,,75,5,,,,,,,50,7,,,,,446,4,,,,,,,,,34,2,,,,,,,10,2,46,10,,,,,136,6,,,,,,,,,244,7,,,,,,,8,2,,,7,4,,,,,,,,,,,2152,6
4,5,2397,32993,10,3,11,3,,,6,2,,,898,2,,,,,11,6,102,2,,,11,2,,,,,9,4,285,2,,,,,13,5,,,19,2,24,2,,,134,3,,,9,2,10,2,238,7,,,7,6,467,1,3984,4,,,,,394,2,,,10454,9,6,11,2430,5,25,10,10,3,2134,2,165,9,,,1280,10,,,,,8,2,,,,,,,18,2,,,,,,,782,3,,,9,2,162,6,,,,,335,6,57,3,,,8,2,44,13,,,,,5,5,12,2,684,10,2130,7,,,,,,,68,2,4,2,,,36,13,5,2,,,,,9,3,,,,,6,2,7,3,43,5,46,4,,,,,,,61,1,13,5,,,,,8,9,,,,,,,,,,,,,457,14,12,4,194,4,,,,,,,12,2,,,,,,,6,2,,,,,482,12,4,2,,,1226,3,,,,,,,1503,10,,,,,,,,,,,15,2,,,,,34,4,,,56,6,24,7,,,,,56,6,,,,,382,6,10,3,,,37,4,,,,,,,63,9,,,5,4,148,4,,,,,72,9,3,4,,,,,6,2,81,11,14,1,,,,,1,4,,,,,,,,,,,6,2,,,378,17
5,6,2093,28611,,,,,,,,,,,51,13,,,,,,,11,4,,,,,,,,,,,48,10,,,,,21,3,6,3,,,,,,,20,21,7,2,,,,,57,20,,,,,52,20,945,24,,,,,,,,,12929,5,4,20,1077,18,,,,,58,15,80,26,,,875,17,,,,,,,,,9,2,,,,,,,6,2,,,98,18,4,7,,,21,14,,,,,57,22,8,6,,,,,101,11,,,,,,,,,424,19,5221,1,,,8,2,8,6,,,1,4,,,116,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,6,,,,,,,,,,,,,432,15,,,41,19,,,,,,,,,,,,,,,,,,,,,286,18,,,,,376,13,,,,,,,1740,9,,,,,4,2,,,,,,,,,,,,,,,35,11,12,13,,,,,,,6,2,,,131,13,,,5,1,,,,,,,,,266,4,,,,,27,15,,,,,38,15,,,,,,,,,537,4,,,,,,,,,,,4,6,,,,,,,,,4,2,2313,5
6,7,463,26278,,,15,2,,,,,,,,,,,,,,,10,5,,,,,,,,,,,25,12,,,,,,,,,11,4,,,,,37,10,,,,,,,360,4,,,,,91,12,3091,7,,,,,,,,,11953,8,11,5,1359,15,15,13,8,4,25,19,118,19,,,1146,13,,,,,,,,,,,,,,,,,,,,,92,19,,,,,26,13,,,,,58,21,,,,,,,55,12,,,,,,,,,822,7,2430,5,,,,,,,,,,,,,49,9,,,,,,,6,5,,,,,,,,,29,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,17,9,7,57,14,,,,,,,,,,,,,,,,,,,,,362,14,,,,,1011,4,,,,,,,1372,11,,,,,,,,,,,,,,,,,,,,,,,15,11,,,,,24,10,,,,,114,16,,,,,,,,,,,,,56,10,,,,,26,16,,,,,29,17,,,,,,,,,38,13,,,,,,,,,,,,,,,,,,,,,,,1000,9
7,8,2162,23195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,15,27,,,,,,,97,16,,,,,32,25,1234,19,,,,,,,,,12302,7,,,662,24,,,,,,,102,24,,,734,19,,,,,4,3,,,,,,,,,,,,,,,20,39,,,,,,,,,,,370,5,,,,,,,14,16,,,,,,,6,7,507,16,4,112,,,,,,,7,4,,,,,38,11,,,,,,,,,,,,,,,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,36,5,10,,,,,,,,,,,,,,,,,,,,,,,557,9,,,,,224,20,,,,,16,10,4975,2,,,,,,,,,,,,,,,,,6,8,,,,,5,16,,,,,15,12,,,,,85,20,,,,,,,,,,,,,,,,,,,25,18,,,,,89,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903,10
8,9,2181,22128,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,219,4,,,,,,,,,,,,,,,22,19,,,,,,,99,15,,,,,106,10,1633,16,,,,,202,5,,,6985,14,9,6,1719,9,77,4,8,5,,,186,8,,,1117,14,,,,,,,,,,,,,,,,,,,,,197,9,,,,,63,10,,,,,169,10,,,,,,,204,8,,,,,,,10,3,601,11,1270,10,,,,,,,32,3,,,,,33,14,,,,,,,,,,,,,,,7,2,33,8,29,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565,12,12,3,126,7,,,,,,,,,,,,,,,,,,,,,1171,4,,,,,300,15,,,,,124,5,2087,7,,,,,,,,,,,3,4,,,,,32,5,,,46,9,21,8,,,,,19,11,17,1,,,1205,1,,,,,,,,,,,,,174,6,,,,,91,5,,,,,189,4,9,2,,,,,,,,,,,,,,,,,,,4,7,,,,,,,,,,,896,11
9,10,29351,20132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2,,,,,,,,,,,,,,,,,,,,,,,,,110,13,,,,,,,3728,5,,,,,,,,,3314,26,,,166,49,121,2,,,,,117,20,,,303,46,,,,,,,,,,,,,,,,,,,,,266,7,,,,,,,,,,,38,26,29,5,,,,,,,,,,,,,,,,,153,41,,,,,,,,,,,,,9,54,,,,,,,,,,,,,,,,,333,2,69,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,40,,,,,,,,,,,,,,,,,,,,,,,,,668,8,,,,,,,,,,,,,9211,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,21,,,,,,,,,,,,,,,,,,,,,,,,,759,1,,,,,,,,,449,5,,,,,,,,,,,,,,,,,,,,,,,61,44
