,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,350644,170,1,34,1,25,1,19,1,32,1,5649,1,20,1,35,1,32,1,33,1,1,1,8,1,775,1,32,1,32,1,25,1,,,44,1,879,1,152,1,157,1,480,1,16,1,26,1,438,1,15,1,602,1,14,1,13,1,38,1,2568,1,9,1,45,1,979,1,16968,1,9,1,11,1,18,1,2415,1,18,1,103221,1,75,1,39851,1,889,1,91,1,5617,1,3520,1,11,1,17,1,24618,1,,,22,1,33,1,20,1,12,1,12,1,11,1,62,1,121,1,10,1,,,6357,1,1092,1,62,1,1127,1,10,1,19,1,2755,1,643,1,,,19,1,2189,2,14,1,28,1,15,1,236,1,32977,1,3528,2,19,1,17,1,172,1,1543,1,927,1,112,1,745,2,27,1,10,1,207,1,68,1,31,1,18,1,13,1,17,1,873,1,381,1,17,1,18,1,24,2,156,1,333,1,197,1,643,1,693,2,21,1,61,1,13,1,15,1,30,1,16,1,4314,1,31,1,1056,1,17,1,,,18,1,25,2,16,1,13,1,11,1,25,1,,,18,1,14212,1,16,1,18,1,10241,1,19,1,16,1,2042,1,14078,1,20,1,22,1,20,1,18,1,16,1,12,1,25,1,13,1,271,3,109,1,874,1,405,1,,,340,1,575,3,,,20,2,4010,1,46,2,,,225,1,,,270,1,28,1,1153,1,13,1,77,1,189,1,4515,1,25,1,,,1056,1,69,1,271,1,29,1,11,1,3359,1,,,15,1,,,21,1,,,24,1,14,1,13,1,19,1,16,1,,,16713,1
1,2,2223,70958,,,,,,,,,,,1399,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,19,,,,,,,1064,2,,,,,186,4,2428,15,,,,,,,,,,,20196,3,,,6034,2,,,,,2886,3,1590,2,,,,,3342,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,2,,,,,631,4,,,,,,,,,5988,2,3025,3,,,,,5,6,,,,,,,75,13,,,,,,,,,,,,,,,,,146,3,,,,,,,,,,,22,5,,,,,159,3,,,,,,,,,,,,,883,14,,,505,2,,,,,,,,,,,,,,,,,,,,,4822,2,,,,,6352,2,,,,,,,2721,8,,,,,,,,,,,,,,,,,,,13,4,,,348,2,,,31,2,120,8,,,,,264,14,,,,,,,,,,,,,402,2,,,,,,,1520,2,,,,,366,4,,,,,,,,,1563,2,,,,,,,,,,,7,8,,,,,,,,,,,1731,6
2,3,1406,62929,42,2,,,,,,,,,623,4,,,,,,,13,3,,,,,73,3,,,,,,,,,,,431,3,,,,,,,,,,,,,,,80,5,,,,,,,308,12,,,5,9,247,3,4261,6,,,,,,,1126,2,,,22931,2,10,6,3814,3,60,6,14,2,463,6,902,3,,,,,3507,3,25,1,,,,,3,3,,,,,,,20,2,,,,,,,847,5,,,,,522,2,,,,,413,6,65,4,,,7,3,2404,1,,,,,,,10,7,2921,3,2543,4,,,10,2,14,3,,,,,,,96,9,,,,,172,2,10,4,,,,,,,,,114,5,26,11,,,,,,,,,,,,,,,102,4,,,,,,,,,,,,,2465,2,9,9,289,3,,,,,,,34,1,,,,,,,,,,,,,966,10,,,,,697,11,,,,,201,6,4700,6,,,,,,,,,,,7,2,11,2,,,957,1,,,78,10,88,6,,,,,215,5,,,,,667,4,,,,,,,,,,,,,,,,,,,,,216,10,,,,,256,5,6,4,,,,,,,306,8,,,,,,,7,4,,,7,7,,,,,,,2,3,,,1511,8
3,4,2397,50817,22,3,11,2,,,6,2,,,1310,3,,,,,,,12,4,,,,,120,2,,,6,2,,,,,9,4,511,2,,,,,12,6,,,25,2,22,2,,,71,11,,,9,2,8,2,426,6,,,6,7,468,2,5122,3,,,,,,,566,4,,,19468,4,10,8,3128,5,39,8,8,6,3324,2,285,10,,,,,2466,7,,,,,6,4,,,,,,,,,10,3,,,,,,,1132,2,,,7,2,220,8,,,,,383,7,76,3,,,9,2,50,12,,,,,4,3,37,2,1868,7,1385,11,,,,,,,134,2,33,2,,,41,26,10,2,,,,,15,3,,,,,9,2,9,3,82,6,62,5,,,,,,,82,2,9,6,,,,,16,9,,,,,,,,,,,,,817,16,26,3,230,4,,,,,,,9,3,,,,,,,10,2,,,,,1042,9,8,2,,,910,6,,,,,,,1741,13,,,,,,,,,,,6,4,,,,,84,4,,,89,8,80,7,,,,,205,6,,,,,762,3,10,3,,,19,4,,,,,,,76,8,,,,,10,4,521,5,,,,,141,8,25,2,,,,,11,2,93,14,15,1,,,,,12,3,,,6,9,,,,,,,9,2,,,691,16
4,5,10816,44779,,,,,,,,,,,393,6,,,,,,,28,2,,,,,,,,,,,18,2,,,27,2,180,8,,,,,,,,,,,16,3,,,76,9,,,,,,,412,7,,,,,182,6,2820,11,,,,,,,117,9,,,12256,7,,,3714,4,73,4,,,479,5,333,8,,,,,1770,12,,,,,,,,,,,,,,,,,,,,,,,360,7,47,6,,,282,6,,,,,432,5,,,,,,,541,5,,,,,,,,,1730,9,1531,9,,,,,,,,,,,28,2,194,5,,,,,,,,,,,,,,,,,,,105,3,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,699,20,15,7,208,6,,,18,1,,,,,,,,,,,,,,,,,1716,5,,,,,2159,3,,,,,184,8,7796,3,,,,,,,,,,,,,,,,,26,7,,,82,9,,,,,,,149,7,,,,,387,8,,,,,,,,,,,,,,,,,,,16,3,279,9,,,,,206,6,,,,,,,,,368,7,,,,,,,13,2,,,12,5,,,,,,,,,,,2292,5
5,6,2093,36433,,,,,,,,,,,85,16,,,,,,,,,,,,,20,4,,,,,,,,,,,70,11,,,,,17,5,6,3,,,,,,,76,8,9,2,,,,,135,23,,,,,52,22,1663,25,,,,,,,,,,,14861,5,7,13,1959,13,,,,,76,15,198,20,,,,,1259,18,,,,,,,,,7,2,,,,,,,,,6,2,,,119,21,9,7,,,54,13,,,,,139,18,8,8,,,,,102,10,,,,,,,,,1186,12,5188,1,,,10,3,9,4,,,9,4,,,227,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,7,,,,,,,,,,,,,919,12,,,70,17,,,,,,,,,,,,,,,,,,,,,506,17,,,,,872,8,,,,,,,1549,14,,,,,6,2,,,,,,,,,,,,,,,51,12,21,14,,,,,,,4,1,,,452,7,,,12,1,,,,,,,,,281,4,,,,,,,83,16,,,,,100,12,,,,,,,,,521,4,,,,,,,,,,,10,6,,,,,,,,,4,2,3373,2
6,7,13,30142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,3,,,,,,,355,10,,,4,11,59,21,5409,2,,,,,,,196,8,,,12117,8,5,22,2541,6,,,7,7,,,73,38,,,1,2,1160,21,,,,,,,,,,,,,3,3,,,,,,,,,909,4,,,,,,,,,,,283,11,,,5,1,,,,,,,,,,,,,666,27,1063,12,,,,,,,,,,,,,68,15,,,,,,,,,,,,,,,,,,,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540,4,30,2,91,15,,,,,,,,,,,,,,,,,,,,,491,19,,,,,546,14,,,,,74,9,1174,17,,,,,,,,,,,,,,,,,,,,,40,13,75,8,,,,,90,11,,,,,302,11,,,,,,,,,,,,,,,,,,,,,49,22,,,,,,,,,,,,,,,25,19,,,,,,,,,,,,,,,,,,,,,,,543,18
7,8,2162,27014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,15,45,,,,,,,201,17,,,,,44,27,1787,22,,,,,,,,,,,13174,6,,,1248,20,,,,,,,151,25,,,,,1185,20,,,,,11,2,,,,,,,,,,,,,,,,,27,49,,,,,,,,,,,213,14,,,,,,,13,16,,,,,,,5,10,733,25,257,34,,,,,,,6,4,,,,,84,12,,,,,,,,,,,,,,,,,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,54,6,12,,,,,,,,,,,,,,,,,,,,,,,652,15,,,,,280,18,,,,,22,12,4443,7,,,,,,,,,,,,,,,,,10,8,,,,,6,16,,,,,17,18,,,,,197,18,,,,,,,,,,,,,,,,,,,,,70,17,,,,,134,9,,,,,,,,,135,11,,,,,,,,,,,,,,,,,,,,,,,1723,7
8,9,2181,26840,,,,,,,,,,,184,12,,,,,,,,,,,,,,,,,4,3,,,,,,,220,6,,,,,,,,,,,,,,,68,12,,,,,,,193,20,,,,,135,10,1598,27,,,,,,,285,6,,,8081,17,10,7,2331,9,124,2,6,10,,,218,18,,,,,1537,14,,,,,,,,,,,,,,,,,,,,,,,292,9,,,,,83,10,,,,,313,9,,,,,,,222,9,,,,,,,19,4,1079,15,843,15,,,,,,,49,3,,,,,36,30,,,,,,,,,,,,,,,13,2,38,9,45,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,22,15,5,217,5,,,,,,,,,,,,,,,,,,,,,1467,7,,,,,588,12,,,,,185,7,2236,10,,,,,,,,,,,4,6,,,,,32,5,,,65,11,44,10,,,,,48,13,4,2,,,1369,2,,,,,,,,,,,,,127,6,,,,,,,352,7,,,,,205,7,9,3,,,,,,,,,,,,,,,,,,,4,11,,,,,,,,,,,1272,9
9,10,2425,26770,,,,,,,,,,,204,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,60,15,,,,,,,288,13,,,,,136,8,1991,18,,,,,,,,,,,6438,22,4,29,2179,10,,,9,4,168,8,260,13,,,,,2213,9,,,,,4,5,,,,,,,,,,,,,,,,,197,12,,,,,,,,,,,246,12,11,7,,,,,,,,,,,,,,,1771,8,684,17,,,,,,,,,,,,,9,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,11,,,,,,,,,,,,,,,,,,,,,,,,,1536,6,,,,,1212,4,,,,,375,4,4724,5,,,,,,,,,,,,,,,,,,,,,127,4,,,,,,,,,,,,,245,15,,,,,1,8,,,,,,,,,,,,,,,,,,,,,461,3,,,,,,,,,60,16,,,,,,,,,,,,,,,,,,,,,,,225,30
