,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,50381,19115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18098,3,,,,,,,,,14,13,165,9,,,,,,,,,,,,,,,,,,,,,83,14,,,,,,,,,,,,,,,,,,,,,,,,,,,755,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,181,18756,9,2,,,,,,,,,236,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,18,,,,,,,,,,,,,130,6,1650,15,,,,,,,,,10577,8,,,1621,12,,,5,11,,,105,18,,,1044,13,,,,,,,,,,,,,,,,,124,10,,,,,309,2,,,,,189,9,,,,,,,,,,,,,,,185,43,135,43,,,,,,,,,,,,,,,,,,,12,4,,,,,,,45,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,13,,,72,12,,,,,,,,,,,,,258,22,,,,,99,27,,,,,,,961,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,6,,,,,,,,,,,12,12,,,,,80,15,,,,,22,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,30
12,13,320,17056,,,,,,,,,,,137,8,,,,,,,,,,,,,,,78,9,,,,,,,,,8,4,,,,,55,3,,,,,,,202,10,,,4,6,37,20,1111,20,,,,,417,4,,,6485,16,22,2,1176,13,34,6,,,,,154,11,,,1589,6,,,,,9,3,,,12,2,,,6,3,,,47,23,75,3,,,,,,,,,240,6,,,,,299,4,,,,,,,15,3,204,39,469,21,,,19,2,,,,,10,2,29,24,,,,,,,13,2,,,,,,,37,10,,,,,,,,,4,6,,,,,77,3,,,,,,,,,,,,,532,10,92,1,41,23,,,,,,,,,,,,,481,12,,,,,198,19,,,,,62,7,1813,11,,,,,,,,,8,3,,,,,,,40,10,61,3,,,,,,,,,,,75,26,,,,,5,7,10,3,,,23,9,,,,,143,13,,,7,1,54,11,,,,,,,,,42,10,,,,,,,,,,,,,,,,,,,,,295,20
13,14,13,16364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,7,,,,,,,208,9,,,7,4,40,17,1187,18,,,,,,,,,8291,12,4,31,1650,10,,,5,10,,,,,4,2,686,23,,,,,,,,,,,,,,,,,229,4,,,,,,,,,,,183,10,,,,,,,,,,,,,,,337,26,1108,13,,,,,,,,,,,127,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,127,15,4,45,20,,,,,,,,,,,,,351,20,,,,,306,12,,,,,34,9,946,22,,,,,,,,,,,,,,,,,13,15,28,8,,,,,49,5,,,,,160,12,,,,,,,,,,,,,,,,,29,26,,,,,,,,,,,,,,,5,14,,,,,,,,,,,,,,,,,,,,,274,23
14,15,2243,15919,,,,,,,,,,,,,,,,,,,,,,,,,,,27,12,,,,,,,,,,,,,,,9,39,,,,,,,,,,,,,,,3179,7,,,,,,,,,6343,17,,,,,,,,,,,,,,,1568,7,,,,,,,,,,,,,,,,,,,,,,,68,10,,,,,108,20,,,,,,,,,,,,,,,506,21,164,35,,,,,,,,,,,8,49,,,,,,,,,,,,,,,69,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,6,,,,,,,,,,,,,,,,,966,4,,,,,397,8,,,,,22,10,1207,15,,,,,,,11,2,,,,,,,,,,,49,4,,,,,444,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,63
15,16,2425,13653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,27,15,,,,,,,,,,,,,90,10,1074,21,,,,,,,,,4705,23,11,8,1053,16,,,7,7,100,8,206,5,,,1055,12,,,,,,,,,,,,,,,,,97,13,,,,,,,,,,,16,37,,,,,,,,,,,,,,,678,13,720,16,,,,,,,,,,,14,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,26,,,,,,,,,,,,,,,,,385,18,,,,,328,10,,,,,94,4,2329,9,,,,,,,,,,,,,,,,,53,9,,,,,,,,,,,,,220,9,,,,,5,8,,,,,,,,,,,,,,,,,63,10,,,,,,,,,17,11,,,,,,,,,,,,,,,,,,,,,144,34
16,17,1294,13287,,,,,,,,,,,54,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,11,,,,,,,,,,,,,46,16,953,28,,,,,,,,,7112,15,7,17,689,20,,,,,,,140,13,,,1542,8,,,,,,,,,,,,,,,,,134,9,,,,,,,,,,,118,16,,,,,47,12,,,,,2,5,,,715,11,,,,,,,,,,,,,65,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,416,14,,,47,19,,,2,5,,,,,,,,,70,45,,,,,,,,,,,,,736,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,16,,,,,,,,,,,,,,,,,25,27,,,,,9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,29
17,18,25821,12796,,,,,,,,,,,42,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2653,10,,,,,,,,,1,961,9,14,,,,,,,,,,,,,3204,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5567,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1286,2,,,,,,,,,,,,,,,,,,,,,,,34,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,2719,10732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,69,,,,,,,,,,,,,28,24,833,32,,,,,,,,,7873,13,8,15,263,35,,,,,,,54,28,,,877,20,,,,,,,,,,,,,,,,,79,16,,,,,,,,,,,10,41,,,,,,,,,,,,,,,176,45,,,,,,,,,,,,,6,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,44,,,,,,,,,,,,,,,,,27,68,,,,,,,,,,,,,186,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,42,,,,,,,,,,,,,,,,,,,,,,,3,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,31
19,20,822,10516,,,,,,,,,,,,,,,,,,,,,,,,,,,21,15,,,,,,,,,,,,,,,26,17,,,,,,,,,,,5,5,10,38,1138,19,,,,,,,,,4334,25,9,13,470,26,,,,,,,219,4,,,436,34,,,,,,,,,,,,,,,,,20,33,,,,,,,,,,,128,15,,,,,,,,,,,,,,,493,22,626,19,,,,,,,,,,,51,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,15,7,11,71,13,,,,,,,,,,,,,582,9,,,,,116,23,,,,,,,796,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,13,,,,,,,,,,,,,,,,,,,,,,,9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,15
