bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,277564,1,157,1,41,1,23,1,30,1,34,1,4370,1,30,1,25,1,24,1,28,2,7,1,15,1,390,1,29,1,27,1,21,2,,,51,1,609,1,145,1,152,1,473,1,38,1,32,1,413,1,19,1,444,1,19,1,15,1,38,1,1876,1,23,1,35,1,779,1,15539,1,15,1,13,1,14,1,1414,1,14,1,89571,1,71,1,30046,1,897,1,48,1,4518,1,3242,1,11,1,37,1,16640,1,,,21,1,26,1,28,1,13,1,10,1,22,1,46,1,116,1,14,1,,,5511,1,1155,1,93,1,1023,1,18,1,18,1,2294,1,257,1,,,25,1,1952,2,19,1,20,1,19,1,136,1,15652,1,3309,2,16,1,22,1,20,2,556,1,1175,1,102,1,462,2,23,1,17,1,180,1,67,1,25,1,21,1,19,1,22,1,440,1,334,1,13,1,15,1,28,1,143,1,316,1,135,1,846,1,908,1,22,1,64,1,28,1,28,1,29,1,17,1,3207,1,32,1,764,1,11,1,,,18,1,19,2,13,1,16,1,17,1,16,1,,,11,1,11624,1,11,2,26,1,7402,2,22,1,22,1,1617,1,10515,1,26,1,17,1,20,1,14,1,22,1,18,1,22,1,17,1,212,3,92,1,702,1,411,1,,,264,1,509,2,,,22,2,2711,1,37,2,,,215,1,,,177,1,49,1,1669,1,15,1,72,1,163,1,4011,1,25,1,,,684,2,65,1,283,1,24,1,30,1,3325,1,,,23,1,,,20,1,,,41,1,13,1,15,1,20,1,18,1,,,15736,1
2223,69357,2,,,,,,,,,,,1140,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,15,,,,,,,1258,2,,,,,204,4,2370,13,,,,,,,,,,,19116,3,,,5714,2,,,,,2561,3,1521,2,,,,,4188,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,2,,,,,535,5,,,,,,,,,4708,2,2629,4,,,,,3,6,,,,,,,72,13,,,,,,,,,,,,,,,,,391,2,,,,,,,,,,,16,5,,,,,189,3,,,,,,,,,,,,,909,8,,,435,2,,,,,,,,,,,,,,,,,,,,,4706,2,,,,,7494,1,,,,,,,3048,8,,,,,,,,,,,,,,,,,,,12,3,,,290,2,,,23,2,88,8,,,,,224,12,,,,,,,,,,,,,491,3,,,,,,,1538,2,,,,,328,4,,,,,,,,,1361,2,,,,,,,,,,,,,,,,,,,,,,,1651,7
1406,54677,3,37,2,,,,,,,,,557,4,,,,,,,15,4,,,,,53,3,,,,,,,,,,,247,4,,,,,,,,,,,,,,,75,5,,,,,,,353,10,,,11,3,246,3,3549,7,,,,,,,638,2,,,21087,2,15,4,3114,5,44,5,13,3,443,5,759,3,,,,,3944,4,14,1,,,,,9,2,,,,,,,,,,,,,,,770,5,,,,,416,2,,,,,210,11,72,3,,,13,3,2472,1,,,,,,,13,5,1942,3,1981,7,,,14,3,9,3,,,,,,,93,10,,,,,153,2,13,3,,,,,,,,,80,5,18,11,,,,,,,,,,,,,,,74,6,,,,,,,,,,,,,2150,2,12,8,255,3,,,,,,,34,1,,,,,,,,,,,,,700,11,,,,,678,10,,,,,125,7,3587,7,,,,,,,,,,,13,2,13,2,,,514,1,,,78,10,41,9,,,,,153,6,,,,,672,4,,,,,,,,,,,,,,,,,,,,,170,10,,,,,243,5,12,4,,,,,,,305,7,,,,,,,12,4,,,7,6,,,,,,,8,3,,,1329,8
10816,44938,4,,,,,,,,,,,334,7,,,,,,,39,1,,,,,,,,,,,29,1,,,28,2,140,7,,,,,,,,,,,27,2,,,55,10,,,,,,,356,9,,,,,165,6,3003,10,,,,,,,68,9,,,11353,8,,,3122,4,67,4,,,383,6,263,6,,,,,1793,12,,,,,,,,,,,,,,,,,,,,,,,396,6,31,6,,,184,8,,,,,445,5,,,,,,,656,4,,,,,,,,,1581,5,2747,3,,,,,,,,,,,22,2,158,7,,,,,,,,,,,,,,,,,,,60,5,,,,,,,,,,,,,,,,,,,,,,,,,18,2,,,726,12,17,4,216,4,,,19,1,,,,,,,,,,,,,,,,,1357,6,,,,,2088,3,,,,,119,8,9555,2,,,,,,,,,,,,,,,,,29,7,,,76,11,,,,,,,94,7,,,,,367,6,,,,,,,,,,,,,,,,,,,19,3,208,9,,,,,150,7,,,,,,,,,431,5,,,,,,,18,2,,,19,2,,,,,,,,,,,1907,6
2397,44187,5,21,3,16,2,,,26,2,,,1171,2,,,,,,,20,3,,,,,135,2,,,10,2,,,,,15,3,426,2,,,,,21,5,,,24,2,17,3,,,93,3,,,13,2,15,2,485,7,,,9,6,462,2,4812,3,,,,,,,421,4,,,16275,4,19,2,2446,6,25,8,11,7,2770,2,213,12,,,,,2186,9,,,,,13,2,,,,,,,,,18,2,,,,,,,1208,2,,,16,2,194,7,,,,,632,3,66,4,,,14,2,31,14,,,,,8,3,31,2,1271,10,1559,9,,,,,,,75,2,34,2,,,52,21,13,2,,,,,19,2,,,,,10,3,12,3,48,6,63,4,,,,,,,68,2,9,6,,,,,19,9,,,,,,,,,,,,,755,11,19,3,211,5,,,,,,,10,3,,,,,,,8,2,,,,,762,10,13,1,,,841,8,,,,,,,1526,13,,,,,,,,,,,13,3,,,,,44,5,,,80,9,91,6,,,,,163,5,,,,,612,5,19,3,,,24,4,,,,,,,82,7,,,,,21,2,433,5,,,,,100,9,18,2,,,,,18,2,92,13,16,1,,,,,13,3,,,7,7,,,,,,,13,2,,,543,15
2093,33961,6,,,,,,,,,,,90,13,,,,,,,,,,,,,21,4,,,,,,,,,,,40,11,,,,,10,6,7,3,,,,,,,51,13,3,2,,,,,172,21,,,,,58,15,1229,28,,,,,,,,,,,14245,6,9,14,1686,12,,,,,39,15,149,21,,,,,1117,23,,,,,,,,,3,2,,,,,,,,,8,2,,,112,22,6,7,,,40,13,,,,,128,19,9,8,,,,,130,9,,,,,,,,,749,17,4895,1,,,22,2,8,5,,,9,3,,,195,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,7,,,,,,,,,,,,,477,18,,,46,22,,,,,,,,,,,,,,,,,,,,,487,15,,,,,773,9,,,,,,,1534,12,,,,,2,2,,,,,,,,,,,,,,,66,12,15,14,,,,,,,7,2,,,225,11,,,7,2,,,,,,,,,274,5,,,,,,,57,17,,,,,83,12,,,,,,,,,511,4,,,,,,,,,,,12,4,,,,,,,,,4,1,4081,2
2162,31239,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,13,39,,,,,,,240,16,,,,,38,25,2010,17,,,,,,,,,,,13936,7,,,1324,20,,,,,,,140,22,,,,,1192,20,,,,,10,3,,,,,,,,,,,,,,,,,36,41,,,,,,,,,,,211,10,,,,,,,16,17,,,,,,,10,6,713,19,228,33,,,,,,,4,4,,,,,63,16,,,,,,,,,,,,,,,,,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,48,13,7,,,,,,,,,,,,,,,,,,,,,,,632,12,,,,,317,22,,,,,14,13,7243,4,,,,,,,,,,,,,,,,,7,8,,,,,17,13,,,,,20,15,,,,,167,16,,,,,,,,,,,,,,,,,,,,,94,14,,,,,141,8,,,,,,,,,186,10,,,,,,,,,,,,,,,,,,,,,,,2052,5
2425,25641,8,,,,,,,,,,,90,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,57,8,,,,,,,603,4,,,,,135,8,1802,22,,,,,,,,,,,5692,26,10,12,3473,3,,,13,4,131,9,200,14,,,,,1911,10,,,,,10,4,,,,,,,,,,,,,,,,,161,13,,,,,,,,,,,262,9,14,7,,,,,,,,,,,,,,,1102,11,480,19,,,,,,,,,,,,,30,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,22,,,,,,,,,,,,,,,,,,,,,,,,,1397,4,,,,,1304,4,,,,,291,3,5115,6,,,,,,,,,,,,,,,,,,,,,127,5,,,,,,,,,,,,,165,18,,,,,10,7,,,,,,,,,,,,,,,,,,,,,389,3,,,,,,,,,22,20,,,,,,,,,,,,,,,,,,,,,,,216,29
2181,24968,9,,,,,,,,,,,126,11,,,,,,,,,,,,,,,,,8,3,,,,,,,220,5,,,,,,,,,,,,,,,57,7,,,,,,,186,20,,,,,154,7,1823,21,,,,,,,201,5,,,7715,16,16,3,2044,8,132,2,12,5,,,229,11,,,,,1422,16,,,,,,,,,,,,,,,,,,,,,,,254,9,,,,,86,10,,,,,277,8,,,,,,,333,6,,,,,,,22,3,773,16,726,15,,,,,,,50,3,,,,,52,20,,,,,,,,,,,,,,,14,2,38,10,39,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,20,26,2,138,6,,,,,,,,,,,,,,,,,,,,,1359,5,,,,,494,15,,,,,172,5,2173,9,,,,,,,,,,,10,4,,,,,35,6,,,90,8,36,10,,,,,41,13,13,1,,,1173,2,,,,,,,,,,,,,132,6,,,,,,,287,6,,,,,151,6,17,3,,,,,,,,,,,,,,,,,,,17,3,,,,,,,,,,,1136,9
1294,24603,10,,,,,,,,,,,33,21,,,,,,,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,18,,,,,,,,,,,,,64,14,2071,16,,,,,,,,,,,14559,5,11,9,1026,24,,,8,9,94,12,233,10,,,,,2455,8,,,,,,,,,,,,,,,15,3,,,,,,,200,10,,,,,,,,,,,189,12,,,,,,,26,15,,,,,8,2,13,4,1485,8,,,,,,,,,,,,,,,222,4,,,,,,,,,,,,,,,,,,,26,9,,,,,,,6,4,,,,,,,9,11,,,,,,,,,,,,,591,15,,,44,23,,,,,,,7,4,,,,,,,,,,,,,63,44,,,,,,,,,,,,,536,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,10,,,,,230,9,,,,,,,,,,,,,37,11,,,,,,,32,23,,,,,19,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,36
