bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,128898,1,154,1,30,1,27,1,21,1,23,1,4676,1,14,1,38,1,17,1,462,1,34,1,21,1,11,2,,,50,1,489,2,34,1,76,1,364,1,15,2,22,1,237,1,15,1,382,1,33,1,18,1,45,1,874,1,14,1,48,1,621,2,6621,1,24,1,17,1,625,2,,,38334,1,38,2,16680,1,471,1,72,1,2376,2,1339,1,30,1,4502,1,,,15,1,23,1,18,1,14,1,11,1,43,1,203,1,18,1,1640,1,2274,1,34,1,511,2,22,1,15,1,1175,1,294,1,13,1,2371,1,18,1,24,1,21,1,67,1,4674,2,3579,2,21,1,15,2,20,2,358,1,511,1,161,1,430,3,29,1,,,93,1,77,1,26,1,32,1,15,1,365,2,254,1,18,1,21,2,,,84,1,87,1,121,1,1047,1,167,2,16,1,14,1,15,1,96,1,22,1,11,1,2043,1,28,1,708,1,,,17,1,23,1,19,1,14,1,14,1,17,1,,,26,1,2600,2,15,1,13,1,2667,2,15,1,539,1,8680,2,14,1,12,1,17,1,29,1,20,1,15,1,176,3,82,1,453,1,310,1,,,317,1,448,3,,,21,3,1104,1,23,2,,,273,1,,,159,1,7,1,533,1,40,1,161,1,476,2,21,1,,,444,2,64,1,318,1,26,1,22,1,1824,1,,,24,1,,,16,1,,,24,2,14,1,14,1,12,1,19,1,,,2731,3
2223,56577,2,,,,,,,,,,,893,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,14,,,,,,,566,3,,,,,,,2715,10,,,,,,,,,13107,7,,,4178,3,,,,,1484,3,964,2,,,3235,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3,,,166,9,,,,,,,,,7848,1,2455,6,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,481,1,,,,,,,,,,,11,4,,,,,33,6,,,,,,,,,,,,,508,13,,,445,2,,,,,,,,,,,,,,,,,,,4085,1,,,,,6985,1,,,,,2693,7,,,,,,,,,,,,,,,12,2,,,108,2,,,,,77,6,,,,,232,8,,,,,,,,,,,,,276,2,,,,,553,1,,,,,434,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,5
1406,51786,3,25,2,,,,,,,,,26,16,,,,,8,5,,,,,,,,,,,,,412,3,,,,,,,,,,,,,,,71,3,,,,,,,156,15,,,11,3,197,5,4939,3,,,,,694,1,,,17946,2,14,5,6200,2,45,5,7,5,416,5,628,4,,,2830,6,28,1,,,,,5,2,,,,,,,,,,,449,5,,,,,630,1,,,,,221,10,71,2,7,3,2137,2,,,,,,,10,6,1619,5,2154,7,,,11,3,9,4,,,,,,,,,,,,,,,12,2,,,,,,,90,4,,,,,,,,,,,,,,,,,44,4,,,,,,,,,,,,,1339,2,11,4,234,4,,,,,1,8,,,,,,,,,,,,,575,14,,,,,447,14,,,169,4,3293,5,,,,,,,6,3,12,2,,,736,1,,,46,12,54,7,,,,,725,2,,,,,503,5,,,,,,,,,,,,,,,,,,,103,7,,,,,154,4,,,,,,,,,161,6,,,,,,,7,4,,,,,,,,,,,10,2,,,1078,6
10816,46755,4,,,,,,,,,,,577,4,,,,,13,3,,,,,,,18,1,,,16,3,141,9,,,,,,,,,,,18,3,,,40,15,,,,,,,285,7,,,,,221,3,3516,8,,,,,98,8,,,16468,3,,,3851,4,76,4,,,379,6,369,5,,,3021,5,,,,,,,,,,,,,,,,,,,338,6,28,6,,,185,7,,,,,365,5,,,,,399,5,,,,,,,,,2109,4,3164,4,,,,,,,,,,,11,2,273,4,,,,,,,,,,,,,,,,,68,4,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,1082,6,13,3,167,6,10,1,,,,,,,,,,,,,,,,,2305,3,,,,,1232,4,,,124,7,4506,4,,,,,,,,,,,,,56,4,,,82,7,,,,,,,,,,,,,640,3,,,,,,,,,13,3,,,,,,,9,4,118,6,,,,,140,5,,,,,,,,,179,5,,,,,,,14,2,,,,,,,,,,,,,,,7,180
2397,37638,5,12,3,15,2,,,15,2,,,815,3,,,,,16,2,155,2,,,7,3,,,,,5,4,579,1,,,,,19,5,,,12,3,40,2,,,63,5,,,11,2,22,2,310,6,,,8,4,649,1,3533,7,,,,,338,4,,,13914,5,84,1,2084,9,39,7,11,4,2603,1,237,10,,,1516,8,,,,,8,3,,,,,,,9,2,,,,,688,3,,,9,2,194,6,,,,,402,4,18,4,10,2,433,4,,,,,4,3,20,2,1580,6,1469,10,,,,,,,64,3,39,2,,,54,14,12,2,,,,,11,3,,,,,6,2,75,5,45,5,,,,,,,81,2,7,6,,,,,4,9,,,,,,,,,,,,,431,15,10,5,340,3,,,,,13,2,,,,,,,8,2,,,,,675,11,2,2,,,646,9,,,,,1464,12,,,,,,,6,4,,,,,42,6,,,82,6,38,9,,,,,160,4,,,,,492,6,10,3,,,13,5,,,,,,,54,10,,,11,3,262,4,,,,,61,12,10,3,,,,,5,2,62,8,11,1,,,,,8,3,,,,,,,,,,,6,3,,,362,16
2093,30643,6,,,,,,,,,,,58,11,,,,,,,14,3,,,,,,,,,,,53,10,,,,,86,4,16,1,,,,,,,46,11,9,2,,,,,187,10,,,,,67,18,1163,25,,,,,,,,,12008,9,16,4,1407,15,,,,,42,15,103,25,,,1111,16,,,,,,,,,13,2,,,,,,,11,2,85,21,19,7,,,46,13,,,,,99,21,10,5,,,99,11,,,,,,,,,761,16,5083,1,,,21,1,11,3,,,1,3,,,183,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,5,,,,,,,,,,,,,618,12,,,34,26,,,,,,,,,,,,,,,,,,,374,21,,,,,453,13,,,,,1556,10,,,,,8,2,,,,,,,,,,,47,11,28,10,,,,,,,12,1,,,205,10,,,15,1,,,,,,,,,241,4,,,,,67,11,,,,,61,11,,,,,,,,,512,3,,,,,,,,,,,27,1,,,,,,,,,12,1,3507,1
29351,28151,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,,,,,,,,,,,,,,,,,,,,,,,,,99,19,,,,,,,2379,12,,,,,,,,,3947,34,,,159,55,126,3,,,,,109,22,,,141,93,,,,,,,,,,,,,,,,,,,221,8,,,,,,,,,,,36,29,4,7,,,,,,,,,,,,,,,131,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,3,139,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,35,,,,,,,,,,,,,,,,,,,,,,,780,8,,,,,,,,,,,17449,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,37,,,,,,,,,,,,,,,,,,,,,,,,,1577,1,,,,,,,,,376,4,,,,,,,,,,,,,,,,,,,,,,,,
13,25115,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,7,,,,,,,192,9,,,4,5,73,15,1539,18,,,,,24,10,,,13764,6,3,27,2734,5,,,6,6,,,,,7,2,1022,18,,,,,,,,,,,,,,,,,,,783,2,,,,,,,,,,,250,9,,,,,,,,,,,,,,,529,24,1238,12,,,,,,,,,,,,,128,9,,,,,,,,,,,,,,,,,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,121,6,8,52,19,,,,,,,,,,,,,,,,,,,331,25,,,,,435,15,,,131,6,1072,18,,,,,,,,,,,,,,,,,26,13,63,6,,,,,84,5,,,,,184,13,,,,,,,,,,,,,,,,,,,37,16,,,,,,,,,,,,,,,32,11,,,,,,,,,,,,,,,,,,,,,,,301,18
2181,23900,9,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,225,5,,,,,,,,,,,,,,,29,20,,,,,,,170,13,,,,,218,4,2199,15,,,,,335,5,,,7657,18,9,8,1324,17,135,2,11,3,,,249,8,,,1304,12,,,,,,,,,,,,,,,,,,,286,7,,,,,113,11,,,,,288,6,,,,,231,7,,,,,,,12,5,78,88,938,15,,,,,,,77,2,,,,,32,22,,,,,,,,,,,,,4,4,43,7,35,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062,7,13,2,178,5,,,,,,,,,,,,,,,,,,,1460,4,,,,,369,17,,,164,5,2159,8,,,,,,,8,2,,,,,52,5,,,94,4,38,8,,,,,,,6,3,,,1042,2,,,,,,,,,,,,,150,5,,,,,121,5,,,,,129,6,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829,7
463,22734,10,,,9,3,,,,,,,,,,,,,,,12,4,,,,,,,,,,,38,12,,,,,,,,,10,5,,,,,39,16,,,,,,,238,8,,,,,69,16,1921,16,,,,,,,,,12059,8,7,9,,,10,13,5,7,22,16,116,20,,,1017,19,,,,,,,,,,,,,,,,,,,83,22,,,,,29,14,,,,,89,23,,,,,29,14,,,,,,,,,780,13,1920,8,,,,,,,,,,,,,53,17,,,,,,,9,4,,,,,,,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,17,5,12,38,22,,,,,,,,,,,,,,,,,,,379,20,,,,,866,7,,,,,1447,13,,,,,,,,,,,,,,,,,,,13,14,,,,,15,8,,,,,115,19,,,,,,,,,,,,,54,9,,,,,31,20,,,,,40,15,,,,,,,,,44,9,,,,,,,,,,,,,,,,,,,,,,,724,8
