,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2243,25001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,15,,,,,,,,,,,,,,,19,34,,,,,,,,,,,,,,,5390,3,,,,,,,,,,,9161,17,,,,,,,,,,,,,,,,,2716,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,9,,,,,220,12,,,,,,,,,,,,,,,,,661,18,533,22,,,,,,,,,,,,,15,50,,,,,,,,,,,,,,,,,66,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726,3,,,,,,,,,,,6,7,,,,,,,,,,,,,1392,6,,,,,903,10,,,,,37,9,1042,16,,,,,,,,,,,9,5,,,,,,,,,,,62,5,,,,,797,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,55
11,12,320,24072,,,,,,,,,,,141,14,,,,,,,16,5,,,,,,,,,15,1,,,142,10,,,,,,,,,22,3,,,,,54,11,,,,,,,126,18,,,18,3,72,16,2100,17,,,,,,,220,6,,,8653,20,21,4,2297,15,33,10,,,80,15,282,9,,,,,3059,5,,,,,13,3,14,3,,,,,20,2,,,33,4,,,,,121,17,72,5,,,,,,,,,383,6,,,,,,,192,9,,,,,,,12,5,351,35,438,31,,,,,16,4,,,,,10,3,33,27,,,,,,,18,3,,,,,,,,,42,9,32,10,,,,,,,,,12,7,,,,,48,5,,,,,,,,,,,,,1261,8,25,2,74,13,,,,,,,9,4,,,,,,,,,,,,,823,8,,,,,477,15,,,,,188,6,1140,15,,,,,,,,,,,,,13,3,,,,,,,116,4,78,4,,,,,30,13,,,,,90,28,,,,,24,5,,,,,,,26,10,,,,,,,50,20,,,18,1,55,17,,,,,,,,,53,14,,,,,,,,,,,12,7,,,,,,,,,,,299,24
12,13,463,23870,16,5,12,4,,,,,,,,,,,,,,,,,18,4,,,,,,,,,,,48,12,,,,,,,,,9,5,,,,,34,20,,,,,,,240,9,,,,,73,15,2099,18,,,,,,,,,,,10340,15,5,22,1431,20,16,15,8,8,21,20,108,27,,,,,1198,18,,,,,,,,,,,,,,,,,,,,,,,111,19,,,,,27,14,,,,,58,22,,,,,,,40,12,,,,,,,,,779,14,2787,10,,,,,,,,,,,,,48,22,,,,,,,13,5,,,,,,,,,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,25,13,8,33,25,,,,,,,,,,,,,,,,,,,,,289,23,,,,,926,8,,,,,,,1352,14,,,,,,,,,,,,,,,,,,,,,,,16,15,,,,,26,14,,,,,131,20,,,,,,,,,,,,,59,9,,,,,,,84,15,,,,,71,13,,,,,,,,,51,15,,,,,,,,,,,,,,,,,,,,,,,884,12
13,14,811,22907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,7,,,,,,,21,40,,,,,,,2367,13,,,,,,,,,,,6809,21,3,36,2390,14,,,,,,,179,15,,,,,1641,12,,,,,,,,,,,,,,,9,3,,,,,,,790,4,,,,,,,,,,,175,14,,,,,,,,,,,,,,,,,109,73,511,23,,,,,,,,,,,,,224,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599,4,,,28,29,,,,,,,,,,,,,,,,,,,,,514,15,,,,,638,13,,,,,408,2,417,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3964,1
14,15,2136,22531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,5,,,,,,,,,,,,,,,,,,,,,,,432,4,,,,,,,4501,5,,,,,,,,,,,9060,18,9,11,866,30,,,,,1588,4,,,,,,,613,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,6,,,,,332,8,14,6,,,,,,,,,,,,,,,431,27,,,,,,,,,,,,,,,9,65,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,,,,,,,,,,,,,,,,,,,,,1384,6,,,,,,,,,,,,,,,,,,,,,,,,,1501,5,,,,,,,,,,,,,125,59,,,,,,,,,,,,,,,,,14,7,,,184,2,,,,,8,2,,,10,3,,,534,5,,,,,,,,,,,,,,,,,,,,,318,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,46
15,16,181,21862,18,4,,,,,,,,,190,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,13,,,,,,,,,,,,,128,10,2230,15,,,,,,,,,,,11398,12,,,2702,12,,,15,5,,,78,30,,,,,1484,13,,,,,,,,,,,,,,,,,,,,,,,126,15,,,,,224,5,,,,,74,20,,,,,,,,,,,,,,,,,202,48,167,51,,,,,,,,,,,,,,,,,,,,,9,6,,,,,,,,,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579,17,,,66,17,,,,,,,,,,,,,,,,,,,,,178,29,,,,,240,25,,,,,,,882,19,,,,,,,,,,,,,,,,,247,2,,,,,,,,,1,4,,,,,,,253,13,,,,,,,,,,,,,18,14,,,,,,,69,16,,,,,48,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,33
16,17,1294,21761,,,,,,,,,,,76,18,,,,,,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,17,,,,,,,,,,,,,71,17,1329,26,,,,,,,,,,,13413,9,2,43,1108,25,,,5,13,100,13,243,10,,,,,2146,9,,,,,,,,,,,,,,,8,4,,,,,,,124,16,,,,,,,,,,,120,17,,,,,,,17,14,,,,,5,4,,,875,11,,,,,,,,,,,,,,,239,4,,,,,,,,,,,,,,,,,,,27,11,,,,,,,,,,,,,,,7,10,,,,,,,,,,,,,550,19,,,33,26,,,,,,,6,6,,,,,,,,,,,,,43,56,,,,,,,,,,,,,652,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,9,,,,,196,16,,,,,,,,,,,,,19,13,,,,,,,42,24,,,,,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,34
17,18,29351,20141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,,,,,,,,,,,,,,,,,,,,,,,,,116,20,,,,,,,3406,9,,,,,,,,,,,3581,44,,,337,44,104,4,,,,,132,21,,,,,348,54,,,,,,,,,,,,,,,,,,,,,,,354,7,,,,,,,,,,,36,30,29,5,,,,,,,,,,,,,,,,,157,52,,,,,,,,,,,,,7,74,,,,,,,,,,,,,,,,,175,2,84,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,32,,,,,,,,,,,,,,,,,,,,,,,,,726,9,,,,,,,,,,,,,9052,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,43,,,,,,,,,,,,,,,,,,,,,,,,,,,694,2,,,,,,,,,415,6,,,,,,,,,,,,,,,,,,,,,,,96,43
18,19,25821,19717,,,,,,,,,,,584,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2270,14,,,,,,,,,,,1278,93,8,15,1360,21,,,,,,,,,,,,,6743,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3510,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,7,,,,,,,,,,,,,,,,,,,,,,,1822,7
19,20,5072,18465,,,,,,,,,,,1849,4,,,,,,,,,,,,,,,,,,,,,17,21,,,,,225,2,,,,,,,,,11,42,,,,,,,,,,,,,130,9,593,56,,,,,,,,,,,12327,10,6,20,156,64,,,,,24,18,,,,,,,431,47,,,,,,,,,,,,,,,,,153,2,,,,,,,802,2,,,,,,,,,,,,,,,,,186,10,,,,,,,,,130,59,378,34,,,,,,,,,,,,,62,20,,,,,,,,,,,,,,,,,,,,,,,,,25,2,,,82,2,,,142,2,44,6,,,,,,,,,,,,,82,60,9,11,106,11,,,,,,,,,,,,,,,,,,,,,,,,,,,29,54,,,,,,,95,67,,,,,,,,,,,,,,,,,,,56,2,,,,,,,,,,,,,,,60,38,,,,,180,3,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,61
