,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2243,22384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,14,,,,,,,,,,,,,,,11,30,,,,,,,,,,,,,,,7015,1,,,,,,,,,6491,18,,,,,,,,,,,,,,,2078,5,,,,,,,,,,,,,,,,,,,,,,,,,,,130,7,,,,,297,7,,,,,,,,,,,,,,,366,23,148,42,,,,,,,,,,,,,17,40,,,,,,,,,,,,,,,,,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,2,,,,,,,,,,,,,,,,,,,,,,,,,1713,3,,,,,600,8,,,41,10,787,15,,,,,,,10,2,,,,,,,,,,,144,3,,,,,907,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,38
11,12,25821,21833,,,,,,,,,,,461,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3885,3,,,,,,,,,1354,72,3,40,1056,14,,,,,,,,,,,6494,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3764,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1737,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,6,,,,,,,,,,,,,,,,,,,,,2604,4
12,13,13,17073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,12,,,,,,,141,13,,,2,9,68,17,1025,22,,,,,14,12,,,7964,11,3,36,2427,6,,,5,7,,,,,4,2,545,29,,,,,,,,,,,1,4,,,,,,,,,630,4,,,,,,,,,,,115,16,,,,,,,,,,,,,,,227,29,1284,9,,,,,,,,,,,,,114,9,,,,,,,,,,,,,,,,,,,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,14,5,11,44,22,,,,,,,,,,,,,,,,,,,,,259,21,,,,,402,13,,,45,9,676,19,,,,,,,,,,,,,,,,,26,12,36,9,,,,,61,7,,,,,112,19,,,,,,,,,,,,,,,,,,,21,21,,,,,,,,,,,,,,,16,17,,,,,,,,,,,,,,,,,,,,,305,21
13,14,320,16773,,,,,,,,,,,217,8,,,,,10,3,,,,,,,,,3,1,,,52,10,,,,,,,,,7,3,,,,,36,8,,,,,,,71,20,,,7,3,34,26,1455,16,,,,,101,6,,,7867,13,12,6,957,18,25,11,,,63,13,380,8,,,946,15,,,,,,,3,3,,,3,3,,,12,3,,,,,84,21,47,5,,,,,,,,,220,8,,,,,238,5,,,,,,,13,3,136,44,299,29,,,,,4,6,,,,,8,3,49,16,,,,,,,8,3,,,,,,,,,40,9,18,9,,,,,,,,,9,6,,,,,189,3,,,,,,,,,,,,,707,10,22,2,48,19,,,,,,,6,2,,,,,,,,,,,,,655,8,,,,,211,18,,,92,5,772,16,,,,,,,,,10,2,,,,,,,37,10,67,7,,,,,,,,,,,76,29,,,,,20,5,,,5,3,,,25,12,,,,,32,14,,,10,1,24,21,,,,,,,,,35,13,,,,,,,,,,,,,,,,,,,,,296,22
14,15,811,15074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,3,,,,,,,15,41,,,,,,,1109,20,,,,,,,,,4780,20,10,11,2308,7,,,,,,,91,23,,,1204,11,,,,,,,,,,,,,2,8,,,,,,,509,5,,,,,,,,,,,143,12,,,,,,,,,,,,,,,51,89,272,31,,,,,,,,,,,,,284,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,5,,,43,23,,,,,,,,,,,,,,,,,,,,,395,15,,,,,777,6,,,62,8,308,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1628,7
15,16,2425,14211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,,,13,27,,,,,,,88,18,,,,,89,14,1340,19,,,,,,,,,4725,21,11,9,1240,13,,,2,12,95,9,209,10,,,791,19,,,,,,,,,,,,,,,,,,,,,120,13,,,,,,,,,,,137,13,,,,,,,,,,,,,,,533,14,620,16,,,,,,,,,,,,,21,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,17,,,,,,,,,,,,,,,,,,,,,,,,,559,12,,,,,544,10,,,122,4,2204,6,,,,,,,,,,,,,,,,,94,6,,,,,,,,,,,,,110,20,,,,,4,8,,,,,,,,,,,,,,,,,,,69,10,,,,,,,,,12,21,,,,,,,,,,,,,,,,,,,,,134,34
16,17,1294,14084,,,,,,,,,,,49,13,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18,,,,,,,,,,,,,69,16,1340,18,,,,,,,,,7342,15,2,43,736,23,,,,,,,115,19,,,1996,6,,,,,,,,,,,,,3,5,,,,,,,135,10,,,,,,,,,,,131,15,,,,,49,12,,,,,1,8,,,547,13,,,,,,,,,,,,,,,32,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,486,12,,,34,26,,,,,,,2,6,,,,,,,,,,,,,65,40,,,,,,,,,,,533,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,14,,,,,,,,,,,,,39,11,,,,,24,19,,,,,5,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,29
17,18,50381,12839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,22,47,230,,,,,,,,,10023,9,,,774,21,,,,,43,14,445,6,,,222,55,,,,,,,,,,,,,,,,,,,,,175,9,,,,,,,,,,,,,,,,,,,,,,,,,,,507,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,5072,12652,,,,,,,,,,,7,20,,,,,,,,,,,,,,,,,,,14,17,,,,,107,2,,,,,,,,,7,52,,,,,,,,,,,,,191,6,399,48,,,,,,,,,9515,10,4,34,97,64,,,,,,,,,,,268,49,,,,,,,,,,,,,,,38,2,,,,,,,611,2,,,,,,,,,,,,,,,138,7,,,,,,,,,80,65,306,28,,,,,,,,,,,,,35,22,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,51,2,,,300,2,,,,,,,,,,,,,,,27,75,4,16,124,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,65,,,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,23,49,,,,,140,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,54
19,20,181,12201,8,5,,,,,,,,,123,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,25,,,,,,,,,,,,,145,9,1092,21,,,,,,,,,6153,19,,,1448,11,,,5,8,,,63,30,,,666,22,,,,,,,,,,,,,,,,,,,,,118,14,,,,,180,5,,,,,76,23,,,,,,,,,,,,,,,165,37,125,48,,,,,,,,,,,,,,,,,,,,,5,8,,,,,,,,,34,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,21,,,63,17,,,,,,,,,,,,,,,,,,,,,234,23,,,,,152,26,,,,,590,20,,,,,,,,,,,,,159,2,,,,,,,,,2,2,,,,,,,170,11,,,,,,,,,,,,,5,19,,,,,24,18,,,,,14,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,35
