bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2223,142229,1,,,,,,,,,,,1309,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,16,,,,,,,2544,1,,,,,272,5,5372,11,,,,,,,,,22202,4,,,8722,1,,,,,2378,3,3793,1,,,,,8643,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,2,,,,,244,6,,,,,,,,,25923,1,9728,1,,,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,526,1,,,,,,,,,,,22,5,,,,,81,3,,,,,,,,,,,,,1370,8,,,1616,2,,,,,,,,,,,,,,,,,,,,,10245,1,,,,,22281,1,,,,,,,6252,4,,,,,,,,,,,,,,,,,,,13,3,,,725,1,,,,,163,6,,,,,428,14,,,,,,,,,,,,,540,3,,,,,1054,1,,,,,979,2,,,,,,,,,1357,2,,,,,,,,,,,12,7,,,,,,,,,,,3114,5
171,119154,2,154,1,62,1,52,1,24,1,49,1,3707,1,45,1,40,1,43,2,330,1,35,1,42,1,38,2,,,60,2,700,2,166,1,171,1,494,1,54,1,52,1,470,1,42,1,236,1,41,1,33,1,57,1,1249,2,28,1,59,1,409,2,6457,8,38,1,45,1,658,4,38,1,32761,2,75,1,8440,2,668,1,56,1,2859,2,1551,4,44,1,40,1,5034,4,,,41,1,45,1,54,1,50,1,45,1,42,1,55,1,179,1,40,1,,,2171,1,2252,1,211,1,601,3,38,1,41,1,1793,1,574,1,,,37,1,1254,2,45,1,33,1,50,1,115,1,4638,7,2712,8,35,1,30,1,32,1,386,1,239,1,203,1,364,5,35,1,,,48,1,68,1,49,1,38,1,64,1,36,1,422,3,318,1,37,1,29,1,39,2,99,2,190,1,147,1,1523,1,127,2,36,1,65,1,37,1,35,1,41,2,35,1,1292,10,53,2,2194,1,37,1,,,44,1,29,1,47,1,41,1,27,1,30,1,,,43,1,4309,2,19,1,44,1,2120,3,32,1,51,1,452,3,6777,3,36,1,12,1,39,1,51,1,44,1,41,1,41,1,38,1,192,3,81,1,575,2,384,2,,,307,1,382,4,,,45,1,1234,1,40,1,,,277,1,,,396,1,1,1,607,2,68,1,117,1,506,2,47,1,,,398,5,77,1,297,1,48,1,45,1,2892,1,,,32,1,,,23,2,,,85,1,30,1,48,1,45,1,43,1,,,2260,7
1406,105640,3,67,2,,,,,,,,,17,19,,,,,27,3,141,3,,,,,,,,,,,942,1,,,,,,,,,,,,,,,83,7,,,,,,,481,8,,,20,3,402,3,9404,2,,,,,2521,1,,,33754,1,25,4,6533,3,165,3,28,2,471,6,2871,2,,,,,5078,3,50,1,,,,,31,2,,,,,,,,,,,,,,,1006,2,,,,,1508,1,,,,,829,8,219,3,,,23,2,3556,1,,,,,,,59,2,5335,6,6255,2,,,24,2,30,2,,,,,,,,,,,,,,,22,2,,,,,,,,,281,5,111,4,,,,,,,,,,,,,,,59,6,,,,,,,,,,,,,3745,1,16,7,901,3,,,,,,,29,2,,,,,,,,,,,,,1695,6,,,,,1589,4,,,,,431,4,8544,2,,,,,,,,,,,23,2,23,2,,,1737,1,,,141,9,162,5,,,,,879,3,,,,,1154,2,,,,,,,,,,,,,,,,,,,128,7,,,,,558,4,11,4,,,,,,,193,10,,,,,,,16,3,,,31,3,,,,,,,21,2,,,1185,10
10816,71078,4,,,,,,,,,,,400,5,,,,,63,1,,,,,,,62,1,,,63,1,207,9,,,,,,,,,,,59,2,,,119,5,,,,,,,524,7,,,,,242,7,7660,4,,,,,837,3,,,16745,8,,,5842,4,110,5,,,544,5,543,8,,,,,3597,8,,,,,,,,,,,,,,,,,,,,,,,496,7,100,5,,,266,8,,,,,1152,4,,,,,,,680,3,,,,,,,,,7245,3,3370,7,,,,,,,,,,,56,2,249,6,,,,,,,,,,,,,,,,,,,145,3,,,,,,,,,,,,,,,,,,,,,,,,,56,1,,,1310,9,54,1,494,5,,,66,1,,,,,,,,,,,,,,,,,2217,5,,,,,4732,2,,,,,264,7,4518,6,,,,,,,,,,,,,,,,,62,5,,,223,6,,,,,,,143,7,,,,,962,3,,,,,,,,,75,3,,,,,,,67,2,195,5,,,,,220,8,,,,,,,,,526,7,,,,,,,54,1,,,62,2,,,,,,,,,,,3402,3
2397,55538,5,12,4,23,2,,,13,2,,,1085,3,,,,,27,4,171,2,,,22,2,,,,,15,4,613,3,,,,,42,5,,,26,2,28,3,,,70,9,,,23,2,22,2,537,6,,,15,4,690,1,6974,6,,,,,556,6,,,18489,6,23,5,3196,12,46,8,21,3,3134,1,435,16,,,,,2598,11,,,,,21,2,,,,,,,,,25,2,,,,,,,801,4,,,24,2,230,9,,,,,647,11,85,4,,,21,3,38,13,,,,,20,2,41,3,1916,14,3549,6,,,,,,,67,2,50,2,,,52,16,35,2,,,,,21,3,,,,,35,2,19,2,126,7,97,5,,,,,,,134,1,15,6,,,,,24,7,,,,,,,,,,,,,748,16,19,4,535,4,,,,,,,20,3,,,,,,,16,3,,,,,1089,11,9,2,,,761,11,,,,,,,2451,9,,,,,,,,,,,23,3,,,,,68,4,,,141,10,91,8,,,,,234,5,,,,,796,6,12,3,,,24,4,,,,,,,107,7,,,23,3,301,4,,,,,252,6,18,3,,,,,28,2,118,11,39,1,,,,,13,4,,,26,5,,,,,,,20,3,,,557,19
50381,42068,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,25,2888,21,,,,,,,,,31680,3,,,1211,22,,,,,56,16,389,20,,,,,777,39,,,,,,,,,,,,,,,,,,,,,,,165,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3460,9,119,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,41777,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,6,,,,,,,323,12,,,7,7,46,27,4794,13,,,,,172,9,,,18118,7,9,16,3882,7,,,8,11,,,119,33,,,12,2,1851,16,,,,,,,,,,,,,4,4,,,,,,,,,981,3,,,,,,,,,,,869,7,,,18,1,,,,,,,,,,,,,1005,26,2700,9,,,,,,,,,,,,,65,13,,,,,,,,,,,,,,,,,,,34,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692,5,17,5,194,14,,,,,,,,,,,,,,,,,,,,,479,21,,,,,783,10,,,,,149,9,1829,12,,,,,,,,,,,,,,,,,,,,,47,13,161,7,,,,,89,8,,,,,499,11,,,,,,,,,,,,,,,,,,,37,17,,,,,,,,,,,,,,,23,19,,,,,,,,,,,,,,,,,,,,,,,657,14
2243,40671,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,13,,,,,,,,,,,,,,,24,28,,,,,,,,,,,,,,,15538,1,,,,,,,,,9873,14,,,,,,,,,,,,,,,,,2982,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,6,,,,,513,13,,,,,,,,,,,,,,,,,1806,15,310,38,,,,,,,,,,,,,15,41,,,,,,,,,,,,,,,,,136,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673,6,,,,,,,,,,,,,,,,,,,,,,,,,2621,3,,,,,1389,6,,,,,69,10,1492,15,,,,,,,,,,,10,7,,,,,,,,,,,279,3,,,,,1468,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,47
811,39390,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,3,,,,,,,28,40,,,,,,,4755,14,,,,,,,,,11072,13,3,40,4647,5,,,,,,,509,12,,,,,4689,5,,,,,,,,,,,,,,,10,5,,,,,,,768,5,,,,,,,,,,,742,9,,,,,,,,,,,,,,,,,297,63,851,18,,,,,,,,,,,,,468,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2627,2,,,51,26,,,,,,,,,,,,,,,,,,,,,1081,12,,,,,1478,5,,,,,998,1,682,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3380,4
2093,39190,10,,,,,,,,,,,48,16,,,,,,,31,4,,,,,,,,,,,68,12,,,,,14,6,18,2,,,,,,,50,14,16,2,,,,,128,21,,,,,65,21,1755,35,,,,,,,,,15818,9,21,7,2899,13,,,,,66,15,164,27,,,,,1220,26,,,,,,,,,17,2,,,,,,,,,18,2,,,115,20,20,7,,,50,13,,,,,166,21,11,7,,,,,130,10,,,,,,,,,1042,25,6186,3,,,22,3,16,4,,,3,4,,,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,8,,,,,,,,,,,,,675,19,,,109,19,,,,,,,,,,,,,,,,,,,,,469,22,,,,,675,12,,,,,,,1441,16,,,,,21,2,,,,,,,,,,,,,,,58,12,28,13,,,,,,,26,2,,,290,18,,,20,2,,,,,,,,,349,4,,,,,46,12,,,,,75,17,,,,,,,,,561,6,,,,,,,,,,,31,4,,,,,,,,,21,1,3948,2
