,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,262888,129,1,32,1,30,1,24,1,25,1,5898,1,14,1,28,1,25,1,44,1,3,1,10,1,1643,1,19,1,20,1,36,1,,,45,1,1290,1,110,1,151,1,540,1,15,1,22,1,526,1,17,1,646,1,20,1,14,1,31,1,1615,1,11,1,63,1,897,1,15091,1,21,1,7,1,12,1,1675,1,14,1,72110,1,64,1,26756,1,639,1,73,1,5976,1,4183,1,14,1,31,1,15765,1,,,13,1,31,1,37,1,15,1,10,1,12,1,31,1,118,1,18,1,,,4568,1,1532,1,78,1,1190,1,9,1,8,1,3106,1,552,1,,,19,1,1948,2,11,1,22,1,14,1,192,1,16348,1,3807,2,21,1,16,1,31,2,1752,1,726,1,264,1,597,2,23,1,17,1,314,1,83,1,33,1,6,1,16,1,15,1,834,1,285,1,15,1,12,1,17,1,176,1,164,1,181,1,590,1,264,2,9,1,87,1,13,1,25,1,42,1,10,1,4512,1,36,1,753,1,10,1,,,13,1,13,2,16,1,10,1,9,1,27,1,,,22,1,10585,1,25,1,25,1,7214,2,17,1,12,1,1957,1,14268,1,13,1,19,1,19,1,9,1,18,1,22,1,19,1,14,1,272,3,110,1,847,1,456,1,,,390,1,991,2,,,14,2,2890,1,39,2,,,292,1,,,362,1,54,1,1158,1,22,1,152,1,171,1,5311,1,14,1,,,974,1,91,1,396,1,31,1,15,1,3311,1,,,10,1,,,12,1,,,31,1,12,1,8,1,12,1,27,1,,,8005,1
1,2,2223,73165,,,,,,,,,,,1402,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,17,,,,,,,930,2,,,,,127,6,2692,17,,,,,,,,,,,19190,4,,,6014,2,,,,,3325,3,1821,2,,,,,3144,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,2,,,,,551,4,,,,,,,,,5570,2,2957,4,,,,,3,6,,,,,,,113,11,,,,,,,,,,,,,,,,,218,3,,,,,,,,,,,12,5,,,,,210,3,,,,,,,,,,,,,915,15,,,590,2,,,,,,,,,,,,,,,,,,,,,3897,2,,,,,8425,1,,,,,,,3124,8,,,,,,,,,,,,,,,,,,,6,5,,,282,2,,,56,2,156,6,,,,,187,21,,,,,,,,,,,,,468,2,,,,,,,2901,2,,,,,467,3,,,,,,,,,1531,2,,,,,,,,,,,4,8,,,,,,,,,,,1727,6
2,3,1406,69379,30,2,,,,,,,,,936,4,,,,,,,21,3,,,,,65,3,,,,,,,,,,,700,2,,,,,,,,,,,,,,,85,6,,,,,,,203,14,,,10,3,324,3,4695,4,,,,,,,946,2,,,26484,2,14,3,3448,4,75,6,19,2,511,5,1125,3,,,,,3440,3,27,1,,,,,10,2,,,,,,,9,5,,,,,,,899,4,,,,,714,2,,,,,377,10,93,3,,,8,3,2290,1,,,,,,,13,7,3003,4,2900,5,,,10,3,9,3,,,,,,,128,10,,,,,247,2,16,2,,,,,,,,,198,4,41,9,,,,,,,,,,,,,,,131,4,,,,,,,,,,,,,2780,3,10,10,356,3,,,,,,,37,1,,,,,,,,,,,,,887,9,,,,,796,9,,,,,208,6,4683,5,,,,,,,,,,,13,2,13,2,,,1477,1,,,55,12,81,7,,,,,413,5,,,,,725,3,,,,,,,,,,,,,,,,,,,,,323,10,,,,,324,5,11,4,,,,,,,317,8,,,,,,,8,3,,,6,6,,,,,,,10,3,,,1592,7
3,4,2397,55077,14,3,5,4,,,5,2,,,1333,3,,,,,,,11,6,,,,,209,2,,,4,3,,,,,12,4,503,4,,,,,11,5,,,20,2,31,2,,,79,9,,,6,2,8,2,313,6,,,13,2,511,2,5886,2,,,,,,,510,5,,,22086,3,12,4,3283,7,23,10,4,16,3458,2,374,14,,,,,2519,6,,,,,6,4,,,,,,,,,13,2,,,,,,,1150,2,,,5,2,253,9,,,,,547,6,82,4,,,12,2,38,13,,,,,3,4,27,2,1703,10,1469,9,,,,,,,133,2,34,2,,,39,22,7,2,,,,,9,3,,,,,6,3,7,2,124,6,107,3,,,,,,,85,2,8,7,,,,,15,9,,,,,,,,,,,,,1086,11,25,2,249,5,,,,,,,7,4,,,,,,,4,3,,,,,1010,8,7,2,,,1024,5,,,,,,,1810,12,,,,,,,,,,,7,4,,,,,57,4,,,86,8,68,8,,,,,134,8,,,,,716,4,15,3,,,18,4,,,,,,,77,8,,,,,11,4,543,6,,,,,255,6,27,2,,,,,5,2,60,13,10,1,,,,,3,4,,,3,11,,,,,,,12,2,,,623,15
4,5,10816,52238,,,,,,,,,,,417,6,,,,,,,28,2,,,,,,,,,,,31,2,,,13,3,154,9,,,,,,,,,,,17,3,,,63,16,,,,,,,350,4,,,,,199,5,3377,11,,,,,,,215,9,,,13009,9,,,4274,3,78,4,,,450,6,490,11,,,,,2277,9,,,,,,,,,,,,,,,,,,,,,,,403,6,48,6,,,254,8,,,,,615,4,,,,,,,633,3,,,,,,,,,2384,8,2414,6,,,,,,,,,,,15,3,206,5,,,,,,,,,,,,,,,,,,,73,4,,,,,,,,,,,,,,,,,,,,,,,,,19,2,,,956,14,15,5,263,4,,,14,1,,,,,,,,,,,,,,,,,1567,4,,,,,2094,3,,,,,242,5,10307,2,,,,,,,,,,,,,,,,,27,6,,,75,9,,,,,,,121,10,,,,,512,7,,,,,,,,,,,,,,,,,,,18,3,481,7,,,,,186,8,,,,,,,,,795,3,,,,,,,9,2,,,15,2,,,,,,,,,,,2035,5
5,6,2093,36126,,,,,,,,,,,85,16,,,,,,,,,,,,,33,4,,,,,,,,,,,58,12,,,,,9,6,7,3,,,,,,,80,8,5,2,,,,,132,21,,,,,52,19,1766,30,,,,,,,,,,,15686,6,8,11,1696,17,,,,,71,15,238,21,,,,,1287,19,,,,,,,,,13,2,,,,,,,,,4,2,,,111,24,15,7,,,79,12,,,,,148,18,11,9,,,,,171,10,,,,,,,,,1092,18,4660,1,,,11,2,6,4,,,3,4,,,183,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,6,,,,,,,,,,,,,571,20,,,80,21,,,,,,,,,,,,,,,,,,,,,533,17,,,,,727,10,,,,,,,1510,14,,,,,2,2,,,,,,,,,,,,,,,68,11,24,13,,,,,,,8,1,,,324,13,,,3,2,,,,,,,,,320,5,,,,,,,141,13,,,,,111,13,,,,,,,,,549,5,,,,,,,,,,,9,5,,,,,,,,,3,1,3373,2
6,7,13,32718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,3,,,,,,,198,15,,,4,9,84,16,3298,12,,,,,,,224,8,,,14081,8,5,24,3384,5,,,13,4,,,100,36,,,4,2,1366,17,,,,,,,,,,,,,2,3,,,,,,,,,1005,3,,,,,,,,,,,413,9,,,4,1,,,,,,,,,,,,,945,21,1427,10,,,,,,,,,,,,,97,13,,,,,,,,,,,,,,,,,,,32,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883,4,23,3,105,14,,,,,,,,,,,,,,,,,,,,,513,19,,,,,631,13,,,,,106,9,1301,18,,,,,,,,,,,,,,,,,,,,,38,13,124,5,,,,,131,9,,,,,440,10,,,,,,,,,,,,,,,,,,,,,57,25,,,,,,,,,,,,,,,15,22,,,,,,,,,,,,,,,,,,,,,,,529,18
7,8,1294,27254,,,,,,,,,,,46,22,,,,,,,11,5,,,,,,,,,,,,,,,,,8,25,,,,,,,,,,,,,,,81,7,,,,,,,,,,,,,39,27,2986,13,,,,,,,,,,,11755,11,4,33,1967,13,,,11,5,125,12,517,9,,,,,2344,8,,,,,,,,,,,,,,,6,7,,,,,,,235,10,,,,,,,,,,,416,8,,,,,,,20,16,,,,,,,6,10,2892,5,,,,,,,,,,,,,,,203,6,,,,,,,,,,,,,,,,,,,42,8,,,,,,,5,4,,,,,,,7,11,,,,,,,,,,,,,770,16,,,62,22,,,,,,,5,6,,,,,,,,,,,,,53,60,,,,,,,,,,,,,1934,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,7,,,,,231,15,,,,,,,,,,,,,33,12,,,,,,,24,28,,,,,23,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,28
8,9,811,26486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,5,,,,,,,15,53,,,,,,,2932,14,,,,,,,,,,,10004,13,3,37,1583,19,,,,,,,504,10,,,,,2453,7,,,,,,,,,,,,,,,6,6,,,,,,,744,5,,,,,,,,,,,273,14,,,,,,,,,,,,,,,,,236,63,376,25,,,,,,,,,,,,,346,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623,6,,,34,28,,,,,,,,,,,,,,,,,,,,,394,24,,,,,633,12,,,,,388,3,552,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3225,3
9,10,2162,26372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,20,36,,,,,,,185,16,,,,,26,32,1706,32,,,,,,,,,,,14121,7,,,865,30,,,,,,,152,27,,,,,1107,25,,,,,3,6,,,,,,,,,,,,,,,,,23,51,,,,,,,,,,,169,17,,,,,,,11,18,,,,,,,7,9,547,39,245,38,,,,,,,4,4,,,,,75,14,,,,,,,,,,,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,52,6,12,,,,,,,,,,,,,,,,,,,,,,,616,15,,,,,282,20,,,,,11,14,4010,7,,,,,,,,,,,,,,,,,10,9,,,,,12,16,,,,,38,15,,,,,218,18,,,,,,,,,,,,,,,,,,,,,67,23,,,,,118,12,,,,,,,,,186,10,,,,,,,,,,,,,,,,,,,,,,,1372,8
10,11,178900,25241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,18,,,,,,,133,20,,,,,,,3524,8,,,,,,,,,,,16487,5,,,,,,,,,,,,,,,,,2187,10,,,,,,,,,,,,,,,,,,,,,,,372,7,,,,,,,,,,,91,22,,,,,,,,,,,,,,,,,756,28,164,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,31,,,,,,,,,,,,,,,,,,,,,,,,,205,31,,,,,,,,,,,,,752,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,2181,24680,,,,,,,,,,,221,11,,,,,,,,,,,,,,,,,10,2,,,,,,,212,8,,,,,,,,,,,,,,,70,14,,,,,,,169,18,,,,,105,12,2002,27,,,,,,,749,3,,,7252,22,15,2,1606,18,150,2,8,7,,,207,23,,,,,1239,24,,,,,,,,,,,,,,,,,,,,,,,267,9,,,,,145,10,,,,,357,11,,,,,,,277,6,,,,,,,23,3,928,22,698,16,,,,,,,49,3,,,,,31,27,,,,,,,,,,,,,,,4,4,50,10,38,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,21,12,8,127,13,,,,,,,,,,,,,,,,,,,,,1300,6,,,,,442,16,,,,,204,7,2308,9,,,,,,,,,,,5,5,,,,,38,5,,,74,10,33,11,,,,,52,13,8,2,,,536,6,,,,,,,,,,,,,250,6,,,,,,,355,9,,,,,213,7,22,3,,,,,,,,,,,,,,,,,,,10,4,,,,,,,,,,,1287,9
12,13,320,24647,,,,,,,,,,,129,14,,,,,,,12,4,,,,,,,,,,,,,4,1,,,365,6,,,,,,,,,11,3,,,,,63,15,,,,,,,152,19,,,9,5,49,22,2825,15,,,,,,,401,6,,,6999,24,10,8,2208,11,76,5,,,78,14,583,8,,,,,2725,5,,,,,29,2,2,3,,,,,5,2,10,3,17,3,,,,,146,17,73,4,,,,,,,,,730,3,,,,,,,215,8,,,,,,,15,6,885,25,288,34,,,,,5,5,,,,,19,2,37,23,,,,,,,5,5,,,,,,,,,71,8,47,7,,,,,,,,,10,6,,,,,79,5,,,,,,,,,,,,,1281,10,23,4,195,7,,,,,,,8,3,,,,,,,,,,,,,724,11,,,,,371,17,,,,,200,8,1343,16,,,,,,,,,,,,,5,3,,,,,,,110,6,197,4,,,,,48,14,,,,,130,28,,,,,17,5,,,,,,,57,10,,,,,3,5,89,19,,,1,1,51,23,,,,,,,,,45,15,,,,,,,,,,,2,12,,,,,,,,,,,360,23
13,14,2425,23764,,,,,,,,,,,191,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,74,12,,,,,,,217,13,,,,,108,10,2330,22,,,,,,,,,,,6100,29,10,9,1739,16,,,10,6,171,10,323,16,,,,,1688,13,,,,,10,3,,,,,,,,,,,,,,,,,194,11,,,,,,,,,,,318,13,22,6,,,,,,,,,,,,,,,1331,13,624,19,,,,,,,,,,,,,18,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,30,,,,,,,,,,,,,,,,,,,,,,,,,1028,7,,,,,919,7,,,,,481,2,4250,6,,,,,,,,,,,,,,,,,,,,,97,7,,,,,,,,,,,,,342,11,,,,,3,8,,,,,,,,,,,,,,,98,18,,,,,415,4,,,,,,,,,26,18,,,,,,,,,,,,,,,,,,,,,,,265,27
14,15,2243,22897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,13,,,,,,,,,,,,,,,15,43,,,,,,,,,,,,,,,4738,3,,,,,,,,,,,7754,19,,,,,,,,,,,21,74,,,,,1701,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,7,,,,,207,15,,,,,,,,,,,,,,,,,972,20,674,17,,,,,,,,,,,,,20,43,,,,,,,,,,,,,,,,,87,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446,8,,,,,,,,,,,3,8,,,,,,,,,,,,,1655,3,,,,,668,11,,,,,47,10,969,20,,,,,,,,,,,1,7,,,,,,,,,,,207,3,,,,,1156,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,31
