bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2181,24657,11,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,256,3,,,,,,,,,,,,,,,25,13,,,,,,,169,11,,,,,219,5,1783,14,,,,,169,6,,,7845,15,7,11,1430,11,86,3,3,13,,,117,22,,,1244,11,,,,,,,,,,,,,,,,,,,183,8,,,,,63,12,,,,,212,8,,,,,361,4,,,,,,,11,4,57,90,1055,13,,,,,,,32,3,,,,,26,23,,,,,,,,,,,,,,,51,7,29,7,,,,,,,,,,,,,,,,,,,,,,,,,,,678,10,12,5,185,6,,,,,,,,,,,,,,,,,1823,3,,,,,274,13,,,146,5,2137,8,,,,,,,7,4,,,,,42,6,,,72,6,34,9,,,,,,,8,2,,,940,2,,,,,,,,,,,,,297,3,,,,,1030,6,,,,,127,5,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386,5
463,22465,12,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,25,15,,,,,,,,,3,8,,,,,17,23,,,,,,,206,8,,,,,76,12,1830,13,,,,,,,,,12623,7,4,28,,,4,16,7,6,,,128,18,,,,,,,,,,,,,,,,,,,,,,,75,15,,,,,24,14,,,,,67,22,,,,,35,13,,,,,,,,,798,9,2077,6,,,,,,,,,,,,,46,13,,,,,,,4,6,,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,18,7,11,64,14,,,,,,,,,,,,,,,,,467,14,,,,,837,3,,,,,1786,10,,,,,,,,,,,,,,,,,,,12,15,,,,,16,9,,,,,120,14,,,,,,,,,,,,,40,9,,,,,73,22,,,,,47,12,,,,,,,,,15,14,,,,,,,,,,,,,,,,,,,,,621,9
320,17367,13,,,,,,,,,,,192,8,,,,,,,,,,,,,1,1,,,89,9,,,,,,,,,7,4,,,,,48,3,,,,,,,68,15,,,8,4,51,18,1246,19,,,,,532,4,,,7319,16,13,4,1423,12,25,9,,,23,15,157,10,,,1273,10,,,,,,,8,3,,,4,2,,,11,3,,,73,17,50,4,,,,,,,,,248,6,,,,,349,5,,,,,,,9,5,172,48,340,25,,,,,8,4,,,,,11,3,32,17,,,,,,,10,4,,,,,,,24,9,,,,,,,,,12,3,,,,,48,3,,,,,,,,,,,,,740,9,10,6,55,16,,,,,,,,,,,,,,,,,525,10,,,,,170,24,,,58,8,1203,14,,,,,,,,,3,3,,,,,,,48,9,57,5,,,,,,,,,,,68,26,,,,,7,6,,,6,4,,,16,11,,,,,104,15,,,8,1,59,11,,,,,,,,,45,10,,,,,,,,,,,,,,,,,,,,,301,21
181,16368,14,9,4,,,,,,,,,306,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,,,,,,,,,,,,,138,8,1569,16,,,,,,,,,8496,13,,,1522,9,,,5,9,,,62,29,,,912,15,,,,,,,,,,,,,,,,,,,110,11,,,,,253,4,,,,,145,11,,,,,,,,,,,,,,,181,43,146,44,,,,,,,,,,,,,,,,,,,,,2,8,,,,,,,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,14,,,48,21,,,,,,,,,,,,,,,,,233,24,,,,,158,25,,,,,857,20,,,,,,,,,,,,,159,3,,,,,,,,,2,2,,,,,,,202,8,,,,,,,,,,,,,17,10,,,,,117,14,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,25
2425,16320,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,12,30,,,,,,,33,24,,,,,79,11,1107,23,,,,,,,,,5570,23,6,17,1221,15,,,7,8,107,9,168,8,,,1192,12,,,,,,,,,,,,,,,,,,,113,10,,,,,,,,,,,110,15,,,,,,,,,,,,,,,804,7,549,18,,,,,,,,,,,,,12,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,21,,,,,,,,,,,,,,,,,,,,,296,19,,,,,587,8,,,189,3,3454,5,,,,,,,,,,,,,,,,,60,8,,,,,,,,,,,,,109,16,,,,,4,7,,,,,,,,,,,,,,,,,,,82,8,,,,,,,,,11,16,,,,,,,,,,,,,,,,,,,,,193,24
2243,16013,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,11,,,,,,,,,,,,,,,15,25,,,,,,,,,,,,,,,3951,3,,,,,,,,,6261,19,,,,,,,,,,,,,,,1625,9,,,,,,,,,,,,,,,,,,,,,,,,,98,10,,,,,92,20,,,,,,,,,,,,,,,477,23,208,34,,,,,,,,,,,,,11,45,,,,,,,,,,,,,,,51,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746,8,,,,,,,,,,,,,,,,,,,,,87,37,,,,,580,9,,,35,10,1000,16,,,,,,,9,3,,,,,,,,,,,76,4,,,,,569,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,36
13,15468,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,12,,,,,,,92,14,,,7,6,49,20,1086,24,,,,,,,,,8016,14,6,14,1369,13,,,12,4,,,,,8,2,677,25,,,,,,,,,,,,,,,,,,,320,5,,,,,,,,,,,117,13,,,,,,,,,,,,,,,367,27,1098,11,,,,,,,,,,,,,87,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,127,13,3,53,18,,,,,,,,,,,,,,,,,225,26,,,,,216,18,,,51,9,901,18,,,,,,,,,,,,,,,,,16,15,33,10,,,,,81,5,,,,,106,17,,,,,,,,,,,,,,,,,,,76,20,,,,,,,,,,,,,,,11,15,,,,,,,,,,,,,,,,,,,,,344,17
27443,13957,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,15,,,,,,,45,21,,,15,2,41,21,965,25,,,,,,,,,598,128,16,2,523,27,38,7,,,,,131,16,,,633,27,,,,,,,,,,,,,,,,,,,,,,,,,80,11,,,,,,,,,,,,,,,,,,,,,405,26,3009,5,,,,,,,,,,,,,2189,1,,,,,,,,,,,,,,,,,36,6,,,,,,,,,,,,,,,,,,,,,,,,,,,205,23,,,,,,,,,,,,,,,,,,,,,481,12,,,,,226,16,,,,,884,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3367,1
50381,13893,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,38,,,,,,,,,,,12831,6,,,,,,,,,20,17,132,15,,,,,,,,,,,,,,,,,,,,,,,84,14,,,,,,,,,,,,,,,,,,,,,,,,,,,523,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,41,,,,,,,,,,,,,,,,,,,,,,,,,,,181,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25821,13515,20,,,,,,,,,,,135,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3180,6,,,,,,,,,1040,86,7,13,1291,14,,,,,,,,,,,3209,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3543,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088,3,,,,,,,,,,,,,,,,,,,,,,,,,,,22,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
