,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,98614,159,1,30,1,19,1,14,1,15,1,2487,1,16,1,22,1,28,1,448,1,42,1,20,1,30,1,,,33,1,523,1,54,1,101,1,267,1,20,1,28,2,300,1,18,1,310,1,17,1,15,1,20,1,602,2,12,1,37,1,363,2,4465,1,17,1,19,1,505,2,16,1,25624,2,51,1,16526,1,491,1,54,1,2553,1,887,2,17,1,3430,3,,,17,1,16,1,24,1,15,1,17,1,33,1,86,1,15,1,,,1201,1,1755,1,41,1,434,1,12,1,10,1,1016,1,340,1,,,13,1,1153,2,15,1,12,1,24,1,99,1,3333,2,2919,4,22,1,18,2,13,2,414,1,311,1,54,1,344,4,15,1,,,37,1,35,1,35,1,19,1,20,1,7,1,255,3,187,1,16,1,15,2,3,2,246,1,82,1,129,1,526,1,159,2,12,1,34,1,13,1,19,1,18,1,11,1,945,3,26,1,382,2,15,1,,,17,1,15,2,15,1,9,1,14,1,14,1,,,28,1,2222,2,11,1,13,1,3727,2,13,1,18,1,484,1,4926,2,24,1,17,1,13,1,12,1,18,1,21,1,17,1,14,1,147,2,81,1,288,1,207,1,,,417,1,320,2,,,15,2,825,1,37,2,,,120,2,,,355,1,4,1,513,1,31,1,100,1,372,2,29,1,,,474,2,61,1,196,1,22,1,89,2,2077,1,,,16,1,,,18,1,,,17,1,16,1,25,1,10,1,25,1,,,2303,5
1,2,2398,64948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,25,302,59,,,,,,,,,63649,1,6,13,143,54,,,,,,,15,60,,,354,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,61,,,,,,,,,,,,,,,,,,,,,,,,,29,59,,,,,,,,,,,,,172,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,,,,,,,,,,,,,,,,,,,12,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,2223,62355,,,,,,,,,,,594,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,10,,,,,,,653,1,,,,,241,4,3161,4,,,,,,,,,14916,4,,,4688,2,,,,,2486,2,937,1,,,4794,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,4,,,,,168,8,,,,,,,,,6519,1,4659,2,,,,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,340,1,,,,,,,,,,,33,2,,,,,58,3,,,,,,,,,,,,,553,13,,,490,1,,,,,,,,,,,,,,,,,,,,,2913,1,,,,,5471,1,,,,,,,1888,6,,,,,,,,,,,,,,,,,,,9,3,,,153,2,,,,,60,8,,,,,145,11,,,,,,,,,,,,,342,3,,,,,2332,1,,,,,315,3,,,,,,,,,928,2,,,,,,,,,,,2,11,,,,,,,,,,,2433,3
3,4,1406,42127,42,2,,,,,,,,,20,16,,,,,11,2,29,3,,,,,,,,,,,252,2,,,,,,,,,,,,,,,50,6,,,,,,,123,10,,,13,2,193,5,2490,9,,,,,389,3,,,17391,3,8,8,3197,3,36,6,9,5,361,6,496,4,,,2800,4,31,1,,,,,11,2,,,,,,,,,,,,,600,4,,,,,294,3,,,,,152,10,55,2,,,7,2,2830,1,,,,,,,7,8,1356,5,2253,8,,,12,3,6,6,,,,,,,,,,,,,,,6,5,,,,,,,,,88,4,22,9,,,,,,,,,,,,,,,47,4,,,,,,,,,,,,,1293,1,4,10,321,3,,,,,,,,,,,,,,,,,,,,,366,15,,,,,434,11,,,,,112,6,1617,8,,,,,,,,,,,5,4,5,3,,,242,1,,,28,12,50,5,,,,,169,4,,,,,484,4,,,,,,,,,,,,,,,,,,,64,9,,,,,93,9,5,4,,,,,,,189,9,,,,,,,5,4,,,4,6,,,,,,,6,3,,,944,11
4,5,10816,39014,,,,,,,,,,,282,6,,,,,8,5,,,,,,,9,2,,,8,4,131,6,,,,,,,,,,,15,3,,,32,12,,,,,,,209,7,,,,,308,3,2855,8,,,,,73,7,,,12002,7,,,2814,4,48,5,,,576,5,324,5,,,2673,5,,,,,,,,,,,,,,,,,,,,,357,6,37,6,,,121,8,,,,,320,4,,,,,,,216,7,,,,,,,,,2404,3,2536,5,,,,,,,,,,,11,2,365,3,,,,,,,,,,,,,,,,,,,73,3,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,611,9,8,5,145,6,,,8,1,,,,,,,,,,,,,,,,,1564,3,,,,,1198,3,,,,,119,5,3020,5,,,,,,,,,,,,,,,,,20,6,,,83,3,,,,,,,48,9,,,,,485,3,,,,,,,,,15,3,,,,,,,14,3,71,7,,,,,107,7,,,,,,,,,278,8,,,,,,,8,3,,,6,4,,,,,,,,,,,2391,4
5,6,2093,28732,,,,,,,,,,,56,12,,,,,,,11,4,,,,,,,,,,,40,10,,,,,6,5,6,3,,,,,,,19,19,6,2,,,,,86,18,,,,,33,23,1002,21,,,,,,,,,12982,5,2,41,1072,18,,,,,61,14,103,17,,,1060,15,,,,,,,,,7,2,,,,,,,6,2,,,67,23,19,7,,,44,13,,,,,95,16,17,5,,,,,94,10,,,,,,,,,531,18,4708,1,,,19,1,7,4,,,2,4,,,146,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,6,,,,,,,,,,,,,289,17,,,44,17,,,,,,,,,,,,,,,,,,,,,253,21,,,,,446,10,,,,,,,1020,13,,,,,5,2,,,,,,,,,,,,,,,60,8,15,13,,,,,,,5,3,,,125,13,,,2,2,,,,,,,,,317,4,,,,,32,13,,,,,66,12,,,,,,,,,599,5,,,,,,,,,,,9,2,,,,,,,,,15,1,3093,2
6,7,2397,28656,14,3,8,3,,,9,2,,,825,2,,,,,6,6,103,2,,,6,2,,,,,13,3,251,3,,,,,12,4,,,40,1,20,2,,,39,9,,,7,2,5,2,204,8,,,8,4,402,1,3092,5,,,,,317,4,,,10138,8,16,2,1608,8,20,11,12,2,2206,3,183,8,,,1175,10,,,,,9,2,,,,,,,18,2,,,,,,,678,3,,,17,2,146,6,,,,,222,6,39,3,,,7,3,33,12,,,,,6,3,26,2,654,13,1339,10,,,,,,,52,2,25,2,,,28,20,14,2,,,,,15,2,,,,,13,2,7,2,60,6,33,7,,,,,,,54,2,6,7,,,,,13,9,,,,,,,,,,,,,361,15,7,6,176,5,,,,,,,19,1,,,,,,,4,2,,,,,459,10,9,2,,,570,9,,,,,,,1197,10,,,,,,,,,,,6,3,,,,,34,4,,,47,11,37,7,,,,,111,5,,,,,273,7,7,3,,,28,4,,,,,,,56,9,,,7,4,239,3,,,,,76,11,8,3,,,,,101,1,73,11,33,1,,,,,13,2,,,4,7,,,,,,,8,2,,,440,16
7,8,463,27485,,,6,4,,,,,,,,,,,,,,,3,6,,,,,,,,,,,19,14,,,,,,,,,9,3,,,,,25,15,,,,,,,241,6,,,,,73,14,2191,12,,,,,,,,,12400,6,4,20,1348,14,32,7,5,11,31,19,128,13,,,1638,8,,,,,,,,,,,,,,,,,,,,,84,20,,,,,38,14,,,,,73,21,,,,,,,30,13,,,,,,,,,955,8,3161,3,,,,,,,,,,,,,63,10,,,,,,,11,3,,,,,,,,,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,16,6,7,38,21,,,,,,,,,,,,,,,,,,,,,401,13,,,,,1138,4,,,,,,,1602,9,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,75,6,,,,,138,12,,,,,,,,,,,,,69,8,,,,,30,14,,,,,51,14,,,,,,,,,31,13,,,,,,,,,,,,,,,,,,,,,,,961,9
8,9,2181,21601,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,209,4,,,,,,,,,,,,,,,15,24,,,,,,,112,13,,,,,130,7,1603,14,,,,,233,5,,,6498,12,3,33,1190,16,162,2,10,3,,,155,9,,,1305,9,,,,,,,,,,,,,,,,,,,,,199,8,,,,,107,9,,,,,251,5,,,,,,,246,5,,,,,,,8,7,601,14,1828,9,,,,,,,23,3,,,,,24,26,,,,,,,,,,,,,,,3,3,27,8,37,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,11,6,9,92,8,,,,,,,,,,,,,,,,,,,,,1266,4,,,,,288,15,,,,,100,7,1794,7,,,,,,,,,,,5,5,,,,,22,5,,,70,6,18,10,,,,,25,11,7,1,,,788,2,,,,,,,,,,,,,286,5,,,,,79,6,,,,,196,5,15,2,,,,,,,,,,,,,,,,,,,3,8,,,,,,,,,,,953,10
9,10,2162,19283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,14,29,,,,,,,119,11,,,,,26,29,1220,18,,,,,,,,,9385,10,,,789,22,,,,,,,86,19,,,767,18,,,,,4,3,,,,,,,,,,,,,,,17,40,,,,,,,,,,,337,3,,,,,,,9,18,,,,,,,6,9,489,20,10,110,,,,,,,8,4,,,,,55,12,,,,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,48,6,8,,,,,,,,,,,,,,,,,,,,,,,391,14,,,,,194,22,,,,,16,10,4139,3,,,,,,,,,,,,,,,,,1,13,,,,,4,17,,,,,21,12,,,,,77,21,,,,,,,,,,,,,,,,,,,28,17,,,,,62,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,12
