,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,156939,232,1,50,1,38,1,26,1,46,1,5749,1,31,1,35,1,35,1,539,1,35,1,26,1,30,1,,,36,1,976,1,340,1,258,1,769,1,51,1,46,1,512,1,32,1,403,1,34,1,23,1,47,1,936,2,18,1,96,1,460,3,8914,2,29,1,29,1,24,1,856,4,39,1,39133,2,78,1,16203,1,998,1,76,1,3133,3,1516,4,25,1,38,1,7155,3,,,35,1,37,1,42,1,33,1,42,1,31,1,44,1,485,1,31,1,,,2244,4,2596,1,370,1,656,4,36,1,29,1,1466,1,877,1,,,35,1,1872,2,28,1,30,1,48,1,89,1,8419,2,3039,6,39,1,41,1,32,2,946,1,1068,1,207,1,481,2,32,1,,,154,1,66,1,45,1,24,1,31,1,37,1,838,1,304,1,33,1,39,1,27,2,175,2,488,1,115,1,2344,1,202,4,37,1,57,1,31,1,29,1,31,1,24,1,2627,3,37,3,541,6,23,1,,,48,1,28,2,33,1,34,1,18,1,25,1,,,23,1,3844,2,27,1,35,1,4415,2,37,1,39,1,551,3,9412,2,34,1,26,1,27,1,28,1,18,1,55,1,28,1,34,1,238,3,163,1,389,1,227,2,,,521,1,680,4,,,26,2,1079,2,51,2,,,402,3,,,889,1,3,1,617,2,57,1,105,1,1732,4,34,1,,,583,2,168,1,475,1,62,1,34,1,2752,1,,,26,1,,,26,1,,,39,1,36,1,47,1,31,1,26,1,,,2628,5
1,2,2223,151331,,,,,,,,,,,5164,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,12,,,,,,,1488,1,,,,,241,5,3705,14,,,,,,,,,,,36302,3,,,13743,3,,,,,10147,1,3186,1,,,,,9512,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,5,,,,,257,8,,,,,,,,,13913,1,4536,4,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,350,3,,,,,,,,,,,72,3,,,,,382,2,,,,,,,,,,,,,1481,9,,,1457,2,,,,,,,,,,,,,,,,,,,,,7040,1,,,,,24965,1,,,,,,,4339,6,,,,,,,,,,,,,,,,,,,22,3,,,349,1,,,,,197,6,,,,,308,12,,,,,,,,,,,,,455,4,,,,,2439,1,,,,,443,4,,,,,,,,,1972,2,,,,,,,,,,,9,8,,,,,,,,,,,2708,4
2,3,1406,113290,86,2,,,,,,,,,16,23,,,,,15,5,88,3,,,,,,,,,,,656,4,,,,,,,,,,,,,,,98,8,,,,,,,342,8,,,11,2,764,2,6193,4,,,,,,,1569,1,,,39936,1,25,2,11869,4,138,4,12,5,591,6,2110,2,,,,,5927,5,58,1,,,,,15,2,,,,,,,,,,,,,,,2258,3,,,,,1528,1,,,,,371,10,115,3,,,18,3,6177,1,,,,,,,19,3,5701,3,4217,5,,,21,3,15,3,,,,,,,124,9,,,,,,,11,5,,,,,,,,,188,4,72,6,,,,,,,,,,,,,,,295,3,,,,,,,,,,,,,3145,2,10,9,1496,1,,,,,,,30,1,,,,,,,,,,,,,1145,10,,,,,1211,7,,,,,272,6,6800,5,,,,,,,,,,,11,4,11,2,,,2671,1,,,71,10,94,6,,,,,1198,3,,,,,1015,3,,,,,,,,,,,,,,,,,,,461,8,,,,,312,5,16,4,,,,,,,335,7,,,,,,,11,3,,,13,5,,,,,,,17,2,,,1296,10
3,4,2397,88016,13,5,17,2,,,15,2,,,3158,3,,,,,17,3,277,2,,,12,3,,,,,13,4,820,2,,,,,30,5,,,18,2,19,3,,,108,6,,,16,2,14,2,402,6,,,11,3,860,1,8532,3,,,,,,,867,3,,,25899,4,17,5,6546,8,26,11,14,4,6008,2,445,8,,,,,3591,10,,,,,15,2,,,,,,,,,20,3,,,,,,,1679,5,,,20,2,369,8,,,,,571,5,192,2,,,22,2,45,13,,,,,18,2,42,2,2490,10,14117,1,,,,,,,600,2,39,2,,,48,22,31,2,,,,,21,2,,,,,18,2,24,2,73,7,79,4,,,,,,,233,1,22,7,,,,,18,8,,,,,,,,,,,,,843,15,12,7,709,4,,,,,,,16,3,,,,,,,17,2,,,,,1127,11,13,2,,,1062,9,,,,,,,2377,10,,,,,,,,,,,28,2,,,,,79,4,,,141,7,76,7,,,,,333,5,,,,,746,4,13,3,,,120,4,,,,,,,77,8,,,12,4,647,6,,,,,195,7,25,3,,,,,19,2,95,11,26,1,,,,,14,2,,,13,6,,,,,,,15,3,,,595,17
4,5,10816,60593,,,,,,,,,,,589,5,,,,,30,2,,,,,,,15,2,,,15,3,164,8,,,,,,,,,,,22,2,,,98,9,,,,,,,378,7,,,,,201,7,4041,9,,,,,,,127,10,,,14391,14,,,13950,2,72,5,,,1346,5,442,9,,,,,2332,14,,,,,,,,,,,,,,,,,,,,,,,692,8,101,5,,,292,9,,,,,703,4,,,,,,,478,5,,,,,,,,,3321,7,1611,11,,,,,,,,,,,20,3,146,8,,,,,,,,,,,,,,,,,,,90,3,,,,,,,,,,,,,,,,,,,,,,,,,22,2,,,844,14,10,10,376,10,,,20,1,,,,,,,,,,,,,,,,,1645,8,,,,,3652,3,,,,,196,8,4244,7,,,,,,,,,,,,,,,,,30,6,,,98,9,,,,,,,136,8,,,,,502,7,,,,,,,,,,,,,,,,,16,3,378,10,,,,,142,9,,,,,,,,,693,5,,,,,,,8,4,,,15,4,,,,,,,,,,,1899,8
5,6,2425,46808,,,,,,,,,,,325,10,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,112,5,,,,,,,334,9,,,,,171,9,3891,11,,,,,,,,,,,9392,24,6,23,5545,10,,,8,8,281,10,796,6,,,,,5423,7,,,,,,,,,,,,,,,,,,,,,,,510,9,,,,,,,,,,,418,8,,,,,,,,,,,,,,,,,4001,5,808,15,,,,,,,,,,,,,21,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,20,,,,,,,,,,,,,,,,,,,,,,,,,2660,4,,,,,2392,4,,,,,792,1,7213,3,,,,,,,,,,,,,,,,,,,,,235,3,,,,,,,,,,,,,178,19,,,,,13,7,,,,,,,,,,,,,,,,,,,513,3,,,,,,,,,44,17,,,,,,,,,,,,,,,,,,,,,,,211,29
6,7,2243,45686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,12,,,,,,,,,,,,,,,25,30,,,,,,,,,,,,,,,10586,1,,,,,,,,,,,13709,17,,,,,,,,,,,,,,,,,5672,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,7,,,,,385,9,,,,,,,,,,,,,,,,,1456,13,385,30,,,,,,,,,,,,,15,59,,,,,,,,,,,,,,,,,123,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2128,5,,,,,,,,,,,9,6,,,,,,,,,,,,,3275,3,,,,,1241,6,,,,,71,9,1623,14,,,,,,,,,,,8,6,,,,,,,,,,,215,3,,,,,4201,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,63
7,8,811,45059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,4,,,,,,,42,32,,,,,,,3938,10,,,,,,,,,,,13968,16,10,10,7910,6,,,,,,,385,11,,,,,3608,9,,,,,,,,,,,,,,,20,2,,,,,,,3864,1,,,,,,,,,,,303,12,,,,,,,,,,,,,,,,,328,50,818,14,,,,,,,,,,,,,405,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233,4,,,72,25,,,,,,,,,,,,,,,,,,,,,953,13,,,,,1102,8,,,,,757,2,550,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3617,2
8,9,320,40256,,,,,,,,,,,293,11,,,,,15,4,,,,,,,,,23,1,,,296,7,,,,,,,,,11,3,,,,,103,7,,,,,,,144,18,,,10,4,77,16,3849,12,,,,,,,472,5,,,12571,18,20,3,5286,11,36,7,,,103,15,612,7,,,,,5969,4,,,,,7,4,9,3,,,,,8,3,,,28,4,,,,,331,15,91,6,,,,,,,,,750,3,,,,,,,401,6,,,,,,,14,5,651,31,316,34,,,,,11,4,,,,,35,2,41,23,,,,,,,15,4,,,,,,,,,62,8,25,10,,,,,,,,,22,6,,,,,136,5,,,,,,,,,,,,,1469,10,34,4,259,14,,,,,,,14,4,,,,,,,,,,,,,1641,9,,,,,776,13,,,,,287,5,1752,12,,,,,,,,,,,,,8,3,,,,,,,145,5,161,5,,,,,45,13,,,,,114,25,,,,,20,5,,,,,,,16,13,,,,,61,19,,,17,1,42,21,,,,,,,,,55,16,,,,,,,,,,,12,7,,,,,,,,,,,485,20
9,10,2162,40153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,17,40,,,,,,,234,11,,,,,21,39,2216,19,,,,,,,,,,,22253,6,,,1487,27,,,,,,,220,22,,,,,1504,22,,,,,8,3,,,,,,,,,,,,,,,,,56,37,,,,,,,,,,,241,14,,,,,,,10,20,,,,,,,4,9,862,27,240,36,,,,,,,8,4,,,,,70,16,,,,,,,,,,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,37,15,5,,,,,,,,,,,,,,,,,,,,,,,790,15,,,,,330,21,,,,,22,11,6843,4,,,,,,,,,,,,,,,,,5,12,,,,,7,17,,,,,15,18,,,,,213,15,,,,,,,,,,,,,,,,,,,49,24,,,,,153,8,,,,,,,,,68,14,,,,,,,,,,,,,,,,,,,,,,,1985,7
