bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2181,20699,11,,,,,,,,,,,,,,,,,,,,,6,2,,,,,219,3,,,,,,,,,,,,,,,15,21,,,,,,,87,14,,,,,156,5,1622,17,,,,,111,5,,,6057,18,21,3,1251,10,63,3,14,5,,,121,12,,,1105,11,,,,,,,,,,,,,,,,,,,204,6,,,,,51,9,,,,,153,9,,,,,318,4,,,,,,,8,4,72,70,1143,10,,,,,,,28,3,,,,,23,35,,,,,,,,,,,,,30,7,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,651,7,15,4,131,5,,,,,,,,,,,,,1071,4,,,,,362,10,,,108,3,2009,7,,,,,,,4,6,,,,,21,5,,,67,4,22,9,,,,,,,10,2,,,1196,1,,,,,,,,,,,202,3,,,,,595,6,,,,,139,4,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1183,5
29351,19594,12,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908,15,,,,,,,,,4652,24,,,110,56,87,2,,,,,62,25,,,101,79,,,,,,,,,,,,,,,,,,,152,8,,,,,,,,,,,23,32,13,4,,,,,,,,,,,,,,,66,55,,,,,,,,,,,,,,,,,,,,,,,,,,,203,2,65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,59,52,,,,,,,,,,,,,,,,,371,14,,,,,,,,,,,10319,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,45,,,,,,,,,,,,,,,,,,,,,,,923,1,,,,,,,,,453,4,,,,,,,,,,,,,,,,,,,,,,
181,19220,13,9,4,,,,,,,,,300,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,,,,,,,,,,,,,108,8,1506,18,,,,,,,,,12504,10,,,1281,9,,,4,12,,,61,26,,,771,18,,,,,,,,,,,,,,,,,,,111,12,,,,,155,3,,,,,90,16,,,,,,,,,,,,,,,116,52,130,39,,,,,,,,,,,,,,,,,,,9,5,,,,,,,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,18,,,44,13,,,,,,,,,,,,,242,21,,,,,126,24,,,,,892,16,,,,,,,,,,,,,6,8,,,,,,,,,4,2,,,,,,,186,9,,,,,,,,,,,13,11,,,,,66,18,,,,,14,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,27
4192,16189,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,11,,,,,,,212,7,,,,,98,10,5020,4,,,,,,,,,6,957,,,662,21,,,,,,,169,6,,,428,31,,,,,,,,,,,,,7,3,,,,,35,30,,,,,,,,,,,237,4,,,,,,,,,,,,,,,1167,6,772,15,,,,,,,,,,,,,,,,,,,,,,,,,,,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,6,,,,,,,,,,,,,,,,,282,17,,,,,,,,,,,6158,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,8,,,,,,,,,,,,,,,,,,,,,,,54,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,15371,15,,,,,,,,,,,136,8,,,,,,,,,,,,,,,80,9,,,,,,,,,26,4,,,,,25,10,,,,,,,56,17,,,9,4,26,22,1021,21,,,,,84,6,,,6920,16,45,2,1137,13,13,9,,,,,84,18,,,1338,9,,,,,,,3,3,,,7,3,,,7,3,,,79,17,80,3,,,,,,,,,164,8,,,,,280,5,,,,,,,12,2,187,36,389,26,,,,,15,3,,,,,31,2,92,12,,,,,21,2,,,,,,,9,12,,,,,,,,,4,6,,,,,45,4,,,,,,,,,,,,,544,10,82,1,27,23,,,,,,,,,,,,,415,11,,,,,210,20,,,43,8,889,17,,,,,,,,,5,3,,,,,,,43,8,37,6,,,,,,,,,,,81,20,,,,,6,6,3,4,,,32,9,,,,,138,13,,,7,1,20,15,,,,,,,,,47,8,,,,,,,,,,,,,,,,,,,,,317,16
2243,15369,16,,,,,,,,,,,,,,,,,,,,,,,,,,,22,14,,,,,,,,,,,,,,,9,33,,,,,,,,,,,,,,,4217,6,,,,,,,,,5695,21,,,,,,,,,,,,,,,1353,8,,,,,,,,,,,,,,,,,,,,,,,,,51,10,,,,,70,18,,,,,,,,,,,,,,,373,24,187,32,,,,,,,,,,,,,9,56,,,,,,,,,,,,,26,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,5,,,,,,,,,,,,,,,,,884,5,,,,,559,8,,,20,10,748,18,,,,,,,6,4,,,,,,,,,,,50,4,,,,,331,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,53
50381,14929,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14165,8,,,,,,,,,10,16,109,14,,,,,,,,,,,,,,,,,,,,,,,116,11,,,,,,,,,,,,,,,,,,,,,,,,,,,505,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,14176,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,8,,,,,,,15,31,,,,,,,7093,1,,,,,,,,,3099,37,,,1026,17,,,,,,,54,28,,,603,23,,,,,,,,,,,,,,,,,,,188,7,,,,,,,,,,,49,24,,,,,,,,,,,,,,,49,89,145,37,,,,,,,,,,,,,431,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583,9,,,22,29,,,,,,,,,,,,,169,28,,,,,310,11,,,52,7,261,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14009,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,13,,,,,,,126,11,,,10,3,45,16,1121,20,,,,,,,,,7792,13,7,16,1028,16,,,16,2,,,,,5,2,468,29,,,,,,,,,,,2,4,,,,,,,262,4,,,,,,,,,,,102,13,,,,,,,,,,,,,,,259,30,1048,13,,,,,,,,,,,,,107,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,30,20,,,,,,,,,,,,,213,24,,,,,304,12,,,29,9,490,25,,,,,,,,,,,,,,,,,21,13,23,8,,,,,68,4,,,,,95,19,,,,,,,,,,,,,,,,,35,26,,,,,,,,,,,,,,,11,14,,,,,,,,,,,,,,,,,,,,,263,19
1294,12893,20,,,,,,,,,,,65,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,26,,,,,,,,,,,,,35,19,619,39,,,,,,,,,7713,14,8,13,633,24,,,,,,,97,16,,,1467,7,,,,,,,,,,,,,,,,,,,129,10,,,,,,,,,,,57,23,,,,,41,11,,,,,2,5,,,589,11,,,,,,,,,,,,,,,68,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,373,13,,,37,17,,,1,6,,,,,,,,,43,47,,,,,,,,,,,481,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,14,,,,,,,,,,,,,,,,,45,23,,,,,3,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,21
