bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
463,23465,11,,,20,2,,,,,,,,,,,,,,,,,,,,,,,33,11,,,,,,,,,12,6,,,,,25,13,,,,,,,274,7,,,,,84,14,1918,12,,,,,,,,,12725,6,14,9,,,20,11,9,8,,,162,13,,,,,,,,,,,,,,,,,,,,,,,131,14,,,,,34,14,,,,,69,21,,,,,50,12,,,,,,,,,851,8,2530,5,,,,,,,,,,,,,41,16,,,,,,,10,3,,,,,,,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,14,20,3,61,15,,,,,,,,,,,,,,,,,426,14,,,,,798,4,,,,,1644,10,,,,,,,,,,,,,,,,,,,24,9,,,,,36,7,,,,,165,11,,,,,,,,,,,,,58,8,,,,,107,13,,,,,62,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,9
181,17021,12,27,3,,,,,,,,,191,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,17,,,,,,,,,,,,,180,5,1838,13,,,,,,,,,8649,12,,,1540,10,,,13,4,,,82,25,,,1138,13,,,,,,,,,,,,,,,,,,,241,9,,,,,182,4,,,,,145,13,,,,,,,,,,,,,,,186,41,135,37,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,26,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,15,,,76,13,,,,,,,,,,,,,,,,,250,22,,,,,168,22,,,,,820,17,,,,,,,,,,,,,110,3,,,,,,,,,2,3,,,,,,,290,6,,,,,,,,,,,,,15,12,,,,,97,14,,,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,23
320,16742,13,,,,,,,,,,,165,7,,,,,,,,,,,,,,,85,9,,,,,,,,,18,3,,,,,97,2,,,,,,,113,15,,,17,3,55,20,1225,21,,,,,129,6,,,6771,16,17,7,1236,14,29,7,,,20,15,191,9,,,1532,8,,,,,,,7,3,,,7,2,,,9,3,,,67,23,60,4,,,,,,,,,224,6,,,,,510,5,,,,,,,13,4,189,39,320,28,,,,,21,3,,,,,11,3,76,12,,,,,,,9,5,,,,,,,22,11,,,,,,,,,9,4,,,,,32,7,,,,,,,,,,,,,760,8,23,2,41,21,,,,,,,,,,,,,,,,,443,13,,,,,173,20,,,55,7,1126,12,,,,,,,,,11,3,,,,,,,55,10,48,5,,,,,,,,,,,61,30,,,,,14,5,,,11,4,,,23,11,,,,,175,11,,,9,1,63,10,,,,,,,,,36,10,,,,,,,,,,,,,,,,,,,,,329,15
1294,16057,14,,,,,,,,,,,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,23,,,,,,,,,,,,,76,16,1041,26,,,,,,,,,8722,11,9,24,848,20,,,,,,,175,12,,,2237,4,,,,,,,,,,,,,,,,,,,242,8,,,,,,,,,,,118,15,,,,,36,14,,,,,4,6,,,777,9,,,,,,,,,,,,,,,28,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,544,12,,,55,16,,,,,4,5,,,,,,,,,,,57,43,,,,,,,,,,,597,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,12,,,,,,,,,,,,,,,,,,,37,25,,,,,13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,22
13,15926,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,10,,,,,,,122,14,,,2,8,64,18,1421,19,,,,,,,,,7930,13,13,12,1244,13,,,4,15,,,,,3,2,623,25,,,,,,,,,,,,,,,,,,,769,3,,,,,,,,,,,138,14,,,,,,,,,,,,,,,329,28,1134,13,,,,,,,,,,,,,90,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,127,3,17,35,25,,,,,,,,,,,,,,,,,305,20,,,,,269,16,,,48,9,765,20,,,,,,,,,,,,,,,,,12,14,39,7,,,,,41,6,,,,,143,15,,,,,,,,,,,,,,,,,,,24,29,,,,,,,,,,,,,,,6,15,,,,,,,,,,,,,,,,,,,,,318,17
2243,15803,16,,,,,,,,,,,,,,,,,,,,,,,,,,,22,15,,,,,,,,,,,,,,,6,48,,,,,,,,,,,,,,,4443,3,,,,,,,,,6012,18,,,,,,,,,,,,,,,1625,7,,,,,,,,,,,,,,,,,,,,,,,,,81,8,,,,,160,11,,,,,,,,,,,,,,,456,22,146,36,,,,,,,,,,,,,14,43,,,,,,,,,,,,,,,44,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958,5,,,,,,,,,,,,,,,,,,,,,73,37,,,,,489,9,,,15,11,823,16,,,,,,,8,3,,,,,,,,,,,71,4,,,,,323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,64
2425,15501,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,22,14,,,,,,,,,,,,,105,10,1042,25,,,,,,,,,5255,19,10,20,1541,9,,,7,13,61,10,234,6,,,1182,12,,,,,,,,,,,,,,,,,,,120,16,,,,,,,,,,,52,24,,,,,,,,,,,,,,,1019,6,578,17,,,,,,,,,,,,,16,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,23,,,,,,,,,,,,,,,,,,,,,320,19,,,,,562,8,,,143,3,2481,7,,,,,,,,,,,,,,,,,70,7,,,,,,,,,,,,,123,17,,,,,6,7,,,,,,,,,,,,,,,,,,,71,9,,,,,,,,,22,11,,,,,,,,,,,,,,,,,,,,,219,21
25821,13951,18,,,,,,,,,,,37,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3514,7,,,,,,,,,709,111,10,23,1164,16,,,,,,,,,,,4503,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2601,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394,1,,,,,,,,,,,,,,,,,,,,,,,,,,,19,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719,11951,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,71,,,,,,,16,37,,,,,33,25,663,39,,,,,,,,,9253,10,12,16,349,30,,,,,,,45,34,,,735,19,,,,,,,,,,,,,,,,,,,68,22,,,,,,,,,,,17,37,,,,,,,,,,,,,,,212,37,,,,,,,,,,,,,,,16,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,50,,,,,,,,,,,,,,,,,,,,,47,50,,,,,,,,,,,227,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,38,,,,,,,,,,,,,,,,,,,,,,,,,6,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,29
822,11090,20,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12,,,,,,,,,,,,,,,12,28,,,,,,,,,,,6,7,14,39,1539,18,,,,,,,,,3752,27,6,33,1590,7,,,,,,,181,10,,,463,34,,,,,,,,,,,,,,,,,,,102,19,,,,,,,,,,,82,18,,,,,,,,,,,,,,,441,23,456,22,,,,,,,,,,,,,47,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,16,7,12,47,18,,,,,,,,,,,,,,,,,540,8,,,,,104,31,,,,,756,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,14,,,,,,,,,,,,,,,,,,,,,,,,,5,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,14
