,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,811,19386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,3,,,,,,,8,59,,,,,,,1672,16,,,,,,,,,5305,19,3,36,3869,6,,,,,,,166,17,,,1475,10,,,,,,,,,,,,,12,3,,,,,,,649,5,,,,,,,,,,,149,14,,,,,,,,,,,,,,,,,84,78,358,22,,,,,,,,,,,,,330,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1759,1,,,65,24,,,,,,,,,,,,,,,,,,,,,436,12,,,,,999,5,,,,,145,5,219,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568,6
11,12,2243,19081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,13,,,,,,,,,,,,,,,9,38,,,,,,,,,,,,,,,6035,1,,,,,,,,,5736,18,,,,,,,,,,,,,,,1918,7,,,,,,,,,,,,,,,,,,,,,,,,,,,118,9,,,,,204,9,,,,,,,,,,,,,,,,,567,18,189,35,,,,,,,,,,,,,15,39,,,,,,,,,,,,,,,,,46,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865,6,,,,,,,,,,,,,,,,,,,,,,,,,1089,6,,,,,612,10,,,,,25,10,907,14,,,,,,,,,,,6,7,,,,,,,,,,,60,3,,,,,565,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,45
12,13,2162,18827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,3,70,,,,,,,111,14,,,,,18,41,1035,23,,,,,,,,,8814,10,,,772,25,,,,,,,74,29,,,781,21,,,,,3,4,,,,,,,,,,,,,,,21,40,,,,,,,,,,,312,4,,,,,,,,,,,,,,,5,10,465,22,6,111,,,,,,,4,4,,,,,46,12,,,,,,,,,,,,,,,,,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,50,7,11,,,,,,,,,,,,,,,,,,,,,,,419,16,,,,,176,24,,,,,20,11,4404,3,,,,,,,,,,,,,,,,,4,9,,,,,4,19,,,,,13,13,,,,,55,40,,,,,,,,,,,,,,,,,,,15,29,,,,,82,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,7
13,14,13,16491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,9,,,,,,,92,16,,,6,5,61,21,1386,18,,,,,23,13,,,6770,12,5,22,2169,10,,,8,4,,,49,34,4,2,666,24,,,,,,,,,,,1,4,,,,,,,,,917,2,,,,,,,,,,,99,16,,,1,1,,,,,,,,,,,,,390,25,1179,12,,,,,,,,,,,,,41,14,,,,,,,,,,,,,,,,,,,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,13,19,2,99,18,,,,,,,,,,,,,,,,,,,,,144,26,,,,,341,16,,,,,34,9,662,18,,,,,,,,,,,,,,,,,,,,,13,19,29,7,,,,,78,6,,,,,164,15,,,,,,,,,,,,,,,,,,,28,19,,,,,,,,,,,,,,,23,17,,,,,,,,,,,,,,,,,,,,,,,391,17
14,15,2425,16094,,,,,,,,,,,41,11,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,33,10,,,,,,,92,17,,,,,114,11,1233,19,,,,,,,,,3747,22,7,16,1157,17,,,5,12,147,10,201,11,,,1256,11,,,,,,,,,,,,,,,,,,,,,127,15,,,,,,,,,,,174,12,,,,,,,,,,,,,,,,,867,10,571,17,,,,,,,,,,,,,10,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,21,,,,,,,,,,,,,,,,,,,,,,,,,817,8,,,,,785,6,,,,,216,2,3666,4,,,,,,,,,,,,,,,,,,,,,55,10,,,,,,,,,,,,,120,18,,,,,3,8,,,,,,,,,,,,,,,,,,,255,4,,,,,,,,,34,14,,,,,,,,,,,,,,,,,,,,,,,138,31
15,16,50381,15707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,29,882,26,,,,,,,,,11920,9,,,768,26,,,,,183,9,169,16,,,230,55,,,,,,,,,,,,,,,,,,,,,112,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698,14,93,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,25821,15440,,,,,,,,,,,369,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385,12,,,,,,,,,823,107,3,42,2058,11,,,,,,,,,,,4043,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3143,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,6,,,,,,,,,,,,,,,,,,,,,,,995,10
17,18,181,15084,8,4,,,,,,,,,56,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,13,,,,,,,,,,,,,143,9,1436,17,,,,,,,,,7510,11,,,2478,7,,,6,9,,,64,32,,,845,19,,,,,,,,,,,,,,,,,,,,,152,13,,,,,165,5,,,,,73,20,,,,,,,,,,,,,,,,,235,33,158,38,,,,,,,,,,,,,,,,,,,,,6,5,,,,,,,,,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,22,,,88,19,,,,,,,,,,,,,,,,,,,,,207,25,,,,,141,27,,,,,,,508,22,,,,,,,,,,,,,,,,,104,3,,,,,,,,,1,4,,,,,,,218,10,,,,,,,,,,,,,10,16,,,,,39,12,,,,,19,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,32
18,19,320,14866,,,,,,,,,,,80,9,,,,,3,6,,,,,,,,,8,1,,,69,9,,,,,,,,,16,3,,,,,31,11,,,,,,,102,15,,,5,6,52,24,1179,20,,,,,183,6,,,5832,17,20,2,1140,18,29,9,,,70,15,263,7,,,1116,15,,,,,,,3,3,,,7,2,,,18,3,,,,,86,22,43,5,,,,,,,,,281,6,,,,,,,370,5,,,,,,,8,8,217,35,267,29,,,,,7,3,,,,,7,2,24,26,,,,,,,7,3,,,,,,,,,23,11,21,10,,,,,,,,,6,5,,,,,118,3,,,,,,,,,,,,,738,10,12,4,147,14,,,,,,,3,6,,,,,,,,,,,,,414,17,,,,,280,18,,,,,124,7,779,15,,,,,,,,,,,,,6,2,,,,,,,64,9,52,5,,,,,,,,,,,73,28,,,,,6,7,,,3,4,,,17,13,,,,,29,18,,,7,1,36,18,,,,,,,,,45,13,,,,,,,,,,,4,8,,,,,,,,,,,316,20
19,20,1294,12767,,,,,,,,,,,33,13,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,12,,,,,,,,,,,,,50,25,995,24,,,,,,,,,6215,14,12,5,842,24,,,,,76,14,169,15,,,1679,8,,,,,,,,,,,,,9,4,,,,,,,161,12,,,,,,,,,,,105,15,,,,,,,33,13,,,,,10,2,,,986,7,,,,,,,,,,,,,,,29,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,,,,,,,,,,,,,336,17,,,59,25,,,,,,,8,2,,,,,,,,,,,,,39,51,,,,,,,,,,,,,524,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,13,,,,,,,,,,,,,45,10,,,,,19,25,,,,,17,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,39
