bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2243,18790,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,11,,,,,,,,,,,,,,,7,40,,,,,,,,,,,,,,,6331,2,,,,,,,,,5968,18,,,,,,,,,,,,,,,1297,8,,,,,,,,,,,,,,,,,,,,,,,,,74,9,,,,,98,17,,,,,,,,,,,,,,,468,17,230,32,,,,,,,,,,,,,14,39,,,,,,,,,,,,,56,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807,4,,,,,,,,,,,,,,,,,,,,,931,5,,,,,596,7,,,20,10,923,14,,,,,,,3,5,,,,,,,,,,,69,4,,,,,483,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,16
25821,16612,12,,,,,,,,,,,186,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3995,6,,,,,,,,,1229,71,5,16,1323,13,,,,,,,,,,,5731,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2939,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,19,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719,16318,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,71,,,,,,,9,44,,,,,17,31,7284,1,,,,,,,,,7319,13,,,377,29,,,,,,,22,44,,,515,22,,,,,,,,,,,,,,,,,,,80,18,,,,,,,,,,,19,31,,,,,,,,,,,,,,,156,38,,,,,,,,,,,,,,,10,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,41,,,,,,,,,,,,,,,,,,,,,25,61,,,,,,,,,,,173,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,46,,,,,,,,,,,,,,,,,,,,,,,,,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,25
320,14954,14,,,,,,,,,,,145,9,,,,,,,,,,,,,12,1,,,78,9,,,,,,,,,8,3,,,,,29,9,,,,,,,77,15,,,4,5,32,23,1017,20,,,,,98,6,,,6789,15,22,2,1573,9,34,10,,,31,15,131,12,,,853,12,,,,,,,4,3,,,6,2,,,4,3,,,49,25,65,5,,,,,,,,,207,7,,,,,210,7,,,,,,,10,6,152,39,374,23,,,,,6,4,,,,,19,2,33,20,,,,,6,5,,,,,,,18,10,,,,,,,,,5,4,,,,,53,4,,,,,,,,,,,,,515,11,13,5,33,22,,,,,1,5,,,,,,,,,,,505,10,,,,,179,21,,,70,6,879,15,,,,,,,,,2,3,,,,,,,30,11,42,6,,,,,,,,,,,66,25,,,,,9,5,,,9,4,,,25,10,,,,,19,23,,,6,1,25,15,,,,,,,,,51,10,,,,,,,,,,,,,,,,,,,,,,,321,18
1294,14821,15,,,,,,,,,,,58,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,25,,,,,,,,,,,,,55,14,769,28,,,,,,,,,6540,16,4,19,625,24,,,,,,,132,11,,,3225,3,,,,,,,,,,,,,3,4,,,,,139,10,,,,,,,,,,,105,14,,,,,41,11,,,,,1,8,,,1459,4,,,,,,,,,,,,,,,21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,378,13,,,23,29,,,,,1,6,,,,,,,,,,,44,43,,,,,,,,,,,656,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,16,,,,,,,,,,,,,,,,,,,10,27,,,,,6,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,15
13,14622,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,23,,,,,,,63,16,,,,,25,25,894,24,,,,,4,13,,,8025,11,4,17,1304,14,,,4,6,,,,,4,2,365,31,,,,,,,,,,,,,,,,,,,494,3,,,,,,,,,,,80,19,,,,,,,,,,,,,,,244,30,1246,13,,,,,,,,,,,,,85,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,125,6,8,27,24,,,,,,,,,,,,,,,,,186,25,,,,,216,18,,,22,9,735,19,,,,,,,,,,,,,,,,,12,14,40,7,,,,,32,7,,,,,100,17,,,,,,,,,,,,,,,,,,,32,14,,,,,,,,,,,,,,,17,13,,,,,,,,,,,,,,,,,,,,,,,337,17
2425,13967,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,22,15,,,,,,,40,20,,,,,60,13,989,22,,,,,,,,,4164,25,,,1461,11,,,3,10,145,9,127,13,,,1480,7,,,,,,,,,,,,,,,,,,,96,16,,,,,,,,,,,113,12,,,,,,,,,,,,,,,645,9,795,17,,,,,,,,,,,,,21,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,19,,,,,,,,,,,,,,,,,,,,,240,22,,,,,508,9,,,111,5,2337,6,,,,,,,,,,,,,,,,,44,7,,,,,,,,,,,,,138,12,,,,,5,8,,,,,,,,,,,,,,,,,,,50,11,,,,,,,,,32,11,,,,,,,,,,,,,,,,,,,,,,,151,28
181,13701,18,7,4,,,,,,,,,295,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,8,,,,,,,,,,,,,92,9,1335,16,,,,,,,,,7287,14,,,1398,12,,,1,13,,,52,30,,,560,18,,,,,,,,,,,,,,,,,,,153,9,,,,,188,4,,,,,203,8,,,,,,,,,,,,,,,140,41,130,46,,,,,,,,,,,,,,,,,,,7,4,,,,,,,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,16,,,40,18,,,,,,,,,,,,,,,,,188,24,,,,,128,27,,,,,646,21,,,,,,,,,,,,,108,3,,,,,,,,,,,,,,,,,199,10,,,,,,,,,,,,,13,12,,,,,33,13,,,,,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,26
50381,12318,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,27,,,,,,,,,,,11218,6,,,,,,,,,20,16,139,10,,,107,78,,,,,,,,,,,,,,,,,,,97,15,,,,,,,,,,,,,,,,,,,,,,,,,,,420,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,31,,,,,,,,,,,,,,,,,,,,,,,,,,,188,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27443,12044,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,22,,,,,,,124,11,,,5,4,29,24,675,34,,,,,,,,,741,95,6,12,599,25,54,5,,,,,90,23,,,292,40,,,,,,,,,,,,,,,,,,,,,,,,,42,12,,,,,,,,,,,,,,,,,,,,,314,24,1833,8,,,,,,,,,,,,,2288,1,,,,,,,,,,,,,,,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,168,22,,,,,,,,,,,,,,,,,,,,,300,16,,,,,266,14,,,,,826,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3315,1
5072,10306,21,,,,,,,,,,,6,21,,,,,,,,,,,,,,,,,11,18,,,,,60,2,,,,,,,,,23,14,,,,,,,,,,,,,134,5,426,45,,,,,,,,,7402,12,,,72,69,,,,,,,,,,,297,37,,,,,,,,,,,,,,,5,2,,,,,763,2,,,,,,,,,,,,,,,202,8,,,,,,,,,70,73,373,24,,,,,,,,,,,,,25,25,,,,,,,,,,,,,,,,,,,2,1,,,14,2,,,53,2,,,,,,,,,,,,,,,42,62,1,17,92,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,66,,,,,,,,,,,,,,,15,2,,,,,,,,,,,,,,,29,44,,,,,60,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,60
